date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,91.49,118.08,115.76,143.69,120.75,108.39,299.23,101.01,132.76,94.17,146.39,116.75,140.06,94.17,120.37,100.54,115.97,106.16,115.51,116.53,120.39,109.37,119.47,99.66,116.73,119.61,190.93,120.14,118.68,115.0,132.89,115.34
2025-06-30,81.87,81.87,81.87,81.87,81.87,81.87,86.47,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87,81.87
2025-07-31,103.61,100.61,93.55,120.2,96.31,102.99,86.57,106.6,102.81,98.01,102.93,107.17,105.88,104.64,102.02,104.29,103.1,103.93,102.75,97.95,96.03,101.1,86.57,100.5,96.07,92.95,116.67,92.34,101.41,100.73,86.57,101.68
2025-08-31,86.56,102.6,105.6,99.28,102.26,104.16,119.65,107.84,106.74,96.73,86.72,106.18,105.32,95.31,105.66,104.14,105.57,104.54,105.47,102.94,100.82,99.09,102.23,105.27,95.14,90.85,119.65,96.8,98.01,94.38,96.63,99.2
2025-09-30,75.86,75.86,75.86,82.28,75.86,75.86,115.82,75.86,75.86,75.86,115.82,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,75.86,115.82,75.86,75.86,75.86,76.7,75.86
2025-10-31,70.66,70.66,70.66,70.66,70.66,70.66,119.78,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,70.66,111.0,70.66,70.66,70.66,70.66,70.66
2025-11-30,21.36,21.36,21.36,24.84,21.36,21.36,58.75,21.36,28.62,21.36,31.34,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,21.36,24.09,38.78,51.52,21.36,21.36,21.36,21.36,21.36
2025-12-31,21.53,21.53,21.53,68.37,24.06,21.53,77.14,21.53,71.41,21.53,67.98,21.53,21.53,21.53,40.96,21.53,21.53,35.23,44.26,21.53,21.53,21.53,39.19,21.53,72.8,72.51,72.4,21.53,21.53,21.53,66.56,21.53
2026-01-31,21.53,41.84,21.53,50.42,49.34,36.93,54.81,34.9,52.02,36.5,52.18,39.5,47.05,21.53,50.53,28.21,36.29,54.73,50.23,38.42,38.28,34.75,50.95,21.53,52.33,52.31,53.34,49.55,43.53,38.85,49.58,38.83
2026-02-28,19.45,44.55,25.69,40.18,37.61,33.26,47.48,34.82,40.49,34.64,44.77,37.12,37.35,19.45,38.76,31.6,38.11,46.55,37.48,34.93,36.93,35.08,38.66,19.45,44.97,49.7,43.32,48.36,44.88,37.07,39.12,40.27
2026-03-31,26.54,51.6,46.25,47.14,46.9,49.14,49.64,26.54,48.73,27.1,40.27,34.49,32.32,26.54,63.72,32.4,39.84,83.7,37.53,31.83,30.32,33.59,47.38,26.62,45.93,65.5,54.85,79.36,36.52,37.4,42.13,41.63
2026-04-30,62.85,62.85,63.03,62.85,63.03,62.85,62.85,62.85,63.03,62.85,63.03,62.85,62.85,63.03,88.58,62.85,62.85,78.36,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,62.85,89.87,62.85,62.85,62.85,62.85
2026-05-31,110.37,189.78,170.67,274.51,149.27,257.6,333.65,293.71,143.0,258.53,211.11,216.92,88.28,130.56,227.46,197.59,217.57,245.37,275.23,242.86,119.54,313.62,108.95,91.35,229.48,189.48,164.06,353.57,90.41,261.01,109.73,147.72
2026-06-30,81.87,85.1,81.87,265.6,81.87,398.98,131.21,352.95,81.87,86.5,81.87,81.87,81.87,81.87,81.87,128.82,81.87,81.87,309.72,81.97,81.87,138.25,81.87,81.87,184.35,134.23,112.03,255.85,81.87,168.22,81.87,81.87
2026-07-31,100.61,108.28,90.19,205.91,98.25,500.58,121.39,189.99,86.57,238.53,107.0,130.29,106.88,98.2,100.85,123.85,125.01,123.44,250.72,145.29,86.57,236.95,103.09,95.65,116.78,133.81,107.52,108.39,104.2,289.94,100.01,101.95
2026-08-31,86.6,119.65,95.39,119.65,102.97,121.24,119.65,119.65,119.65,119.65,106.09,103.96,95.65,105.39,101.99,119.65,103.2,102.16,119.65,119.65,92.75,119.65,95.42,86.56,119.65,119.65,119.65,119.21,86.56,119.65,99.12,119.65
2026-09-30,75.86,115.82,84.34,115.82,80.38,115.82,115.82,115.82,115.82,115.82,75.86,75.86,75.86,99.62,75.86,115.82,75.86,75.86,115.82,115.82,115.82,115.82,75.86,75.86,115.82,115.82,115.82,97.52,75.86,115.82,75.86,115.82
2026-10-31,70.66,100.82,70.66,119.78,70.66,119.78,118.89,119.78,80.64,119.78,70.66,70.66,70.66,70.66,70.66,119.78,73.33,70.66,119.78,100.17,70.66,119.78,70.66,70.66,119.78,99.41,98.24,70.66,70.66,119.78,70.66,75.97
2026-11-30,21.2,51.22,21.2,82.9,45.26,115.98,62.24,115.98,58.2,92.09,21.2,23.22,21.2,31.97,21.2,69.52,70.26,45.8,86.96,54.23,34.69,67.84,21.2,21.2,105.56,50.42,46.43,44.91,21.2,82.68,21.2,47.45
2026-12-31,25.46,72.09,66.34,76.53,69.5,119.86,78.43,102.12,78.43,71.52,21.9,42.31,21.9,69.32,21.9,74.16,77.65,72.04,77.86,71.46,70.17,74.55,21.9,21.9,77.24,71.6,69.88,77.18,21.9,76.47,57.03,69.78
2027-01-31,53.63,53.63,48.96,56.8,50.63,99.58,56.33,59.33,57.06,54.98,39.16,48.97,21.54,50.2,52.25,53.42,55.33,50.64,57.62,51.53,51.52,56.45,21.66,36.71,55.82,52.65,51.99,56.08,40.77,56.64,51.18,50.62
2027-02-28,44.55,44.55,38.91,44.15,45.06,54.78,42.71,46.76,48.22,47.58,36.95,37.25,20.65,38.47,42.14,40.22,47.1,37.79,46.03,38.95,38.87,43.5,19.45,31.7,53.94,42.73,49.85,50.06,38.65,45.37,41.68,40.51
2027-03-31,51.6,51.6,43.8,56.82,65.59,57.54,61.64,58.03,54.4,44.73,37.11,32.19,26.54,63.38,38.1,40.66,86.39,34.77,60.83,33.49,44.38,56.13,27.29,37.5,71.33,52.91,81.18,42.79,39.56,50.98,40.77,49.07
2027-04-30,62.85,62.85,62.85,62.85,62.85,73.47,62.85,62.85,62.85,62.85,62.85,62.85,62.85,88.27,62.85,66.31,82.09,62.85,62.85,63.03,62.85,65.4,62.85,62.85,62.85,62.85,96.17,62.85,62.85,62.85,62.85,63.03
2027-05-31,189.78,189.78,244.68,191.67,249.11,374.99,347.76,176.57,249.25,233.61,221.13,88.28,119.96,228.87,223.6,237.87,249.53,268.07,287.85,128.98,302.08,131.97,91.0,224.63,195.21,163.11,351.9,98.07,268.03,120.54,147.4,191.23
2027-06-30,85.1,85.1,266.14,81.87,412.89,311.47,367.1,81.87,129.87,81.87,81.87,81.87,81.87,81.87,136.13,81.87,81.87,318.49,96.95,81.87,139.34,81.87,81.87,149.09,159.81,107.9,252.81,81.87,171.15,81.87,81.87,81.87
2027-07-31,108.28,108.28,213.02,123.31,501.48,120.33,200.86,88.03,260.46,134.43,129.69,106.72,98.39,100.64,131.1,123.78,123.07,250.23,157.35,86.57,263.08,102.36,95.81,115.08,136.1,107.33,106.18,103.77,130.2,98.58,99.62,90.25
2027-08-31,119.65,119.65,119.65,101.46,121.24,119.65,119.65,119.65,119.65,106.04,103.7,95.65,105.42,101.77,119.65,101.91,101.92,119.65,119.65,112.8,119.65,95.06,86.56,119.65,119.65,119.65,117.51,86.56,119.65,98.22,119.65,94.91
2027-09-30,115.82,115.82,115.82,79.32,115.82,75.86,115.82,115.82,115.82,75.86,75.86,75.86,75.86,75.86,115.82,75.86,75.86,115.82,115.82,115.82,115.82,75.86,75.86,115.82,115.82,115.82,115.82,75.86,115.82,79.47,115.82,83.98
2027-10-31,95.82,100.82,119.78,70.66,119.78,70.66,119.78,106.76,119.78,70.66,70.66,70.66,70.66,70.66,119.78,83.74,70.66,119.78,109.9,70.66,119.78,70.66,70.66,119.78,102.99,96.81,70.66,70.66,119.78,70.66,76.58,70.66
2027-11-30,49.22,51.22,81.92,50.72,115.98,21.2,115.98,60.39,94.54,22.89,22.65,21.2,21.2,21.2,73.26,70.86,48.43,85.01,57.02,37.15,66.15,21.2,21.2,101.54,51.34,46.05,50.79,21.2,77.74,47.63,47.21,21.2
2027-12-31,72.09,72.09,76.1,71.75,119.86,57.2,113.24,80.39,71.94,34.99,53.12,21.9,21.9,21.9,74.68,78.11,71.98,77.5,73.96,70.75,74.17,21.9,21.9,76.47,72.24,69.63,77.89,21.9,75.5,76.42,69.76,66.55
2028-01-31,53.63,53.63,56.35,52.26,99.12,58.08,60.47,58.42,55.38,38.74,48.94,21.53,21.53,51.42,53.72,55.73,50.58,57.28,53.4,52.04,56.09,21.53,36.66,55.13,53.22,51.76,56.43,39.87,55.76,52.78,50.45,49.01
2028-02-29,44.54,44.54,44.71,48.31,56.25,45.1,48.77,50.64,49.12,37.91,38.0,21.35,20.14,42.98,41.3,48.61,38.53,47.11,41.72,40.18,44.19,20.14,33.02,54.53,44.37,51.09,51.36,39.33,45.64,44.16,41.24,39.9
2028-03-31,51.6,51.6,56.26,68.58,57.87,65.43,59.13,57.88,45.77,33.81,32.07,26.54,26.54,38.22,40.82,88.29,34.36,61.09,35.43,45.84,57.56,26.54,37.49,73.17,54.82,82.73,42.96,38.02,50.65,43.22,48.65,47.72
2028-04-30,62.85,62.85,62.85,62.85,75.63,63.31,62.85,62.85,62.85,62.85,62.85,62.85,63.03,62.85,67.29,89.26,62.85,62.85,63.03,62.85,66.61,62.85,62.85,62.85,62.85,94.94,62.85,62.85,62.85,62.85,63.03,62.85
2028-05-31,189.78,189.78,191.26,240.24,382.49,366.07,180.04,248.29,246.34,210.85,88.29,120.44,188.44,238.77,239.07,251.85,258.23,298.45,130.46,294.32,132.4,91.13,223.69,195.33,164.54,348.24,99.46,264.78,126.58,149.36,191.39,281.65
2028-06-30,85.1,85.1,81.87,460.01,311.71,371.88,81.87,155.69,81.87,81.87,81.87,81.87,81.87,131.29,81.87,81.87,348.95,97.63,81.87,169.87,81.87,81.87,86.42,165.82,116.1,253.75,81.87,168.47,81.87,81.87,81.87,257.33
2028-07-31,108.28,108.28,123.03,489.53,121.82,194.73,90.13,253.46,134.49,130.03,106.59,99.12,101.39,125.43,123.6,123.79,239.62,151.06,86.57,251.91,102.28,95.05,101.7,130.85,107.33,107.26,103.56,194.73,99.28,101.05,90.22,196.32
2028-08-31,119.65,119.65,101.17,119.65,119.65,119.65,119.65,119.65,105.8,103.44,95.61,105.38,101.75,119.65,101.57,101.63,119.65,119.65,119.65,119.65,95.12,86.56,86.56,119.65,119.65,118.0,86.56,119.65,98.18,119.65,94.84,119.65
2028-09-30,115.82,115.82,80.55,115.82,75.86,115.82,115.82,115.82,75.86,75.86,75.86,75.86,75.86,115.82,75.86,75.86,115.82,115.82,115.82,115.82,75.86,75.86,115.82,115.82,115.82,115.82,75.86,115.82,75.86,115.82,84.87,115.82
2028-10-31,95.82,100.82,70.66,119.78,70.66,119.78,109.97,119.78,70.66,70.66,70.66,70.66,70.66,119.78,86.41,70.66,119.78,108.35,70.66,119.78,70.66,70.66,118.55,101.53,95.49,70.66,70.66,119.78,70.66,87.42,70.66,119.78
2028-11-30,49.22,51.22,50.4,115.98,21.2,115.98,60.74,92.16,23.31,22.94,21.2,21.2,21.2,71.31,70.92,42.99,82.28,56.6,42.6,64.59,21.2,21.2,59.65,50.87,46.13,54.5,21.2,76.64,43.62,47.79,21.2,78.22
2028-12-31,72.09,72.09,71.58,119.86,49.66,111.76,80.75,72.28,34.7,46.11,21.9,21.9,21.9,74.25,78.18,71.71,77.35,73.63,71.41,74.15,21.9,21.9,76.24,71.92,69.73,77.35,21.9,75.67,75.68,70.07,66.36,75.81
2029-01-31,53.63,53.63,52.12,96.62,57.89,60.71,58.66,55.91,38.46,48.99,21.53,21.53,42.59,53.54,55.79,50.52,57.28,53.2,52.58,56.13,21.53,36.33,54.91,52.94,51.83,56.23,39.66,55.96,52.41,50.88,48.96,56.15
2029-02-28,44.55,44.55,46.67,55.24,44.02,47.89,49.59,48.26,36.23,37.27,20.51,19.45,41.74,40.32,47.51,37.72,46.01,40.72,39.74,43.26,19.45,31.33,53.09,43.22,50.14,50.18,37.73,44.85,42.98,40.73,38.97,43.72
2029-03-31,51.6,51.6,68.18,58.13,65.22,59.42,57.44,46.18,33.48,32.2,26.54,26.54,37.92,40.68,87.09,34.08,61.04,35.38,46.14,57.64,26.54,37.14,70.23,54.46,82.96,42.91,38.26,51.01,42.87,49.47,45.66,56.7
2029-04-30,62.85,62.85,62.85,75.96,63.15,62.85,62.85,62.85,62.85,62.85,62.85,63.03,62.85,66.46,82.91,62.85,62.85,63.03,62.85,66.61,62.85,62.85,62.85,62.85,94.94,62.85,62.85,62.85,62.85,63.03,62.85,62.85
2029-05-31,189.78,189.78,244.03,381.23,364.54,179.8,249.57,245.56,204.51,88.28,119.86,186.82,236.82,238.08,250.59,258.16,297.05,130.02,300.35,132.14,91.11,222.89,194.59,164.07,348.06,98.6,265.12,127.18,148.75,192.11,262.81,200.21
2029-06-30,85.1,85.1,429.15,311.42,370.45,81.87,139.27,81.87,81.87,81.87,81.87,81.87,130.18,81.87,81.87,346.93,96.69,81.87,147.47,81.87,81.87,86.39,157.35,114.51,253.58,81.87,170.06,81.87,81.87,81.87,261.44,81.87
2029-07-31,108.28,108.28,502.56,121.74,193.86,88.44,261.65,134.43,129.98,106.59,98.42,101.44,124.45,123.68,122.7,238.81,150.39,86.57,263.75,102.28,95.05,101.7,135.63,107.47,107.29,103.57,186.31,99.27,101.34,89.98,204.52,124.17
2029-08-31,119.65,119.65,121.7,119.65,119.65,119.65,119.65,105.77,103.39,95.62,105.42,101.88,119.65,101.74,101.51,119.65,119.65,119.65,119.65,95.2,86.56,119.65,119.65,119.65,118.14,86.56,119.65,98.22,119.65,94.64,119.65,101.33
2029-09-30,115.82,115.82,115.82,75.86,115.82,115.82,115.82,75.86,75.86,75.86,75.86,75.86,115.82,75.86,75.86,115.82,115.82,115.82,115.82,75.86,75.86,115.82,115.82,115.82,115.82,75.86,115.82,75.86,115.82,85.1,115.82,75.86
2029-10-31,95.82,100.82,119.78,70.66,119.78,109.95,119.78,70.66,70.66,70.66,70.66,70.66,119.78,84.11,70.66,119.78,108.13,70.66,119.78,70.66,70.66,119.78,101.89,94.06,70.66,70.66,119.78,70.66,83.1,70.66,119.78,70.66
2029-11-30,49.22,51.22,115.98,21.2,115.98,60.87,96.99,23.17,22.84,21.2,21.2,21.2,70.58,70.86,49.96,81.94,56.57,39.69,67.45,21.2,21.2,63.66,51.03,46.06,53.13,21.2,79.2,42.99,47.63,21.2,79.71,42.29
2029-12-31,72.09,72.09,119.86,48.81,111.18,80.84,72.42,34.56,45.08,21.9,21.9,21.9,74.14,78.11,72.04,77.31,73.61,71.34,74.44,21.9,21.9,76.28,71.98,69.65,77.38,21.9,75.79,75.77,69.93,66.79,75.89,71.29
2030-01-31,53.63,53.63,100.7,57.94,60.65,58.73,55.83,38.33,49.0,21.53,21.53,40.85,53.45,55.74,50.64,57.24,53.18,52.53,56.35,21.53,36.28,54.95,52.98,51.76,56.26,39.64,56.02,52.48,50.75,49.08,56.2,51.96
2030-02-28,44.55,44.55,54.89,44.07,47.84,49.65,48.31,36.12,37.27,20.47,19.45,41.7,40.24,47.46,37.79,45.98,40.71,39.69,43.42,19.45,31.29,53.13,43.0,50.07,50.2,37.72,44.85,43.04,40.62,39.07,43.65,47.03
2030-03-31,51.6,51.6,57.62,65.29,59.34,57.55,45.54,33.35,32.21,26.54,26.54,37.88,40.56,86.98,34.14,61.0,35.36,46.07,56.01,26.54,37.09,70.28,53.84,82.83,42.94,38.23,50.36,42.98,49.28,45.81,56.17,68.08
2030-04-30,62.85,62.85,73.62,63.24,62.85,62.85,62.85,62.85,62.85,62.85,63.03,62.85,66.29,82.82,62.85,62.85,63.03,62.85,65.39,62.85,62.85,62.85,62.85,94.81,62.85,62.85,62.85,62.85,63.03,62.85,62.85,62.85
2030-05-31,189.78,189.78,381.23,364.54,179.71,249.59,240.08,205.59,88.28,119.87,181.1,236.71,238.08,250.59,258.16,297.02,130.01,300.35,132.14,91.11,222.87,194.59,163.79,348.06,98.63,265.12,124.77,148.77,191.91,263.13,198.74,183.72
