date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,91.0,118.0,115.0,143.0,120.0,108.0,299.0,101.0,132.0,94.0,146.0,116.0,140.0,94.0,120.0,100.0,116.0,106.0,115.0,116.0,120.0,109.0,119.0,99.0,116.0,119.0,191.0,120.0,118.0,115.0,132.0,115.0
2025-06-30,82.0,82.0,82.0,82.0,82.0,82.0,86.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0
2025-07-31,104.0,101.0,93.0,120.0,96.0,103.0,87.0,107.0,103.0,98.0,103.0,107.0,106.0,105.0,102.0,104.0,103.0,104.0,103.0,98.0,96.0,101.0,87.0,100.0,96.0,93.0,117.0,92.0,101.0,101.0,87.0,102.0
2025-08-31,87.0,103.0,106.0,99.0,102.0,104.0,120.0,108.0,107.0,97.0,87.0,106.0,105.0,95.0,106.0,104.0,106.0,105.0,105.0,103.0,101.0,99.0,102.0,105.0,95.0,91.0,120.0,97.0,98.0,94.0,97.0,99.0
2025-09-30,76.0,76.0,76.0,82.0,76.0,76.0,116.0,76.0,76.0,76.0,116.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,116.0,76.0,76.0,76.0,77.0,76.0
2025-10-31,71.0,71.0,71.0,71.0,71.0,71.0,120.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,111.0,71.0,71.0,71.0,71.0,71.0
2025-11-30,21.0,21.0,21.0,25.0,21.0,21.0,59.0,21.0,29.0,21.0,31.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,24.0,39.0,52.0,21.0,21.0,21.0,21.0,21.0
2025-12-31,22.0,22.0,22.0,68.0,24.0,22.0,77.0,22.0,71.0,22.0,68.0,22.0,22.0,22.0,41.0,22.0,22.0,35.0,44.0,22.0,22.0,22.0,39.0,22.0,73.0,73.0,72.0,22.0,22.0,22.0,67.0,22.0
2026-01-31,22.0,42.0,22.0,50.0,49.0,37.0,55.0,35.0,52.0,36.0,52.0,39.0,47.0,22.0,51.0,28.0,36.0,55.0,50.0,38.0,38.0,35.0,51.0,22.0,52.0,52.0,53.0,50.0,44.0,39.0,50.0,39.0
2026-02-28,19.0,45.0,26.0,40.0,38.0,33.0,47.0,35.0,40.0,35.0,45.0,37.0,37.0,19.0,39.0,32.0,38.0,47.0,37.0,35.0,37.0,35.0,39.0,19.0,45.0,50.0,43.0,48.0,45.0,37.0,39.0,40.0
2026-03-31,27.0,52.0,46.0,47.0,47.0,49.0,50.0,27.0,49.0,27.0,40.0,34.0,32.0,27.0,64.0,32.0,40.0,84.0,38.0,32.0,30.0,34.0,47.0,27.0,46.0,65.0,55.0,79.0,36.0,37.0,42.0,42.0
2026-04-30,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,89.0,63.0,63.0,78.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,90.0,63.0,63.0,63.0,63.0
2026-05-31,110.0,190.0,171.0,274.0,149.0,258.0,334.0,294.0,143.0,258.0,211.0,217.0,88.0,131.0,227.0,198.0,218.0,245.0,275.0,243.0,120.0,314.0,109.0,91.0,229.0,189.0,164.0,354.0,90.0,261.0,110.0,148.0
2026-06-30,82.0,85.0,82.0,266.0,82.0,399.0,131.0,353.0,82.0,86.0,82.0,82.0,82.0,82.0,82.0,129.0,82.0,82.0,310.0,82.0,82.0,138.0,82.0,82.0,184.0,134.0,112.0,256.0,82.0,168.0,82.0,82.0
2026-07-31,101.0,108.0,90.0,206.0,98.0,501.0,121.0,190.0,87.0,238.0,107.0,130.0,107.0,98.0,101.0,124.0,125.0,123.0,251.0,145.0,87.0,237.0,103.0,96.0,117.0,134.0,107.0,108.0,104.0,290.0,100.0,102.0
2026-08-31,87.0,120.0,95.0,120.0,103.0,121.0,120.0,120.0,120.0,120.0,106.0,104.0,96.0,105.0,102.0,120.0,103.0,102.0,120.0,120.0,93.0,120.0,95.0,87.0,120.0,120.0,120.0,119.0,87.0,120.0,99.0,120.0
2026-09-30,76.0,116.0,84.0,116.0,80.0,116.0,116.0,116.0,116.0,116.0,76.0,76.0,76.0,100.0,76.0,116.0,76.0,76.0,116.0,116.0,116.0,116.0,76.0,76.0,116.0,116.0,116.0,97.0,76.0,116.0,76.0,116.0
2026-10-31,71.0,101.0,71.0,120.0,71.0,120.0,119.0,120.0,81.0,120.0,71.0,71.0,71.0,71.0,71.0,120.0,73.0,71.0,120.0,100.0,71.0,120.0,71.0,71.0,120.0,99.0,98.0,71.0,71.0,120.0,71.0,76.0
2026-11-30,21.0,51.0,21.0,83.0,45.0,116.0,62.0,116.0,58.0,92.0,21.0,23.0,21.0,32.0,21.0,70.0,70.0,46.0,87.0,54.0,35.0,68.0,21.0,21.0,106.0,50.0,46.0,45.0,21.0,83.0,21.0,47.0
2026-12-31,25.0,72.0,66.0,77.0,69.0,120.0,78.0,102.0,78.0,72.0,22.0,42.0,22.0,69.0,22.0,74.0,78.0,72.0,78.0,71.0,70.0,75.0,22.0,22.0,77.0,72.0,70.0,77.0,22.0,76.0,57.0,70.0
2027-01-31,54.0,54.0,49.0,57.0,51.0,100.0,56.0,59.0,57.0,55.0,39.0,49.0,22.0,50.0,52.0,53.0,55.0,51.0,58.0,52.0,52.0,56.0,22.0,37.0,56.0,53.0,52.0,56.0,41.0,57.0,51.0,51.0
2027-02-28,45.0,45.0,39.0,44.0,45.0,55.0,43.0,47.0,48.0,48.0,37.0,37.0,21.0,38.0,42.0,40.0,47.0,38.0,46.0,39.0,39.0,43.0,19.0,32.0,54.0,43.0,50.0,50.0,39.0,45.0,42.0,41.0
2027-03-31,52.0,52.0,44.0,57.0,66.0,58.0,62.0,58.0,54.0,45.0,37.0,32.0,27.0,63.0,38.0,41.0,86.0,35.0,61.0,33.0,44.0,56.0,27.0,37.0,71.0,53.0,81.0,43.0,40.0,51.0,41.0,49.0
2027-04-30,63.0,63.0,63.0,63.0,63.0,73.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,88.0,63.0,66.0,82.0,63.0,63.0,63.0,63.0,65.0,63.0,63.0,63.0,63.0,96.0,63.0,63.0,63.0,63.0,63.0
2027-05-31,190.0,190.0,245.0,192.0,249.0,375.0,348.0,177.0,249.0,234.0,221.0,88.0,120.0,229.0,224.0,238.0,249.0,268.0,288.0,129.0,302.0,132.0,91.0,225.0,195.0,163.0,352.0,98.0,268.0,121.0,147.0,191.0
2027-06-30,85.0,85.0,266.0,82.0,413.0,311.0,367.0,82.0,130.0,82.0,82.0,82.0,82.0,82.0,136.0,82.0,82.0,318.0,97.0,82.0,139.0,82.0,82.0,149.0,160.0,108.0,253.0,82.0,171.0,82.0,82.0,82.0
2027-07-31,108.0,108.0,213.0,123.0,501.0,120.0,201.0,88.0,260.0,134.0,130.0,107.0,98.0,101.0,131.0,124.0,123.0,250.0,157.0,87.0,263.0,102.0,96.0,115.0,136.0,107.0,106.0,104.0,130.0,99.0,100.0,90.0
2027-08-31,120.0,120.0,120.0,101.0,121.0,120.0,120.0,120.0,120.0,106.0,104.0,96.0,105.0,102.0,120.0,102.0,102.0,120.0,120.0,113.0,120.0,95.0,87.0,120.0,120.0,120.0,117.0,87.0,120.0,98.0,120.0,95.0
2027-09-30,116.0,116.0,116.0,79.0,116.0,76.0,116.0,116.0,116.0,76.0,76.0,76.0,76.0,76.0,116.0,76.0,76.0,116.0,116.0,116.0,116.0,76.0,76.0,116.0,116.0,116.0,116.0,76.0,116.0,79.0,116.0,84.0
2027-10-31,96.0,101.0,120.0,71.0,120.0,71.0,120.0,107.0,120.0,71.0,71.0,71.0,71.0,71.0,120.0,84.0,71.0,120.0,110.0,71.0,120.0,71.0,71.0,120.0,103.0,97.0,71.0,71.0,120.0,71.0,77.0,71.0
2027-11-30,49.0,51.0,82.0,51.0,116.0,21.0,116.0,60.0,95.0,23.0,23.0,21.0,21.0,21.0,73.0,71.0,48.0,85.0,57.0,37.0,66.0,21.0,21.0,102.0,51.0,46.0,51.0,21.0,78.0,48.0,47.0,21.0
2027-12-31,72.0,72.0,76.0,72.0,120.0,57.0,113.0,80.0,72.0,35.0,53.0,22.0,22.0,22.0,75.0,78.0,72.0,77.0,74.0,71.0,74.0,22.0,22.0,76.0,72.0,70.0,78.0,22.0,75.0,76.0,70.0,67.0
2028-01-31,54.0,54.0,56.0,52.0,99.0,58.0,60.0,58.0,55.0,39.0,49.0,22.0,22.0,51.0,54.0,56.0,51.0,57.0,53.0,52.0,56.0,22.0,37.0,55.0,53.0,52.0,56.0,40.0,56.0,53.0,50.0,49.0
2028-02-29,45.0,45.0,45.0,48.0,56.0,45.0,49.0,51.0,49.0,38.0,38.0,21.0,20.0,43.0,41.0,49.0,39.0,47.0,42.0,40.0,44.0,20.0,33.0,55.0,44.0,51.0,51.0,39.0,46.0,44.0,41.0,40.0
2028-03-31,52.0,52.0,56.0,69.0,58.0,65.0,59.0,58.0,46.0,34.0,32.0,27.0,27.0,38.0,41.0,88.0,34.0,61.0,35.0,46.0,58.0,27.0,37.0,73.0,55.0,83.0,43.0,38.0,51.0,43.0,49.0,48.0
2028-04-30,63.0,63.0,63.0,63.0,76.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,67.0,89.0,63.0,63.0,63.0,63.0,67.0,63.0,63.0,63.0,63.0,95.0,63.0,63.0,63.0,63.0,63.0,63.0
2028-05-31,190.0,190.0,191.0,240.0,382.0,366.0,180.0,248.0,246.0,211.0,88.0,120.0,188.0,239.0,239.0,252.0,258.0,298.0,130.0,294.0,132.0,91.0,224.0,195.0,165.0,348.0,99.0,265.0,127.0,149.0,191.0,282.0
2028-06-30,85.0,85.0,82.0,460.0,312.0,372.0,82.0,156.0,82.0,82.0,82.0,82.0,82.0,131.0,82.0,82.0,349.0,98.0,82.0,170.0,82.0,82.0,86.0,166.0,116.0,254.0,82.0,168.0,82.0,82.0,82.0,257.0
2028-07-31,108.0,108.0,123.0,489.0,122.0,195.0,90.0,253.0,134.0,130.0,107.0,99.0,101.0,125.0,124.0,124.0,240.0,151.0,87.0,252.0,102.0,95.0,102.0,131.0,107.0,107.0,104.0,195.0,99.0,101.0,90.0,196.0
2028-08-31,120.0,120.0,101.0,120.0,120.0,120.0,120.0,120.0,106.0,103.0,96.0,105.0,102.0,120.0,102.0,102.0,120.0,120.0,120.0,120.0,95.0,87.0,87.0,120.0,120.0,118.0,87.0,120.0,98.0,120.0,95.0,120.0
2028-09-30,116.0,116.0,81.0,116.0,76.0,116.0,116.0,116.0,76.0,76.0,76.0,76.0,76.0,116.0,76.0,76.0,116.0,116.0,116.0,116.0,76.0,76.0,116.0,116.0,116.0,116.0,76.0,116.0,76.0,116.0,85.0,116.0
