date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,118.68,118.69,118.48,122.75,123.72,121.28,115.94,117.54,121.64,117.7,118.87,120.6,120.59,117.96,123.05,118.22,121.79,121.34,123.3,120.63,117.64,116.44,120.71,119.32,120.19,119.76,122.32,125.49,119.18,121.41,122.95,116.96
2025-06-30,119.03,121.66,125.18,122.19,126.6,122.74,118.33,121.58,122.75,119.81,121.72,122.74,121.17,120.31,122.37,120.55,123.71,120.99,122.87,120.02,123.03,118.68,119.11,120.32,120.15,120.46,121.6,127.81,120.61,124.78,121.09,120.76
2025-07-31,117.11,121.94,125.99,121.19,126.66,119.12,124.9,122.02,121.81,126.1,123.31,120.42,118.66,118.83,121.27,122.94,126.16,117.97,119.54,121.67,127.75,123.82,124.95,118.69,117.36,119.93,124.09,123.52,118.75,123.41,122.83,120.98
2025-08-31,115.96,120.44,125.26,119.4,127.19,116.72,124.45,120.29,121.46,125.83,122.32,118.38,117.42,117.42,119.38,122.03,125.03,116.01,117.82,120.27,126.84,123.18,124.3,117.44,115.75,119.03,122.98,118.91,116.99,121.35,122.02,119.02
2025-09-30,115.13,118.94,124.54,117.53,127.09,114.67,124.01,118.68,121.17,125.28,121.3,116.86,116.4,116.33,117.69,121.5,123.79,114.4,116.46,118.99,125.66,122.41,123.64,116.47,114.48,118.29,121.62,114.68,115.48,119.36,120.9,117.27
2025-10-31,115.32,118.55,123.89,116.39,127.09,115.5,124.07,118.05,122.15,125.54,120.55,116.98,116.2,116.73,116.69,121.99,123.57,114.93,117.47,118.31,125.53,121.87,123.66,116.15,115.4,120.78,121.33,114.5,116.4,118.93,120.56,116.57
2025-11-30,116.03,118.87,124.39,116.36,127.26,116.63,124.54,119.03,122.67,125.95,120.48,117.05,116.8,117.5,116.85,123.29,123.89,115.89,118.26,118.54,125.91,122.13,124.21,116.81,116.29,121.72,121.73,114.33,117.35,119.21,120.77,117.03
2025-12-31,115.88,117.62,122.59,115.35,125.31,116.88,123.6,118.12,120.82,124.53,119.23,116.08,116.92,117.51,116.12,121.76,121.92,116.29,118.29,117.53,123.91,120.42,122.47,117.01,116.52,120.42,120.04,113.86,117.8,117.09,119.05,116.34
2026-01-31,116.82,117.08,120.69,114.29,123.31,116.3,122.27,117.41,118.86,122.75,118.37,116.81,117.53,116.54,115.33,120.4,120.12,117.21,118.35,116.82,122.21,118.58,120.77,117.67,115.72,119.16,118.27,111.87,117.23,114.9,117.74,115.47
2026-02-28,116.5,116.83,119.39,113.4,121.64,116.49,121.67,116.81,117.47,121.4,118.11,115.92,117.58,116.26,114.7,119.43,118.68,116.91,118.56,116.5,122.34,117.0,119.35,117.82,115.27,119.12,117.27,110.1,117.22,111.7,117.0,115.96
2026-03-31,117.93,118.5,121.29,115.68,121.5,118.94,120.6,118.51,118.2,121.11,119.16,117.47,118.82,117.83,116.88,119.71,118.96,118.79,119.78,118.09,122.3,115.46,119.7,119.21,116.92,120.07,118.31,106.5,118.97,111.18,118.72,117.34
2026-04-30,119.35,120.85,120.99,120.28,121.11,120.83,121.14,120.87,120.91,121.09,120.9,118.74,119.38,119.13,119.94,121.01,120.96,119.23,120.28,120.84,121.1,118.23,120.07,119.29,118.89,120.97,120.9,109.88,120.83,118.65,120.87,118.83
2026-05-31,116.37,119.5,120.59,117.46,119.91,115.51,113.43,115.98,110.88,118.7,118.34,120.3,118.14,115.41,117.75,121.78,116.82,120.36,110.07,108.13,119.82,110.8,119.83,117.28,109.43,118.17,120.63,108.56,118.97,123.06,116.16,115.9
2026-06-30,118.0,125.12,119.89,120.74,119.38,119.02,121.07,128.72,113.83,125.99,119.16,117.21,114.59,116.81,117.02,127.16,117.91,119.25,113.64,117.03,115.24,111.24,119.11,116.04,116.64,122.05,121.82,125.06,125.97,114.47,120.84,119.88
2026-07-31,115.57,125.25,117.67,124.01,116.43,132.74,126.29,133.28,123.61,133.6,116.47,115.67,113.11,116.36,118.6,131.75,116.2,117.48,117.78,125.85,118.92,132.36,116.85,114.28,121.6,122.2,117.89,132.35,126.84,117.42,122.54,121.17
2026-08-31,114.34,124.26,115.5,126.24,114.14,133.1,125.42,133.33,124.36,133.35,115.59,114.27,112.86,115.25,117.69,130.67,114.66,116.03,117.63,126.27,117.72,133.75,116.02,112.58,121.56,120.76,114.26,131.66,125.37,117.98,121.34,120.88
2026-09-30,113.41,123.04,113.56,126.95,112.07,132.51,124.6,133.26,124.69,132.97,115.09,113.02,112.72,114.39,117.15,129.54,113.6,114.73,117.24,126.33,116.36,133.47,115.35,111.05,121.63,119.17,110.97,130.61,123.91,117.95,120.23,120.6
2026-10-31,113.62,122.87,112.49,127.13,112.64,131.41,124.42,133.76,125.07,130.87,115.26,112.06,112.75,114.17,117.64,129.11,114.41,113.96,116.85,126.65,116.27,131.97,115.04,110.61,124.47,118.54,111.22,130.1,123.52,118.05,119.78,119.9
2026-11-30,114.46,123.27,112.51,127.37,113.59,130.72,124.91,133.36,125.59,129.32,115.75,112.41,113.2,114.76,119.42,129.01,115.51,114.04,117.32,127.15,116.88,130.7,115.6,111.16,125.27,118.7,111.43,128.83,123.61,118.63,120.49,120.37
2026-12-31,114.45,121.15,112.55,125.87,113.82,128.69,124.61,130.93,124.49,126.32,116.23,112.82,113.69,114.81,118.19,127.18,115.26,114.07,116.66,125.48,117.12,127.45,116.2,111.67,124.41,117.41,111.14,125.78,121.5,117.39,119.46,119.04
2027-01-31,113.9,119.54,112.58,124.29,114.74,127.69,124.39,129.8,122.98,124.84,116.71,113.21,114.19,113.83,117.28,125.52,116.36,114.06,116.15,123.69,115.68,125.39,116.78,112.17,123.42,116.42,109.33,123.73,119.21,116.54,118.79,118.09
2027-02-28,113.63,118.55,111.09,122.99,114.83,127.39,123.78,129.01,121.86,124.14,115.7,113.14,113.62,113.07,116.89,124.02,116.37,113.67,115.98,122.15,114.8,124.86,116.83,111.51,123.81,116.12,107.83,123.65,116.03,116.19,119.14,117.68
