date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,52.02,71.79,74.09,68.86,69.76,64.28,92.73,71.74,46.93,75.11,56.07,66.27,64.25,58.04,33.11,72.76,58.48,57.0,64.36,46.9,76.81,71.69,44.59,61.87,61.26,65.7,58.19,86.81,63.1,70.3,23.86,72.75
2025-06-30,18.87,28.97,35.64,28.71,39.09,20.46,85.65,32.45,52.43,35.64,40.13,27.75,20.38,21.76,60.92,34.78,43.47,20.32,20.39,48.49,33.25,35.48,55.94,20.48,19.13,31.89,95.24,63.23,18.94,34.07,72.01,27.87
2025-07-31,32.29,29.55,36.41,29.32,39.32,37.01,39.73,33.15,33.02,36.61,30.46,33.1,30.42,35.33,30.17,35.63,35.09,31.59,33.89,29.98,34.04,36.42,36.18,30.32,34.8,32.6,35.28,64.81,32.09,36.37,31.91,34.11
2025-08-31,30.2,36.4,36.72,35.75,38.8,36.47,39.12,36.9,32.78,35.99,35.04,37.57,28.43,33.08,37.01,37.07,35.46,29.56,31.75,35.39,35.62,35.82,35.56,28.31,32.61,32.11,34.96,64.13,35.78,38.07,32.63,38.15
2025-09-30,27.09,35.04,35.02,35.59,36.99,32.86,37.33,35.52,30.97,35.87,34.95,33.56,25.46,29.73,34.35,33.26,35.72,26.52,28.52,34.64,36.21,35.65,33.89,25.35,29.31,30.59,35.32,61.42,32.21,36.63,34.64,36.13
2025-10-31,16.49,22.63,25.72,25.56,22.61,16.48,22.84,24.25,18.92,20.81,25.15,19.17,16.62,16.51,25.1,20.3,21.53,16.48,16.52,25.02,22.03,23.62,22.31,17.45,16.48,20.25,25.28,37.83,16.5,22.8,24.48,23.05
2025-11-30,15.95,20.27,22.22,22.35,23.11,15.96,23.35,18.04,19.3,21.25,22.91,21.73,15.97,15.98,21.97,20.75,20.57,15.94,15.99,21.85,20.32,20.93,21.0,15.97,15.95,19.98,21.76,38.86,15.97,21.21,21.22,18.64
2025-12-31,22.53,33.58,42.63,31.94,42.47,23.83,37.42,36.08,40.82,38.42,34.56,31.32,21.31,23.52,30.62,41.27,41.95,21.23,22.95,33.84,42.26,39.42,41.8,21.04,22.02,40.31,41.34,42.08,21.59,42.52,39.12,29.73
2026-01-31,16.5,30.32,42.9,31.41,42.94,31.01,40.54,39.37,41.31,41.48,31.08,16.5,16.51,31.65,31.12,39.94,40.96,16.5,22.41,31.16,39.37,40.42,41.58,16.52,30.98,40.2,41.81,54.59,30.39,42.84,35.36,31.16
2026-02-28,26.58,26.59,37.5,28.7,38.83,24.55,34.5,32.56,34.57,36.45,25.75,28.84,19.95,25.17,28.25,34.48,36.43,26.28,19.32,26.84,22.16,37.22,37.74,19.58,27.12,29.54,35.66,51.32,25.34,49.43,29.33,18.59
2026-03-31,16.53,18.43,29.15,16.47,40.28,17.05,46.97,25.23,26.88,35.71,19.9,16.52,16.55,16.53,16.5,33.67,28.32,16.54,16.57,18.25,30.5,45.93,32.26,16.56,16.51,27.61,27.67,76.34,16.55,34.48,22.75,16.52
2026-04-30,16.01,17.86,28.21,16.0,38.93,16.53,45.4,24.45,26.05,34.52,19.28,16.0,16.02,16.01,16.0,32.58,27.42,16.02,16.04,17.69,29.46,44.44,39.34,16.02,15.99,26.73,26.81,92.15,16.03,15.93,22.05,16.0
2026-05-31,61.94,67.7,52.58,97.72,59.29,94.3,97.35,97.61,97.02,97.95,50.09,26.71,24.15,54.32,54.58,62.58,97.72,43.52,96.85,96.68,30.4,96.71,50.89,31.9,96.62,70.22,98.15,95.47,73.96,16.59,74.82,57.01
2026-06-30,20.06,34.05,16.71,91.34,18.48,88.43,91.34,95.27,57.5,95.3,20.71,42.95,42.03,16.2,35.76,61.88,49.96,18.24,33.2,46.48,64.49,92.8,25.71,18.17,59.43,31.46,79.54,94.06,39.17,94.53,28.79,36.6
2026-07-31,32.95,33.69,25.28,42.26,31.29,52.94,42.73,54.97,37.07,48.85,29.06,20.03,23.9,21.09,30.66,43.63,23.9,19.22,27.38,35.42,16.51,75.65,27.04,20.0,40.14,31.66,60.1,54.66,39.94,36.1,29.38,31.67
