date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,5.63,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,6.06,5.43,6.06,6.06,5.26,6.06,6.06,6.06,6.06,6.06,6.06,6.06,3.81,4.76,6.06,6.06,6.06,6.06,6.06,6.06,6.06,5.08,5.86
2025-06-30,4.94,7.0,7.0,5.69,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,5.59,7.0,7.0,7.0,7.0,4.1,3.89,7.0,7.0,6.93,6.17,7.0,4.66,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2025-07-31,4.77,7.8,7.8,5.11,7.8,1.89,7.8,7.8,6.16,7.8,7.8,3.58,2.42,5.5,3.81,7.8,7.8,1.88,1.89,7.8,7.8,7.8,7.8,4.13,3.14,7.02,7.8,5.95,3.95,6.12,7.8,7.8
2025-08-31,5.51,5.92,7.26,5.39,7.8,4.36,7.8,5.76,7.32,7.8,6.78,5.44,4.7,5.49,5.21,7.58,6.68,3.62,4.57,6.04,7.03,7.64,7.42,4.88,5.11,5.95,6.35,5.72,5.29,5.4,6.58,5.66
2025-09-30,5.15,5.52,6.77,5.03,7.55,4.1,7.55,5.38,6.82,7.55,6.32,5.08,4.39,5.12,4.87,7.07,6.23,3.43,4.3,5.64,6.55,7.12,6.91,4.55,4.78,5.56,5.93,5.34,4.94,5.04,6.14,5.28
2025-10-31,4.02,4.24,4.34,3.65,4.79,4.18,4.97,4.1,5.6,4.96,4.12,4.23,3.41,4.28,3.59,5.09,4.45,4.52,4.88,4.15,4.66,4.24,4.59,3.44,4.34,6.55,4.99,6.55,5.07,3.94,4.56,3.81
2025-11-30,4.35,4.55,4.63,4.18,4.53,4.62,5.1,4.79,4.37,4.57,4.25,4.15,4.03,4.27,4.27,4.77,4.47,4.49,4.13,4.55,4.45,4.38,4.66,4.14,4.28,5.2,4.71,6.67,4.6,4.3,4.32,4.29
2025-12-31,4.31,4.49,4.59,4.13,4.49,4.53,5.05,4.72,4.34,4.53,4.21,4.11,4.01,4.22,4.21,4.75,4.43,4.4,4.12,4.5,4.44,4.35,4.6,4.11,4.23,5.12,4.63,6.52,4.58,4.26,4.28,4.26
2026-01-31,4.05,4.19,4.31,3.87,4.22,4.17,4.73,4.43,4.09,4.27,3.96,3.88,3.79,3.96,3.92,4.46,4.19,4.09,3.9,4.22,4.2,4.1,4.29,3.88,3.96,4.74,4.31,5.75,4.34,4.01,4.03,4.02
2026-02-28,3.37,3.48,3.57,3.2,3.5,3.41,3.93,3.68,3.4,3.55,3.32,3.24,3.18,3.31,3.22,3.7,3.52,3.35,3.27,3.5,3.52,3.45,3.54,3.24,3.3,3.89,3.57,3.38,3.64,3.34,3.35,3.37
2026-03-31,3.43,3.55,3.63,3.27,3.55,3.55,4.02,3.75,3.44,3.6,3.37,3.28,3.2,3.38,3.3,3.74,3.56,3.45,3.29,3.57,3.54,3.48,3.62,3.28,3.37,4.01,3.67,3.98,3.67,3.4,3.4,3.42
2026-04-30,1.43,1.39,1.55,1.39,1.47,1.39,1.39,1.39,1.39,1.39,1.39,1.49,1.5,1.46,1.51,1.38,1.38,1.54,1.38,1.39,1.5,1.38,1.51,1.48,1.39,1.39,1.39,1.56,1.38,1.48,1.39,1.38
2026-05-31,3.66,5.38,5.95,5.38,5.66,2.94,4.89,5.38,4.53,5.18,4.5,3.74,2.35,3.01,5.08,4.62,5.38,5.91,2.44,4.78,1.68,4.55,5.81,1.77,5.38,5.38,4.99,5.28,5.38,4.26,3.75,3.48
2026-06-30,4.34,7.0,1.51,7.0,1.63,6.23,6.53,7.0,6.89,7.0,5.42,1.59,2.74,3.59,5.84,6.92,7.0,1.52,6.99,6.8,1.54,7.0,4.15,1.55,7.0,7.0,6.65,6.9,7.0,5.01,6.82,6.39
2026-07-31,3.53,7.8,1.63,7.8,1.85,7.8,7.8,7.8,7.8,7.8,1.9,1.78,3.05,2.79,7.8,7.8,2.62,1.6,7.8,7.8,7.8,7.8,2.15,1.72,7.8,7.02,4.03,7.8,7.8,7.8,7.8,7.8
2026-08-31,5.35,6.32,1.64,7.8,2.66,7.8,7.8,7.8,7.8,7.8,5.3,1.78,5.28,5.28,7.36,7.76,5.68,1.58,6.91,7.8,6.29,7.8,4.91,1.73,7.8,6.03,5.8,7.8,6.78,7.76,6.43,7.58
2026-09-30,4.99,5.89,1.58,7.55,2.56,7.55,7.55,7.55,7.55,7.55,4.96,1.71,4.94,4.94,6.86,7.23,5.3,1.53,6.44,7.55,5.87,7.55,4.59,1.68,7.55,5.63,5.41,7.55,6.32,7.24,6.0,7.07
2026-10-31,4.09,4.45,1.63,5.12,3.82,5.2,4.95,7.1,4.97,4.94,3.95,1.96,3.86,3.32,4.8,4.6,5.05,1.6,4.23,4.96,3.55,6.11,3.31,2.03,7.8,4.58,6.38,7.31,4.26,4.67,3.87,4.07
2026-11-30,4.51,4.56,2.81,4.71,4.42,5.19,5.29,5.18,4.58,4.72,3.98,3.7,4.02,4.09,4.64,4.56,4.79,2.88,4.56,4.61,3.98,5.45,4.08,3.91,5.74,4.48,6.45,5.84,4.49,4.38,4.34,4.47
2026-12-31,4.45,4.5,2.79,4.67,4.32,5.14,5.22,5.16,4.54,4.69,3.95,3.68,3.97,4.02,4.62,4.52,4.7,2.9,4.52,4.6,3.94,5.41,4.05,3.85,5.67,4.41,6.31,5.85,4.45,4.34,4.31,4.43
2027-01-31,4.16,4.21,2.63,4.39,3.98,4.82,4.92,4.87,4.27,4.42,3.72,3.47,3.72,3.75,4.34,4.27,4.37,2.76,4.24,4.35,3.72,5.06,3.82,3.6,5.25,4.1,5.59,5.56,4.19,4.08,4.06,4.16
2027-02-28,3.45,3.49,2.21,3.64,3.25,4.0,4.09,4.05,3.56,3.7,3.11,2.91,3.11,3.08,3.59,3.6,3.57,2.34,3.52,3.65,3.12,4.17,3.19,3.0,4.31,3.4,3.41,4.67,3.49,3.4,3.41,3.45
2027-03-31,3.53,3.56,2.32,3.69,3.39,4.08,4.15,4.08,3.61,3.75,3.15,2.94,3.18,3.17,3.63,3.63,3.68,2.42,3.58,3.67,3.16,4.24,3.23,3.07,4.42,3.49,3.96,4.68,3.54,3.45,3.45,3.5
2027-04-30,1.84,1.84,1.84,1.94,1.84,1.84,1.84,1.84,1.84,1.84,1.58,1.83,1.95,2.01,1.84,1.84,2.04,1.84,1.84,1.6,1.84,1.99,1.58,1.84,1.84,1.84,2.04,1.84,1.96,1.84,1.84,1.64
2027-05-31,5.38,5.38,5.38,5.62,2.78,4.93,5.38,5.24,5.24,5.38,2.92,2.0,2.75,4.9,4.36,5.38,5.89,2.23,4.62,1.7,4.0,5.77,1.75,5.38,5.38,4.75,5.27,5.38,4.48,3.78,3.41,5.94
2027-06-30,7.0,7.0,7.0,1.91,6.23,6.57,7.0,6.99,7.0,6.37,1.59,2.33,3.27,5.63,6.81,7.0,1.52,6.92,6.73,1.92,7.0,5.2,1.53,7.0,7.0,6.62,6.89,7.0,5.3,6.83,6.35,1.51
