date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,93.07,132.07,133.93,228.48,224.56,189.91,101.63,103.39,143.94,118.2,89.87,172.93,149.69,87.04,110.17,130.21,151.91,165.74,200.07,116.58,128.81,63.57,78.66,123.45,147.17,136.53,136.35,168.77,126.42,179.98,83.97,96.95
2025-06-30,72.09,148.09,247.39,83.19,184.33,111.15,260.24,219.43,207.97,140.74,190.91,150.91,81.67,145.28,140.14,189.2,191.37,59.9,56.86,137.87,246.96,154.56,90.1,110.87,68.05,119.05,258.95,214.89,113.56,203.33,141.47,201.96
2025-07-31,61.58,101.58,128.22,65.96,127.24,24.6,266.07,113.92,79.57,268.75,134.06,46.3,31.32,71.08,49.2,172.54,166.84,24.6,24.6,132.84,217.66,233.4,245.37,53.33,40.59,90.64,160.89,76.84,51.04,79.07,145.74,112.51
2025-08-31,70.57,75.65,92.72,68.99,136.1,56.28,109.27,73.56,93.42,104.31,86.65,69.8,60.19,70.33,66.79,96.53,85.0,47.26,59.17,77.22,89.14,96.87,93.94,62.38,65.62,76.18,81.01,73.18,67.79,68.97,83.95,72.25
2025-09-30,68.65,73.56,90.08,67.11,115.35,54.85,106.01,71.53,90.75,101.22,84.21,67.95,58.61,68.44,65.02,93.74,82.58,46.12,57.64,75.08,86.56,94.05,91.21,60.72,63.91,74.07,78.73,71.17,65.99,67.1,81.58,70.26
2025-10-31,55.74,58.74,60.23,50.62,66.43,58.0,68.93,56.81,77.69,68.75,57.17,58.68,47.28,59.31,49.84,70.62,61.77,62.65,67.63,57.6,64.64,58.81,63.69,47.68,60.13,116.38,69.21,93.96,70.26,54.65,63.27,52.85
2025-11-30,62.05,64.83,65.93,59.77,64.57,66.16,72.86,68.52,62.23,65.13,60.62,59.05,57.23,60.98,61.13,67.68,63.68,64.25,58.59,64.83,63.24,62.29,66.42,59.03,61.1,74.11,67.21,94.71,65.54,61.36,61.55,61.16
2025-12-31,64.12,66.99,68.13,61.76,66.72,68.36,75.29,70.8,64.31,67.3,62.64,61.02,59.14,63.02,63.17,69.94,65.8,66.4,60.54,66.99,65.35,64.37,68.63,60.99,63.14,76.58,69.45,97.86,67.72,63.4,63.6,63.2
2026-01-31,64.12,66.99,68.13,61.76,66.72,68.36,75.29,70.8,64.31,67.3,62.64,61.02,59.14,63.02,63.17,69.94,65.8,66.4,60.54,66.99,65.35,64.37,68.63,60.99,63.14,76.58,69.45,97.86,67.72,63.4,63.6,63.2
2026-02-28,57.92,60.51,61.54,55.79,60.26,61.75,68.0,63.95,58.08,60.79,56.57,55.11,53.41,56.92,57.05,63.17,59.43,59.97,54.69,60.51,59.03,58.14,61.99,55.09,57.03,69.16,62.73,65.54,61.17,57.27,57.44,57.08
2026-03-31,64.12,66.99,68.13,61.76,66.72,68.36,75.29,70.8,64.31,67.3,62.64,61.02,59.14,63.02,63.17,69.94,65.8,66.4,60.54,66.99,65.35,64.37,68.63,60.99,63.14,76.58,69.45,72.56,67.72,63.4,63.6,63.2
2026-04-30,63.02,84.77,29.75,75.57,73.05,70.12,117.4,91.08,80.24,68.03,78.57,29.75,40.24,53.92,86.56,81.41,103.44,31.93,42.57,85.69,29.75,67.58,88.9,29.75,80.85,82.04,91.53,308.26,75.82,75.64,67.06,66.47
2026-05-31,65.12,100.04,126.66,134.71,127.89,59.54,121.31,253.09,82.91,93.33,81.19,64.37,41.58,55.71,89.44,84.12,160.6,133.44,43.99,88.54,30.74,81.96,120.63,30.74,114.83,99.33,94.58,318.53,166.0,78.16,69.29,68.69
2026-06-30,63.72,169.09,23.8,232.87,23.8,209.19,386.94,559.22,143.78,397.53,79.28,23.8,41.01,54.85,87.31,228.74,143.55,23.8,147.17,295.29,23.8,262.66,60.68,23.8,323.65,152.96,116.91,573.53,291.75,76.55,185.18,145.16
2026-07-31,45.58,101.58,24.6,187.2,24.6,382.15,250.9,265.96,300.64,288.72,24.6,24.6,39.4,36.05,131.91,215.46,33.81,24.6,165.13,302.52,124.74,585.3,27.73,24.6,247.84,90.67,52.05,315.98,144.66,169.9,129.86,118.18
2026-08-31,68.54,80.73,24.6,174.89,35.56,146.09,106.27,155.45,117.86,129.96,68.39,24.6,67.93,67.89,94.22,98.61,72.82,24.6,88.31,113.02,80.42,179.72,62.99,24.6,115.94,77.2,74.38,131.62,86.48,99.02,82.16,97.07
2026-09-30,66.7,78.48,23.8,137.72,34.77,131.75,103.17,150.73,114.34,126.09,66.6,23.8,66.15,66.1,91.54,95.76,70.86,23.8,85.81,109.66,78.17,148.3,61.34,23.8,112.53,75.07,72.38,127.7,84.03,96.16,79.85,94.3
2026-10-31,56.73,61.74,24.6,70.95,52.98,72.14,68.66,98.54,68.98,68.51,54.75,27.34,53.55,46.07,66.54,63.83,70.07,24.6,58.71,68.76,49.19,84.68,45.86,28.5,134.34,63.52,88.5,101.43,59.11,64.73,53.66,56.46
2026-11-30,64.44,65.03,43.19,67.03,63.29,74.04,75.54,73.49,65.28,67.25,56.68,52.6,57.44,58.57,65.79,64.93,68.49,43.86,65.01,65.47,56.71,77.61,58.15,55.82,81.66,64.02,91.47,82.86,63.97,62.37,61.76,63.81
2026-12-31,66.58,67.2,44.63,69.26,65.4,76.51,78.06,75.94,67.46,69.49,58.57,54.36,59.36,60.52,67.98,67.09,70.78,45.32,67.18,67.65,58.6,80.2,60.09,57.68,84.38,66.16,94.52,85.62,66.1,64.45,63.82,65.94
2027-01-31,66.58,67.2,44.63,69.26,65.4,76.51,78.06,75.94,67.46,69.49,58.57,54.36,59.36,60.52,67.98,67.09,70.78,45.32,67.18,67.65,58.6,80.2,60.09,57.68,84.38,66.16,94.52,85.62,66.1,64.45,63.82,65.94
2027-02-28,60.14,60.7,40.31,62.56,59.07,69.1,70.5,68.59,60.93,62.77,52.9,49.1,53.61,54.66,61.4,60.6,63.93,40.93,60.68,61.1,52.93,72.44,54.27,52.1,76.22,59.75,65.89,77.34,59.71,58.21,57.65,59.56
