date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6478.6,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0,6480.0
2025-06-30,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0,6500.0
2025-07-31,6505.5,6505.5,6505.5,6505.5,6505.5,6504.4,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6502.76,6503.96,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5,6505.5
2025-08-31,6502.01,6502.26,6502.57,6502.02,6506.0,6501.2,6505.3,6502.63,6502.64,6505.01,6502.39,6501.47,6501.84,6501.76,6501.63,6503.12,6503.44,6500.24,6501.19,6502.33,6503.98,6504.11,6504.24,6502.09,6501.43,6502.11,6502.83,6502.01,6501.62,6502.4,6502.75,6502.6
2025-09-30,6496.78,6496.78,6496.78,6496.78,6496.79,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78,6496.78
2025-10-31,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24,6494.24
2025-11-30,6490.75,6490.63,6490.79,6490.28,6490.82,6489.9,6490.35,6490.04,6491.15,6490.78,6490.64,6490.92,6491.43,6490.52,6490.07,6491.82,6490.76,6489.85,6491.76,6490.83,6491.51,6490.99,6490.63,6490.92,6490.53,6490.76,6490.34,6491.7,6491.05,6490.77,6490.82,6490.96
2025-12-31,6485.62,6485.01,6485.88,6485.03,6485.85,6483.66,6485.66,6484.7,6486.26,6485.99,6485.73,6486.11,6486.85,6485.29,6484.52,6486.76,6485.94,6484.03,6487.21,6485.53,6486.97,6486.26,6485.15,6486.16,6485.17,6484.67,6484.69,6483.12,6486.66,6485.75,6485.89,6486.19
2026-01-31,6479.29,6478.41,6479.41,6478.49,6479.44,6475.48,6478.57,6478.71,6479.94,6479.61,6479.52,6480.03,6480.92,6478.64,6477.52,6480.06,6480.47,6476.8,6481.3,6478.98,6481.06,6480.37,6478.26,6479.99,6478.41,6476.95,6477.42,6470.16,6480.78,6479.35,6479.56,6480.02
2026-02-28,6472.62,6471.41,6472.05,6471.34,6472.06,6468.69,6472.27,6471.41,6472.74,6472.72,6473.45,6473.29,6474.36,6473.08,6469.81,6472.52,6474.17,6468.95,6474.68,6472.03,6474.36,6474.19,6470.82,6473.18,6472.38,6469.88,6471.12,6465.0,6474.54,6472.83,6472.59,6474.03
