date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
2025-06-30,46.0,46.0,47.0,45.0,48.0,55.0,47.0,47.0,48.0,46.0,46.0,46.0,47.0,46.0,47.0,48.0,46.0,47.0,48.0,47.0,46.0,47.0,47.0,47.0,47.0,48.0,45.0,45.0,47.0,47.0,47.0,47.0
2025-07-31,46.0,46.0,46.0,45.0,47.0,56.0,47.0,46.0,47.0,45.0,44.0,47.0,47.0,45.0,46.0,45.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,45.0,45.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0
2025-08-31,39.0,39.0,39.0,37.0,40.0,40.0,39.0,39.0,43.0,40.0,39.0,39.0,38.0,39.0,39.0,41.0,38.0,40.0,40.0,40.0,41.0,41.0,40.0,39.0,38.0,37.0,40.0,40.0,39.0,40.0,39.0,42.0
2025-09-30,35.0,35.0,35.0,35.0,37.0,35.0,36.0,35.0,34.0,39.0,39.0,36.0,35.0,36.0,37.0,35.0,35.0,36.0,37.0,36.0,37.0,36.0,35.0,37.0,37.0,35.0,35.0,36.0,35.0,35.0,35.0,37.0
2025-10-31,32.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,33.0,31.0,32.0,33.0,32.0,32.0,32.0,32.0,32.0,33.0,33.0,33.0,32.0,32.0,32.0,32.0,33.0,33.0,32.0,32.0,33.0
2025-11-30,25.0,25.0,25.0,26.0,27.0,25.0,25.0,25.0,25.0,28.0,25.0,26.0,25.0,25.0,26.0,26.0,26.0,26.0,25.0,27.0,27.0,27.0,26.0,26.0,25.0,26.0,25.0,26.0,25.0,25.0,25.0,27.0
2025-12-31,19.0,19.0,18.0,18.0,19.0,18.0,14.0,20.0,20.0,23.0,17.0,21.0,19.0,19.0,20.0,18.0,19.0,19.0,20.0,18.0,20.0,18.0,19.0,20.0,19.0,18.0,19.0,19.0,20.0,19.0,18.0,19.0
2026-01-31,19.0,19.0,19.0,18.0,21.0,18.0,19.0,23.0,26.0,15.0,19.0,19.0,19.0,19.0,19.0,19.0,20.0,19.0,19.0,21.0,16.0,21.0,21.0,19.0,19.0,18.0,19.0,19.0,20.0,18.0,20.0,18.0
2026-02-28,26.0,26.0,24.0,28.0,27.0,27.0,26.0,27.0,28.0,24.0,25.0,24.0,26.0,25.0,25.0,25.0,25.0,27.0,27.0,25.0,27.0,26.0,27.0,26.0,25.0,24.0,27.0,25.0,25.0,26.0,26.0,24.0
2026-03-31,38.0,38.0,34.0,44.0,39.0,37.0,39.0,37.0,35.0,34.0,36.0,37.0,38.0,40.0,40.0,38.0,37.0,37.0,37.0,39.0,38.0,38.0,38.0,39.0,42.0,38.0,36.0,38.0,38.0,38.0,37.0,37.0
2026-04-30,44.0,44.0,42.0,48.0,45.0,43.0,45.0,43.0,40.0,41.0,45.0,43.0,44.0,44.0,43.0,42.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,44.0,41.0,40.0,43.0,44.0,45.0,45.0,43.0,45.0
2026-05-31,49.0,49.0,43.0,51.0,55.0,48.0,47.0,47.0,46.0,44.0,47.0,47.0,46.0,47.0,48.0,48.0,49.0,47.0,46.0,46.0,48.0,47.0,46.0,46.0,46.0,43.0,46.0,46.0,46.0,46.0,48.0,45.0
2026-06-30,46.0,46.0,43.0,48.0,56.0,47.0,46.0,48.0,46.0,44.0,45.0,47.0,46.0,47.0,48.0,45.0,46.0,47.0,47.0,46.0,46.0,47.0,47.0,47.0,47.0,43.0,45.0,46.0,47.0,47.0,47.0,46.0
2026-07-31,46.0,46.0,42.0,47.0,56.0,47.0,46.0,47.0,46.0,41.0,46.0,47.0,45.0,46.0,45.0,47.0,46.0,47.0,46.0,46.0,47.0,47.0,45.0,45.0,44.0,42.0,45.0,45.0,46.0,46.0,46.0,46.0
2026-08-31,41.0,41.0,37.0,42.0,42.0,41.0,40.0,44.0,42.0,38.0,40.0,40.0,40.0,41.0,42.0,40.0,42.0,42.0,42.0,42.0,42.0,42.0,40.0,40.0,39.0,39.0,41.0,41.0,41.0,41.0,44.0,40.0
