date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44,647.44
2025-06-30,666.68,666.68,678.39,660.97,703.26,812.11,684.62,680.26,703.89,663.96,675.46,663.46,683.62,671.48,689.17,702.03,665.56,676.77,692.29,691.61,667.49,677.86,684.77,687.89,686.9,694.47,660.55,658.65,679.62,688.44,683.28,682.44
2025-07-31,660.66,660.66,668.65,644.61,681.38,812.84,679.38,671.64,685.26,654.25,629.92,674.03,675.88,656.13,666.33,657.92,686.86,674.03,678.92,671.07,670.92,685.7,676.49,656.13,653.15,641.61,640.61,651.23,654.68,659.62,663.86,664.13
2025-08-31,572.0,572.0,565.56,536.26,586.96,586.21,571.51,564.27,621.94,580.65,561.46,561.87,552.58,559.34,567.45,591.3,552.46,584.97,585.59,588.27,594.59,593.97,582.37,563.42,557.0,540.63,573.46,577.76,568.05,577.99,568.52,612.44
2025-09-30,520.83,520.83,518.28,512.74,549.48,516.52,530.79,523.58,502.24,574.1,572.26,540.07,525.55,529.6,544.38,516.45,519.91,537.48,542.38,527.58,547.27,540.22,525.03,554.06,544.54,518.54,515.22,528.22,518.1,521.91,519.49,544.83
2025-10-31,474.27,474.27,456.3,463.04,472.4,473.37,463.9,461.26,460.72,466.26,454.34,475.3,449.38,469.95,483.1,460.11,467.48,464.19,472.66,467.34,479.09,485.22,485.3,472.38,462.94,463.46,468.29,481.92,482.79,466.35,459.94,487.83
2025-11-30,379.52,379.52,372.54,383.33,400.01,374.24,375.99,371.29,374.52,424.78,367.06,381.14,376.95,374.67,380.87,381.67,388.09,382.09,378.33,397.48,399.76,407.15,385.07,386.66,376.35,380.32,374.94,383.48,371.39,377.62,372.37,397.79
2025-12-31,290.64,290.64,278.85,274.66,284.44,270.83,204.14,308.92,305.07,359.4,251.69,314.29,290.65,293.53,306.85,270.15,286.86,289.93,299.69,277.5,303.32,263.8,290.88,298.58,290.54,273.83,285.11,281.01,297.0,282.1,278.58,288.11
2026-01-31,284.79,284.79,284.53,279.54,312.89,276.12,291.57,347.03,404.95,221.68,291.12,284.93,290.75,292.5,287.55,287.76,311.62,296.82,282.72,314.18,242.61,323.58,315.76,295.95,292.62,277.77,297.18,294.96,297.47,270.15,305.43,275.9
2026-02-28,382.43,382.43,356.51,416.4,401.65,400.05,380.68,393.38,413.58,357.99,373.86,359.43,385.91,363.6,361.62,363.75,372.5,394.34,395.49,370.83,402.65,379.02,396.68,385.88,373.92,358.73,396.1,369.11,373.33,378.07,379.91,355.35
