date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,611.22,651.26,646.88,688.74,751.67,648.2,746.94,628.15,649.06,747.49,627.9,641.94,634.6,616.15,627.07,643.77,806.88,630.23,615.03,649.46,663.85,686.77,703.37,615.53,628.22,612.94,625.14,649.47,639.29,621.3,707.43,633.13
2025-06-30,612.96,646.21,729.57,638.22,656.84,626.06,715.46,638.98,642.53,679.6,674.52,679.09,642.22,624.17,620.11,623.67,684.87,651.19,640.48,675.28,641.42,656.38,701.51,637.88,632.04,640.7,646.74,644.77,647.14,656.96,699.09,649.92
2025-07-31,747.22,765.85,710.17,771.11,701.36,732.12,795.49,779.71,771.14,809.51,832.94,705.29,703.26,734.07,736.32,734.1,776.99,753.04,764.88,761.16,736.56,726.8,770.53,766.96,811.65,753.25,780.06,770.19,788.5,806.34,719.54,734.93
2025-08-31,889.48,901.87,890.9,924.71,878.18,837.63,883.42,848.23,933.46,884.73,912.65,858.22,882.02,829.27,904.45,866.93,896.43,909.02,923.77,880.89,846.11,913.82,881.0,953.99,918.26,900.03,901.9,894.49,881.95,861.37,851.15,856.18
2025-09-30,638.78,651.05,672.96,697.28,643.94,639.96,639.52,618.47,658.96,726.3,693.96,621.36,651.55,735.84,646.36,660.03,653.67,637.95,628.65,642.37,621.09,646.93,661.87,663.11,721.55,705.97,638.83,654.11,636.59,650.63,624.26,622.73
2025-10-31,538.06,541.79,539.49,586.32,557.03,554.49,721.24,530.01,528.17,581.49,546.16,572.21,514.98,545.51,519.85,604.65,549.23,609.27,523.89,537.83,513.95,569.67,560.5,545.98,529.43,558.59,608.27,568.87,535.11,590.88,524.73,525.91
2025-11-30,550.98,541.58,551.25,561.22,567.59,524.79,727.95,579.65,574.88,590.68,551.85,540.39,539.8,538.3,548.59,641.52,544.98,552.62,571.32,578.36,544.06,516.5,539.23,565.21,605.24,548.47,545.31,581.45,543.82,571.52,619.79,560.18
2025-12-31,679.46,665.46,685.37,720.62,662.39,696.07,799.13,633.95,619.24,631.48,648.98,660.44,650.1,651.75,647.15,691.37,641.43,641.96,696.47,663.66,653.75,852.81,683.85,652.27,644.35,657.48,644.36,665.74,644.71,653.49,719.4,660.48
2026-01-31,807.85,796.93,808.16,1222.5,786.53,894.12,906.85,780.45,775.73,798.08,782.84,793.53,750.98,784.54,760.66,1137.29,782.53,758.92,806.7,781.31,841.9,798.66,772.59,774.07,763.33,791.54,808.18,846.72,796.65,824.86,793.68,797.62
2026-02-28,703.9,700.34,771.38,1012.33,707.05,801.1,805.92,655.26,719.4,697.94,712.82,716.15,671.65,711.45,710.23,968.25,691.74,701.35,782.0,717.46,745.28,721.06,679.31,703.32,711.38,725.53,716.43,785.45,695.9,761.72,703.42,730.96
2026-03-31,727.17,776.5,868.0,999.91,756.25,981.36,741.49,770.53,792.33,721.53,729.23,767.53,675.75,734.15,707.79,866.15,754.76,715.87,786.62,732.74,758.36,747.8,713.34,738.76,699.55,727.79,701.68,767.55,740.65,870.83,826.89,800.96
2026-04-30,643.41,694.32,745.86,803.1,635.75,670.57,826.97,675.53,757.18,588.65,604.1,642.31,587.65,629.9,647.95,790.71,654.89,624.8,637.83,636.36,737.1,738.47,644.06,635.58,615.45,624.59,666.14,690.05,641.4,716.24,681.53,689.05
2026-05-31,612.19,651.26,688.74,751.67,648.2,746.94,739.15,649.06,747.49,627.9,641.94,634.6,616.15,627.07,643.77,806.88,630.23,615.03,649.46,663.85,686.77,703.37,615.53,628.22,612.94,625.14,649.47,639.29,621.3,707.43,633.13,646.92
2026-06-30,648.64,646.21,638.22,656.84,626.06,715.46,755.98,642.53,679.6,674.52,679.09,642.22,624.17,620.11,623.67,684.87,651.19,640.48,675.28,641.42,656.38,701.51,637.88,632.04,640.7,646.74,644.77,647.14,656.96,699.09,649.92,729.63
2026-07-31,744.54,761.77,767.03,697.28,728.04,791.41,908.63,767.06,805.43,828.86,701.21,699.18,729.99,732.24,730.02,772.92,748.96,760.8,757.08,732.48,722.73,766.45,762.88,807.57,749.17,775.98,766.11,784.42,802.26,715.46,730.85,705.71
2026-08-31,855.08,859.87,882.71,836.18,795.63,841.42,948.23,891.46,842.73,870.65,816.22,840.02,430.23,862.45,824.93,854.43,867.02,881.77,838.89,804.11,871.82,839.0,911.99,876.26,858.03,859.9,852.49,839.95,819.37,809.15,814.18,847.3
2026-09-30,636.74,651.05,697.28,643.94,639.96,639.52,724.47,658.96,726.3,693.96,621.36,651.55,555.87,646.36,660.03,653.67,637.95,628.65,642.37,621.09,646.93,661.87,663.11,721.55,705.97,638.83,654.11,636.59,650.63,624.26,622.73,673.21
2026-10-31,541.79,541.79,586.32,720.03,554.49,721.24,693.01,691.17,744.49,709.16,572.21,514.98,466.47,519.85,604.65,712.23,609.27,523.89,700.83,513.95,569.67,723.5,545.98,529.43,558.59,608.27,731.87,698.11,753.88,687.73,525.91,540.92
2026-11-30,541.58,541.58,561.22,709.59,524.79,727.95,721.65,716.88,732.68,693.85,540.39,539.8,426.32,548.59,641.52,686.98,552.62,571.32,720.36,544.06,516.5,681.23,565.21,605.24,548.47,545.31,723.45,685.82,713.52,761.79,560.18,552.52
2026-12-31,665.46,665.46,720.62,777.39,696.07,799.13,748.95,734.24,746.48,763.98,660.44,650.1,452.71,647.15,691.37,756.43,641.96,696.47,778.66,653.75,852.81,798.85,652.27,644.35,657.48,644.36,780.74,759.71,529.54,834.4,660.48,683.26
2027-01-31,858.17,796.93,1222.5,920.53,894.12,906.85,914.45,909.73,932.08,916.84,793.53,750.98,462.5,760.66,1137.29,916.53,758.92,806.7,915.31,841.9,798.66,906.59,715.07,593.11,791.54,808.18,980.72,930.65,502.83,927.68,797.62,807.84
2027-02-28,754.99,700.34,1012.33,826.05,801.1,805.92,774.26,838.4,816.94,831.82,716.15,671.65,434.61,710.23,968.25,810.74,701.35,782.0,836.46,745.28,721.06,798.31,651.32,434.54,725.53,716.43,904.45,814.9,484.88,822.42,730.96,771.5
2027-03-31,834.5,776.5,999.91,882.25,981.36,741.49,896.53,918.33,847.53,855.23,767.53,675.75,460.12,707.79,866.15,880.76,715.87,786.62,858.74,758.36,747.8,839.34,588.84,425.51,727.79,701.68,893.55,866.65,714.98,952.89,800.96,867.04
2027-04-30,745.78,694.32,803.1,747.75,670.57,826.97,787.53,869.18,700.65,716.1,642.31,587.65,416.92,647.95,790.71,766.89,624.8,637.83,748.36,737.1,738.47,756.06,422.61,478.63,624.59,666.14,802.05,753.4,815.04,793.53,689.05,744.41
2027-05-31,701.98,651.26,751.67,759.2,746.94,739.15,760.06,858.49,738.9,752.94,634.6,616.15,818.7,643.77,806.88,741.23,615.03,649.46,774.85,686.77,703.37,726.53,435.6,1340.81,625.14,649.47,750.29,732.3,1877.41,744.13,646.92,689.11
