date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,516.81,516.67,524.29,512.48,490.32,440.15,507.05,504.61,513.35,511.05,513.24,502.23,513.57,515.63,512.95,528.88,520.72,514.46,519.61,523.81,507.88,514.51,512.87,510.22,514.84,527.36,511.3,513.44,512.15,518.51,518.57,524.41
2025-06-30,244.08,243.89,247.67,244.31,242.13,242.32,243.16,243.0,246.26,238.92,244.93,234.59,243.43,243.84,241.21,251.89,243.49,243.67,249.01,250.54,239.81,244.28,244.44,251.32,248.13,253.77,243.6,242.18,247.28,253.76,246.62,251.73
2025-07-31,194.99,194.77,199.26,186.48,196.63,197.69,193.34,194.36,199.81,193.15,175.13,197.78,199.31,194.01,197.41,195.21,204.05,196.35,198.08,197.04,194.15,205.74,195.41,184.55,194.69,189.12,190.3,196.65,192.11,193.28,197.74,200.4
2025-08-31,174.88,174.64,171.06,161.23,166.08,177.09,178.99,169.22,184.53,173.85,170.72,166.93,163.3,171.44,169.32,182.28,162.36,178.99,180.18,176.45,180.32,182.71,175.18,170.31,166.26,161.12,179.01,176.56,175.71,177.51,175.53,195.28
2025-09-30,204.81,204.5,201.76,193.64,202.54,192.94,197.03,201.65,176.76,222.94,218.2,209.04,201.76,204.87,209.23,194.31,206.27,209.59,210.59,203.87,210.47,210.98,199.3,211.96,210.36,204.59,204.95,210.69,205.26,210.37,204.46,214.91
2025-10-31,146.29,146.06,142.32,130.39,144.92,137.74,140.26,130.84,137.99,134.07,143.64,141.56,125.4,130.45,149.63,111.18,126.72,128.05,140.54,140.07,151.24,142.83,138.35,135.03,143.87,133.17,135.23,141.79,154.79,143.01,149.44,157.02
2025-11-30,246.0,245.61,229.44,236.44,250.34,244.35,222.61,219.4,224.76,273.02,222.37,236.54,236.3,230.87,231.94,222.03,246.16,229.2,234.86,243.3,245.09,254.61,228.31,236.5,221.16,240.28,240.57,250.03,240.89,248.86,225.87,264.16
2025-12-31,252.39,252.03,241.71,233.43,246.81,231.38,187.0,264.89,279.83,299.53,220.97,268.16,257.45,260.79,263.56,230.71,239.21,257.04,261.73,241.13,266.45,225.28,258.24,253.23,260.02,233.71,247.66,244.92,262.45,243.17,234.43,255.53
2026-01-31,205.0,204.75,208.85,144.96,213.82,186.49,202.39,245.55,273.7,155.27,195.81,182.52,212.57,209.19,198.22,124.35,224.09,211.89,212.53,220.58,153.49,219.93,219.12,206.87,212.69,214.95,204.62,205.04,199.0,202.25,215.33,196.06
2026-02-28,177.29,177.1,168.19,76.26,178.4,144.03,171.2,177.15,158.42,180.1,164.09,160.15,175.07,157.51,158.34,81.3,163.13,181.88,178.77,160.79,172.64,166.1,175.48,175.35,169.38,181.38,177.0,162.9,161.2,164.78,171.2,154.47
2026-03-31,294.43,294.02,278.91,179.73,296.94,247.81,301.96,284.66,276.65,278.49,283.02,293.43,293.54,318.12,312.31,213.75,280.82,287.97,293.93,302.87,278.18,299.21,302.21,301.8,333.93,350.98,278.55,306.75,291.92,293.39,280.17,283.95
2026-04-30,322.6,321.92,310.38,318.76,330.52,309.98,320.94,315.68,285.61,312.72,317.73,318.26,319.3,314.87,301.23,302.68,318.79,318.83,317.32,322.62,306.66,318.86,316.55,322.7,301.3,309.58,303.2,318.04,317.95,321.21,299.88,314.04
2026-05-31,261.0,260.27,242.74,252.82,259.43,253.38,248.11,257.33,246.77,248.48,248.04,254.49,251.78,256.5,260.0,258.2,261.6,257.84,258.34,246.15,255.62,253.94,241.09,250.98,262.56,240.06,245.75,248.64,247.96,253.6,260.76,256.08
