date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,8201.77,8239.32,8224.84,8280.01,8369.0,8350.38,8341.72,8234.22,8241.8,8336.77,8222.21,8250.34,8228.0,8207.98,8221.83,8215.67,8378.96,8222.72,8201.51,8227.89,8263.07,8275.4,8293.12,8214.78,8220.33,8182.31,8222.28,8242.05,8234.33,8208.86,8289.13,8211.85
2025-06-30,7904.51,7973.13,8012.24,8004.79,8101.08,8053.39,8126.2,7948.96,7951.4,8113.51,7979.96,8038.86,7959.42,7921.74,7923.69,7893.54,8148.3,7947.27,7902.64,7957.22,8002.72,8002.57,8061.79,7907.4,7915.58,7871.67,7957.56,7978.92,7945.69,7913.09,8050.0,7914.68
2025-07-31,7819.7,7905.58,7879.83,7964.75,7966.75,7945.37,8088.65,7895.72,7875.07,8089.69,8029.34,7905.69,7821.02,7827.17,7821.8,7795.98,8063.54,7863.67,7825.81,7879.16,7909.21,7867.9,7995.87,7869.84,7891.65,7809.06,7915.8,7910.15,7906.93,7888.11,7930.14,7803.33
2025-08-31,7924.24,8021.46,7995.65,8138.54,8083.61,7994.05,8173.38,7976.62,7993.44,8189.9,8164.91,8002.14,7950.59,7884.91,7955.68,7859.27,8206.83,7974.65,7947.67,7970.72,7957.27,7973.04,8089.85,8046.78,8046.2,7961.62,8019.52,8013.78,8001.23,7958.4,7995.94,7820.6
2025-09-30,7890.55,7998.97,7999.38,8180.13,8057.85,7984.73,8153.81,7929.83,8034.52,8191.24,8145.77,7942.93,7934.73,7942.17,7911.98,7867.17,8181.51,7922.19,7892.65,7941.83,7895.33,7934.08,8087.33,8020.27,8069.68,7990.82,7984.71,7973.86,7963.86,7924.27,7948.7,7744.77
2025-10-31,7950.86,8062.46,8066.9,8310.15,8137.12,8073.96,8393.9,8007.89,8098.39,8310.56,8216.42,8042.68,8007.69,8035.31,7949.59,8047.98,8282.88,8079.1,7949.19,8011.88,7924.87,8029.42,8180.53,8105.8,8124.77,8091.4,8128.42,8069.91,8006.88,8039.22,7990.96,7776.99
2025-11-30,7907.2,8009.68,8046.55,8287.18,8101.24,8007.22,8557.98,8029.08,8106.71,8262.0,8205.81,8002.07,7967.16,8001.01,7924.02,8134.51,8230.8,8060.29,7940.67,7997.25,7876.24,7940.42,8149.74,8087.99,8166.52,8052.58,8085.93,8047.97,7963.48,8009.94,8040.46,7717.15
2025-12-31,8039.07,8128.2,8196.66,8479.34,8222.95,8180.81,8881.88,8090.44,8134.99,8275.82,8347.41,8095.33,8064.68,8095.57,8011.28,8303.74,8341.77,8150.07,8076.29,8128.1,7966.33,8268.94,8276.58,8192.09,8253.98,8186.77,8189.77,8175.59,8049.59,8128.57,8231.77,7828.59
2026-01-31,8298.79,8377.55,8449.64,9215.1,8447.72,8544.81,9228.82,8244.22,8240.49,8598.58,8591.6,8376.63,8259.11,8321.79,8232.86,8993.04,8529.07,8352.48,8322.88,8325.79,8334.46,8478.25,8474.86,8416.32,8458.61,8414.67,8444.73,8466.05,8303.41,8403.24,8460.79,8094.01
2026-02-28,8446.72,8522.05,8677.14,9850.21,8595.61,8853.21,9474.06,8342.57,8434.39,8729.18,8766.63,8579.98,8381.29,8521.46,8430.28,9577.7,8686.52,8488.99,8540.98,8517.55,8525.11,8657.79,8597.51,8566.68,8627.61,8574.4,8599.43,8712.04,8469.69,8623.8,8618.87,8323.67
2026-03-31,8385.32,8506.83,8773.65,10247.91,8555.52,9105.32,9397.72,8334.49,8460.42,8683.21,8719.3,8556.94,8274.03,8417.07,8312.66,9788.08,8667.73,8428.39,8535.22,8445.39,8515.84,8599.26,8501.86,8501.66,8466.99,8409.73,8535.87,8657.77,8419.4,8691.16,8675.13,8351.34
2026-04-30,8054.05,8223.07,8560.02,10035.64,8185.83,8812.46,9211.44,8042.62,8321.93,8312.56,8339.37,8231.99,7899.2,8083.37,8026.57,9616.59,8345.92,8087.39,8195.95,8106.76,8298.87,8356.11,8176.74,8161.44,8154.8,8088.8,8259.93,8358.12,8077.33,8421.07,8425.39,8081.61
2026-05-31,7644.74,7849.98,8280.82,9746.39,7827.57,8545.81,8947.52,7683.31,8079.79,7954.25,7995.04,7873.96,7535.6,7705.26,7655.25,9383.4,7938.55,7703.83,7841.71,7800.39,7976.1,8052.74,7828.77,7807.95,7755.49,7763.15,7929.89,8009.45,7717.22,8121.6,8031.47,7732.64
2026-06-30,7400.17,7602.5,8039.9,9482.22,7541.98,8339.63,8779.77,7404.56,7864.99,7737.11,7794.29,7628.19,7273.14,7418.65,7362.11,9159.76,7673.93,7428.21,7584.32,7563.19,7731.48,7832.09,7549.86,7526.19,7458.26,7534.14,7695.0,7731.45,7450.24,7892.93,7756.58,7534.52
2026-07-31,7307.05,7524.96,8005.99,9320.32,7416.07,8280.3,8827.68,7308.67,7818.21,7781.01,7640.7,7483.88,7173.57,7297.07,7262.8,9050.96,7569.99,7345.87,7490.55,7464.07,7594.32,7745.7,7510.05,7496.51,7380.04,7499.87,7623.78,7672.18,7423.31,7752.38,7638.82,7387.12
2026-08-31,7351.07,7572.81,8123.52,9352.71,7389.08,8286.56,8960.94,7350.96,7838.96,7850.22,7660.14,7549.46,6833.58,7354.74,7267.52,9113.35,7604.04,7404.19,7508.49,7448.49,7640.1,7762.63,7627.9,7587.26,7459.11,7548.78,7668.1,7689.38,7434.83,7740.9,7591.56,7429.15
2026-09-30,7257.98,7492.46,8118.26,9257.85,7317.34,8201.77,8945.67,7329.16,7776.06,7777.19,7537.13,7479.8,6670.28,7248.02,7230.23,9020.44,7487.87,7295.79,7418.54,7333.07,7555.17,7696.27,7555.69,7557.13,7427.37,7468.54,7582.25,7588.13,7355.31,7629.6,7461.39,7372.49
2026-10-31,7277.39,7511.2,8199.67,9437.01,7360.97,8391.42,9123.35,7497.62,7999.87,7951.16,7587.78,7512.12,6651.02,7237.26,7373.99,9221.97,7595.76,7312.09,7594.65,7322.27,7612.72,7893.16,7603.69,7571.76,7481.29,7564.98,7793.39,7734.79,7585.85,7775.33,7452.45,7395.25
2026-11-30,7225.53,7458.75,8166.54,9530.06,7295.33,8552.42,9271.85,7637.57,8084.18,8063.87,7545.27,7476.03,6518.4,7210.43,7469.82,9297.65,7575.11,7308.36,7711.5,7278.34,7532.38,7993.19,7594.76,7618.1,7441.28,7513.5,7912.9,7822.16,7698.48,7955.47,7396.59,7375.32
2026-12-31,7335.35,7568.1,8336.68,9747.55,7460.61,8864.71,9426.96,7763.08,8196.95,8292.12,7627.86,7568.51,6423.27,7287.55,7639.78,9502.76,7654.29,7439.24,7938.67,7363.6,7861.09,8216.59,7699.23,7700.65,7564.6,7596.27,8148.0,8004.82,7700.85,8243.19,7502.62,7514.61
2027-01-31,7615.41,7790.36,9059.99,10042.58,7817.51,9169.14,9662.12,7951.05,8615.16,8619.59,7878.52,7733.99,6368.33,7492.8,8293.07,9771.72,7826.1,7658.43,8228.6,7706.34,8028.45,8480.86,7831.28,7713.31,7766.85,7826.66,8521.69,8324.6,7631.44,8560.4,7740.2,7742.4
2027-02-28,7783.15,7906.59,9672.3,10246.44,8108.68,9342.39,9798.34,8183.59,8824.02,8834.2,8050.17,7826.11,6311.59,7671.18,8812.17,9967.28,7930.96,7839.8,8497.18,7869.03,8136.53,8632.92,7895.05,7581.09,7897.91,7953.78,8807.23,8520.26,7521.2,8791.44,7932.72,7941.45
2027-03-31,7775.71,7844.56,10014.8,10218.87,8316.19,9125.04,9765.36,8185.43,8773.47,8763.82,7976.95,7670.28,5923.66,7519.93,8892.72,9923.87,7820.23,7786.88,8485.12,7812.07,7937.57,8563.49,7628.27,7107.34,7679.76,7842.27,8729.87,8496.17,7302.75,8903.61,7912.78,7983.32
2027-04-30,7476.14,7496.58,9744.48,9815.61,7978.01,8852.76,9489.43,8064.4,8435.88,8402.39,7584.54,7229.5,5379.68,7187.27,8648.83,9618.38,7411.82,7382.91,8173.42,7532.75,7609.25,8240.33,7008.1,6591.89,7297.23,7504.35,8448.67,8156.04,7041.59,8676.6,7577.74,7708.6
2027-05-31,7078.07,7050.9,9390.16,9413.08,7659.26,8498.93,9139.97,7834.52,8102.12,8071.24,7148.76,6791.0,5166.58,6762.24,8340.07,9221.33,6950.56,6957.12,7884.17,7139.38,7216.97,7887.67,6383.23,6794.16,6902.59,7104.16,8113.11,7791.2,7751.98,8292.59,7156.46,7360.83
2027-06-30,6831.41,6753.93,9089.55,9153.5,7423.42,8269.9,8903.93,7666.06,7941.58,7917.34,6846.93,6476.27,5790.44,6431.99,8063.67,8999.97,6618.96,6651.17,7698.33,6846.79,6936.25,7638.33,6369.01,6419.87,6626.91,6822.06,7881.88,7553.74,7494.66,8060.24,6908.85,7073.74
2027-07-31,6767.06,6632.13,8899.12,9087.54,7340.15,8263.34,8872.48,7687.26,8063.91,7832.15,6650.08,6040.37,5618.96,6299.81,7907.33,8960.96,6484.17,6513.75,7672.61,6666.76,6796.53,7649.18,6179.68,6268.5,6551.19,6708.87,7890.92,7577.44,7403.53,8004.6,6716.93,6998.68
2027-08-31,6835.44,6639.44,8906.11,9130.88,7325.91,8344.18,8988.84,7785.99,8222.55,7929.94,6667.7,5657.75,5531.71,6275.01,7924.32,9069.63,6494.62,6490.43,7741.78,6673.41,6762.27,7827.94,5882.6,6274.89,6562.22,6714.94,7986.38,7649.83,7472.1,8032.07,6716.73,7077.72
2027-09-30,6755.6,6514.46,8779.7,9076.66,7216.92,8274.53,9005.2,7764.97,8198.55,7849.24,6548.16,5448.37,5262.52,6205.7,7785.92,8992.14,6336.43,6357.36,7670.52,6545.59,6642.72,7780.41,5628.2,6173.4,6440.0,6586.96,7927.35,7594.95,7335.4,7939.16,6616.02,7030.97
2027-10-31,6724.71,6637.1,8914.22,9178.68,7369.92,8355.29,9070.01,7888.55,8287.81,7800.15,6527.0,5378.9,5164.73,6311.89,7899.77,9149.7,6299.35,6483.99,7752.36,6707.6,6743.83,7901.51,5583.71,6172.04,6466.9,6597.2,7974.18,7592.92,7230.32,7864.13,6588.42,7197.44
2027-11-30,6637.21,6682.98,8978.12,9179.43,7507.9,8421.8,9122.11,7887.98,8330.4,7673.23,6452.78,5210.72,5031.78,6382.51,7900.56,9174.42,6257.57,6565.73,7797.57,6726.0,6762.92,7963.06,5588.12,6092.65,6379.86,6550.3,7977.07,7510.46,7194.81,7760.24,6532.62,7263.01
2027-12-31,6717.2,6870.75,9173.37,9396.75,7803.12,8499.55,9165.53,7920.85,8493.34,7676.53,6513.05,5085.57,4926.32,6531.88,8040.46,9279.16,6356.29,6763.3,7953.34,7133.57,6909.84,8118.6,5448.38,6182.66,6432.3,6650.15,8080.35,7573.45,7297.21,7825.72,6641.68,7509.98
2028-01-31,6808.16,7087.23,9348.98,9696.01,7960.87,8587.95,9203.61,8198.49,8672.54,7785.96,6544.99,4907.36,4709.66,7097.43,8163.4,9427.22,6445.69,6924.22,8271.4,7321.14,7074.86,8290.13,5220.52,6256.38,6529.94,6812.23,8258.77,7664.23,7361.42,7918.7,6738.08,8294.99
2028-02-29,6829.52,7219.89,9464.84,9961.87,8050.62,8640.62,9349.81,8326.83,8802.22,7853.11,6539.86,4788.23,4563.11,7589.56,8276.09,9531.04,6536.06,7100.19,8438.27,7498.14,7190.06,8409.31,5040.16,6318.17,6567.18,6961.32,8378.44,7734.68,7390.08,8005.95,6865.27,8961.81
2028-03-31,6677.08,7185.12,9371.78,10153.55,7797.24,8571.75,9312.63,8240.71,8694.48,7675.73,6291.62,4358.76,4100.74,7696.83,8197.52,9421.27,6384.62,7004.69,8396.48,7430.48,7088.13,8296.75,4516.53,6080.29,6380.7,6798.27,8271.39,7635.05,7302.91,7864.44,6884.46,9043.37
2028-04-30,6405.3,7017.41,9089.0,10286.34,7577.28,8925.4,9695.81,8314.67,8383.44,7344.04,5925.42,3911.98,3990.36,7570.36,7945.48,9162.58,6057.6,6778.61,8265.46,7314.44,6879.5,8041.11,4062.06,5763.41,6118.07,6537.57,7993.95,7342.94,7059.06,7579.42,6672.75,9211.17
2028-05-31,6078.92,6793.64,8851.55,10475.38,7321.38,9307.11,10010.79,8433.88,8147.69,7013.82,5604.2,3800.97,4514.25,7421.41,7647.78,8893.53,5750.32,6618.12,8063.18,7174.19,6683.06,7805.04,4602.87,5476.89,5838.4,6265.45,7731.58,7062.85,6704.86,7250.96,6430.04,9329.06
2028-06-30,5892.58,6714.85,8714.93,10769.44,7181.16,9812.63,10397.48,8732.3,8079.03,6813.34,5397.64,4571.68,4260.81,7292.77,7516.62,8759.31,5554.1,6545.97,7966.64,7134.35,6573.37,7668.3,4904.93,5295.71,5667.76,6075.15,7591.77,6867.18,6482.83,7096.56,6237.48,9302.21
2028-07-31,5855.61,6800.19,8734.81,11251.92,7243.82,10584.67,11015.23,9341.76,8059.55,6694.19,5043.71,4495.3,4173.01,7262.2,7548.09,8814.36,5500.17,6605.99,7975.79,7224.92,6698.79,7779.47,4917.98,5294.08,5642.75,6085.73,7688.28,6745.54,6396.4,6974.65,6233.04,9381.85
2028-08-31,5952.01,7026.77,8870.62,11844.98,7392.94,11547.68,11739.52,10015.66,8221.83,6793.87,4747.52,4423.81,3916.14,7406.96,7726.4,9027.15,5566.56,6765.46,8183.21,7432.94,6995.81,8028.38,5096.56,5384.57,5739.03,6177.77,7840.72,6753.43,6388.94,7051.52,6388.82,9671.55
2028-09-30,5896.98,7067.85,8899.84,12175.44,7369.3,12241.45,12186.03,10371.51,8183.55,6734.57,4605.99,4230.98,3761.2,7372.13,7696.34,9014.13,5499.79,6767.89,8198.85,7499.32,7044.3,8097.2,5137.82,5319.79,5679.8,6128.3,7840.56,6638.98,6276.56,7000.76,6396.84,9761.72
2028-10-31,5901.16,7221.48,9054.41,12307.18,7493.36,12339.49,12339.49,10493.92,8327.27,6737.33,4568.86,4189.95,3901.47,7590.79,7898.6,9138.8,5658.1,6888.41,8375.02,7688.68,7232.0,8070.72,5200.97,5556.27,5882.79,6286.16,8015.63,6737.18,6246.03,6987.36,6617.62,9941.1
2028-11-30,5764.23,7214.36,9012.25,12343.84,7522.74,12345.57,12289.99,10493.88,8293.01,6602.96,4348.69,4027.04,3962.45,7612.46,7887.32,9157.28,5686.54,6886.1,8326.81,7710.49,7272.67,8009.43,5097.12,5557.59,5923.67,6314.78,8005.46,6802.81,6098.93,6863.0,6636.25,9964.95
