date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,965175.0,965175.0,976243.0,959271.0,927314.0,843684.0,951668.0,947505.0,960327.0,957495.0,960059.0,944110.0,960582.0,963480.0,959631.0,982904.0,971896.0,961846.0,969267.0,975566.0,952447.0,962222.0,959919.0,955608.0,962389.0,987651.0,957228.0,960473.0,958531.0,967694.0,968235.0,976344.0
2025-06-30,856885.0,856885.0,883121.0,858386.0,868929.0,869225.0,871745.0,870008.0,879020.0,844170.0,859704.0,831376.0,855478.0,856333.0,864918.0,894086.0,857188.0,871790.0,886135.0,890760.0,845782.0,874012.0,874825.0,892564.0,883892.0,898961.0,855898.0,852166.0,881767.0,899285.0,880731.0,893726.0
2025-07-31,761153.0,761153.0,774524.0,736976.0,767479.0,770332.0,758316.0,759811.0,775865.0,757717.0,703502.0,770361.0,774166.0,758350.0,768409.0,761662.0,790107.0,765539.0,770299.0,767713.0,759468.0,793601.0,763806.0,730483.0,760609.0,743610.0,747903.0,766777.0,753184.0,756419.0,770397.0,777130.0
2025-08-31,701936.0,701936.0,691123.0,662804.0,677002.0,709242.0,716098.0,685652.0,730979.0,700886.0,691299.0,679015.0,667779.0,691629.0,685602.0,723475.0,666719.0,714459.0,717730.0,706999.0,718510.0,725481.0,704119.0,689045.0,677127.0,661299.0,714904.0,707611.0,705030.0,710130.0,704553.0,761784.0
2025-09-30,607727.0,607727.0,601752.0,585214.0,603891.0,582677.0,592580.0,601210.0,547923.0,656995.0,646581.0,617271.0,601385.0,607898.0,625873.0,584834.0,612745.0,626736.0,620268.0,606034.0,620054.0,621325.0,597019.0,623983.0,629107.0,607699.0,608642.0,629404.0,609202.0,619928.0,607411.0,636973.0
2025-10-31,411880.0,411880.0,405280.0,384886.0,410107.0,397165.0,402482.0,384773.0,397737.0,391433.0,408156.0,403794.0,375170.0,384158.0,417812.0,350018.0,378343.0,379958.0,401724.0,401097.0,420577.0,405988.0,398623.0,392492.0,408249.0,389143.0,392832.0,404306.0,427138.0,406316.0,417619.0,430160.0
2025-11-30,546714.0,546714.0,521790.0,533891.0,554492.0,544786.0,500932.0,506051.0,514773.0,590648.0,511606.0,532603.0,532034.0,523804.0,525021.0,498145.0,548773.0,521492.0,529577.0,542963.0,545147.0,560345.0,520590.0,532932.0,509405.0,538645.0,539292.0,553675.0,539119.0,551667.0,516059.0,573647.0
2025-12-31,497929.0,497929.0,484086.0,473967.0,491254.0,469839.0,411444.0,527322.0,547701.0,575009.0,456415.0,519858.0,505053.0,509783.0,513141.0,469497.0,481455.0,504959.0,510857.0,483014.0,516830.0,461555.0,507148.0,499932.0,509578.0,473146.0,492307.0,488432.0,511838.0,485837.0,474202.0,501161.0
2026-01-31,497512.0,497512.0,504753.0,399095.0,513165.0,467346.0,497221.0,577870.0,624530.0,415112.0,483503.0,460107.0,510188.0,504744.0,485927.0,363658.0,543839.0,509489.0,510307.0,536936.0,411064.0,536623.0,522284.0,501326.0,511378.0,514888.0,497610.0,498334.0,487502.0,493376.0,515756.0,481537.0
2026-02-28,514302.0,514302.0,496781.0,297389.0,517285.0,435199.0,506425.0,513620.0,475940.0,521441.0,488980.0,467389.0,509548.0,461723.0,463034.0,307362.0,486722.0,523842.0,517588.0,481121.0,505157.0,492570.0,511447.0,510969.0,499106.0,523207.0,514466.0,486165.0,481789.0,489626.0,502785.0,454554.0
