date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,27.52,35.65,37.28,42.88,35.76,31.81,101.07,28.7,41.38,29.19,44.55,33.34,40.23,28.53,37.11,28.77,35.22,30.91,33.02,35.97,35.18,35.39,35.74,28.77,36.72,36.55,60.17,37.47,35.72,32.67,42.39,34.29
2025-06-30,24.1,22.66,22.19,19.61,21.96,22.57,19.21,24.74,20.95,24.66,19.34,23.49,22.83,23.93,22.15,25.32,23.86,24.29,21.56,20.81,23.91,21.57,18.31,25.32,23.29,20.66,13.96,20.47,20.25,25.57,19.88,22.58
2025-07-31,35.56,33.76,29.42,39.82,31.7,35.25,17.29,36.58,34.48,32.51,28.91,36.92,36.21,35.9,34.87,35.83,34.83,35.26,34.52,32.23,31.64,34.22,26.52,34.63,32.26,31.0,35.49,30.16,33.78,34.82,24.82,34.43
2025-08-31,29.45,34.88,35.97,32.24,34.98,35.89,39.9,37.34,36.07,33.06,27.27,36.23,35.53,32.65,36.1,35.89,35.98,34.95,35.36,35.11,34.56,33.17,34.86,36.04,31.89,30.12,40.7,32.72,33.2,32.5,32.48,33.94
2025-09-30,25.61,25.97,26.2,27.94,26.04,25.89,40.13,26.13,24.8,26.35,39.75,26.18,26.12,25.97,23.42,24.96,26.29,25.73,24.37,26.19,26.31,26.26,26.25,26.31,24.03,24.73,40.53,26.06,26.22,26.41,26.61,26.08
2025-10-31,23.66,23.66,24.42,24.2,23.89,22.51,40.8,21.87,21.45,22.59,24.06,23.55,24.13,22.2,23.7,22.79,22.54,18.49,21.28,24.15,23.93,23.85,23.59,24.47,21.62,21.3,38.4,24.2,24.08,24.08,24.41,23.7
2025-11-30,6.26,5.9,6.19,7.58,6.23,5.46,19.42,5.42,7.72,5.2,9.91,5.81,6.32,5.7,6.2,5.41,5.21,4.12,4.83,6.15,5.9,5.73,6.02,6.51,6.39,11.89,16.72,6.4,6.16,6.12,6.41,5.4
2025-12-31,6.32,5.96,6.39,23.35,7.39,6.3,26.07,6.17,24.14,5.81,23.2,6.29,6.53,6.24,13.31,6.23,6.23,10.37,14.15,6.35,6.43,6.2,12.71,6.61,24.66,24.43,24.52,6.42,6.32,6.52,22.63,6.12
2026-01-31,6.32,13.28,6.59,16.95,16.61,12.03,18.38,11.15,17.37,11.52,17.42,12.93,15.84,6.41,16.99,8.66,11.85,17.83,16.69,12.65,12.67,11.2,16.96,6.7,17.55,17.46,17.89,16.51,14.38,12.88,16.68,12.74
2026-02-28,5.95,14.67,8.17,13.39,12.6,10.61,15.68,11.49,13.44,10.75,14.76,12.16,12.54,5.45,12.98,10.15,12.78,14.41,12.43,11.47,12.42,11.63,12.83,6.08,14.56,16.21,14.33,15.64,14.71,12.43,13.02,13.29
2026-03-31,7.76,16.44,13.87,14.7,14.85,13.67,15.62,6.0,15.26,6.23,12.69,10.63,10.32,6.41,19.41,10.01,12.76,22.11,12.09,8.94,9.72,9.66,14.25,8.3,13.38,19.82,16.96,23.57,11.56,11.45,13.3,12.82
2026-04-30,19.05,18.69,16.37,15.35,18.02,17.73,16.1,14.82,16.76,17.68,18.05,17.91,19.95,16.32,20.52,17.84,16.35,17.01,15.85,17.71,18.99,14.0,14.82,19.83,17.7,16.91,16.62,24.44,18.61,13.4,19.73,18.85
2026-05-31,32.93,59.38,49.43,83.8,42.08,78.27,103.34,83.61,37.55,76.32,64.06,60.39,28.22,38.05,68.03,56.38,65.52,69.19,77.88,70.21,34.96,98.38,30.53,27.02,69.94,56.8,48.42,110.34,24.25,75.88,31.06,44.57
