date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,69.92,108.33,86.61,148.17,121.42,109.07,102.5,113.24,121.96,78.79,109.38,107.6,147.86,84.21,104.76,111.65,114.26,118.41,158.98,91.97,141.7,76.7,86.22,114.89,95.48,100.24,155.3,105.27,105.88,129.72,102.18,105.43
2025-06-30,51.36,63.36,82.1,70.88,72.53,67.02,123.39,43.74,79.99,49.4,99.06,46.27,49.4,49.4,59.81,43.02,50.83,47.57,68.58,65.32,52.08,64.22,76.2,41.46,51.23,69.12,223.54,82.04,60.87,46.42,121.66,47.69
2025-07-31,28.45,24.45,38.14,38.49,24.63,25.72,60.52,28.62,32.57,31.12,48.71,21.18,24.14,21.62,19.73,23.51,20.77,38.23,25.62,28.48,23.98,25.27,26.19,27.1,28.31,25.34,48.14,25.54,25.72,21.65,31.62,25.66
2025-08-31,33.69,29.69,39.11,52.53,57.58,26.61,39.69,24.74,42.07,33.26,88.98,25.08,33.93,28.01,24.4,26.78,25.7,47.55,33.17,31.23,23.69,33.67,25.0,24.18,37.2,28.63,28.92,37.63,28.59,21.63,30.08,21.6
2025-09-30,33.25,42.81,58.71,45.51,73.12,60.47,35.41,48.82,68.25,41.66,79.25,40.79,31.34,46.38,53.25,66.28,40.09,55.87,37.19,45.88,36.11,56.88,33.59,41.58,91.19,32.82,27.7,28.31,40.71,38.89,25.86,40.48
2025-10-31,24.19,35.58,24.27,27.8,35.64,46.29,30.06,34.27,76.35,45.83,26.74,30.62,24.83,35.32,27.61,52.85,56.01,101.31,45.54,31.95,18.75,32.81,60.4,13.04,51.23,42.75,30.65,25.24,45.58,21.84,25.33,18.63
2025-11-30,20.64,18.64,18.29,14.43,17.43,29.56,15.36,26.85,29.24,46.5,13.1,19.22,9.74,22.81,18.29,28.8,22.37,32.94,15.9,20.3,15.48,16.54,23.67,9.94,22.38,17.5,22.68,14.53,16.58,13.44,11.11,18.14
2025-12-31,17.97,16.97,16.49,12.39,14.23,19.0,13.31,21.8,21.54,24.78,12.05,14.2,10.29,14.0,17.68,20.6,13.73,18.94,34.25,14.55,11.11,16.11,15.78,9.83,18.14,14.08,16.77,18.81,14.54,10.75,13.86,13.47
2026-01-31,18.21,16.21,14.2,16.22,14.46,16.21,13.58,17.11,19.27,17.85,15.03,14.27,10.23,15.01,14.65,29.49,12.42,18.24,19.86,13.85,10.22,13.65,18.05,13.15,17.7,16.95,14.44,23.26,12.2,10.57,13.38,10.46
2026-02-28,21.3,23.3,19.0,16.55,14.1,33.42,21.53,18.24,17.39,19.53,17.11,16.83,9.54,19.25,15.82,39.22,10.18,28.7,15.55,20.54,10.75,15.38,17.18,15.55,22.37,26.5,28.8,61.85,12.19,13.66,14.1,17.4
2026-03-31,56.29,72.29,37.85,71.74,40.11,138.62,19.85,108.1,42.71,27.85,25.6,48.51,7.82,32.48,71.58,81.54,16.82,94.21,57.56,39.76,28.67,32.13,38.21,23.93,36.53,44.31,38.34,146.4,13.22,79.82,23.47,20.35
2026-04-30,71.83,105.83,154.55,201.07,102.11,153.34,37.56,169.56,91.81,64.15,74.64,145.17,18.45,33.11,139.59,236.06,73.53,102.88,214.25,68.1,105.65,64.19,97.26,21.51,52.71,27.48,58.25,143.51,25.89,150.86,23.67,36.06
2026-05-31,131.85,180.85,249.09,349.87,209.13,269.09,126.55,291.08,190.18,209.99,125.58,333.67,38.63,122.78,229.3,446.03,149.84,226.25,291.5,270.49,151.51,123.32,136.4,89.74,131.19,117.43,138.46,166.54,87.39,256.04,100.13,139.47
2026-06-30,80.18,154.97,117.49,317.1,173.94,367.77,49.4,340.04,137.53,230.54,49.4,166.76,49.4,85.7,102.5,330.51,55.56,133.81,311.54,125.54,169.92,161.88,52.09,63.22,144.46,188.96,182.44,185.34,49.4,303.83,49.4,197.38
2026-07-31,37.45,51.93,71.05,102.29,44.25,267.54,36.94,98.37,84.64,183.27,23.08,49.11,15.56,25.28,48.41,108.38,47.63,45.51,98.07,52.97,54.5,61.98,34.52,24.99,37.41,48.95,48.15,53.98,16.2,146.11,32.22,104.84
2026-08-31,27.69,45.69,78.64,102.97,34.36,94.55,41.05,89.02,45.78,141.57,23.51,55.18,15.73,37.82,29.21,53.03,60.37,49.93,60.08,27.12,61.09,34.92,35.37,37.49,34.54,30.54,50.99,47.84,14.37,60.58,47.85,59.2
2026-09-30,31.25,42.8,54.38,93.27,63.14,52.2,48.65,97.0,30.21,89.46,35.55,27.46,23.81,59.07,62.9,36.51,61.04,42.84,50.96,33.42,42.0,33.58,41.38,96.14,30.59,28.02,30.65,35.95,12.43,30.86,17.33,67.02
2026-10-31,19.4,36.8,26.92,40.13,49.82,39.26,34.64,101.89,49.97,29.58,40.5,20.98,26.25,27.72,62.83,77.29,104.22,51.38,35.4,30.82,36.88,65.84,25.02,51.43,45.69,29.79,25.76,51.34,19.66,24.01,17.93,26.07
2026-11-30,15.46,21.65,18.91,25.92,33.54,24.09,27.4,43.33,55.89,17.02,21.12,13.94,20.33,19.26,36.29,41.7,34.0,22.92,30.12,18.96,20.63,26.34,10.84,22.43,20.24,22.36,16.39,23.57,12.16,17.56,18.38,20.54
2026-12-31,16.97,18.2,16.5,23.12,22.26,23.2,22.74,29.18,31.79,15.64,15.38,14.61,12.04,18.78,25.46,25.71,19.6,39.87,23.97,13.84,20.37,19.2,11.21,18.28,16.83,16.66,20.91,21.24,9.7,20.92,13.86,18.62
2027-01-31,16.21,17.44,21.29,23.05,19.03,19.95,17.68,25.55,23.65,17.85,15.23,15.64,13.19,15.63,37.92,20.77,18.75,22.49,22.47,12.56,17.5,21.34,14.09,16.6,18.36,14.38,25.59,18.46,9.57,21.26,10.64,15.2
2027-02-28,23.3,24.41,21.16,21.5,39.07,29.23,18.63,22.89,24.96,19.83,16.4,14.36,17.55,16.81,46.05,17.58,29.27,17.68,29.13,12.72,19.06,20.01,17.1,21.44,28.21,28.91,65.63,17.81,12.77,21.39,17.42,19.85
2027-03-31,72.29,73.52,80.06,56.89,156.96,28.97,105.97,56.59,35.75,29.88,50.91,13.96,29.74,75.28,93.24,28.33,97.54,63.92,57.24,32.13,39.4,43.97,25.09,36.08,48.58,38.53,152.35,20.25,77.24,34.88,21.31,43.37
2027-04-30,105.83,116.76,223.54,142.41,165.87,59.22,171.59,117.28,74.98,85.26,143.15,26.31,29.67,144.2,274.03,111.21,106.42,235.84,88.61,118.06,75.51,114.61,23.18,53.86,44.02,58.47,152.63,35.35,146.05,36.19,37.16,170.43
2027-05-31,180.85,198.21,372.24,244.51,278.69,152.85,303.08,204.42,226.88,132.92,335.2,38.63,118.14,212.57,468.79,177.36,227.91,311.04,324.41,161.49,133.21,153.35,91.22,125.86,121.32,138.6,172.84,94.44,252.69,111.55,135.21,258.83
2027-06-30,143.18,159.2,327.72,185.65,393.84,50.43,342.76,142.3,276.14,49.4,174.99,44.63,84.39,103.79,342.62,59.5,134.11,313.97,133.59,172.71,176.86,52.97,66.95,136.82,196.14,182.94,195.39,49.4,302.07,49.4,198.92,115.08
2027-07-31,51.93,51.93,110.47,47.6,268.48,40.41,98.19,87.1,185.44,24.12,50.34,52.22,24.77,48.84,115.26,50.76,45.53,98.98,59.91,55.37,64.3,35.24,24.62,37.54,49.55,48.15,55.21,54.85,145.61,31.03,107.89,71.61
2027-08-31,45.69,45.69,93.88,37.6,95.39,27.16,94.48,47.92,144.41,24.66,55.72,16.74,44.39,29.59,54.74,61.33,49.95,60.9,30.24,59.91,36.93,23.46,37.73,34.66,31.01,51.18,49.67,17.03,60.29,36.64,61.26,80.0
2027-09-30,42.8,42.8,105.02,66.39,52.79,40.43,94.98,32.05,91.14,35.91,28.27,25.84,48.92,63.46,35.95,56.94,43.01,51.63,30.68,62.8,35.41,41.66,97.64,30.74,28.49,30.45,35.18,15.53,30.62,43.29,67.28,53.55
2027-10-31,25.8,36.8,41.16,52.16,39.64,37.52,104.55,52.68,30.44,41.56,21.22,34.77,20.75,63.26,79.45,110.33,51.46,35.87,33.07,37.46,68.27,25.34,53.83,45.8,30.16,25.79,52.78,22.95,23.83,31.38,26.39,27.17
2027-11-30,15.46,21.65,26.82,36.56,24.6,31.08,44.5,59.12,18.01,22.21,14.22,22.5,18.69,36.64,43.29,36.86,22.96,30.56,21.49,21.19,27.73,11.37,23.27,20.31,22.71,16.44,23.99,15.03,17.39,21.31,20.62,19.02
2027-12-31,18.2,18.2,23.98,24.92,23.59,25.91,29.88,33.77,16.53,16.34,16.03,13.96,18.22,25.77,26.46,23.45,39.97,24.43,16.88,21.01,20.46,11.67,19.09,16.9,17.0,20.99,21.95,12.51,20.73,16.67,18.92,16.81
2028-01-31,17.44,17.44,23.68,22.63,20.29,20.42,25.74,25.27,18.66,16.16,15.94,15.06,15.14,38.35,21.28,21.34,22.5,22.93,15.1,18.07,22.72,14.52,17.17,18.45,14.67,25.73,18.81,12.24,21.06,13.17,15.11,21.58
2028-02-29,24.42,24.42,22.91,45.66,30.76,21.8,23.88,27.87,21.33,19.15,15.02,20.18,18.5,48.1,18.56,33.64,18.73,31.48,15.53,20.41,22.19,17.97,22.58,29.09,30.85,68.11,18.66,16.05,22.0,20.84,20.83,22.48
2028-03-31,73.52,73.52,58.44,166.27,29.54,119.45,57.27,38.14,32.67,53.24,14.13,32.95,74.35,96.78,29.16,109.07,68.99,58.24,36.77,41.44,48.42,26.78,37.54,51.07,39.06,156.13,21.86,89.07,34.82,25.65,42.6,89.73
2028-04-30,113.51,116.71,145.36,178.14,62.09,181.77,118.53,82.13,92.34,152.92,26.37,33.61,145.35,282.55,112.66,128.97,239.05,93.56,127.4,78.08,120.22,24.19,54.62,43.01,60.15,151.09,35.6,163.36,38.05,40.76,171.39,236.08
2028-05-31,198.21,198.21,245.24,282.51,153.4,318.77,204.45,238.89,132.48,343.09,38.63,125.33,214.35,481.58,177.35,232.5,319.15,328.46,164.78,138.62,153.27,93.65,125.94,125.07,141.84,177.72,94.18,252.53,111.61,144.34,257.45,391.5
2028-06-30,159.2,159.2,186.18,404.53,51.69,342.56,142.53,276.09,49.4,168.03,43.9,79.39,102.9,333.06,59.69,131.43,308.14,132.2,174.34,178.52,52.03,64.5,138.53,194.31,184.24,192.56,49.4,306.48,49.4,199.97,115.17,311.23
2028-07-31,51.93,51.93,48.07,261.2,38.78,99.55,87.34,181.1,24.39,49.92,52.28,25.13,48.15,109.46,51.2,46.59,96.03,57.22,56.95,63.22,35.79,24.92,37.92,49.05,47.94,54.94,54.95,138.19,30.8,106.82,71.88,96.5
2028-08-31,45.69,45.69,38.17,95.69,27.44,90.39,48.21,144.9,25.63,56.37,16.85,43.95,29.37,54.12,62.0,50.93,59.27,30.18,60.58,36.57,23.11,65.73,35.16,31.14,51.66,48.68,17.16,60.64,37.67,61.43,80.34,111.48
2028-09-30,42.8,42.8,67.24,54.87,41.41,98.87,32.62,90.89,35.95,28.6,25.99,49.93,66.85,37.69,57.49,45.38,51.8,31.56,63.91,35.95,39.36,98.77,31.47,29.09,30.37,36.68,15.66,31.94,43.35,70.01,54.13,87.66
2028-10-31,25.8,36.8,52.64,38.05,37.57,103.02,52.72,30.51,42.47,21.7,35.0,27.91,61.43,78.19,111.17,51.6,36.42,33.35,38.83,69.35,25.91,52.51,46.11,30.72,26.05,50.55,23.17,24.84,31.52,27.4,27.4,40.46
2028-11-30,15.46,21.65,37.13,24.45,31.46,44.09,59.38,18.13,21.9,14.42,22.68,19.61,35.24,42.31,37.16,23.85,30.19,21.74,22.29,27.47,12.0,23.08,20.56,22.32,16.58,23.97,15.21,18.17,21.08,21.92,19.16,26.31
2028-12-31,18.2,18.2,25.29,23.91,25.63,29.93,33.83,17.05,16.46,16.26,14.07,18.98,26.92,26.24,23.65,41.05,24.08,16.61,22.16,20.35,12.14,18.91,17.08,16.72,21.14,21.59,12.64,21.53,16.31,19.97,16.87,23.67
2029-01-31,17.44,17.44,22.96,20.8,20.47,26.27,25.32,19.27,16.44,16.06,15.19,15.79,36.83,21.24,21.54,23.46,22.95,15.2,19.19,22.89,15.42,17.21,18.64,14.9,25.72,18.79,12.36,21.84,13.02,16.36,21.65,23.78
2029-02-28,24.41,24.41,43.2,30.5,21.31,23.54,26.83,21.33,19.0,14.75,19.64,18.72,46.3,18.01,32.89,19.05,30.48,15.19,20.79,21.61,17.77,22.11,28.54,29.96,65.59,18.11,15.5,22.13,20.16,21.15,21.53,22.53
2029-03-31,73.52,73.52,168.63,30.21,119.17,57.91,37.33,33.53,53.64,14.43,32.97,75.78,95.1,29.03,107.22,72.11,58.03,37.24,42.39,48.3,27.73,37.02,48.8,38.63,156.39,21.88,86.93,35.97,25.54,45.94,86.03,58.04
2029-04-30,113.96,116.76,172.61,62.28,180.58,118.69,77.41,92.5,153.69,26.71,32.3,146.88,278.8,112.18,124.27,244.75,92.49,127.94,78.19,118.35,25.01,53.46,44.23,59.92,151.54,35.7,154.98,39.14,40.69,174.27,229.79,148.09
2029-05-31,198.21,198.21,282.28,154.3,318.24,205.07,232.24,133.02,342.02,38.63,120.37,212.74,481.76,177.82,231.31,319.73,328.73,165.03,134.9,153.74,94.31,126.42,121.61,142.26,178.36,94.73,258.09,112.53,144.08,261.1,381.25,250.09
2029-06-30,159.2,159.2,398.19,52.13,343.23,142.66,277.16,49.4,168.12,43.0,85.57,103.28,332.84,59.82,135.71,309.63,132.22,174.32,185.66,52.13,64.83,115.6,196.29,182.9,192.55,49.4,299.24,49.4,199.78,115.79,320.47,180.42
2029-07-31,51.93,51.93,269.51,38.99,99.41,87.42,186.39,24.53,49.9,52.34,25.51,48.15,109.15,51.13,46.95,96.25,57.06,56.84,65.51,35.77,25.09,37.85,49.73,47.77,54.81,54.95,146.77,31.1,106.57,72.27,103.4,46.53
2029-08-31,45.69,45.69,96.53,27.56,90.22,48.22,145.7,25.8,56.3,16.95,43.02,29.39,53.83,61.88,51.49,59.41,29.98,60.11,37.79,23.01,65.96,34.98,31.18,51.46,48.49,17.17,61.37,36.57,61.13,80.75,104.23,37.97
2029-09-30,42.8,42.8,53.69,41.67,98.48,32.32,92.1,35.95,28.13,26.06,50.31,66.74,37.15,57.28,44.7,51.55,31.48,63.91,35.95,38.65,98.73,31.04,28.64,29.89,36.23,15.66,31.5,43.65,69.45,54.17,94.66,67.26
