date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,6038.35,6041.99,6039.71,6045.63,6043.2,6042.06,6041.12,6042.44,6043.25,6039.2,6042.08,6041.92,6045.6,6039.71,6041.65,6042.3,6042.54,6042.92,6046.59,6040.45,6045.04,6038.94,6039.9,6042.6,6040.78,6041.23,6046.26,6041.7,6041.76,6043.96,6041.41,6041.72
2025-06-30,6035.47,6040.84,6040.34,6045.19,6042.91,6041.26,6045.52,6038.92,6043.65,6036.2,6044.24,6038.86,6042.93,6036.95,6040.17,6037.86,6040.13,6039.83,6045.95,6039.48,6042.89,6037.86,6039.97,6037.83,6038.47,6040.62,6058.71,6042.31,6040.38,6040.76,6045.64,6039.08
2025-07-31,6026.54,6032.56,6035.88,6040.32,6034.97,6032.66,6043.68,6030.75,6036.8,6029.36,6041.28,6029.04,6034.29,6027.13,6030.61,6028.52,6031.24,6033.85,6038.89,6031.67,6034.66,6029.11,6033.29,6028.62,6030.26,6032.45,6056.03,6034.86,6032.12,6031.31,6039.94,6030.42
2025-08-31,6019.37,6025.68,6030.79,6037.9,6031.87,6024.63,6039.99,6022.54,6033.87,6022.74,6042.93,6020.72,6028.72,6018.8,6022.71,6020.19,6023.92,6030.34,6034.57,6024.65,6026.46,6023.29,6025.84,6020.09,6025.16,6025.8,6051.03,6029.85,6025.02,6022.35,6033.38,6021.78
2025-09-30,6016.3,6024.49,6031.83,6037.39,6034.34,6025.92,6038.3,6021.92,6035.82,6020.93,6045.7,6018.3,6025.41,6018.58,6023.24,6022.17,6021.6,6031.1,6033.44,6024.38,6023.26,6023.86,6022.8,6017.37,6029.65,6024.13,6048.14,6026.84,6022.54,6019.21,6029.14,6019.02
2025-10-31,6015.06,6024.87,6030.63,6036.27,6034.31,6027.43,6038.1,6022.17,6040.09,6022.46,6045.04,6017.96,6023.65,6018.96,6022.4,6024.44,6024.22,6037.97,6034.78,6024.08,6021.0,6023.94,6025.86,6013.73,6031.61,6025.28,6048.0,6025.5,6023.77,6017.21,6027.2,6016.49
2025-11-30,6014.96,6024.55,6030.3,6035.56,6033.9,6028.26,6037.49,6022.75,6040.81,6025.16,6044.27,6017.7,6022.36,6019.1,6022.04,6025.22,6024.31,6039.06,6034.21,6023.94,6020.33,6023.4,6026.08,6012.22,6031.69,6024.85,6048.08,6024.74,6023.23,6016.28,6026.1,6016.1
2025-12-31,6014.5,6024.01,6029.73,6034.61,6033.12,6027.95,6036.64,6022.73,6040.76,6025.46,6043.35,6016.81,6021.07,6018.2,6021.57,6025.07,6023.41,6038.76,6035.42,6023.13,6019.11,6022.76,6025.42,6010.77,6031.3,6023.99,6047.61,6024.4,6022.42,6014.97,6025.23,6015.11
2026-01-31,6014.06,6023.39,6028.92,6034.03,6032.36,6027.34,6035.81,6022.2,6040.49,6025.01,6042.7,6015.92,6019.77,6017.41,6020.76,6025.87,6022.37,6038.39,6035.21,6022.25,6017.78,6021.84,6025.0,6009.71,6030.86,6023.45,6046.94,6024.54,6021.34,6013.63,6024.31,6013.75
2026-02-28,6014.2,6023.73,6028.8,6033.66,6031.74,6028.73,6035.94,6021.99,6040.22,6024.95,6042.41,6015.53,6018.57,6017.31,6020.28,6027.88,6021.27,6039.21,6034.75,6022.29,6016.7,6021.32,6024.68,6009.16,6031.08,6024.14,6047.69,6028.94,6020.46,6012.86,6023.65,6013.43
2026-03-31,6017.49,6028.43,6029.81,6037.95,6032.95,6039.72,6035.13,6030.48,6041.59,6024.92,6042.17,6017.91,6017.16,6017.82,6025.04,6033.35,6020.03,6045.34,6037.63,6023.57,6016.69,6021.77,6025.77,6008.82,6031.93,6025.88,6048.57,6040.66,6019.58,6018.89,6023.16,6012.51
2026-04-30,6020.71,6034.77,6040.76,6048.57,6038.71,6045.98,6034.11,6042.6,6046.0,6027.13,6045.01,6028.96,6015.48,6016.55,6034.93,6047.99,6023.36,6050.54,6052.68,6026.22,6023.29,6023.87,6031.37,6003.71,6032.87,6024.18,6049.83,6049.68,6017.86,6030.44,6019.16,6009.49
2026-05-31,6028.51,6046.2,6057.24,6048.92,6052.16,6038.88,6040.61,6039.04,6057.07,6042.05,6050.79,6054.42,6013.67,6023.65,6050.59,6056.51,6032.81,6063.94,6048.95,6046.77,6032.91,6030.6,6038.96,6007.92,6039.88,6030.28,6056.4,6058.52,6022.63,6049.05,6023.67,6018.94
2026-06-30,6029.02,6053.05,6060.52,6046.06,6060.14,6040.65,6038.11,6041.99,6061.92,6055.55,6048.5,6061.68,6009.53,6024.8,6052.84,6054.96,6030.81,6068.22,6047.71,6051.1,6042.08,6039.16,6034.56,6005.49,6046.22,6041.44,6064.72,6066.9,6018.32,6067.27,6020.86,6031.99
2026-07-31,6021.46,6050.28,6059.71,6043.82,6055.64,6053.12,6032.15,6042.86,6062.17,6063.6,6039.89,6058.94,6000.44,6015.1,6048.47,6053.48,6026.37,6064.87,6047.86,6047.97,6038.29,6037.37,6025.9,5994.51,6041.42,6038.42,6061.79,6064.74,6009.25,6071.92,6012.07,6034.43
2026-08-31,6013.92,6047.01,6060.24,6046.67,6050.32,6055.02,6026.4,6044.47,6059.17,6068.78,6032.17,6057.61,5992.74,6008.25,6042.29,6051.91,6025.24,6063.2,6046.85,6041.65,6037.32,6032.28,6018.6,5990.07,6036.68,6032.49,6059.7,6062.13,6001.19,6071.09,6006.13,6033.24
2026-09-30,6010.71,6046.47,6060.65,6050.55,6051.54,6055.29,6026.04,6048.76,6057.2,6063.0,6029.42,6054.96,5990.9,6009.58,6043.6,6050.52,6026.58,6062.71,6047.04,6038.8,6036.67,6029.86,6015.88,5996.99,6034.91,6029.06,6057.83,6060.27,5996.11,6063.0,6000.2,6035.08
2026-10-31,6008.99,6046.87,6059.79,6051.22,6053.01,6055.84,6026.31,6054.67,6058.6,6062.77,6030.29,6053.44,5991.37,6008.8,6046.36,6054.31,6033.99,6064.14,6047.32,6038.27,6037.13,6033.29,6013.69,5999.96,6036.24,6028.78,6057.01,6061.74,5994.59,6061.66,5997.26,6034.31
2026-11-30,6008.26,6046.87,6059.57,6051.57,6054.0,6056.03,6026.93,6056.44,6061.29,6062.4,6030.24,6052.79,5992.04,6008.53,6047.66,6055.95,6035.22,6064.23,6048.06,6038.01,6037.04,6033.77,6012.41,6000.47,6036.1,6028.86,6056.57,6061.87,5994.07,6061.33,5996.86,6034.21
2026-12-31,6007.65,6046.53,6059.12,6051.66,6054.01,6056.12,6027.01,6057.01,6062.04,6061.9,6029.56,6052.16,5991.53,6008.14,6047.95,6056.24,6034.98,6065.56,6048.22,6037.21,6036.87,6033.49,6011.12,6000.4,6035.59,6028.3,6056.47,6061.8,5993.17,6061.23,5995.79,6033.87
2027-01-31,6006.95,6046.11,6059.05,6051.74,6053.75,6055.94,6026.55,6057.28,6062.15,6061.56,6028.86,6051.61,5991.18,6007.37,6049.34,6056.13,6034.66,6065.58,6048.26,6036.29,6036.43,6033.42,6010.18,6000.11,6035.23,6027.5,6056.75,6061.51,5992.25,6061.16,5994.28,6033.19
2027-02-28,6007.34,6046.48,6059.11,6051.84,6055.3,6056.67,6026.39,6057.49,6062.5,6061.52,6028.46,6051.1,5991.61,6006.96,6051.55,6055.9,6035.55,6065.38,6049.03,6035.55,6036.32,6033.4,6009.81,6000.65,6036.02,6028.42,6060.36,6061.31,5991.94,6061.24,5993.92,6033.15
2027-03-31,6013.08,6050.44,6063.13,6054.23,6065.38,6056.71,6034.38,6059.73,6062.82,6061.39,6030.82,6049.86,5992.81,6013.07,6056.93,6055.9,6042.2,6067.77,6051.52,6035.94,6037.41,6034.98,6009.65,6002.1,6038.01,6029.5,6069.46,6060.43,5998.96,6061.5,5993.84,6034.67
2027-04-30,6020.63,6056.53,6073.19,6062.11,6074.16,6057.94,6046.32,6065.37,6061.97,6064.32,6040.62,6048.34,5991.52,6024.81,6071.2,6061.26,6047.88,6078.26,6055.26,6043.05,6040.47,6041.82,6004.82,6003.84,6038.05,6031.05,6076.83,6059.11,6012.16,6059.98,5992.41,6046.62
2027-05-31,6033.74,6067.2,6074.97,6060.26,6082.01,6065.13,6043.74,6060.46,6052.34,6069.46,6063.86,6045.16,6001.02,6040.53,6079.57,6070.01,6061.72,6075.84,6075.08,6052.02,6047.19,6050.2,6009.18,6012.41,6043.85,6038.87,6065.82,6061.55,6033.6,6063.71,6002.86,6063.01
2027-06-30,6040.62,6073.14,6073.39,6057.92,6084.58,6063.16,6046.7,6054.49,6045.96,6067.26,6071.11,6038.26,6004.14,6043.44,6079.04,6068.77,6066.11,6073.31,6078.92,6059.91,6055.79,6046.35,6007.39,6019.93,6054.32,6048.69,6057.39,6056.14,6054.5,6061.41,6018.19,6065.94
2027-07-31,6037.54,6070.78,6072.14,6053.76,6082.02,6058.8,6047.69,6054.98,6051.05,6060.16,6068.8,6031.08,5995.27,6038.75,6078.16,6065.96,6062.72,6071.26,6077.27,6056.82,6054.39,6038.61,5996.47,6013.98,6051.67,6045.34,6054.79,6050.34,6059.94,6055.22,6021.64,6065.19
2027-08-31,6033.89,6068.02,6073.66,6048.77,6083.29,6053.01,6049.7,6052.12,6056.85,6053.91,6067.6,6021.85,5990.67,6032.06,6076.96,6065.16,6061.02,6070.23,6072.74,6055.85,6050.22,6030.66,5992.29,6008.08,6046.47,6042.98,6052.3,6042.51,6059.27,6050.0,6020.92,6065.79
2027-09-30,6033.61,6063.0,6063.0,6050.29,6063.0,6051.81,6053.61,6050.29,6059.97,6051.7,6063.0,6019.07,5992.22,6033.86,6063.0,6063.0,6060.53,6063.0,6063.0,6056.97,6048.32,6028.25,5999.31,6006.3,6043.48,6040.8,6050.22,6037.56,6056.86,6048.27,6023.32,6063.0
2027-10-31,6032.81,6063.32,6063.66,6051.98,6063.54,6052.24,6059.47,6052.03,6059.56,6052.22,6061.61,6019.39,5991.14,6037.23,6066.54,6068.81,6062.01,6063.02,6062.82,6057.37,6051.43,6026.35,6002.53,6008.4,6043.28,6039.85,6051.7,6035.9,6055.42,6047.55,6022.6,6062.18
2027-11-30,6032.49,6063.31,6064.04,6053.23,6063.75,6053.03,6061.25,6055.15,6059.03,6052.01,6061.02,6019.5,5991.59,6038.96,6068.12,6069.89,6062.1,6063.46,6062.8,6057.33,6051.94,6025.26,6003.14,6008.62,6043.38,6039.36,6051.64,6034.95,6055.31,6047.26,6022.82,6061.97
2027-12-31,6032.42,6063.01,6064.17,6053.46,6063.86,6053.35,6061.85,6056.1,6058.34,6051.26,6060.55,6018.59,5991.93,6039.61,6068.43,6069.98,6063.46,6063.4,6062.39,6057.24,6051.8,6024.15,6003.17,6008.38,6042.91,6039.26,6051.37,6033.7,6055.44,6046.5,6022.82,6061.55
2028-01-31,6032.27,6062.64,6064.29,6053.51,6063.72,6053.2,6062.13,6056.35,6057.81,6050.49,6060.06,6017.81,5991.85,6041.45,6068.36,6069.92,6063.49,6063.22,6061.84,6056.91,6051.85,6023.34,6002.96,6008.33,6042.23,6039.61,6050.82,6032.41,6055.61,6045.43,6022.41,6061.51
2028-02-29,6032.91,6062.9,6064.42,6055.54,6064.45,6053.27,6062.34,6056.91,6057.6,6050.08,6059.58,6017.74,5991.94,6044.22,6068.17,6070.82,6063.31,6063.79,6061.41,6056.86,6051.95,6023.03,6003.55,6009.69,6043.14,6044.01,6050.37,6031.62,6055.92,6045.16,6022.72,6061.62
2028-03-31,6037.4,6066.07,6066.44,6066.3,6064.29,6060.63,6064.3,6057.69,6057.94,6052.2,6058.44,6018.3,5998.57,6050.28,6067.99,6076.21,6066.13,6065.8,6061.82,6057.9,6053.63,6022.9,6005.15,6012.84,6044.13,6055.09,6049.82,6037.67,6056.44,6044.92,6024.3,6066.04
2028-04-30,6043.99,6071.14,6073.51,6075.85,6065.42,6067.89,6069.59,6057.39,6061.75,6061.05,6057.03,6017.06,6011.73,6066.02,6072.69,6081.62,6076.98,6069.22,6067.87,6060.61,6059.82,6018.74,6006.95,6013.18,6045.62,6063.57,6048.43,6048.69,6055.15,6043.19,6037.38,6079.31
2028-05-31,6055.92,6066.01,6067.39,6082.01,6071.97,6065.84,6064.86,6048.39,6067.2,6066.73,6054.09,6024.4,6029.34,6075.67,6066.08,6074.8,6075.1,6073.26,6060.0,6066.57,6066.92,6022.56,6015.36,6021.1,6052.74,6057.6,6051.39,6047.34,6059.31,6050.69,6055.04,6082.23
2028-06-30,6062.5,6057.44,6057.73,6085.25,6069.97,6065.27,6055.16,6041.77,6065.19,6057.07,6047.69,6024.86,6032.47,6074.47,6054.49,6061.15,6072.15,6061.35,6054.05,6073.9,6063.48,6020.56,6022.87,6033.92,6061.48,6056.14,6045.48,6048.9,6057.16,6060.83,6058.21,6082.02
