date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,1043.33,1081.7,1057.59,1121.47,1094.76,1082.43,1072.5,1086.6,1095.3,1052.19,1082.74,1080.96,1121.16,1057.6,1078.12,1085.01,1087.61,1091.76,1132.27,1065.35,1115.01,1049.51,1059.61,1088.24,1068.86,1073.61,1128.6,1078.64,1079.24,1103.05,1075.55,1078.8
2025-06-30,1013.83,1069.51,1064.19,1116.66,1091.68,1073.89,1120.27,1049.31,1099.66,1021.19,1106.19,1048.69,1091.83,1028.89,1062.41,1038.33,1061.98,1058.81,1125.12,1055.16,1091.45,1038.27,1060.3,1038.02,1044.6,1067.2,1276.19,1085.11,1064.58,1068.65,1121.58,1050.97
2025-07-31,926.37,984.65,1017.99,1064.01,1008.76,985.66,1099.96,966.84,1027.41,953.32,1074.14,950.24,1001.95,931.98,965.46,945.25,971.63,997.54,1048.96,975.88,1005.65,950.92,991.87,946.21,962.01,983.59,1243.02,1007.6,980.32,972.36,1059.96,963.61
2025-08-31,860.54,918.26,967.2,1038.75,977.78,908.49,1060.49,889.14,997.66,890.99,1091.8,872.63,947.13,855.47,890.73,867.88,901.84,962.87,1004.77,908.63,925.62,896.08,919.73,867.01,913.39,919.38,1183.08,958.07,912.04,887.42,992.83,882.27
2025-09-30,833.68,907.12,977.41,1033.41,1002.37,920.55,1042.89,883.54,1017.35,874.59,1122.29,851.06,915.68,853.55,895.61,885.83,880.63,970.25,993.41,906.11,895.81,901.26,891.59,842.96,956.14,903.8,1149.8,929.19,889.18,859.14,951.16,857.42
2025-10-31,823.06,910.66,965.69,1021.92,1002.16,934.78,1040.77,885.8,1061.52,888.42,1115.01,848.08,899.33,856.9,887.86,906.66,904.62,1039.42,1006.81,903.31,875.17,902.04,919.96,811.76,975.27,914.51,1148.13,916.53,900.44,841.53,932.64,835.26
2025-11-30,822.21,907.75,962.4,1014.73,997.98,942.77,1034.5,891.12,1069.12,913.37,1106.44,845.8,887.53,858.19,884.61,913.91,905.44,1050.72,1001.11,902.06,869.12,897.03,922.07,799.07,976.06,910.45,1149.12,909.51,895.48,833.47,922.19,831.9
2025-12-31,818.23,902.73,956.88,1005.09,990.18,939.77,1025.78,890.93,1068.61,916.15,1096.42,838.04,875.83,850.23,880.31,912.52,897.18,1047.62,1013.33,894.62,858.27,891.15,915.85,786.96,972.18,902.55,1143.79,906.33,888.04,822.27,914.06,823.42
2026-01-31,814.5,896.96,949.07,999.29,982.62,933.98,1017.32,886.07,1065.83,912.01,1089.39,830.36,864.09,843.28,872.99,920.02,887.62,1043.82,1011.16,886.49,846.52,882.82,911.91,778.17,967.86,897.51,1136.14,907.6,878.26,810.89,905.44,811.93
2026-02-28,815.69,900.1,947.89,995.63,976.52,947.22,1018.63,884.15,1062.97,911.38,1086.24,827.07,853.49,842.41,868.66,939.06,877.65,1052.29,1006.5,886.88,837.14,878.06,908.92,773.63,970.04,903.86,1144.66,949.28,870.3,804.44,899.38,809.22
2026-03-31,844.02,944.33,957.65,1039.22,988.51,1057.7,1010.34,964.2,1077.48,911.19,1083.62,847.62,841.09,846.91,912.22,992.51,866.46,1118.27,1035.9,898.62,837.01,882.18,919.08,770.86,978.46,920.12,1154.69,1067.54,862.45,856.3,894.82,801.43
2026-04-30,872.59,1006.71,1068.69,1154.68,1047.1,1125.45,1000.06,1088.32,1125.63,931.97,1114.6,949.47,826.6,835.84,1008.38,1148.1,896.69,1177.41,1202.59,923.36,896.06,901.41,972.93,729.68,987.71,904.25,1169.17,1167.36,847.23,963.82,858.66,776.37
2026-05-31,945.11,1127.86,1257.83,1158.71,1196.4,1048.87,1067.01,1050.57,1255.79,1082.4,1180.27,1223.37,811.24,899.39,1177.92,1248.93,987.12,1343.46,1159.04,1134.23,988.16,965.34,1049.77,763.52,1059.31,962.29,1247.57,1273.82,890.01,1160.16,899.53,856.71
2026-06-30,950.08,1206.99,1299.15,1126.32,1294.26,1067.42,1040.92,1081.7,1317.12,1237.13,1153.83,1313.99,776.73,910.0,1204.5,1229.97,967.4,1400.83,1144.84,1183.95,1082.65,1051.85,1004.67,743.89,1128.15,1075.86,1353.77,1382.83,851.23,1387.83,873.89,978.97
2026-07-31,879.37,1174.36,1288.78,1101.55,1238.17,1207.84,980.57,1091.06,1320.27,1339.0,1059.51,1279.09,704.07,823.34,1153.57,1212.1,924.75,1355.75,1146.57,1147.8,1042.79,1033.22,920.3,659.05,1075.69,1044.15,1315.41,1353.99,774.4,1452.14,797.8,1003.34
2026-08-31,813.37,1136.97,1295.55,1133.11,1174.83,1230.7,925.08,1108.7,1281.99,1408.49,980.77,1262.45,645.98,766.18,1084.93,1193.48,914.17,1333.67,1135.18,1078.09,1032.68,981.9,853.75,626.51,1026.1,983.97,1288.72,1319.77,709.84,1440.46,749.04,991.43
2026-09-30,786.46,1130.94,1300.78,1177.52,1189.05,1233.88,921.63,1156.89,1257.37,1331.11,953.95,1229.91,632.52,777.09,1099.1,1177.12,926.79,1327.3,1137.32,1048.01,1026.07,958.21,830.03,677.65,1008.11,950.41,1265.25,1295.89,671.0,1331.11,702.17,1009.89
2026-10-31,772.3,1135.44,1289.89,1185.28,1206.48,1240.7,924.21,1226.39,1274.88,1328.14,962.36,1211.64,635.93,770.69,1129.66,1222.03,998.91,1346.11,1140.41,1042.5,1030.79,991.94,811.38,700.35,1021.65,947.71,1255.0,1314.71,659.62,1313.75,679.67,1002.16
2026-11-30,766.29,1135.4,1287.01,1189.48,1218.28,1243.04,930.05,1247.96,1308.98,1323.35,961.89,1203.85,640.82,768.47,1144.26,1241.97,1011.31,1347.2,1148.83,1039.84,1029.79,996.68,800.63,704.32,1020.27,948.49,1249.62,1316.47,655.75,1309.5,676.63,1001.1
2026-12-31,761.33,1131.52,1281.35,1190.48,1218.41,1244.1,930.79,1255.01,1318.6,1316.81,955.26,1196.34,637.11,765.32,1147.63,1245.54,1008.88,1364.88,1150.71,1031.64,1028.12,993.86,789.9,703.76,1015.07,943.15,1248.39,1315.55,649.11,1308.26,668.59,997.69
2027-01-31,755.62,1126.88,1280.49,1191.43,1215.32,1241.91,926.48,1258.41,1320.08,1312.5,948.49,1189.87,634.57,759.03,1163.45,1244.18,1005.6,1365.18,1151.08,1022.16,1023.58,993.18,782.05,701.53,1011.4,935.52,1251.84,1311.84,642.34,1307.35,657.33,990.86
2027-02-28,758.82,1131.0,1281.28,1192.61,1234.04,1250.78,924.93,1260.94,1324.64,1311.94,944.7,1183.92,637.68,755.75,1189.2,1241.41,1014.66,1362.44,1159.91,1014.66,1022.42,992.98,779.05,705.67,1019.39,944.25,1297.1,1309.26,640.12,1308.35,654.7,990.5
2027-03-31,806.28,1176.21,1332.85,1221.13,1362.52,1251.33,1002.8,1289.08,1328.8,1310.25,967.52,1169.53,646.48,806.2,1254.05,1241.33,1084.01,1394.72,1188.82,1018.64,1033.66,1008.82,777.7,716.97,1039.8,954.7,1417.82,1297.96,692.62,1311.66,654.06,1005.74
2027-04-30,871.85,1249.11,1470.24,1319.57,1484.16,1266.6,1129.2,1362.3,1317.77,1348.46,1067.16,1152.08,637.06,910.12,1442.02,1308.56,1146.75,1544.29,1233.56,1093.12,1065.6,1079.87,738.53,730.74,1040.27,969.73,1523.16,1281.19,798.55,1292.21,643.57,1132.56
2027-05-31,996.39,1386.98,1495.81,1295.8,1601.27,1359.13,1100.67,1298.38,1198.54,1417.8,1342.32,1116.31,708.58,1066.25,1564.1,1425.46,1314.54,1508.55,1497.51,1194.72,1139.03,1173.37,773.82,800.66,1101.88,1048.77,1368.29,1312.27,995.02,1340.35,723.0,1331.27
2027-06-30,1067.12,1469.56,1473.03,1266.3,1641.25,1333.18,1133.48,1224.28,1125.14,1387.69,1440.79,1042.45,733.11,1097.44,1555.99,1408.37,1372.28,1471.99,1554.19,1291.36,1239.98,1129.61,759.24,865.57,1222.2,1156.07,1259.76,1244.28,1224.39,1310.46,850.11,1369.97
2027-07-31,1034.94,1436.11,1455.34,1215.42,1601.47,1277.32,1144.68,1230.17,1183.39,1294.54,1408.79,970.09,664.68,1047.53,1542.82,1370.26,1327.43,1442.83,1529.57,1252.65,1223.06,1046.05,673.75,813.81,1190.61,1118.3,1227.92,1175.04,1291.77,1233.06,880.96,1359.94
2027-08-31,997.92,1398.05,1476.91,1156.98,1621.12,1206.53,1167.64,1195.95,1253.04,1217.24,1392.36,882.89,630.87,979.68,1525.08,1359.54,1305.45,1428.43,1463.79,1240.81,1173.7,965.94,642.69,764.84,1130.86,1092.38,1198.06,1087.34,1283.28,1171.12,874.45,1367.89
2027-09-30,995.14,1331.11,1331.11,1174.48,1331.11,1192.21,1213.69,1174.49,1292.11,1191.01,1331.11,857.94,642.18,997.58,1331.11,1331.11,1299.3,1331.11,1331.11,1254.56,1151.84,942.68,695.3,750.42,1097.77,1069.05,1173.65,1035.18,1253.13,1151.19,896.35,1331.11
2027-10-31,987.13,1335.35,1339.71,1194.28,1338.2,1197.34,1285.79,1194.81,1286.98,1197.12,1313.15,860.73,634.31,1031.76,1377.98,1408.84,1318.23,1331.36,1328.8,1259.56,1187.76,924.53,720.38,767.41,1095.67,1059.06,1191.0,1018.14,1235.53,1143.11,889.67,1320.51
2027-11-30,983.98,1335.19,1344.71,1209.1,1340.97,1206.69,1308.49,1232.19,1280.22,1194.62,1305.57,861.7,637.55,1049.74,1399.42,1423.83,1319.38,1337.12,1328.47,1258.98,1193.76,914.34,725.17,769.22,1096.71,1053.86,1190.28,1008.59,1234.14,1139.75,891.73,1317.72
2027-12-31,983.23,1331.21,1346.51,1211.9,1342.38,1210.48,1316.19,1243.82,1271.53,1185.77,1299.43,853.69,640.04,1056.54,1403.67,1425.06,1337.18,1336.29,1323.17,1257.84,1192.11,904.01,725.42,767.27,1091.65,1052.81,1187.04,995.99,1235.81,1131.25,891.74,1312.36
2028-01-31,981.73,1326.48,1348.0,1212.41,1340.49,1208.77,1319.76,1246.96,1264.96,1176.75,1293.21,846.79,639.44,1075.91,1402.74,1424.18,1337.5,1333.96,1316.1,1253.77,1192.72,896.55,723.75,766.86,1084.25,1056.49,1180.67,983.13,1237.81,1119.27,887.94,1311.77
2028-02-29,988.13,1329.8,1349.8,1237.03,1350.14,1209.54,1322.55,1253.78,1262.35,1172.02,1287.16,846.14,640.08,1105.93,1400.17,1436.66,1335.12,1341.47,1310.54,1253.13,1193.88,893.67,728.43,778.03,1094.14,1103.65,1175.45,975.41,1241.64,1116.25,890.79,1313.16
2028-03-31,1033.5,1371.71,1376.62,1374.81,1348.07,1300.56,1348.22,1263.49,1266.59,1196.91,1272.83,851.11,689.69,1174.41,1397.66,1513.98,1372.49,1368.09,1315.75,1266.13,1213.93,892.42,741.17,804.26,1104.95,1231.46,1168.97,1036.34,1248.04,1113.64,905.37,1371.29
2028-04-30,1103.41,1441.24,1474.76,1508.68,1363.07,1396.28,1419.62,1259.72,1314.92,1305.89,1255.25,840.24,794.92,1371.04,1463.1,1595.26,1525.32,1414.49,1396.06,1300.23,1290.22,854.97,755.67,807.08,1121.41,1338.55,1153.09,1156.05,1232.28,1094.68,1033.32,1560.09
2028-05-31,1241.65,1370.93,1389.52,1601.3,1452.84,1368.64,1355.59,1152.64,1386.99,1380.61,1219.44,906.32,953.09,1506.06,1371.89,1493.36,1497.73,1471.27,1292.46,1378.46,1383.1,889.37,825.62,876.05,1203.31,1262.33,1187.31,1140.7,1283.71,1179.15,1230.9,1604.68
2028-06-30,1324.66,1260.35,1263.95,1651.96,1424.9,1361.06,1232.39,1079.34,1359.93,1255.72,1144.66,910.61,983.71,1488.58,1224.24,1307.15,1455.39,1309.77,1218.96,1480.36,1337.38,871.25,892.17,998.16,1311.44,1244.3,1119.86,1158.39,1256.96,1303.05,1269.98,1601.47
2028-07-31,1291.65,1227.54,1213.71,1601.48,1364.55,1332.81,1235.42,1133.42,1266.76,1222.43,1072.15,823.41,932.19,1469.84,1187.46,1259.73,1423.34,1279.53,1182.83,1461.61,1253.57,786.41,840.89,969.84,1271.27,1217.3,1051.24,1214.9,1178.99,1328.39,1260.53,1601.17
2028-08-31,1253.96,1190.01,1156.06,1601.18,1293.72,1351.2,1201.69,1206.76,1191.02,1207.13,985.0,773.25,864.01,1451.66,1174.8,1235.82,1407.35,1213.97,1168.76,1410.6,1172.51,781.51,792.58,910.37,1246.21,1184.83,964.17,1203.88,1117.97,1317.86,1269.07,1601.2
2028-09-30,1247.7,1180.91,1171.44,1601.16,1280.64,1400.77,1180.88,1248.64,1164.82,1176.28,960.22,775.03,885.49,1436.5,1180.41,1229.21,1406.81,1182.33,1180.79,1388.77,1145.76,832.07,778.84,878.15,1221.74,1162.21,912.43,1175.13,1098.07,1338.67,1274.1,1601.19
2028-10-31,1239.38,1182.26,1188.64,1601.16,1282.65,1471.11,1198.15,1246.7,1174.95,1159.19,963.12,768.35,917.97,1481.97,1256.09,1245.3,1407.51,1180.25,1184.19,1425.48,1128.01,852.62,796.13,876.97,1211.45,1180.41,895.86,1158.81,1090.28,1332.55,1263.88,1601.16
