date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,4711.05,4728.61,4713.5,4740.25,4718.63,4722.69,4761.88,4733.72,4726.24,4717.21,4717.7,4734.43,4734.88,4706.96,4712.99,4732.46,4720.13,4721.47,4730.34,4711.35,4733.57,4703.79,4711.3,4723.42,4718.24,4717.94,4735.09,4732.13,4726.08,4735.7,4704.42,4730.76
2025-06-30,4719.58,4753.01,4742.52,4768.06,4754.61,4734.62,4856.17,4744.84,4771.96,4733.92,4763.55,4760.01,4753.89,4720.96,4767.01,4733.71,4762.83,4738.7,4742.64,4743.52,4753.67,4755.22,4758.71,4725.95,4741.23,4757.32,4824.7,4770.93,4753.1,4745.07,4764.38,4747.96
2025-07-31,4703.87,4741.51,4737.68,4762.84,4753.75,4712.27,4925.75,4729.59,4764.42,4735.77,4779.25,4738.14,4735.3,4696.5,4753.68,4718.25,4763.66,4713.13,4725.57,4747.54,4760.85,4755.69,4780.51,4701.53,4723.03,4743.24,4851.5,4768.31,4737.37,4718.72,4793.49,4723.84
2025-08-31,4672.85,4712.75,4708.03,4731.02,4720.25,4677.44,4909.56,4695.77,4738.27,4708.62,4756.21,4703.72,4701.13,4660.46,4722.18,4685.97,4734.53,4677.19,4692.86,4719.42,4731.61,4728.89,4754.66,4667.25,4691.81,4712.25,4825.86,4743.54,4705.58,4684.43,4765.17,4689.98
2025-09-30,4655.84,4698.41,4695.47,4718.0,4708.47,4658.55,4903.45,4678.55,4731.64,4694.57,4747.92,4685.79,4682.2,4643.82,4711.42,4668.99,4718.33,4659.07,4678.5,4704.5,4714.87,4711.27,4742.66,4645.76,4683.09,4700.78,4815.86,4738.61,4686.61,4665.21,4749.86,4671.42
2025-10-31,4648.26,4693.18,4686.36,4708.73,4702.97,4650.51,4893.45,4675.23,4739.87,4687.37,4739.15,4680.44,4669.45,4636.82,4703.76,4667.02,4715.28,4685.57,4677.18,4695.94,4705.08,4708.46,4737.0,4633.09,4686.79,4701.81,4815.14,4737.17,4679.3,4660.45,4741.05,4660.86
2025-11-30,4640.13,4685.74,4676.99,4698.03,4695.01,4641.29,4878.78,4667.91,4735.3,4682.81,4727.59,4671.08,4655.82,4625.57,4693.06,4667.68,4709.48,4682.95,4671.12,4684.31,4694.34,4701.4,4729.45,4618.02,4683.49,4695.02,4809.13,4730.09,4666.97,4650.79,4730.41,4650.77
2025-12-31,4621.94,4670.79,4661.57,4682.57,4678.3,4621.96,4860.36,4655.71,4724.02,4668.4,4712.24,4651.73,4634.63,4605.07,4676.59,4653.39,4693.95,4666.15,4655.78,4666.92,4678.48,4688.39,4715.62,4596.14,4668.9,4683.4,4797.67,4714.62,4646.19,4634.31,4719.15,4632.5
2026-01-31,4592.62,4647.17,4635.63,4662.94,4653.18,4596.59,4828.71,4633.57,4701.27,4643.63,4685.38,4620.92,4603.82,4575.73,4650.7,4641.36,4669.4,4638.31,4629.23,4641.41,4653.09,4667.29,4692.35,4563.46,4642.9,4660.14,4775.69,4698.32,4618.42,4609.69,4694.63,4604.32
2026-02-28,4574.61,4632.1,4615.94,4655.46,4631.07,4574.26,4801.75,4615.66,4682.95,4623.13,4664.55,4597.34,4575.59,4550.84,4627.13,4634.49,4647.42,4617.24,4606.59,4620.2,4632.7,4647.68,4671.84,4537.1,4619.94,4644.73,4758.13,4690.18,4594.68,4592.74,4671.93,4577.69
