date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,17.2,17.48,17.24,17.64,17.32,17.37,17.94,17.55,17.44,17.29,17.3,17.56,17.57,17.15,17.23,17.53,17.34,17.36,17.5,17.21,17.55,17.1,17.21,17.38,17.31,17.31,17.57,17.53,17.43,17.58,17.11,17.51
2025-06-30,27.57,28.71,28.13,29.28,28.5,28.17,31.56,28.65,29.06,28.04,28.67,28.98,28.86,27.51,28.64,28.39,28.71,28.23,28.53,28.11,28.83,28.2,28.43,27.99,28.22,28.55,30.36,29.17,28.65,28.7,28.41,28.65
2025-07-31,33.17,35.02,34.67,35.92,35.36,33.79,42.27,34.52,36.07,34.4,36.23,35.11,34.88,33.03,35.67,33.92,35.81,33.91,34.35,34.93,35.51,35.42,36.14,33.29,34.23,35.17,39.52,36.14,34.92,34.22,36.61,34.41
2025-08-31,32.22,34.16,33.95,35.18,34.65,32.54,43.82,33.46,35.4,33.92,36.22,33.86,33.73,31.74,34.7,32.91,35.29,32.55,33.27,34.48,35.15,34.95,36.21,32.03,33.16,34.19,39.68,35.63,33.89,32.88,36.79,33.14
2025-09-30,28.95,30.79,30.62,31.69,31.19,29.11,40.1,29.97,32.19,30.61,32.96,30.31,30.17,28.41,31.3,29.54,31.77,29.12,29.91,31.08,31.62,31.48,32.81,28.61,29.99,30.83,36.06,32.47,30.37,29.42,33.2,29.69
2025-10-31,19.71,21.06,20.92,21.61,21.37,19.78,27.46,20.48,22.37,20.92,22.61,20.67,20.45,19.35,21.42,20.2,21.72,20.34,20.51,21.2,21.5,21.49,22.49,19.32,20.73,21.23,24.86,22.43,20.67,20.04,22.67,20.14
2025-11-30,19.2,20.52,20.29,20.92,20.8,19.25,26.28,20.0,21.99,20.39,21.86,20.12,19.73,18.83,20.78,19.87,21.18,20.37,20.07,20.54,20.82,20.97,21.86,18.67,20.4,20.78,24.18,21.87,20.04,19.53,21.93,19.53
2025-12-31,15.11,16.2,15.99,16.49,16.4,15.13,20.7,15.82,17.43,16.14,17.19,15.81,15.44,14.75,16.36,15.79,16.75,16.12,15.86,16.14,16.39,16.59,17.26,14.56,16.16,16.46,19.2,17.25,15.7,15.38,17.32,15.35
2026-01-31,4.18,4.58,4.5,4.69,4.64,4.19,6.09,4.47,5.01,4.56,4.9,4.4,4.27,4.04,4.62,4.49,4.76,4.53,4.45,4.54,4.64,4.73,4.94,3.96,4.56,4.68,5.63,4.96,4.37,4.29,4.97,4.26
2026-02-28,4.24,4.72,4.6,4.89,4.74,4.25,6.3,4.59,5.18,4.67,5.03,4.46,4.29,4.05,4.71,4.71,4.88,4.62,4.53,4.64,4.75,4.88,5.09,3.94,4.65,4.83,5.87,5.2,4.43,4.39,5.1,4.3
