date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,1586.62,1590.18,1587.12,1592.49,1588.17,1588.99,1596.67,1591.2,1589.7,1587.88,1587.98,1591.34,1591.43,1585.78,1587.02,1590.95,1588.48,1588.75,1590.53,1586.68,1591.17,1585.12,1586.67,1589.14,1588.09,1588.03,1591.47,1590.88,1589.67,1591.59,1585.26,1590.61
2025-06-30,1539.22,1548.95,1544.1,1553.88,1547.35,1544.38,1572.67,1548.4,1551.96,1543.19,1548.81,1551.33,1550.3,1538.68,1548.54,1546.08,1549.14,1544.92,1547.35,1543.87,1550.01,1544.58,1546.69,1542.86,1544.77,1547.71,1562.76,1552.88,1548.49,1548.82,1546.39,1548.43
2025-07-31,1589.05,1603.09,1600.34,1609.93,1605.72,1593.77,1651.63,1599.21,1610.94,1598.3,1612.11,1603.76,1602.06,1587.81,1608.02,1594.8,1609.11,1594.74,1597.99,1602.43,1606.88,1606.2,1611.44,1589.86,1597.22,1604.23,1635.17,1611.47,1602.31,1597.11,1614.82,1598.68
2025-08-31,1579.26,1595.22,1593.51,1602.92,1599.08,1582.0,1659.67,1589.39,1604.61,1593.26,1610.75,1592.73,1591.63,1574.98,1599.45,1585.05,1603.75,1582.12,1587.98,1597.72,1602.66,1601.15,1610.69,1577.55,1587.25,1595.46,1635.36,1606.35,1592.95,1584.82,1614.96,1587.03
2025-09-30,1113.14,1125.57,1124.46,1130.96,1128.1,1114.28,1174.64,1120.14,1133.86,1124.41,1138.47,1122.4,1121.48,1109.26,1128.79,1117.21,1131.49,1114.32,1119.7,1127.41,1130.6,1129.71,1137.56,1110.65,1120.23,1125.85,1155.7,1135.53,1122.79,1116.39,1139.91,1118.18
2025-10-31,1179.68,1194.02,1192.47,1199.44,1197.11,1180.52,1247.5,1187.97,1206.11,1192.49,1208.36,1189.98,1187.62,1175.61,1197.68,1185.05,1200.49,1186.44,1188.28,1195.4,1198.41,1198.38,1207.29,1175.29,1190.57,1195.74,1227.77,1206.73,1189.93,1183.32,1208.91,1184.43
2025-11-30,1412.94,1431.15,1428.13,1436.43,1434.78,1413.66,1494.89,1424.15,1448.84,1429.47,1447.35,1425.81,1420.55,1407.4,1434.56,1422.47,1439.78,1429.14,1425.18,1431.4,1435.05,1437.01,1447.3,1404.94,1429.49,1434.57,1473.37,1447.45,1424.77,1417.7,1448.19,1417.78
2025-12-31,1539.23,1558.2,1554.29,1563.31,1561.78,1539.5,1627.7,1551.01,1579.27,1557.05,1575.42,1550.81,1543.49,1531.77,1561.0,1550.44,1568.06,1556.59,1551.73,1557.05,1561.67,1565.24,1576.46,1527.75,1557.31,1562.86,1606.21,1576.39,1548.65,1544.54,1577.36,1544.12
2026-01-31,1445.49,1466.35,1461.91,1472.09,1469.17,1446.43,1532.51,1460.21,1487.85,1465.09,1482.51,1456.54,1448.85,1437.52,1468.3,1461.42,1475.71,1463.47,1459.27,1464.3,1469.19,1474.16,1484.53,1432.35,1465.04,1471.68,1514.17,1485.5,1454.77,1450.14,1485.65,1448.48
2026-02-28,1028.0,1046.57,1042.17,1052.56,1047.33,1028.62,1093.14,1041.8,1062.12,1044.59,1057.21,1036.72,1030.1,1020.65,1046.33,1046.04,1052.31,1042.81,1039.61,1043.77,1047.57,1052.04,1059.27,1015.78,1043.97,1050.51,1081.78,1062.74,1035.85,1034.07,1059.61,1030.55
2026-03-31,1115.52,1137.53,1130.78,1144.52,1136.17,1118.11,1187.17,1131.69,1152.74,1132.65,1146.98,1123.03,1112.49,1104.3,1134.88,1139.38,1140.93,1132.86,1126.06,1132.28,1137.13,1142.41,1149.21,1098.85,1131.72,1142.35,1176.42,1162.15,1120.88,1122.75,1149.25,1115.01
2026-04-30,1313.94,1341.03,1331.55,1351.47,1336.04,1321.4,1398.2,1338.31,1356.53,1329.83,1347.6,1320.13,1302.69,1297.64,1341.92,1349.47,1342.96,1338.47,1320.59,1330.13,1336.76,1348.22,1352.6,1283.92,1329.34,1345.04,1385.73,1387.04,1312.89,1324.49,1349.07,1307.82
2026-05-31,1436.48,1472.26,1456.41,1502.81,1459.5,1458.52,1536.35,1497.12,1492.3,1455.13,1473.5,1446.05,1399.94,1417.41,1473.93,1495.25,1477.2,1468.97,1449.85,1466.39,1447.87,1488.19,1470.65,1385.71,1455.62,1464.22,1515.72,1533.09,1422.41,1458.24,1467.82,1416.65
2026-06-30,1509.59,1556.31,1523.61,1620.43,1529.18,1579.53,1623.53,1619.71,1579.24,1544.8,1546.06,1520.95,1435.58,1501.31,1539.18,1598.53,1561.08,1537.77,1559.4,1558.38,1521.03,1601.69,1519.77,1444.8,1546.83,1534.4,1596.9,1619.59,1476.02,1565.21,1536.55,1487.39
2026-07-31,1563.17,1623.7,1575.55,1715.9,1582.8,1697.02,1693.12,1711.14,1650.28,1629.28,1600.48,1577.49,1463.66,1569.68,1587.69,1683.0,1623.84,1589.03,1656.22,1631.99,1593.83,1711.93,1558.5,1497.29,1625.29,1598.79,1666.37,1690.93,1515.18,1664.26,1593.57,1556.58
2026-08-31,1536.93,1602.37,1547.77,1705.07,1554.46,1702.85,1672.99,1699.13,1634.48,1620.35,1572.6,1549.27,1427.87,1545.7,1560.12,1668.66,1599.06,1561.64,1648.62,1618.23,1572.49,1713.11,1524.35,1463.81,1607.95,1578.15,1647.85,1672.47,1479.12,1659.29,1566.43,1536.2
2026-09-30,1092.55,1144.97,1102.54,1221.19,1106.76,1221.58,1194.62,1218.51,1169.55,1161.57,1120.07,1102.78,1018.02,1102.73,1112.14,1194.27,1140.82,1112.72,1180.21,1156.88,1122.51,1228.43,1080.63,1039.43,1150.47,1126.72,1179.29,1196.63,1048.2,1188.26,1115.86,1094.83
2026-10-31,1173.44,1233.43,1184.62,1317.39,1189.18,1318.07,1286.28,1316.32,1259.37,1252.33,1204.02,1184.0,1094.0,1186.34,1196.82,1287.51,1232.66,1197.53,1271.34,1245.88,1208.3,1325.56,1157.49,1119.19,1241.71,1213.19,1270.98,1289.29,1120.32,1280.66,1198.81,1177.86
2026-11-30,1418.56,1492.7,1431.23,1595.27,1438.62,1596.59,1556.15,1596.03,1522.19,1513.18,1454.62,1430.26,1314.13,1434.23,1449.08,1558.6,1498.48,1449.12,1536.59,1507.14,1461.49,1605.84,1395.43,1354.95,1505.24,1467.18,1536.38,1559.55,1342.86,1548.48,1447.33,1424.81
2026-12-31,1524.13,1608.52,1537.19,1719.86,1547.3,1722.23,1676.63,1721.81,1639.18,1628.21,1564.95,1535.72,1259.59,1541.76,1563.41,1679.64,1616.1,1562.28,1653.82,1623.92,1573.6,1732.23,1494.13,1454.17,1623.03,1579.26,1653.42,1680.21,1437.96,1667.73,1558.93,1533.09
2027-01-31,1415.19,1500.32,1428.73,1605.38,1438.18,1608.65,1564.01,1607.78,1527.24,1515.77,1451.22,1425.27,998.29,1433.39,1456.08,1566.66,1506.46,1451.18,1540.91,1514.7,1466.51,1618.06,1382.72,1348.23,1513.97,1470.65,1541.4,1567.38,1342.16,1554.99,1447.97,1425.77
