date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,3559.77,3562.84,3560.2,3564.84,3561.1,3561.81,3568.5,3563.72,3562.43,3560.85,3560.94,3563.84,3563.92,3559.04,3560.11,3563.51,3561.36,3561.6,3563.14,3559.82,3563.7,3558.48,3559.81,3561.94,3561.03,3560.98,3563.96,3563.45,3562.4,3564.06,3558.59,3563.21
2025-06-30,3561.27,3567.01,3565.23,3569.53,3567.28,3563.88,3583.59,3565.63,3570.18,3563.76,3568.78,3568.19,3567.16,3561.51,3569.36,3563.72,3568.66,3564.58,3565.25,3565.4,3567.12,3567.38,3567.97,3562.38,3565.01,3567.74,3578.7,3570.01,3567.03,3565.67,3568.92,3566.16
2025-07-31,3558.5,3565.06,3564.4,3568.66,3567.14,3559.98,3593.93,3563.01,3568.93,3564.07,3571.39,3564.48,3563.99,3557.18,3567.12,3561.04,3568.8,3560.14,3562.31,3566.09,3568.33,3567.46,3571.59,3558.08,3561.87,3565.35,3582.88,3569.58,3564.35,3561.12,3573.71,3562.01
2025-08-31,3552.89,3560.07,3559.23,3563.26,3561.39,3553.73,3591.59,3557.05,3564.5,3559.34,3567.55,3558.47,3558.01,3550.59,3561.72,3555.28,3563.86,3553.68,3556.53,3561.24,3563.36,3562.89,3567.29,3551.86,3556.34,3559.98,3578.89,3565.4,3558.8,3555.0,3569.05,3556.01
2025-09-30,3549.73,3557.52,3557.0,3560.99,3559.31,3550.24,3590.7,3553.93,3563.36,3556.83,3566.15,3555.25,3554.6,3547.47,3559.83,3552.18,3561.05,3550.33,3553.92,3558.61,3560.44,3559.81,3565.25,3547.83,3554.76,3557.95,3577.3,3564.56,3555.4,3551.48,3566.48,3552.62
2025-10-31,3548.31,3556.58,3555.35,3559.36,3558.34,3548.73,3589.22,3553.32,3564.78,3555.54,3564.65,3554.28,3552.26,3546.13,3558.48,3551.81,3560.51,3555.21,3553.68,3557.08,3558.71,3559.31,3564.29,3545.42,3555.43,3558.13,3577.19,3564.31,3554.07,3550.59,3564.98,3550.67
2025-11-30,3546.76,3555.24,3553.65,3557.45,3556.91,3546.98,3587.03,3551.98,3563.99,3554.71,3562.66,3552.56,3549.73,3543.97,3556.56,3551.94,3559.49,3554.73,3552.57,3554.98,3556.79,3558.06,3562.98,3542.5,3554.83,3556.91,3576.23,3563.1,3551.8,3548.78,3563.15,3548.78
2025-12-31,3543.26,3552.51,3550.8,3554.66,3553.89,3543.27,3584.23,3549.71,3562.04,3552.07,3559.98,3548.96,3545.71,3539.95,3553.57,3549.27,3556.72,3551.65,3549.72,3551.79,3553.92,3555.72,3560.57,3538.17,3552.16,3554.82,3574.39,3560.4,3547.92,3545.65,3561.19,3545.3
2026-01-31,3537.46,3548.1,3545.9,3551.06,3549.23,3538.26,3579.33,3545.51,3558.03,3547.43,3555.18,3543.06,3539.7,3534.02,3548.76,3547.0,3552.25,3546.42,3544.67,3547.01,3549.22,3551.86,3556.43,3531.48,3547.29,3550.53,3570.8,3557.51,3542.58,3540.86,3556.85,3539.8
2026-02-28,3533.79,3545.23,3542.09,3549.66,3545.03,3533.72,3575.05,3542.04,3554.73,3543.49,3551.35,3538.41,3533.99,3528.83,3544.27,3545.69,3548.15,3542.34,3540.25,3542.92,3545.34,3548.2,3552.7,3525.88,3542.87,3547.64,3567.87,3556.04,3537.87,3537.48,3552.72,3534.42
