date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,11.3,16.3,12.36,21.27,13.57,16.36,12.84,19.3,16.61,12.64,13.84,22.24,20.96,13.61,16.63,19.41,18.0,17.34,16.95,14.18,21.63,10.0,9.78,19.81,16.24,15.35,13.31,14.42,15.44,20.49,9.22,20.15
2025-06-30,14.88,14.88,14.88,14.88,14.88,14.88,20.29,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,21.46,14.88,14.88,14.88,14.88,14.88
2025-07-31,15.37,15.37,15.37,15.37,15.37,15.37,34.38,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,21.13,15.37,15.37,15.37,15.37,15.37
2025-08-31,12.3,12.3,12.3,12.3,12.3,12.3,24.12,12.3,14.47,12.3,13.52,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.49,12.3,12.3,12.3,12.3,20.84,12.3,12.3,12.3,18.73,12.3
2025-09-30,8.93,12.14,15.02,20.21,11.44,8.93,22.56,8.93,20.24,8.93,19.98,8.93,9.11,8.93,15.73,8.93,11.31,8.93,8.93,18.83,8.93,19.66,16.69,8.93,17.62,14.53,20.62,16.32,13.91,8.93,19.74,11.72
2025-10-31,6.15,8.41,7.01,7.74,8.01,6.15,10.42,6.15,8.36,6.15,7.73,6.15,7.23,6.15,8.06,6.15,8.68,9.49,8.07,7.94,6.49,7.52,7.65,6.15,9.73,10.93,8.1,7.33,8.37,6.15,7.39,8.69
2025-11-30,4.46,7.36,6.4,6.84,7.02,6.68,8.58,4.46,7.3,4.46,6.92,5.98,7.26,4.46,6.77,4.46,7.86,7.97,7.39,7.1,7.33,7.59,6.79,4.46,7.42,7.98,7.28,6.55,7.35,4.46,6.77,8.74
2025-12-31,4.61,4.61,4.61,4.61,4.61,4.61,5.74,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.67,4.61,4.67,4.61,4.61,4.98
2026-01-31,4.61,4.61,4.61,4.61,4.61,4.61,4.93,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61
2026-02-28,4.17,4.55,4.17,4.17,4.17,4.17,4.78,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17
2026-03-31,4.61,7.29,4.61,4.61,4.61,4.9,6.59,4.61,5.06,4.61,4.61,4.61,4.61,4.61,5.22,4.61,4.61,6.73,4.61,4.75,4.61,4.61,4.61,4.61,4.61,6.86,6.79,4.71,5.0,4.61,4.61,5.28
2026-04-30,7.18,9.75,7.83,7.48,7.04,6.5,8.93,4.46,6.28,6.01,8.67,6.34,7.43,4.46,10.79,4.46,9.52,9.1,4.46,6.41,5.82,7.05,10.87,4.46,6.29,8.83,7.95,10.36,6.92,4.46,6.18,7.48
2026-05-31,7.74,10.74,9.5,16.44,9.23,12.36,32.11,16.93,7.69,7.69,14.52,9.78,7.69,7.69,11.27,7.69,14.83,12.56,7.69,16.89,7.69,7.69,7.69,7.69,11.46,7.69,7.69,15.31,11.75,7.69,7.69,7.69
2026-06-30,14.88,16.8,14.88,40.95,15.16,56.02,35.5,44.66,14.88,20.15,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,48.37,15.07,14.88,37.43,14.88,14.88,28.15,20.04,14.88,28.88,14.88,21.73,14.88,16.79
2026-07-31,15.37,17.96,15.37,35.81,17.64,77.18,26.73,29.76,15.37,32.68,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,41.95,23.87,15.37,45.28,15.37,15.37,21.91,20.97,15.79,23.38,15.37,42.11,15.37,20.1
2026-08-31,12.3,20.28,12.3,24.94,19.59,36.12,22.78,25.22,12.3,24.73,12.3,12.3,12.3,14.68,12.3,20.15,18.55,12.3,25.87,21.38,15.31,27.22,12.3,12.3,22.22,20.61,20.82,24.33,12.3,25.97,12.3,20.51
2026-09-30,14.14,21.64,18.38,23.69,20.38,28.37,22.4,23.36,17.2,22.33,12.47,12.44,8.93,22.16,8.93,20.62,21.3,16.97,23.16,20.97,20.38,23.16,8.93,8.93,23.85,20.91,20.89,22.19,8.93,22.72,21.31,20.57
2026-10-31,8.41,9.41,7.41,10.86,9.1,13.52,9.99,10.53,8.44,9.03,7.25,7.0,6.15,8.15,6.15,9.1,11.03,8.6,10.47,9.3,7.68,10.26,6.15,9.37,13.53,7.76,7.84,10.26,6.15,9.23,8.73,7.69
2026-11-30,7.36,7.36,6.53,9.33,7.73,10.64,9.49,9.05,7.07,7.97,6.41,7.05,4.46,6.82,6.11,8.2,8.56,7.49,9.19,8.22,7.71,8.91,4.46,7.17,9.5,6.96,6.96,8.87,4.46,8.31,8.86,6.97
2026-12-31,4.61,4.61,4.61,5.98,4.61,7.61,6.3,5.96,4.61,5.07,4.61,4.61,4.61,4.61,4.61,4.67,4.94,4.61,6.04,4.82,4.61,5.85,4.61,4.61,5.53,4.61,4.61,6.05,4.61,5.6,5.06,4.61
2027-01-31,4.61,4.61,4.61,5.39,4.61,6.56,5.33,5.37,4.61,4.65,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,5.41,4.61,4.61,5.37,4.61,4.61,4.9,4.61,4.61,5.11,4.61,5.09,4.61,4.61
2027-02-28,4.55,4.55,4.17,5.25,4.17,6.11,5.11,5.19,4.17,4.67,4.17,4.17,4.17,4.17,4.17,4.17,4.17,4.17,5.25,4.17,4.17,5.17,4.17,4.17,5.4,4.17,4.17,5.06,4.17,4.96,4.17,4.17
2027-03-31,7.29,7.29,4.61,7.61,6.74,7.95,7.7,7.31,5.51,6.53,4.61,4.61,4.61,5.29,4.61,5.23,8.22,4.61,7.68,5.71,4.77,7.75,4.61,4.61,8.1,5.71,5.81,6.81,4.61,6.85,5.35,5.44
2027-04-30,9.75,9.75,5.91,9.76,6.86,10.72,8.42,7.51,6.9,9.9,5.87,6.56,4.46,10.78,5.24,9.99,10.13,4.46,7.63,7.51,7.21,13.42,4.46,5.27,10.52,7.61,10.6,8.01,4.46,7.63,7.39,9.6
2027-05-31,10.74,10.74,13.85,14.27,13.06,39.35,21.42,7.69,7.69,17.54,9.6,7.69,7.69,12.11,8.01,16.4,14.21,7.69,21.78,7.69,7.69,9.24,7.69,11.59,7.69,7.69,15.42,15.02,7.69,9.87,7.69,11.51
2027-06-30,16.8,16.8,40.72,18.99,58.52,38.95,49.02,14.88,23.0,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,49.38,18.69,14.88,38.99,14.88,14.88,28.36,25.05,14.88,30.32,14.88,21.37,14.88,16.55,14.88
2027-07-31,17.96,17.96,36.85,18.79,77.94,27.63,31.79,15.37,33.22,15.37,15.37,15.37,15.37,15.37,16.62,15.37,15.37,42.1,25.65,15.37,45.6,15.37,15.37,21.84,21.63,15.99,24.02,15.37,42.06,15.37,20.67,15.37
2027-08-31,20.28,20.28,25.01,20.19,36.2,23.29,25.88,18.29,24.84,12.3,12.3,12.3,12.3,12.3,21.31,19.61,12.3,25.79,22.14,19.86,27.21,12.3,12.3,22.13,20.97,20.65,24.6,12.3,25.88,16.46,20.57,12.3
2027-09-30,21.64,21.64,23.61,20.97,28.39,22.84,23.79,20.47,22.37,15.0,13.2,8.93,8.93,8.93,20.6,21.33,18.39,23.07,21.48,20.55,23.13,8.93,8.93,23.76,21.19,20.72,22.29,8.93,22.63,22.0,20.54,19.57
2027-10-31,8.41,9.41,10.74,9.7,13.53,10.41,10.91,8.98,9.06,7.49,6.96,6.15,6.15,6.15,9.09,11.06,8.71,10.39,9.78,7.84,10.23,6.15,6.15,13.44,8.02,7.68,10.3,6.15,9.15,9.13,7.65,7.5
2027-11-30,7.36,7.36,9.28,8.23,10.65,9.9,9.39,7.52,8.0,6.62,7.04,4.46,4.46,6.37,8.25,8.57,7.58,9.11,8.67,7.85,8.88,4.46,4.46,9.42,7.18,6.83,8.91,4.46,8.23,9.22,6.93,6.61
2027-12-31,4.61,4.61,5.9,5.07,7.62,6.66,6.25,4.98,5.09,4.61,4.61,4.61,4.61,4.61,4.67,4.95,4.61,5.96,5.22,4.61,5.82,4.61,4.61,5.46,4.61,4.61,6.12,4.61,5.53,5.37,4.61,4.61
2028-01-31,4.61,4.61,5.32,4.61,6.56,5.64,5.63,4.61,4.67,4.61,4.61,4.61,4.61,4.61,4.61,4.61,4.61,5.34,4.66,4.61,5.33,4.61,4.61,4.83,4.61,4.61,5.14,4.61,5.02,4.61,4.61,4.61
2028-02-29,4.55,4.55,5.34,4.66,6.3,5.52,5.55,4.31,4.81,4.31,4.31,4.31,4.31,4.31,4.31,4.31,4.31,5.34,4.73,4.31,5.3,4.31,4.31,5.5,4.31,4.31,5.22,4.31,5.04,4.31,4.31,4.31
2028-03-31,7.29,7.29,7.52,7.53,7.97,8.04,7.51,6.6,6.59,4.61,4.61,4.61,4.61,4.61,5.16,8.3,4.61,7.64,6.14,5.14,7.85,4.61,4.61,8.16,6.42,5.42,6.81,4.61,6.8,6.05,5.24,4.61
2028-04-30,9.75,9.75,9.69,7.4,10.84,8.86,7.74,7.38,10.44,6.95,6.41,4.46,6.35,5.26,10.01,10.59,4.46,7.77,7.83,7.39,13.65,4.46,4.46,10.54,7.94,10.51,8.02,4.46,7.78,7.69,9.56,6.66
2028-05-31,10.74,10.74,14.37,15.05,41.04,23.29,7.86,7.91,18.72,10.55,7.69,7.69,12.42,9.15,16.59,14.56,7.99,22.88,7.69,7.69,9.39,7.69,7.69,7.69,7.69,16.29,15.26,7.69,11.09,7.69,11.58,17.32
2028-06-30,16.8,16.8,19.05,61.53,38.71,50.0,14.88,25.37,14.88,14.88,14.88,14.88,14.88,14.88,14.88,14.88,52.18,18.65,14.88,41.79,14.88,14.88,18.27,26.04,14.88,30.38,14.88,29.66,14.88,18.48,14.88,40.96
2028-07-31,17.96,17.96,18.77,76.34,26.87,30.9,15.37,32.64,15.37,15.37,15.37,15.37,15.37,15.93,15.37,15.37,40.5,25.06,15.37,44.3,15.37,15.37,21.79,21.09,17.06,23.54,15.37,40.7,15.37,20.33,15.37,34.55
2028-08-31,20.28,20.28,20.16,35.73,23.15,25.83,19.24,24.71,12.3,12.3,12.3,12.3,12.3,21.21,19.74,12.3,25.52,22.0,21.18,26.93,12.3,12.3,22.09,20.85,20.66,24.34,12.3,25.69,15.28,20.58,12.3,24.61
2028-09-30,21.64,21.64,20.95,28.18,22.83,23.8,20.56,22.42,13.81,13.01,8.93,8.93,8.93,20.58,21.32,18.05,23.02,21.45,20.67,23.08,8.93,8.93,23.72,21.15,20.76,22.18,8.93,22.64,21.99,20.61,19.51,23.53
2028-10-31,8.41,9.41,9.67,13.49,10.37,10.94,9.08,9.11,7.45,7.0,6.15,6.15,6.15,9.05,11.06,8.69,10.37,9.75,7.95,10.24,6.15,6.15,13.41,7.99,7.73,10.25,6.15,9.2,9.15,7.72,7.47,10.74
