date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5,9315.5
2025-06-30,9317.87,9321.18,9322.6,9322.16,9320.99,9319.56,9328.0,9317.3,9325.01,9318.44,9323.39,9319.08,9319.77,9318.51,9322.31,9317.75,9320.45,9319.34,9319.17,9323.72,9319.59,9324.04,9322.7,9316.9,9322.28,9321.72,9328.0,9322.9,9321.37,9316.13,9325.36,9320.58
2025-07-31,9314.18,9318.78,9320.8,9321.37,9318.64,9316.36,9326.5,9313.69,9323.44,9315.39,9322.98,9316.35,9316.97,9314.97,9320.12,9314.17,9317.97,9316.45,9316.47,9322.43,9316.68,9322.37,9321.29,9313.39,9320.59,9319.22,9326.5,9320.87,9319.21,9311.85,9325.77,9318.04
2025-08-31,9309.71,9315.76,9317.64,9319.57,9315.31,9312.65,9320.0,9309.71,9320.0,9311.68,9320.0,9313.11,9314.0,9311.0,9316.87,9310.33,9315.3,9313.26,9313.33,9319.58,9313.14,9320.0,9318.51,9309.52,9318.19,9316.25,9320.0,9318.09,9316.83,9307.57,9320.0,9314.84
2025-09-30,9307.19,9311.5,9311.5,9311.5,9311.5,9309.9,9311.5,9306.86,9311.5,9308.72,9311.5,9310.56,9311.5,9308.04,9311.5,9307.47,9311.5,9311.08,9311.27,9311.5,9310.46,9311.5,9311.5,9306.74,9311.5,9311.5,9311.5,9311.5,9311.5,9304.35,9311.5,9311.5
2025-10-31,9307.09,9310.0,9310.0,9310.0,9310.0,9309.74,9310.0,9306.1,9310.0,9308.29,9310.0,9309.72,9310.0,9307.66,9310.0,9306.74,9310.0,9310.0,9310.0,9310.0,9310.0,9310.0,9310.0,9305.71,9310.0,9310.0,9310.0,9310.0,9310.0,9303.21,9310.0,9310.0
2025-11-30,9306.78,9308.5,9308.5,9308.5,9308.5,9308.5,9308.5,9306.4,9308.5,9308.19,9308.5,9308.5,9308.5,9307.36,9308.5,9306.66,9308.5,9308.5,9308.5,9308.5,9308.5,9308.5,9308.5,9305.34,9308.5,9308.5,9308.5,9308.5,9308.5,9303.04,9308.5,9308.5
2025-12-31,9306.38,9308.11,9308.01,9308.2,9308.05,9308.14,9308.5,9306.18,9308.35,9307.94,9308.19,9307.96,9308.21,9306.69,9308.12,9306.1,9308.37,9308.4,9308.14,9308.23,9308.16,9308.34,9308.06,9304.63,9308.34,9308.39,9308.5,9308.02,9308.5,9302.31,9308.22,9308.5
2026-01-31,9305.97,9308.36,9307.3,9307.68,9307.35,9307.5,9308.5,9305.5,9307.93,9307.24,9307.66,9307.23,9307.62,9305.8,9307.48,9305.3,9307.88,9307.93,9307.42,9307.67,9307.54,9307.83,9307.43,9303.69,9307.92,9307.96,9308.29,9307.28,9308.04,9301.34,9307.7,9308.16
2026-02-28,9305.86,9308.0,9306.55,9307.05,9306.55,9306.79,9308.0,9304.66,9307.33,9306.44,9307.03,9306.4,9306.89,9304.93,9306.7,9304.39,9307.23,9307.33,9306.56,9306.99,9306.78,9307.16,9306.65,9302.7,9307.33,9307.74,9307.99,9306.45,9307.48,9300.29,9307.02,9307.64
