date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.47,0.48
2025-06-30,0.55,0.57,0.58,0.58,0.58,0.57,0.58,0.56,0.58,0.56,0.58,0.57,0.56,0.56,0.57,0.56,0.57,0.57,0.58,0.57,0.57,0.56,0.58,0.56,0.57,0.58,0.58,0.58,0.58,0.56,0.58,0.57
2025-07-31,0.52,0.56,0.59,0.58,0.57,0.57,0.6,0.54,0.59,0.54,0.61,0.54,0.54,0.54,0.56,0.53,0.55,0.54,0.58,0.57,0.55,0.54,0.59,0.54,0.56,0.58,0.6,0.59,0.57,0.53,0.59,0.55
2025-08-31,0.33,0.4,0.43,0.43,0.41,0.39,0.46,0.35,0.44,0.36,0.47,0.35,0.37,0.35,0.39,0.34,0.37,0.37,0.44,0.41,0.36,0.37,0.43,0.35,0.39,0.42,0.45,0.43,0.4,0.34,0.43,0.37
2025-09-30,0.17,0.24,0.3,0.29,0.26,0.24,0.32,0.18,0.31,0.2,0.34,0.18,0.21,0.19,0.25,0.19,0.21,0.22,0.31,0.25,0.19,0.2,0.28,0.17,0.27,0.27,0.31,0.28,0.23,0.16,0.27,0.2
2025-10-31,0.08,0.12,0.18,0.16,0.14,0.12,0.18,0.08,0.19,0.08,0.21,0.08,0.09,0.08,0.14,0.1,0.11,0.14,0.19,0.13,0.09,0.09,0.15,0.07,0.17,0.16,0.18,0.15,0.11,0.06,0.13,0.09
2025-11-30,0.05,0.06,0.09,0.08,0.07,0.06,0.09,0.04,0.11,0.04,0.11,0.04,0.04,0.04,0.07,0.06,0.06,0.09,0.1,0.06,0.05,0.05,0.08,0.04,0.09,0.09,0.09,0.08,0.05,0.04,0.06,0.05
2025-12-31,0.04,0.05,0.07,0.06,0.05,0.05,0.07,0.04,0.08,0.04,0.08,0.04,0.04,0.04,0.05,0.05,0.05,0.07,0.07,0.05,0.04,0.04,0.06,0.03,0.07,0.07,0.07,0.06,0.04,0.03,0.05,0.04
2026-01-31,0.05,0.06,0.07,0.06,0.06,0.06,0.07,0.04,0.08,0.04,0.08,0.04,0.04,0.04,0.06,0.05,0.06,0.07,0.07,0.05,0.04,0.04,0.06,0.04,0.07,0.07,0.07,0.06,0.04,0.04,0.05,0.04
2026-02-28,0.06,0.07,0.09,0.08,0.07,0.07,0.09,0.05,0.1,0.06,0.1,0.05,0.05,0.06,0.08,0.07,0.08,0.09,0.1,0.07,0.06,0.06,0.08,0.05,0.09,0.09,0.09,0.08,0.06,0.05,0.07,0.06
2026-03-31,0.14,0.16,0.18,0.17,0.16,0.16,0.19,0.13,0.2,0.12,0.2,0.12,0.11,0.13,0.16,0.16,0.16,0.19,0.19,0.15,0.12,0.13,0.17,0.11,0.19,0.19,0.19,0.17,0.13,0.1,0.14,0.13
2026-04-30,0.25,0.28,0.3,0.28,0.27,0.27,0.3,0.25,0.32,0.22,0.32,0.23,0.21,0.23,0.29,0.27,0.27,0.32,0.31,0.26,0.21,0.23,0.29,0.19,0.31,0.31,0.3,0.29,0.22,0.2,0.24,0.22
2026-05-31,0.42,0.46,0.48,0.45,0.45,0.43,0.47,0.44,0.48,0.39,0.48,0.44,0.32,0.39,0.47,0.46,0.45,0.48,0.47,0.44,0.36,0.38,0.47,0.31,0.47,0.47,0.46,0.46,0.35,0.37,0.39,0.35
2026-06-30,0.52,0.58,0.58,0.58,0.58,0.56,0.57,0.58,0.58,0.55,0.57,0.58,0.25,0.51,0.58,0.58,0.55,0.58,0.58,0.58,0.48,0.53,0.57,0.36,0.58,0.58,0.57,0.58,0.32,0.54,0.5,0.49
2026-07-31,0.5,0.6,0.6,0.61,0.59,0.61,0.56,0.61,0.6,0.61,0.55,0.6,0.15,0.49,0.6,0.61,0.53,0.6,0.61,0.59,0.49,0.6,0.55,0.35,0.6,0.6,0.59,0.6,0.24,0.61,0.46,0.54
2026-08-31,0.31,0.45,0.45,0.47,0.43,0.47,0.39,0.47,0.46,0.47,0.37,0.46,0.12,0.29,0.44,0.47,0.37,0.46,0.47,0.43,0.3,0.46,0.38,0.28,0.44,0.45,0.44,0.44,0.2,0.47,0.24,0.39
2026-09-30,0.15,0.32,0.31,0.34,0.29,0.34,0.22,0.34,0.32,0.34,0.21,0.32,0.09,0.15,0.3,0.34,0.21,0.34,0.33,0.28,0.19,0.32,0.21,0.21,0.31,0.31,0.3,0.29,0.15,0.32,0.12,0.27
2026-10-31,0.07,0.19,0.18,0.2,0.17,0.2,0.11,0.21,0.18,0.21,0.09,0.18,0.06,0.07,0.18,0.21,0.13,0.21,0.2,0.14,0.11,0.18,0.08,0.13,0.19,0.18,0.17,0.16,0.1,0.18,0.07,0.16
2026-11-30,0.04,0.1,0.09,0.11,0.09,0.11,0.06,0.11,0.09,0.11,0.04,0.09,0.03,0.04,0.1,0.11,0.09,0.11,0.1,0.07,0.06,0.1,0.04,0.07,0.1,0.09,0.09,0.08,0.05,0.09,0.04,0.08
2026-12-31,0.04,0.07,0.07,0.08,0.07,0.08,0.05,0.08,0.07,0.08,0.04,0.07,0.03,0.03,0.07,0.08,0.07,0.08,0.08,0.06,0.05,0.07,0.03,0.06,0.08,0.07,0.06,0.06,0.04,0.07,0.04,0.06
2027-01-31,0.04,0.08,0.07,0.08,0.07,0.08,0.05,0.08,0.07,0.08,0.04,0.07,0.03,0.04,0.08,0.08,0.07,0.08,0.08,0.06,0.05,0.07,0.04,0.06,0.08,0.07,0.07,0.06,0.04,0.07,0.04,0.07
2027-02-28,0.06,0.1,0.09,0.1,0.09,0.1,0.07,0.1,0.09,0.1,0.05,0.09,0.05,0.05,0.1,0.1,0.09,0.1,0.1,0.08,0.07,0.09,0.05,0.08,0.1,0.09,0.09,0.08,0.06,0.09,0.05,0.09
2027-03-31,0.14,0.2,0.18,0.2,0.19,0.2,0.15,0.2,0.19,0.2,0.12,0.19,0.1,0.12,0.2,0.2,0.19,0.2,0.2,0.16,0.15,0.19,0.11,0.17,0.21,0.19,0.18,0.17,0.12,0.18,0.12,0.18
2027-04-30,0.25,0.32,0.3,0.32,0.3,0.32,0.27,0.32,0.31,0.32,0.23,0.3,0.19,0.25,0.32,0.32,0.32,0.32,0.32,0.26,0.25,0.31,0.19,0.29,0.32,0.3,0.3,0.28,0.21,0.3,0.2,0.3
2027-05-31,0.43,0.48,0.47,0.48,0.47,0.48,0.46,0.48,0.47,0.48,0.44,0.44,0.36,0.45,0.48,0.48,0.48,0.48,0.48,0.41,0.41,0.48,0.31,0.46,0.48,0.46,0.48,0.42,0.38,0.46,0.34,0.48
2027-06-30,0.57,0.58,0.58,0.58,0.58,0.57,0.58,0.58,0.58,0.57,0.58,0.46,0.47,0.58,0.58,0.57,0.58,0.58,0.58,0.53,0.55,0.57,0.36,0.58,0.58,0.57,0.58,0.45,0.54,0.56,0.47,0.58
2027-07-31,0.6,0.6,0.61,0.59,0.61,0.56,0.61,0.6,0.61,0.55,0.6,0.32,0.43,0.6,0.61,0.57,0.6,0.61,0.59,0.55,0.61,0.56,0.34,0.6,0.6,0.59,0.6,0.3,0.61,0.56,0.53,0.6
2027-08-31,0.45,0.45,0.47,0.43,0.47,0.4,0.47,0.46,0.47,0.38,0.46,0.17,0.22,0.44,0.47,0.41,0.46,0.47,0.43,0.39,0.46,0.38,0.28,0.44,0.45,0.44,0.44,0.14,0.47,0.38,0.38,0.45
2027-09-30,0.32,0.32,0.34,0.29,0.34,0.24,0.34,0.32,0.34,0.21,0.32,0.13,0.11,0.3,0.34,0.27,0.34,0.33,0.28,0.23,0.32,0.21,0.21,0.31,0.31,0.3,0.3,0.11,0.32,0.21,0.26,0.31
2027-10-31,0.19,0.19,0.2,0.17,0.2,0.12,0.21,0.18,0.21,0.09,0.19,0.07,0.07,0.18,0.21,0.17,0.21,0.2,0.15,0.12,0.19,0.09,0.13,0.19,0.18,0.17,0.16,0.07,0.18,0.09,0.16,0.18
