date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,39.0,50.0,45.0,62.18,51.25,49.01,37.03,54.99,52.98,40.61,48.95,52.59,62.23,43.09,50.98,52.53,49.02,53.99,64.52,45.33,63.88,38.35,41.0,51.73,47.46,48.59,51.19,46.67,46.84,58.5,36.06,52.63
2025-06-30,27.0,35.0,45.6,40.13,39.17,35.87,62.11,23.49,48.41,28.62,58.4,25.97,24.47,29.06,33.01,22.2,28.51,25.61,39.4,38.84,27.98,34.13,52.5,23.24,31.46,42.44,96.34,50.45,37.51,24.13,61.47,28.9
2025-07-31,9.0,11.0,14.76,15.68,11.16,10.21,26.36,10.24,13.11,12.61,31.39,7.96,9.07,8.39,10.04,9.75,9.74,12.48,14.02,13.12,10.01,9.85,14.24,10.14,10.84,11.19,23.48,11.42,10.63,8.28,14.98,9.56
2025-08-31,8.0,9.0,8.81,14.48,9.45,7.67,11.68,7.09,15.18,8.84,36.67,6.63,15.53,6.04,9.16,5.77,10.49,10.61,25.94,8.05,5.69,9.61,8.16,6.51,10.53,9.47,11.4,10.94,7.99,5.32,6.3,6.55
2025-09-30,10.0,9.0,23.35,11.65,13.21,12.56,8.78,7.36,19.91,8.23,24.84,6.28,7.5,11.05,19.28,14.71,7.76,11.24,16.53,9.73,5.64,8.01,6.77,5.24,28.8,12.49,8.95,9.05,5.37,4.48,4.87,5.42
2025-10-31,10.0,9.0,9.72,6.87,7.81,9.9,9.04,11.36,24.76,7.88,11.23,6.63,5.62,11.25,9.46,18.16,16.27,32.26,15.54,7.65,6.25,10.82,9.19,4.58,17.38,21.88,9.36,8.39,6.37,5.35,4.55,5.31
2025-11-30,8.0,8.0,6.07,5.28,5.3,7.2,6.75,7.07,10.5,6.84,6.51,5.12,4.86,6.69,5.77,9.77,11.13,13.22,7.95,6.63,5.64,7.95,6.69,4.01,8.75,10.06,6.92,5.44,4.9,4.89,4.08,5.68
2025-12-31,6.0,7.0,4.97,4.64,4.55,5.03,5.62,5.31,6.39,5.74,5.31,4.29,4.16,5.17,4.92,6.26,6.53,7.52,6.07,5.26,4.3,5.2,5.22,3.91,6.07,6.5,5.58,4.52,4.44,4.0,3.88,4.68
2026-01-31,6.0,6.0,4.34,4.14,4.18,4.28,4.6,4.35,5.1,4.52,4.85,3.9,3.78,4.39,4.23,5.33,5.09,5.59,4.95,4.21,3.72,4.22,4.82,3.56,5.1,5.43,4.71,4.09,3.93,3.55,3.61,3.82
2026-02-28,5.0,5.0,3.85,3.42,3.46,4.78,4.9,3.54,4.1,3.96,4.4,3.2,3.27,4.13,3.58,4.46,4.06,5.37,3.89,3.69,3.06,3.44,3.66,3.12,4.92,6.38,5.26,4.06,3.63,2.94,3.09,3.6
