date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,31.93,35.34,31.93,47.52,36.59,34.35,31.93,40.33,38.32,31.93,34.29,37.93,47.57,31.93,36.33,37.88,34.36,39.33,49.86,31.93,49.22,31.93,31.93,37.07,32.8,33.93,36.53,32.02,32.18,43.84,31.93,37.97
2025-06-30,42.7,42.7,42.7,42.7,42.7,42.7,49.29,42.7,45.13,42.7,55.13,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,42.7,43.65,42.7,42.7,42.7,93.06,47.17,42.7,42.7,47.68,42.7
2025-07-31,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45,41.45
2025-08-31,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,56.43,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69,37.69
2025-09-30,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,38.76,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25,29.25
2025-10-31,10.0,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,6.63,16.39,16.39,16.39,16.39,16.39,16.39,16.39,16.39,6.25,16.39,16.39,4.58,16.39,16.39,16.39,16.39,16.39,5.35,16.39,5.31
2025-11-30,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,2.2,0.3,1.49,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1.49,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2025-12-31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,2.83,0.31,1.54,0.31,0.31,0.31,0.31,0.31,0.31,0.31,1.54,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.31
2026-01-31,0.31,0.31,1.54,0.31,0.31,0.31,1.54,0.31,1.54,0.31,1.54,0.31,0.31,0.31,0.31,0.31,0.31,1.54,1.54,0.31,0.31,0.31,0.31,0.31,1.54,1.54,1.54,0.31,0.31,0.31,0.31,0.31
2026-02-28,0.28,0.28,1.39,0.28,0.28,0.28,1.39,0.28,1.39,0.28,1.39,0.28,0.28,0.28,0.28,0.28,0.28,1.39,1.39,0.28,0.28,0.28,0.28,0.28,1.39,1.39,1.39,0.28,0.28,0.28,0.28,0.28
