date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,7660.13,7663.0,7662.41,7663.0,7663.0,7663.0,7659.38,7663.0,7663.0,7660.74,7663.0,7663.0,7663.0,7661.69,7663.0,7663.0,7663.0,7663.0,7663.0,7662.53,7663.0,7659.88,7660.89,7663.0,7663.0,7663.0,7663.0,7663.0,7663.0,7663.0,7659.0,7663.0
2025-06-30,7653.77,7659.87,7663.27,7661.82,7661.45,7660.2,7664.0,7655.39,7664.0,7655.06,7664.0,7656.37,7655.78,7656.21,7659.11,7654.88,7657.36,7656.23,7661.54,7660.85,7657.16,7656.34,7664.0,7655.29,7658.51,7662.69,7664.0,7664.0,7660.82,7655.64,7664.0,7657.52
2025-07-31,7639.49,7647.37,7652.68,7651.47,7649.2,7647.4,7658.05,7641.96,7652.8,7642.66,7659.98,7642.05,7641.87,7642.06,7646.1,7641.14,7643.99,7643.93,7650.49,7649.35,7643.88,7642.88,7653.26,7641.8,7645.78,7650.57,7656.93,7652.12,7648.28,7641.35,7653.56,7644.09
2025-08-31,7622.88,7633.75,7639.95,7641.22,7636.19,7633.08,7647.3,7625.73,7643.02,7627.72,7652.01,7625.57,7630.57,7625.21,7632.27,7623.74,7630.37,7630.35,7645.3,7635.66,7627.46,7628.46,7640.31,7625.14,7632.61,7637.82,7645.93,7640.3,7634.33,7623.75,7639.79,7628.24
2025-09-30,7606.04,7621.48,7636.96,7632.34,7627.3,7623.07,7637.84,7607.96,7638.53,7612.08,7646.0,7606.47,7615.81,7610.88,7626.42,7612.21,7615.72,7618.51,7639.35,7624.49,7609.12,7613.03,7628.52,7604.45,7632.22,7628.81,7636.38,7629.82,7619.65,7600.64,7626.73,7610.23
2025-10-31,7605.95,7615.66,7633.47,7626.82,7621.64,7618.26,7634.05,7601.8,7642.35,7602.63,7643.64,7606.38,7605.08,7605.27,7621.78,7613.73,7615.53,7628.93,7638.86,7618.17,7609.03,7607.41,7623.99,7604.36,7632.66,7631.8,7632.65,7624.93,7611.05,7600.55,7618.55,7610.14
2025-11-30,7613.67,7621.57,7636.38,7629.69,7624.95,7623.22,7637.27,7609.66,7646.0,7610.06,7645.81,7611.36,7610.02,7611.95,7625.37,7621.24,7623.61,7635.85,7641.84,7622.76,7614.06,7614.75,7627.92,7608.55,7636.95,7636.82,7636.04,7628.04,7615.17,7606.35,7621.32,7615.05
2025-12-31,7618.38,7625.97,7638.63,7632.06,7627.54,7626.22,7639.79,7614.32,7647.5,7615.03,7647.4,7614.93,7613.62,7616.2,7628.14,7625.21,7627.49,7639.34,7643.86,7625.95,7617.39,7618.71,7630.7,7612.08,7639.7,7639.77,7638.59,7630.42,7618.5,7610.24,7623.73,7618.58
2026-01-31,7622.51,7629.32,7639.93,7634.07,7629.75,7628.56,7641.19,7617.65,7648.98,7618.44,7648.77,7617.86,7616.55,7619.41,7630.36,7628.24,7630.22,7641.21,7645.33,7628.27,7620.0,7621.58,7633.12,7614.96,7641.33,7641.55,7640.06,7632.47,7621.18,7613.27,7625.82,7621.17
2026-02-28,7625.57,7631.91,7641.04,7635.64,7631.49,7631.07,7642.75,7620.13,7650.07,7621.16,7649.99,7620.07,7618.89,7622.16,7632.14,7630.58,7632.26,7642.99,7646.38,7630.18,7621.96,7623.7,7634.84,7617.28,7642.91,7643.78,7641.82,7634.42,7623.45,7615.55,7627.5,7623.43
2026-03-31,7630.05,7636.85,7642.76,7638.1,7634.91,7635.81,7644.51,7627.79,7652.04,7625.31,7651.53,7624.1,7621.75,7625.8,7637.79,7634.59,7634.81,7649.21,7647.7,7633.51,7624.0,7626.77,7638.1,7620.37,7645.49,7647.97,7644.69,7639.5,7625.93,7618.19,7629.83,7625.59
2026-04-30,7640.01,7647.13,7654.23,7644.57,7645.77,7643.08,7650.32,7640.17,7656.0,7632.92,7656.0,7638.68,7630.55,7634.78,7653.43,7647.35,7645.26,7656.0,7652.27,7640.38,7631.1,7634.03,7651.02,7626.01,7653.55,7654.42,7651.27,7649.72,7632.45,7630.03,7635.01,7630.02
2026-05-31,7650.41,7661.4,7663.0,7663.0,7660.96,7651.74,7662.36,7663.0,7663.0,7646.71,7663.0,7663.0,7626.97,7647.86,7663.0,7663.0,7658.13,7663.0,7663.0,7663.0,7638.35,7642.64,7662.74,7630.83,7663.0,7660.29,7658.41,7660.84,7633.6,7643.98,7646.65,7638.07
2026-06-30,7649.07,7664.0,7664.0,7664.0,7664.0,7664.0,7658.33,7664.0,7664.0,7664.0,7658.49,7664.0,7598.16,7648.26,7664.0,7664.0,7654.17,7664.0,7664.0,7664.0,7647.21,7663.44,7657.62,7624.1,7664.0,7664.0,7664.0,7664.0,7612.28,7664.0,7644.67,7652.38
2026-07-31,7635.88,7655.95,7655.19,7660.0,7653.53,7660.0,7646.62,7660.0,7657.58,7660.0,7644.99,7655.31,7597.93,7634.37,7654.71,7660.0,7642.46,7655.08,7660.0,7653.84,7634.76,7658.97,7645.28,7623.87,7654.69,7657.04,7654.22,7655.12,7612.05,7660.0,7629.43,7646.11
2026-08-31,7620.5,7646.42,7646.05,7651.41,7641.08,7652.0,7632.06,7652.0,7647.18,7652.01,7629.71,7648.51,7597.75,7616.51,7641.8,7652.0,7628.96,7651.3,7650.52,7640.41,7618.73,7648.36,7630.13,7623.69,7643.77,7646.03,7643.42,7643.79,7611.86,7649.78,7604.84,7633.84
2026-09-30,7603.14,7640.32,7638.54,7646.0,7633.57,7645.4,7618.16,7646.0,7638.42,7646.0,7613.94,7639.62,7597.6,7608.0,7635.36,7644.55,7617.08,7646.0,7643.51,7628.49,7618.59,7638.87,7613.56,7622.73,7636.67,7636.5,7634.02,7632.71,7611.72,7639.79,7604.7,7632.29
2026-10-31,7603.05,7638.62,7634.11,7643.15,7630.6,7643.32,7614.44,7645.0,7634.91,7644.09,7604.33,7634.93,7597.51,7599.81,7637.6,7645.0,7628.54,7645.0,7640.44,7622.54,7614.76,7635.98,7600.9,7623.05,7640.23,7632.79,7630.26,7627.7,7611.63,7634.59,7604.61,7628.87
2026-11-30,7611.49,7642.09,7636.92,7645.5,7634.7,7646.0,7620.15,7646.0,7638.77,7646.0,7610.18,7637.73,7604.82,7607.09,7642.72,7646.0,7635.68,7646.0,7643.62,7626.44,7621.23,7639.56,7606.0,7628.15,7644.51,7636.17,7633.39,7630.85,7614.84,7637.07,7610.66,7632.35
2026-12-31,7617.29,7644.51,7639.26,7647.38,7637.37,7647.5,7623.81,7647.5,7641.22,7647.5,7614.22,7640.01,7609.25,7612.01,7645.18,7647.5,7639.29,7647.5,7645.89,7629.13,7624.79,7641.62,7610.18,7631.27,7646.96,7638.72,7635.8,7633.59,7617.17,7639.33,7614.8,7634.99
2027-01-31,7621.57,7646.43,7640.69,7649.01,7639.53,7649.28,7626.48,7649.41,7642.96,7649.11,7617.49,7641.44,7612.44,7615.66,7647.23,7649.58,7641.24,7649.05,7647.54,7631.3,7627.4,7643.39,7613.47,7633.71,7648.85,7640.19,7637.88,7635.84,7619.09,7640.77,7617.78,7637.19
