date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,1.0,1.01,0.99,1.02,1.01,1.01,0.9,1.02,1.0,1.0,1.0,1.03,1.03,1.0,1.01,1.02,1.02,1.02,1.02,0.99,1.02,0.99,0.99,1.02,1.0,1.0,0.97,1.0,1.0,1.03,0.98,1.02
2025-06-30,1.31,1.35,1.3,1.38,1.35,1.35,1.18,1.36,1.35,1.3,1.34,1.37,1.38,1.32,1.35,1.35,1.35,1.34,1.36,1.32,1.37,1.3,1.32,1.35,1.33,1.35,1.34,1.33,1.34,1.36,1.3,1.36
2025-07-31,1.39,1.46,1.43,1.5,1.48,1.44,1.49,1.43,1.48,1.39,1.5,1.46,1.48,1.4,1.47,1.42,1.44,1.42,1.46,1.45,1.47,1.43,1.48,1.42,1.44,1.47,1.58,1.47,1.47,1.42,1.48,1.45
2025-08-31,1.02,1.08,1.07,1.12,1.1,1.06,1.19,1.04,1.1,1.03,1.15,1.08,1.1,1.02,1.08,1.04,1.07,1.05,1.08,1.08,1.1,1.06,1.11,1.04,1.07,1.1,1.2,1.1,1.09,1.05,1.13,1.07
2025-09-30,0.86,0.92,0.91,0.97,0.93,0.9,1.01,0.87,0.94,0.86,0.98,0.91,0.93,0.86,0.93,0.88,0.9,0.89,0.92,0.91,0.93,0.9,0.95,0.87,0.93,0.95,1.01,0.94,0.93,0.88,0.97,0.91
2025-10-31,0.46,0.5,0.49,0.53,0.51,0.48,0.54,0.47,0.52,0.47,0.53,0.49,0.5,0.46,0.51,0.47,0.49,0.49,0.51,0.49,0.5,0.49,0.51,0.47,0.52,0.52,0.54,0.51,0.5,0.47,0.53,0.49
2025-11-30,0.21,0.23,0.22,0.24,0.23,0.22,0.24,0.22,0.24,0.21,0.24,0.22,0.23,0.21,0.24,0.22,0.23,0.23,0.23,0.23,0.23,0.22,0.24,0.21,0.24,0.24,0.24,0.23,0.23,0.21,0.24,0.23
2025-12-31,0.16,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.17,0.18,0.18
2026-01-31,0.17,0.18,0.17,0.18,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.18,0.17,0.18,0.16,0.18,0.18,0.18,0.18,0.18,0.16,0.18,0.18
2026-02-28,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21,0.21,0.21,0.21,0.2,0.21,0.21
2026-03-31,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.41,0.42,0.41,0.42,0.42,0.42,0.41,0.42,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.4,0.42,0.42,0.42,0.42,0.42,0.39,0.42,0.42
2026-04-30,0.7,0.72,0.72,0.72,0.71,0.71,0.72,0.71,0.71,0.7,0.72,0.71,0.71,0.7,0.72,0.69,0.72,0.72,0.71,0.71,0.71,0.71,0.72,0.67,0.72,0.72,0.72,0.72,0.71,0.67,0.71,0.71
2026-05-31,1.03,1.05,1.05,1.05,1.04,1.02,1.06,1.04,1.04,0.98,1.05,1.04,1.01,1.03,1.06,1.03,1.06,1.06,1.01,1.04,1.01,0.96,1.05,0.96,1.05,1.03,1.04,1.01,1.03,0.97,1.03,1.01
2026-06-30,1.37,1.43,1.39,1.43,1.41,1.4,1.43,1.43,1.41,1.36,1.39,1.41,1.26,1.39,1.38,1.43,1.39,1.4,1.4,1.43,1.38,1.31,1.34,1.27,1.43,1.4,1.42,1.32,1.33,1.35,1.38,1.37
2026-07-31,1.47,1.59,1.51,1.6,1.53,1.6,1.6,1.6,1.57,1.59,1.48,1.52,1.28,1.52,1.48,1.6,1.5,1.51,1.6,1.6,1.55,1.59,1.36,1.36,1.6,1.6,1.6,1.5,1.36,1.59,1.5,1.56
2026-08-31,1.09,1.19,1.13,1.2,1.14,1.23,1.2,1.21,1.18,1.21,1.09,1.12,0.9,1.13,1.09,1.2,1.11,1.12,1.21,1.2,1.17,1.21,0.98,1.01,1.2,1.2,1.2,1.14,0.98,1.21,1.11,1.19
2026-09-30,0.93,1.01,0.97,1.02,0.97,1.07,1.01,1.04,0.99,1.04,0.92,0.95,0.72,0.96,0.92,1.01,0.95,0.95,1.03,1.01,0.98,1.02,0.81,0.86,1.02,1.01,1.01,0.97,0.81,1.03,0.94,1.0
2026-10-31,0.5,0.54,0.53,0.55,0.53,0.58,0.54,0.56,0.53,0.56,0.5,0.51,0.37,0.53,0.5,0.54,0.53,0.52,0.55,0.54,0.53,0.55,0.42,0.47,0.55,0.54,0.54,0.53,0.42,0.55,0.51,0.54
2026-11-30,0.23,0.24,0.24,0.24,0.24,0.26,0.24,0.25,0.24,0.25,0.23,0.24,0.17,0.24,0.23,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.19,0.22,0.25,0.24,0.24,0.24,0.19,0.25,0.24,0.24
2026-12-31,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.13,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.15,0.17,0.18,0.18,0.18,0.18,0.15,0.18,0.18,0.18
2027-01-31,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.13,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.15,0.17,0.18,0.18,0.18,0.18,0.14,0.18,0.18,0.18
2027-02-28,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.16,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.18,0.21,0.21,0.21,0.21,0.21,0.17,0.21,0.21,0.21
2027-03-31,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.32,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.35,0.41,0.42,0.42,0.42,0.42,0.33,0.42,0.42,0.42
2027-04-30,0.72,0.72,0.72,0.72,0.71,0.72,0.72,0.72,0.71,0.72,0.71,0.71,0.55,0.72,0.71,0.72,0.72,0.71,0.72,0.71,0.72,0.72,0.58,0.7,0.72,0.71,0.72,0.71,0.57,0.71,0.71,0.72
2027-05-31,1.05,1.05,1.05,1.05,1.02,1.06,1.06,1.05,1.02,1.05,1.04,1.01,0.82,1.06,1.04,1.06,1.06,1.02,1.05,1.01,0.98,1.06,0.83,1.02,1.04,1.03,1.02,1.04,0.81,1.04,1.0,1.05
2027-06-30,1.43,1.43,1.43,1.41,1.41,1.35,1.43,1.42,1.4,1.39,1.41,1.26,1.17,1.38,1.43,1.4,1.4,1.41,1.43,1.38,1.34,1.34,1.12,1.41,1.41,1.41,1.33,1.34,1.17,1.4,1.36,1.39
2027-07-31,1.59,1.59,1.6,1.54,1.6,1.43,1.6,1.58,1.6,1.47,1.53,1.28,1.32,1.48,1.6,1.5,1.51,1.6,1.6,1.57,1.6,1.37,1.21,1.6,1.6,1.6,1.52,1.38,1.51,1.53,1.56,1.51
2027-08-31,1.19,1.19,1.2,1.13,1.23,1.08,1.21,1.2,1.21,1.07,1.12,0.9,0.96,1.09,1.2,1.11,1.12,1.21,1.2,1.17,1.2,0.99,0.88,1.2,1.2,1.2,1.16,1.0,1.21,1.13,1.19,1.13
2027-09-30,1.01,1.01,1.02,0.97,1.07,0.92,1.04,1.0,1.04,0.91,0.96,0.72,0.81,0.92,1.01,0.96,0.96,1.03,1.01,0.99,1.02,0.82,0.74,1.02,1.01,1.01,0.98,0.83,1.03,0.97,1.0,0.97
2027-10-31,0.54,0.54,0.55,0.53,0.58,0.5,0.56,0.54,0.56,0.49,0.52,0.37,0.44,0.5,0.54,0.53,0.53,0.55,0.54,0.53,0.55,0.43,0.4,0.55,0.54,0.54,0.53,0.44,0.55,0.53,0.54,0.53
2027-11-30,0.24,0.24,0.24,0.24,0.26,0.23,0.25,0.24,0.25,0.22,0.24,0.17,0.2,0.23,0.24,0.24,0.24,0.25,0.24,0.24,0.24,0.19,0.19,0.25,0.24,0.24,0.24,0.2,0.24,0.24,0.24,0.24
2027-12-31,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.17,0.18,0.13,0.15,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.15,0.15,0.18,0.18,0.18,0.18,0.15,0.18,0.18,0.18,0.18
