date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,107.3,142.3,102.62,184.7,142.47,142.12,125.18,162.62,144.93,109.83,139.88,175.97,195.67,114.77,146.09,156.73,158.79,147.97,151.32,114.28,181.78,98.38,101.51,159.42,137.9,135.17,119.92,125.47,132.35,178.21,92.16,162.43
2025-06-30,119.88,152.88,158.43,161.32,160.22,133.47,275.22,98.82,186.03,113.97,177.0,125.74,138.72,116.58,165.69,100.08,128.14,110.51,131.73,159.4,127.3,167.64,178.18,95.96,143.85,168.85,297.04,170.4,159.9,93.65,203.63,125.69
2025-07-31,55.37,68.37,85.45,82.58,76.39,61.67,220.96,56.37,75.11,63.19,107.52,58.45,63.24,56.36,62.48,57.14,65.88,65.13,69.69,74.23,71.42,66.24,87.3,54.23,70.72,67.58,140.56,75.67,74.0,52.99,106.52,60.91
2025-08-31,44.3,49.3,51.22,61.66,46.61,43.34,78.66,39.94,54.61,44.22,64.01,49.31,55.24,39.92,48.65,41.74,48.69,50.13,50.9,48.86,44.59,50.5,47.1,42.36,49.57,49.21,67.37,50.86,48.5,38.37,59.16,41.81
2025-09-30,30.93,38.14,40.18,55.15,39.94,34.82,56.56,31.04,52.21,30.61,51.6,36.51,34.69,33.58,65.87,36.2,37.19,37.34,43.26,42.74,32.34,42.48,39.84,32.06,70.13,50.88,54.05,42.35,37.32,29.64,44.01,40.57
2025-10-31,32.15,35.41,28.6,32.51,34.73,36.31,46.45,35.5,43.25,35.63,34.02,29.78,31.56,37.16,37.31,31.09,45.4,55.97,41.48,30.7,31.65,31.14,32.06,27.53,54.69,52.88,35.76,30.0,33.25,28.36,29.93,36.38
2025-11-30,29.46,32.36,27.56,28.36,29.05,30.46,35.22,29.34,33.82,30.08,28.09,26.95,31.23,25.37,28.57,27.45,36.35,41.93,35.58,27.31,30.28,31.59,27.71,22.68,36.7,34.59,32.39,26.3,28.98,25.32,26.99,37.89
2025-12-31,25.61,26.61,23.66,23.7,23.01,23.82,30.56,24.84,25.39,27.65,23.23,22.86,23.94,22.75,24.28,23.36,25.42,27.78,24.96,22.25,23.33,24.84,22.72,20.96,26.81,26.12,26.47,22.69,24.87,21.56,23.19,28.24
2026-01-31,24.61,24.61,21.69,22.47,21.49,22.12,26.11,21.94,23.21,24.67,23.59,21.56,21.49,21.75,22.43,22.8,22.64,24.28,21.6,20.88,21.33,23.39,22.02,19.73,23.9,23.49,24.74,21.37,22.2,20.17,21.69,23.5
2026-02-28,23.17,23.55,20.02,20.55,18.44,24.02,26.34,18.45,20.54,23.76,23.84,20.55,18.48,23.17,19.47,20.47,18.95,22.69,18.02,18.69,18.06,19.89,18.85,17.28,23.22,26.96,22.66,25.74,23.55,17.45,19.4,22.16
2026-03-31,35.61,40.29,31.68,34.23,34.21,44.27,36.76,37.07,35.64,32.97,28.98,30.18,23.25,33.48,45.33,26.3,27.39,51.9,19.24,35.04,21.78,31.72,32.29,24.51,30.43,46.79,39.46,55.74,26.12,23.0,30.35,29.47
2026-04-30,63.18,78.75,63.33,69.26,60.97,53.77,82.82,66.52,52.26,44.16,74.09,57.67,53.7,53.53,93.56,58.3,80.71,81.43,47.14,52.18,47.01,64.11,70.27,39.81,69.21,69.57,60.33,104.94,40.86,71.17,42.17,50.98
2026-05-31,143.74,188.74,179.96,256.47,164.95,210.91,299.49,264.8,152.38,170.82,207.73,219.22,81.53,151.97,202.65,231.57,201.21,198.57,209.16,244.61,95.53,124.25,115.39,100.53,217.31,133.29,145.89,216.31,130.07,173.88,140.0,112.15
