date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,66.78,83.37,93.24,100.99,83.31,73.11,266.02,63.14,101.21,69.99,106.95,73.78,89.98,67.3,89.87,63.98,82.14,70.02,74.63,86.64,81.72,88.99,83.79,63.65,89.77,87.02,150.05,90.97,84.05,72.51,105.67,79.83
2025-06-30,60.0,52.0,50.61,40.91,49.23,52.02,40.55,60.5,47.46,59.36,40.03,54.84,52.46,56.53,50.11,62.24,57.01,58.48,47.91,45.19,56.36,48.16,34.83,62.03,54.61,44.64,21.38,44.05,43.15,63.2,41.32,52.39
2025-07-31,96.76,90.76,77.96,107.11,84.66,95.17,41.07,98.99,92.99,87.0,74.08,100.11,97.75,97.13,94.36,97.18,93.79,95.47,92.63,85.93,84.06,92.29,69.76,93.91,87.32,83.28,94.4,80.61,90.72,94.4,64.01,92.83
2025-08-31,80.67,94.71,97.92,86.72,95.07,97.85,108.24,101.87,97.99,89.77,72.11,98.49,96.51,88.77,98.28,97.86,97.95,94.68,95.38,95.5,93.99,90.06,94.65,98.01,86.35,81.2,110.81,89.0,90.15,88.46,87.84,92.1
2025-09-30,69.95,69.95,70.82,74.65,69.81,69.32,108.94,70.49,65.92,71.18,107.15,70.36,70.34,70.04,60.75,66.31,71.11,69.26,64.54,70.68,71.07,70.95,70.72,71.11,63.81,66.06,110.19,70.11,70.75,71.38,71.75,70.37
2025-10-31,64.72,63.72,66.09,65.16,64.21,59.06,110.45,56.65,55.05,59.4,64.67,62.8,65.08,58.06,63.3,60.48,59.22,44.28,54.78,65.04,64.37,64.13,62.94,66.2,55.85,54.91,104.44,65.24,64.77,64.89,65.9,63.44
2025-11-30,15.39,15.39,15.42,19.31,15.45,12.42,51.75,12.01,18.02,11.14,25.74,13.58,15.83,13.74,15.42,11.67,12.0,6.91,10.02,15.11,14.01,13.73,14.6,16.55,14.65,30.74,44.28,16.16,15.18,14.93,16.11,11.94
2025-12-31,15.55,15.55,16.0,63.19,18.87,15.53,70.06,14.66,64.89,13.15,62.72,15.46,16.53,15.42,35.11,15.11,15.46,26.05,37.29,15.79,16.06,15.26,33.35,16.83,66.3,65.62,65.97,16.18,15.72,16.45,61.19,14.59
2026-01-31,15.55,35.86,16.72,45.51,44.53,31.58,49.16,28.93,46.25,29.59,46.63,34.07,42.51,16.02,45.47,21.61,31.2,47.32,44.64,33.43,33.62,29.22,45.06,17.15,46.94,46.54,47.78,44.08,38.18,34.19,44.73,33.53
2026-02-28,14.47,38.57,21.12,35.56,33.45,27.25,41.36,30.23,35.56,27.4,38.86,31.87,33.49,13.01,34.49,26.04,33.97,37.7,33.03,30.09,33.07,30.73,33.86,15.5,38.23,41.97,37.68,40.75,38.56,32.83,34.41,34.94
