date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,7486.7,7489.09,7482.58,7492.25,7489.12,7490.38,7460.62,7494.23,7487.12,7486.62,7485.71,7494.56,7495.0,7487.61,7488.74,7493.39,7491.36,7491.52,7491.36,7485.01,7494.3,7482.58,7483.7,7493.76,7487.7,7487.7,7477.18,7485.92,7487.72,7495.0,7479.48,7492.11
2025-06-30,7494.18,7501.43,7496.27,7506.66,7502.67,7500.31,7493.39,7498.78,7504.1,7493.44,7502.64,7503.01,7505.23,7495.07,7502.86,7497.9,7499.99,7497.83,7501.52,7499.28,7502.76,7497.7,7501.59,7497.79,7498.73,7502.93,7511.42,7501.56,7502.06,7498.58,7500.12,7500.96
2025-07-31,7488.76,7498.56,7497.01,7503.6,7501.5,7496.05,7514.44,7493.34,7501.81,7490.25,7506.4,7497.82,7500.97,7489.75,7498.86,7492.76,7496.41,7493.9,7498.57,7497.68,7501.08,7494.31,7503.5,7492.69,7496.52,7500.88,7516.4,7500.79,7499.88,7493.29,7505.0,7496.91
2025-08-31,7483.85,7492.8,7491.05,7500.48,7495.47,7489.05,7510.98,7485.24,7496.41,7484.18,7505.32,7491.57,7495.81,7483.22,7492.59,7485.4,7490.1,7488.1,7492.94,7491.74,7494.92,7489.16,7497.65,7485.39,7491.8,7496.86,7511.41,7496.02,7494.64,7486.74,7501.47,7490.48
2025-09-30,7478.45,7488.64,7486.98,7498.0,7491.61,7484.42,7504.82,7479.83,7494.6,7478.57,7498.57,7487.1,7491.22,7478.15,7493.12,7481.26,7485.58,7483.79,7490.13,7488.05,7489.92,7485.34,7493.71,7480.04,7492.48,7494.87,7504.82,7492.44,7490.31,7481.07,7498.0,7486.52
2025-10-31,7473.81,7484.87,7481.94,7493.9,7487.77,7481.31,7497.07,7476.84,7493.06,7475.19,7494.74,7482.67,7486.84,7475.16,7489.76,7477.16,7483.68,7485.28,7488.35,7483.46,7485.6,7480.86,7489.74,7474.59,7492.27,7494.55,7496.5,7487.86,7486.16,7475.96,7493.49,7482.87
2025-11-30,7475.77,7487.07,7483.54,7495.0,7489.49,7483.7,7495.0,7479.21,7495.0,7477.81,7495.0,7484.42,7488.81,7476.76,7491.4,7479.31,7486.86,7489.8,7491.59,7485.05,7487.7,7483.23,7491.38,7475.43,7495.0,7495.0,7495.0,7489.15,7487.93,7477.38,7494.81,7486.28
2025-12-31,7477.16,7488.48,7484.54,7490.0,7490.0,7484.78,7490.0,7480.58,7490.0,7479.78,7490.0,7485.38,7489.74,7477.76,7490.0,7480.42,7488.14,7490.0,7490.0,7485.88,7488.62,7484.49,7490.0,7475.99,7490.0,7490.0,7490.0,7489.96,7489.09,7478.07,7490.0,7488.04
2026-01-31,7478.4,7487.0,7485.17,7487.0,7487.0,7483.5,7487.0,7479.6,7487.0,7479.09,7487.0,7483.7,7487.0,7478.53,7487.0,7480.56,7487.0,7487.0,7487.0,7484.2,7487.0,7483.69,7487.0,7476.33,7487.0,7487.0,7487.0,7487.0,7487.0,7476.09,7487.0,7486.71
2026-02-28,7479.57,7485.0,7485.0,7485.0,7485.0,7483.04,7485.0,7477.95,7485.0,7478.56,7485.0,7482.15,7485.0,7479.9,7485.0,7479.77,7485.0,7485.0,7485.0,7482.65,7485.0,7482.21,7485.0,7476.55,7485.0,7485.0,7485.0,7485.0,7485.0,7473.88,7485.0,7485.0
