date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,552.18,570.58,521.06,595.35,570.82,580.67,370.93,611.13,555.39,551.5,544.6,613.84,617.34,559.13,567.89,604.4,588.31,589.61,588.34,539.31,611.71,521.07,529.4,607.41,559.79,559.82,481.56,546.18,559.96,617.34,498.19,594.24
2025-06-30,610.75,670.11,627.58,714.39,680.45,660.77,604.41,648.09,692.6,604.81,680.24,683.36,702.22,617.87,682.12,640.9,658.08,640.29,670.81,652.2,681.28,639.24,671.42,639.98,647.7,682.68,755.89,671.19,675.37,646.43,659.19,666.18
2025-07-31,567.98,646.27,633.63,688.35,670.7,625.83,782.81,604.04,673.24,579.61,712.18,640.24,666.22,575.7,648.78,599.44,628.74,608.53,646.41,639.06,667.17,611.76,687.48,598.89,629.67,665.51,800.47,664.78,657.18,603.6,700.22,632.81
2025-08-31,530.58,599.77,585.86,662.17,621.13,570.25,752.04,541.06,628.75,533.03,702.94,589.98,623.85,525.83,598.06,542.27,578.41,562.93,600.85,591.35,616.66,571.14,638.81,542.2,591.81,632.41,755.84,625.53,614.44,552.45,670.41,581.45
2025-09-30,490.7,567.04,554.3,641.71,590.33,534.86,698.65,500.74,614.1,491.6,646.41,555.22,587.26,488.52,602.25,511.28,543.58,530.13,578.64,562.49,577.01,541.77,606.98,502.27,597.21,616.28,698.68,596.84,580.08,509.83,641.71,550.75
2025-10-31,457.66,538.23,516.32,608.53,560.34,511.62,634.11,479.12,601.77,467.36,615.23,521.71,553.24,467.15,575.75,481.43,529.27,541.32,564.84,527.66,543.79,508.3,575.6,463.14,595.53,613.73,629.47,561.09,548.05,472.82,605.2,523.2
2025-11-30,471.53,554.98,528.24,617.34,573.7,529.44,617.34,496.23,617.34,486.09,617.34,534.85,568.41,478.57,588.67,496.99,553.39,576.12,590.17,539.62,559.82,525.94,588.47,469.06,617.34,617.34,617.34,571.0,561.62,483.0,615.84,548.93
2025-12-31,481.43,565.87,535.73,577.66,577.66,537.56,577.66,506.24,577.66,500.42,577.66,542.07,575.64,485.73,577.66,505.06,563.18,577.66,577.66,545.91,566.92,535.34,577.66,473.03,577.66,577.66,577.66,577.34,570.59,487.94,577.66,562.4
2026-01-31,490.33,554.44,540.53,554.44,554.44,527.92,554.44,499.08,554.44,495.34,554.44,529.39,554.44,491.3,554.44,506.09,554.44,554.44,554.44,533.2,554.44,529.34,554.44,475.45,554.44,554.44,554.44,554.44,554.44,473.76,554.44,552.2
2026-02-28,498.83,539.21,539.21,539.21,539.21,524.47,539.21,487.1,539.21,491.5,539.21,517.87,539.21,501.25,539.21,500.32,539.21,539.21,539.21,521.58,539.21,518.29,539.21,477.02,539.21,539.21,539.21,539.21,539.21,458.17,539.21,539.21
2026-03-31,514.44,535.44,535.44,535.44,535.44,535.44,535.44,511.59,535.44,510.95,535.44,521.37,535.44,519.92,535.44,501.24,533.44,535.44,526.33,535.44,535.44,525.71,535.44,480.3,535.44,535.44,535.44,535.44,535.44,452.28,535.44,535.44
2026-04-30,532.0,572.54,560.69,570.32,552.79,545.15,581.27,547.91,547.92,515.44,567.3,538.07,538.8,534.99,585.5,518.13,578.65,585.5,536.17,544.82,536.45,558.32,574.14,470.0,562.13,566.85,557.62,585.5,529.65,497.85,528.19,538.72
2026-05-31,600.23,617.34,617.34,617.34,617.34,566.28,617.34,617.34,617.34,506.2,617.34,617.34,547.14,592.29,617.34,617.34,617.34,617.34,561.91,617.34,548.75,434.24,617.34,503.41,608.32,559.32,588.01,511.45,602.08,494.18,595.38,542.69
2026-06-30,693.73,800.47,720.39,800.47,749.87,800.47,800.47,800.47,763.21,781.11,707.73,752.14,530.8,743.53,696.71,800.47,724.37,735.08,800.47,800.47,758.51,774.44,601.67,583.79,800.47,800.47,800.47,685.22,595.95,777.17,715.67,749.61
2026-07-31,654.87,791.41,703.59,800.47,720.15,800.47,799.84,800.47,789.27,800.47,658.2,689.47,458.72,710.13,660.17,800.47,675.81,686.32,800.47,800.47,749.71,800.47,535.07,551.57,800.47,800.47,800.47,720.99,530.45,800.47,680.68,783.56
2026-08-31,620.36,745.75,671.06,767.34,671.95,827.94,747.8,781.43,726.85,793.3,604.3,647.15,394.24,659.34,605.75,754.31,637.77,642.57,779.97,748.95,717.35,769.66,476.84,514.51,757.71,749.33,750.87,682.59,477.7,785.14,627.33,734.81
2026-09-30,585.62,685.47,641.71,719.84,641.71,795.01,687.23,743.33,656.32,745.23,571.02,612.16,346.38,641.71,574.08,692.79,616.62,626.6,728.14,684.75,646.56,712.44,429.46,502.31,715.51,688.36,688.96,641.71,428.13,731.69,603.08,670.1
2026-10-31,554.8,629.47,606.52,654.66,622.09,747.87,629.47,698.89,629.47,671.39,538.48,578.16,315.62,615.21,547.17,636.78,629.47,615.33,658.95,629.47,613.19,642.84,385.86,496.28,674.32,629.47,629.47,619.5,386.1,658.24,574.57,629.47
2026-11-30,570.71,617.34,616.87,617.34,617.34,685.96,617.34,638.99,617.34,617.34,552.52,591.3,320.68,617.34,566.77,617.34,617.34,617.34,617.34,617.34,617.34,617.34,387.56,517.8,617.34,617.34,617.34,617.34,391.59,617.34,600.1,617.34
2026-12-31,577.66,577.66,577.66,577.66,577.66,613.83,577.66,577.66,577.66,577.66,559.38,577.66,321.67,577.66,576.13,577.66,577.66,577.66,577.66,577.66,577.66,577.66,387.24,526.49,577.66,577.66,577.66,577.66,391.99,577.66,577.66,577.66
2027-01-31,554.44,554.44,554.44,554.44,554.44,554.44,554.44,554.44,554.44,554.44,546.99,554.44,322.04,554.44,554.44,554.44,554.44,554.44,554.44,554.44,554.44,554.44,385.94,516.69,554.44,554.44,554.44,554.44,372.12,554.44,554.44,554.44
2027-02-28,539.21,539.21,539.21,539.21,539.21,539.21,539.21,539.21,539.21,539.21,535.42,539.21,326.33,539.21,539.21,539.21,539.21,539.21,539.21,539.21,539.21,539.21,384.64,512.81,539.21,539.21,539.21,539.21,351.88,539.21,539.21,539.21
2027-03-31,535.44,535.44,535.44,535.44,535.44,535.44,535.44,535.44,535.44,535.44,535.44,535.44,339.66,535.44,535.44,535.44,535.44,529.54,535.44,535.44,535.44,535.44,383.47,515.45,535.44,535.44,535.44,535.44,340.57,535.44,535.44,535.44
2027-04-30,572.54,572.54,563.8,568.16,545.43,585.5,580.38,559.38,545.07,575.15,547.38,537.89,346.71,585.5,552.35,585.5,585.5,540.85,556.43,542.33,567.25,585.5,368.12,536.99,576.2,555.64,585.5,537.19,379.27,537.72,537.18,569.06
2027-05-31,617.34,617.34,617.34,617.34,575.89,617.34,617.34,617.34,557.89,617.34,617.34,547.11,400.22,617.34,617.34,617.34,617.34,571.69,617.34,555.0,456.92,617.34,386.42,578.51,573.52,584.38,514.41,617.34,352.26,614.95,535.61,617.34
2027-06-30,800.47,800.47,800.47,762.18,800.47,632.51,800.47,771.76,800.47,711.0,759.27,530.82,544.18,696.67,800.47,727.71,735.68,800.47,800.47,771.77,800.47,604.39,464.04,800.47,800.47,800.47,696.63,614.48,620.43,743.45,741.85,719.6
2027-07-31,791.41,791.41,800.47,711.56,800.47,637.11,800.47,799.64,800.47,635.06,698.39,458.72,508.72,660.12,800.47,681.57,687.3,800.47,800.47,764.25,800.47,540.49,429.34,800.47,800.47,800.47,739.11,551.68,800.47,712.71,783.71,701.79
2027-08-31,745.75,745.75,767.05,668.04,827.94,588.01,785.55,745.41,794.19,582.13,656.37,394.14,453.9,605.68,756.46,646.67,643.75,779.39,753.19,717.35,769.22,484.3,392.21,756.55,750.71,750.35,705.39,500.69,783.58,666.79,735.7,670.2
2027-09-30,685.47,685.47,719.71,641.71,794.94,569.93,749.02,679.92,746.7,552.09,622.4,346.18,444.82,573.78,694.08,626.18,629.15,727.04,691.77,647.41,711.57,438.41,377.05,713.32,690.89,687.96,646.67,452.72,728.92,641.71,670.94,641.71
2027-10-31,629.47,629.47,653.81,625.06,747.71,562.91,706.63,629.47,673.39,520.51,588.21,315.35,414.96,546.65,639.37,629.47,617.93,657.4,629.47,614.87,641.54,396.32,367.92,671.1,629.47,629.47,625.1,412.28,654.32,615.8,629.47,606.55
2027-11-30,617.34,617.34,617.34,617.34,685.7,594.11,648.67,617.34,617.34,533.69,602.06,320.32,424.34,566.3,617.34,617.34,617.34,617.34,617.34,617.34,617.34,399.37,386.37,617.34,617.34,617.34,617.34,419.32,617.34,617.34,617.34,617.04
