date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,15.69,20.28,19.88,23.2,20.74,18.61,23.2,17.34,22.81,16.16,23.2,20.05,23.2,16.16,20.67,17.25,19.91,18.22,19.83,20.01,20.68,18.78,20.52,17.1,20.04,20.54,23.2,20.63,20.38,19.75,22.83,19.81
2025-06-30,14.14,14.14,14.14,14.14,14.14,14.14,14.94,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14,14.14
2025-07-31,17.9,17.38,16.16,20.77,16.64,17.79,14.96,18.42,17.76,16.93,17.78,18.52,18.29,18.08,17.63,18.02,17.81,17.96,17.75,16.92,16.59,17.47,14.96,17.36,16.6,16.06,20.16,15.95,17.52,17.4,14.96,17.57
2025-08-31,14.96,17.73,18.25,17.16,17.67,18.0,20.68,18.64,18.45,16.72,14.98,18.35,18.2,16.47,18.26,18.0,18.24,18.07,18.23,17.79,17.42,17.12,17.66,18.19,16.44,15.7,20.68,16.73,16.94,16.31,16.7,17.14
2025-09-30,13.13,13.13,13.13,14.24,13.13,13.13,20.05,13.13,13.13,13.13,20.05,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,13.13,20.05,13.13,13.13,13.13,13.28,13.13
2025-10-31,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.44
2025-11-30,3.69,3.69,3.69,4.29,3.69,3.69,10.15,3.69,4.95,3.69,5.42,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,4.16,6.7,8.9,3.69,3.69,3.69,3.69,3.69
2025-12-31,3.72,3.72,3.72,11.82,4.16,3.72,13.33,3.72,12.34,3.72,11.75,3.72,3.72,3.72,7.08,3.72,3.72,6.09,7.65,3.72,3.72,3.72,6.77,3.72,12.58,12.53,12.51,3.72,3.72,3.72,11.5,3.72
2026-01-31,3.72,7.23,3.72,8.71,8.53,6.38,9.47,6.03,8.99,6.31,9.02,6.83,8.13,3.72,8.73,4.87,6.27,9.46,8.68,6.64,6.62,6.01,8.81,3.72,9.05,9.04,9.22,8.56,7.52,6.71,8.57,6.71
2026-02-28,3.36,7.7,4.44,6.94,6.5,5.75,8.21,6.02,7.0,5.99,7.74,6.41,6.46,3.36,6.7,5.46,6.59,8.05,6.48,6.04,6.38,6.06,6.68,3.36,7.77,8.59,7.49,8.36,7.76,6.41,6.76,6.96
2026-03-31,4.58,8.92,7.99,8.15,8.1,8.49,8.58,4.58,8.42,4.68,6.96,5.96,5.58,4.58,11.01,5.6,6.88,14.47,6.48,5.5,5.24,5.8,8.19,4.6,7.94,11.32,9.48,13.71,6.31,6.46,7.28,7.19
2026-04-30,10.86,10.86,10.89,10.86,10.89,10.86,10.86,10.86,10.89,10.86,10.89,10.86,10.86,10.89,15.31,10.86,10.86,13.54,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,10.86,15.53,10.86,10.86,10.86,10.86
2026-05-31,19.07,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,15.25,22.56,23.2,23.2,23.2,23.2,23.2,23.2,20.66,23.2,18.83,15.78,23.2,23.2,23.2,23.2,15.62,23.2,18.96,23.2
2026-06-30,14.14,14.7,14.14,22.45,14.14,22.45,22.45,22.45,14.14,14.94,14.14,14.14,14.14,14.14,14.14,22.26,14.14,14.14,22.45,14.16,14.14,22.45,14.14,14.14,22.45,22.45,19.36,22.45,14.14,22.45,14.14,14.14
