date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,113.07,172.07,173.63,268.62,296.44,216.97,163.36,142.16,174.88,156.43,130.12,205.14,199.01,112.38,170.51,162.85,212.87,196.87,269.73,148.57,159.85,113.52,143.83,159.1,179.86,181.74,225.93,392.84,159.03,238.26,140.6,130.3
2025-06-30,75.09,173.09,289.77,80.43,200.86,108.4,326.82,211.15,194.0,170.34,203.01,147.84,85.19,135.45,172.5,173.69,188.76,61.09,59.01,137.85,248.72,173.71,134.14,96.54,65.38,122.73,295.08,257.27,103.18,198.38,174.71,191.27
2025-07-31,58.58,107.58,142.27,73.58,131.27,28.48,301.54,122.46,86.0,285.17,144.44,50.46,37.81,79.0,73.62,180.42,180.84,27.73,26.75,144.32,236.63,254.5,272.16,60.08,43.42,95.51,182.17,93.12,59.62,85.39,152.64,119.64
2025-08-31,71.57,80.65,101.91,71.16,140.83,57.6,116.6,76.28,100.11,111.9,89.96,70.51,63.87,73.57,72.35,98.05,88.05,48.74,61.35,80.33,94.04,101.57,100.64,63.42,66.86,83.78,86.78,82.36,72.26,71.21,87.46,73.99
2025-09-30,69.65,75.56,95.86,67.64,117.61,54.98,109.98,74.07,94.65,102.82,87.54,70.52,59.66,70.32,68.59,95.44,84.42,47.49,59.87,80.22,87.35,96.3,94.22,60.55,64.75,82.11,79.93,83.23,67.09,67.45,84.16,72.37
2025-10-31,60.74,63.74,66.41,53.19,74.18,77.45,76.18,62.26,88.32,75.35,61.8,67.0,51.13,66.38,55.54,79.67,65.1,69.73,82.18,63.26,69.04,62.67,73.63,50.39,79.78,131.61,74.15,115.04,79.62,63.31,70.6,57.06
2025-11-30,69.05,71.83,82.07,69.1,76.03,80.26,84.71,82.42,74.01,76.88,69.55,69.64,66.18,70.75,72.64,98.32,72.43,75.69,71.43,74.22,73.47,72.06,79.76,68.11,73.83,86.75,78.15,114.96,75.54,73.45,71.45,70.6
2025-12-31,65.12,68.99,80.88,70.44,76.23,79.1,87.92,85.26,74.5,78.33,71.63,69.84,68.4,71.96,74.12,84.28,74.6,75.34,70.63,76.11,74.4,73.99,80.03,69.42,73.21,87.57,80.18,114.97,77.6,73.02,73.02,72.39
2026-01-31,75.12,77.99,79.52,67.94,76.49,78.87,86.88,100.37,73.38,78.09,71.75,69.74,66.51,70.81,73.96,84.49,76.27,74.62,69.95,75.9,74.0,73.71,80.71,68.05,73.16,88.07,79.91,113.39,77.41,72.53,72.93,71.94
2026-02-28,72.92,74.51,79.43,64.75,73.45,80.2,88.56,83.32,68.6,74.57,71.78,64.68,62.79,69.46,69.81,79.18,72.83,72.39,64.63,73.57,70.8,71.66,76.9,64.05,71.31,88.82,82.19,109.91,77.08,66.48,69.94,70.02
2026-03-31,89.12,100.99,138.55,111.23,118.55,117.15,114.13,122.12,101.64,101.24,89.24,92.31,84.11,92.93,108.66,110.02,94.24,101.03,83.78,98.54,92.06,99.6,107.94,88.16,94.9,109.36,112.0,278.31,97.5,92.55,115.21,87.94
2026-04-30,89.02,118.77,80.4,171.66,109.95,102.81,153.33,138.58,152.3,106.33,107.16,85.27,66.7,85.95,131.75,134.98,137.8,63.47,65.26,128.47,60.89,209.06,130.82,54.29,103.42,107.33,151.62,597.66,100.57,246.44,126.01,90.97
2026-05-31,114.12,173.04,152.98,260.11,151.84,149.48,190.97,363.09,162.31,248.95,89.49,127.28,46.9,72.35,112.59,213.08,191.23,165.92,69.72,130.24,64.05,273.05,152.2,49.72,139.22,143.09,365.9,501.37,178.42,171.2,107.27,100.69
2026-06-30,111.72,257.09,41.25,366.46,50.78,364.25,480.41,668.88,258.18,587.85,92.44,56.93,42.52,94.26,97.14,332.69,186.56,34.99,201.76,380.05,82.64,520.62,67.2,31.7,374.72,203.91,276.58,727.55,308.1,164.69,216.98,222.01
2026-07-31,47.58,116.58,29.98,223.2,29.05,526.25,275.17,294.12,377.49,355.57,28.99,32.14,45.21,63.4,144.66,261.73,39.34,23.7,201.53,347.49,157.42,786.65,34.32,26.13,260.84,110.41,88.77,364.16,154.15,196.91,143.91,140.34
2026-08-31,71.54,87.73,29.5,194.05,39.26,175.97,114.43,173.59,139.53,147.91,69.83,28.37,71.38,74.85,99.02,111.09,75.72,26.65,96.34,126.21,89.38,212.82,65.09,26.05,128.09,84.38,94.48,159.74,90.51,114.04,88.62,110.01
2026-09-30,68.7,82.48,26.43,147.15,34.83,142.92,108.55,162.45,122.28,140.08,69.58,25.16,65.57,70.46,95.46,102.65,72.72,23.91,94.98,113.15,82.29,161.07,59.88,22.74,124.52,76.36,95.28,145.44,84.27,107.4,86.12,104.66
2026-10-31,61.73,68.74,27.96,84.0,70.64,83.15,75.48,114.05,80.02,79.87,60.23,30.68,56.53,50.02,75.26,70.35,76.79,35.86,64.96,74.88,53.5,101.57,47.89,44.4,149.33,67.97,118.4,126.41,66.73,78.44,60.79,63.19
2026-11-30,72.44,73.03,51.25,83.0,75.46,89.08,90.62,89.13,80.9,82.09,63.44,59.74,62.53,66.21,98.79,76.46,79.45,52.94,75.14,77.19,66.86,96.34,65.39,64.89,94.32,74.25,116.54,105.77,75.16,77.7,73.55,80.32
2026-12-31,68.58,69.2,51.87,82.89,73.78,92.67,94.46,89.61,82.07,84.03,63.45,61.45,63.55,67.49,83.06,78.51,79.26,51.35,76.99,78.04,68.58,98.49,66.4,63.96,95.24,76.25,116.4,107.63,74.76,78.98,75.31,78.87
2027-01-31,77.58,78.2,51.5,82.84,74.76,92.62,109.1,88.9,81.49,83.7,63.3,60.91,63.76,67.32,80.21,79.99,79.32,50.63,76.7,77.53,68.3,98.77,65.71,63.79,95.72,73.71,114.41,106.31,71.45,78.45,74.65,77.63
