date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,154.51,213.22,220.06,204.02,206.57,190.61,275.89,213.22,139.12,223.21,166.5,196.6,190.61,172.46,98.06,216.17,173.34,169.02,190.61,139.12,228.27,213.22,132.28,183.67,181.79,195.0,172.45,256.8,187.34,208.46,70.69,216.3
2025-06-30,56.09,85.97,105.58,84.98,115.34,60.58,255.16,96.38,155.23,105.97,119.08,82.2,60.42,64.68,180.27,103.32,128.62,60.24,60.31,143.89,98.68,105.63,166.09,60.8,56.78,94.66,303.98,186.26,56.24,100.76,213.25,82.86
2025-07-31,96.08,87.54,107.38,86.86,115.83,109.74,117.72,98.19,97.75,108.3,90.16,98.08,90.31,104.95,89.36,105.54,103.57,93.85,100.47,88.9,100.41,107.94,107.16,90.07,103.46,96.75,104.36,191.15,95.3,107.45,94.52,101.16
2025-08-31,90.04,107.9,108.3,106.08,114.26,108.55,115.49,109.39,97.13,106.09,103.66,111.62,84.6,98.42,109.83,109.7,104.58,88.07,94.4,104.94,104.85,105.88,105.01,84.24,97.21,95.38,103.36,190.09,106.48,112.7,96.59,113.26
2025-09-30,80.86,104.03,103.35,105.83,108.91,98.06,110.25,105.51,91.77,105.8,103.52,99.91,75.87,88.58,102.14,98.51,105.47,79.19,84.95,102.86,106.71,105.46,100.13,75.54,87.53,90.96,104.55,183.03,96.05,108.67,102.65,107.49
2025-10-31,49.19,67.23,75.91,76.09,66.53,49.19,67.41,72.05,56.0,61.34,74.51,57.09,49.52,49.19,74.71,60.09,63.58,49.19,49.19,74.32,64.92,69.87,65.87,51.98,49.19,60.08,74.83,112.95,49.19,67.69,72.53,68.62
2025-11-30,47.6,60.26,65.63,66.63,68.05,47.6,68.97,53.65,57.13,62.67,67.98,64.75,47.6,47.6,65.47,61.4,60.79,47.6,47.6,64.98,59.94,61.97,62.05,47.6,47.6,59.22,64.49,116.16,47.6,63.05,62.95,55.55
2025-12-31,67.23,99.91,126.02,95.31,125.17,71.03,110.56,107.31,120.94,113.36,102.62,93.38,63.5,70.03,91.29,122.15,124.12,63.34,68.28,100.7,124.73,116.83,123.61,62.7,65.65,119.52,122.59,125.85,64.29,126.52,116.13,88.63
2026-01-31,49.19,90.29,127.11,93.84,126.82,92.43,119.93,117.19,122.67,122.61,92.39,49.19,49.19,94.3,92.88,118.42,121.45,49.19,66.66,92.83,116.46,120.07,123.19,49.19,92.4,119.37,124.24,163.51,90.49,127.82,105.18,92.97
2026-02-28,79.13,79.13,111.19,85.75,114.78,73.13,102.04,96.9,102.74,107.81,76.51,85.9,59.33,74.95,84.28,102.26,108.11,78.19,57.39,79.9,65.52,110.67,111.9,58.23,80.87,87.67,106.03,153.94,75.4,147.81,87.24,55.41
2026-03-31,49.19,54.81,86.41,49.19,119.24,50.71,139.1,75.04,79.94,105.75,59.13,49.19,49.19,49.19,49.19,99.91,84.1,49.19,49.19,54.31,90.19,136.86,95.73,49.19,49.19,81.93,82.28,369.29,49.19,103.37,67.66,49.19
2026-04-30,47.6,53.04,83.62,47.6,115.39,49.08,134.62,72.62,77.36,102.34,57.22,47.6,47.6,47.6,47.6,96.69,81.39,47.6,47.6,52.56,87.28,132.45,116.79,47.6,47.6,79.29,79.62,505.41,47.6,47.6,65.47,47.6
2026-05-31,184.36,200.94,155.95,326.21,175.9,280.57,384.23,483.15,415.74,303.62,148.78,79.34,71.8,161.8,162.25,185.47,291.5,129.22,328.0,453.6,90.19,459.26,151.07,94.91,378.18,208.58,365.57,528.79,219.57,49.19,222.52,169.79
