date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,6025.4,6025.41,6025.26,6028.25,6028.9,6027.23,6023.45,6024.59,6027.48,6024.71,6025.54,6026.75,6026.75,6024.89,6028.46,6025.08,6027.59,6027.27,6028.63,6026.78,6024.66,6023.8,6026.83,6025.86,6026.47,6026.16,6027.96,6030.06,6025.76,6027.32,6028.39,6024.18
2025-06-30,6025.65,6027.5,6029.86,6027.87,6030.78,6028.25,6025.16,6027.44,6028.25,6026.2,6027.54,6028.25,6027.15,6026.55,6027.99,6026.72,6028.9,6027.03,6028.33,6026.35,6028.44,6025.41,6025.71,6026.56,6026.44,6026.66,6027.46,6031.55,6026.76,6029.6,6027.1,6026.87
2025-07-31,6024.29,6027.69,6030.39,6027.17,6030.82,6025.72,6029.68,6027.75,6027.6,6030.46,6028.63,6026.63,6025.39,6025.51,6027.23,6028.38,6030.5,6024.9,6026.01,6027.5,6031.52,6028.97,6029.71,6025.41,6024.46,6026.29,6029.15,6028.77,6025.46,6028.7,6028.31,6027.02
2025-08-31,6023.46,6026.64,6029.91,6025.91,6031.16,6024.01,6029.39,6026.54,6027.36,6030.28,6027.95,6025.19,6024.51,6024.51,6025.9,6027.75,6029.77,6023.5,6024.79,6026.52,6030.93,6028.54,6029.28,6024.52,6023.31,6025.65,6028.41,6025.56,6024.2,6027.28,6027.75,6025.64
2025-09-30,6022.87,6025.59,6029.44,6024.59,6031.09,6022.53,6029.1,6025.41,6027.16,6029.93,6027.24,6024.11,6023.78,6023.73,6024.7,6027.39,6028.96,6022.34,6023.82,6025.63,6030.17,6028.02,6028.85,6023.83,6022.4,6025.13,6027.47,6022.54,6023.12,6025.89,6026.97,6024.4
2025-10-31,6023.0,6025.31,6029.02,6023.77,6031.1,6023.13,6029.14,6024.95,6027.84,6030.09,6026.72,6024.2,6023.64,6024.01,6023.99,6027.73,6028.81,6022.72,6024.54,6025.14,6030.09,6027.64,6028.87,6023.6,6023.06,6026.88,6027.27,6022.41,6023.78,6025.58,6026.73,6023.9
2025-11-30,6023.51,6025.54,6029.35,6023.75,6031.2,6023.95,6029.44,6025.65,6028.2,6030.36,6026.67,6024.24,6024.06,6024.56,6024.1,6028.62,6029.02,6023.41,6025.11,6025.3,6030.34,6027.83,6029.23,6024.08,6023.7,6027.54,6027.55,6022.29,6024.46,6025.78,6026.87,6024.23
2025-12-31,6023.41,6024.65,6028.14,6023.02,6029.95,6024.12,6028.83,6025.01,6026.91,6029.44,6025.79,6023.55,6024.15,6024.57,6023.58,6027.57,6027.68,6023.7,6025.13,6024.59,6029.03,6026.63,6028.06,6024.22,6023.86,6026.63,6026.36,6021.94,6024.78,6024.27,6025.66,6023.74
2026-01-31,6024.08,6024.27,6026.82,6022.26,6028.63,6023.71,6027.92,6024.5,6025.53,6028.26,6025.18,6024.07,6024.58,6023.88,6023.01,6026.61,6026.42,6024.36,6025.17,6024.08,6027.88,6025.33,6026.88,6024.69,6023.29,6025.74,6025.11,6020.49,6024.38,6022.7,6024.74,6023.11
2026-02-28,6023.85,6024.09,6025.91,6021.61,6027.48,6023.85,6027.5,6024.07,6024.55,6027.31,6025.0,6023.43,6024.62,6023.68,6022.56,6025.93,6025.41,6024.14,6025.32,6023.85,6027.97,6024.21,6025.87,6024.79,6022.97,6025.72,6024.4,6019.18,6024.37,6020.36,6024.21,6023.46
