date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,3097.06,3097.35,3092.27,3198.92,3223.07,3162.21,3028.76,3068.61,3171.24,3072.72,3101.93,3145.08,3144.95,3079.15,3206.42,3085.65,3174.86,3163.64,3212.8,3145.95,3071.14,3041.09,3147.98,3113.28,3135.03,3124.14,3188.27,3267.4,3109.68,3165.52,3203.99,3054.25
2025-06-30,3106.02,3171.74,3259.67,3185.0,3295.2,3198.67,3088.44,3169.62,3198.99,3125.3,3173.24,3198.7,3159.36,3137.88,3189.34,3143.97,3222.98,3155.03,3201.81,3130.76,3205.94,3097.3,3107.9,3138.29,3133.93,3141.76,3170.24,3325.43,3145.45,3249.61,3157.39,3149.18
2025-07-31,3057.95,3178.75,3280.04,3159.99,3296.78,3108.27,3252.63,3180.71,3175.34,3282.7,3212.96,3140.61,3096.74,3100.83,3161.96,3203.63,3284.21,3079.35,3118.63,3171.86,3323.94,3225.72,3253.97,3097.34,3064.15,3128.42,3232.43,3218.08,3099.04,3215.47,3200.93,3154.75
2025-08-31,3029.09,3141.16,3261.62,3115.07,3309.93,3048.09,3241.5,3137.49,3166.79,3275.97,3188.12,3089.81,3065.61,3065.73,3114.59,3180.86,3256.04,3030.41,3075.61,3136.81,3301.12,3209.63,3237.58,3066.12,3023.86,3105.99,3204.58,3102.9,3054.94,3163.93,3180.61,3105.68
2025-09-30,3008.52,3103.79,3243.61,3068.42,3307.31,2996.89,3230.5,3097.27,3159.48,3262.24,3162.65,3051.65,3040.17,3038.32,3072.39,3167.81,3225.04,2990.17,3041.63,3105.05,3271.58,3190.53,3221.21,3041.86,2992.2,3087.54,3170.68,2997.09,3017.28,3114.26,3152.74,3062.0
2025-10-31,3013.23,3093.91,3227.43,3039.94,3307.47,3017.67,3231.9,3081.35,3183.92,3268.6,3143.83,3054.73,3035.28,3048.41,3047.49,3180.01,3219.53,3003.54,3066.9,3087.9,3268.42,3176.97,3221.7,3033.89,3015.23,3149.77,3163.41,2992.71,3040.11,3103.52,3144.29,3044.42
2025-11-30,3030.82,3101.95,3239.89,3039.26,3311.73,3046.02,3243.7,3105.92,3196.99,3278.89,3142.22,3056.37,3050.08,3067.61,3051.32,3212.31,3227.41,3027.51,3086.74,3093.7,3278.05,3183.53,3235.41,3050.56,3037.4,3173.11,3173.42,2988.54,3063.92,3110.43,3149.34,3055.83
2025-12-31,3027.25,3070.67,3194.85,3013.82,3262.96,3052.23,3220.25,3083.17,3150.75,3243.51,3110.85,3032.19,3053.24,3067.92,3033.27,3174.29,3178.17,3037.52,3087.44,3068.5,3227.96,3140.75,3191.87,3055.47,3043.13,3140.8,3131.06,2976.56,3075.16,3057.44,3106.31,3038.68
2026-01-31,3050.64,3057.3,3147.5,2987.38,3212.89,3037.65,3186.85,3065.44,3101.79,3199.04,3089.45,3050.4,3068.34,3043.79,3013.55,3140.08,3133.15,3060.43,3089.05,3050.68,3185.5,3094.61,3149.44,3072.05,3023.08,3109.13,3086.87,2926.85,3061.03,3002.74,3073.74,3016.92
2026-02-28,3042.75,3050.94,3115.01,2965.3,3171.14,3042.53,3171.92,3050.46,3067.03,3165.1,3082.97,3028.08,3069.75,3036.59,2997.74,3115.95,3097.28,3052.93,3094.08,3042.67,3188.61,3055.17,3113.83,3075.73,3011.98,3108.29,3062.02,2882.67,3060.72,2922.66,3055.18,3029.06
