date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,106.0,145.0,146.86,241.41,237.49,202.84,114.56,116.32,156.87,131.13,102.8,185.86,162.62,99.97,123.1,143.14,164.84,178.67,213.0,129.51,141.74,69.22,91.59,136.38,160.1,149.46,149.28,181.7,139.35,192.91,96.91,109.88
2025-06-30,204.0,280.0,379.29,215.1,316.24,243.06,392.14,351.34,339.88,272.65,322.81,282.81,213.58,277.19,272.05,321.11,323.28,191.81,188.77,269.78,378.87,293.68,222.01,242.78,199.95,250.96,390.86,346.8,245.47,335.24,273.37,333.87
2025-07-31,106.0,146.0,172.65,110.39,171.67,60.49,310.49,158.35,124.0,313.18,178.48,90.73,75.75,115.51,93.62,216.97,211.26,47.85,57.05,177.27,262.08,277.83,289.8,97.76,85.02,135.06,205.32,121.27,95.46,123.49,190.17,156.94
2025-08-31,46.0,53.0,72.43,44.48,142.28,34.07,109.97,53.67,73.62,102.75,64.92,41.18,34.3,43.82,39.31,80.35,71.31,30.56,40.36,55.07,79.62,88.34,86.43,38.37,36.69,52.33,62.66,48.63,40.29,47.34,64.97,52.13
2025-09-30,32.0,35.0,49.17,30.4,48.08,24.29,44.18,30.22,49.34,41.63,44.73,35.31,23.27,33.71,31.25,48.72,35.09,22.64,27.14,36.01,34.91,41.41,37.56,23.52,31.58,36.71,35.87,34.5,32.24,27.52,39.37,29.17
2025-10-31,39.0,42.0,43.48,33.88,49.65,41.28,52.16,40.06,60.95,51.98,40.43,41.95,30.55,42.57,33.11,53.87,45.02,45.93,50.9,40.86,47.88,42.05,46.93,30.94,43.4,99.64,52.46,77.22,53.53,37.91,46.53,36.1
2025-11-30,39.0,41.0,43.13,33.61,42.01,37.48,47.14,40.77,41.87,42.27,36.81,37.16,38.7,36.41,33.59,51.8,40.7,35.27,42.32,42.3,45.28,40.84,42.58,37.1,36.62,51.11,41.42,78.01,44.49,38.46,38.99,39.51
2025-12-31,32.0,32.0,37.33,29.18,35.53,30.19,46.08,37.83,33.44,37.23,31.96,30.77,30.07,30.43,28.92,37.69,35.6,30.68,31.52,33.78,36.51,34.56,34.44,31.09,29.72,38.69,34.48,44.63,39.99,31.9,32.65,33.18
2026-01-31,29.0,31.0,32.06,26.08,30.96,26.22,36.24,38.22,28.68,31.62,28.04,26.77,25.11,26.53,25.7,31.84,34.91,28.34,26.31,30.84,31.32,31.05,31.09,26.23,26.26,35.45,30.48,35.77,34.14,27.84,28.24,28.43
2026-02-28,27.0,29.0,27.58,23.57,26.19,33.3,39.27,30.87,24.31,28.64,28.04,23.23,21.52,31.35,23.36,27.81,29.14,26.36,22.16,28.68,26.37,28.42,28.78,22.95,29.56,38.52,34.87,46.42,30.83,26.95,24.97,28.52
2026-03-31,43.0,51.0,49.43,46.07,47.97,63.47,55.67,54.84,42.62,45.73,37.91,36.96,30.33,39.9,53.78,49.21,37.85,60.43,30.27,48.38,36.52,36.33,55.08,37.4,43.07,66.91,54.72,129.53,38.1,41.35,42.6,35.85
2026-04-30,65.0,77.0,65.4,67.8,85.28,62.26,109.64,83.31,72.53,60.3,70.86,47.68,60.34,64.01,109.58,73.71,95.74,64.56,34.92,77.94,50.27,59.89,112.63,44.66,73.09,74.24,83.73,252.31,68.14,91.93,59.33,58.78
2026-05-31,116.0,166.0,149.46,200.67,173.99,60.42,144.14,319.04,137.6,159.29,146.23,104.83,55.48,63.83,102.17,142.28,226.56,159.13,109.63,135.53,25.14,147.92,155.24,70.29,180.78,165.29,127.99,374.7,231.96,79.29,117.51,80.72
2026-06-30,201.0,301.0,61.14,364.77,153.15,405.66,561.62,691.13,286.86,529.43,212.09,122.82,197.14,226.52,241.56,368.37,275.46,63.88,279.39,445.99,191.79,394.57,192.59,99.06,455.56,284.86,281.08,715.14,423.66,249.06,334.67,330.56
2026-07-31,90.0,146.0,35.4,231.62,29.08,426.57,295.32,310.38,345.06,333.14,65.58,32.87,83.82,80.47,176.34,259.89,78.24,10.22,209.56,346.95,176.23,629.72,72.15,37.97,292.26,135.1,96.48,360.41,189.08,214.32,174.28,162.61
2026-08-31,42.0,59.0,22.07,181.07,26.12,152.28,92.97,150.26,116.6,116.26,36.35,22.09,36.4,36.67,68.84,85.12,45.52,26.98,65.49,108.83,58.6,185.9,35.41,24.33,99.42,51.82,45.75,117.47,67.32,79.97,61.29,71.9
