date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,151.26,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52,158.52
2025-06-30,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28
2025-07-31,330.05,330.05,330.05,330.05,330.05,321.53,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,308.91,318.09,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05
2025-08-31,303.25,305.17,307.52,303.32,333.96,297.13,328.49,307.93,308.02,326.24,306.08,299.21,301.94,301.32,300.35,311.64,314.11,290.03,297.08,305.67,318.29,319.27,320.29,303.81,298.9,303.97,309.47,303.27,300.33,306.19,308.83,307.7
2025-09-30,264.84,264.84,264.84,264.84,264.88,264.82,264.87,264.84,264.84,264.86,264.84,264.82,264.83,264.83,264.83,264.85,264.85,264.81,264.82,264.84,264.86,264.86,264.86,264.84,264.82,264.84,264.84,264.84,264.83,264.84,264.84,264.84
2025-10-31,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97
2025-11-30,223.24,222.46,223.49,220.13,223.73,217.62,220.57,218.55,225.92,223.44,222.49,224.4,227.76,221.72,218.75,230.41,223.31,217.31,230.02,223.77,228.33,224.83,222.45,224.36,221.81,223.29,220.51,229.6,225.24,223.4,223.73,224.64
2025-12-31,190.49,186.84,192.06,186.92,191.91,178.83,190.73,184.96,194.41,192.73,191.18,193.51,198.05,188.5,183.88,197.51,192.47,180.98,200.35,189.92,198.83,194.39,187.63,193.82,187.76,184.78,184.91,175.74,196.86,191.26,192.15,193.99
2026-01-31,154.81,150.29,155.42,150.69,155.59,136.17,151.13,151.83,158.21,156.48,156.02,158.69,163.44,151.47,145.88,158.83,161.0,142.39,165.52,153.21,164.21,160.5,149.54,158.49,150.33,143.11,145.4,113.15,162.7,155.14,156.23,158.65
2026-02-28,123.42,118.32,120.99,118.02,121.05,107.3,121.93,118.3,123.96,123.86,127.02,126.33,131.05,125.43,111.74,122.99,130.22,108.34,132.5,120.91,131.06,130.3,115.88,125.87,122.39,112.02,117.08,93.66,131.87,124.35,123.28,129.61
2026-03-31,101.9,101.93,101.9,101.94,101.9,102.03,101.92,101.94,101.87,101.89,101.89,101.87,101.83,101.91,101.98,101.86,101.86,102.0,101.82,101.91,101.83,101.85,101.94,101.87,101.92,101.97,101.96,150.21,101.84,101.89,101.89,101.86
2026-04-30,103.35,93.66,136.96,93.66,113.58,93.66,93.66,93.66,93.66,93.66,93.67,119.24,121.38,111.47,124.44,93.66,93.66,134.05,93.66,93.66,121.79,93.66,125.11,116.23,93.66,93.66,93.66,93.66,93.66,117.64,93.66,93.66
2026-05-31,153.12,158.52,158.52,158.52,158.52,93.66,115.54,158.52,147.29,158.52,157.61,158.52,134.18,118.56,136.05,150.75,158.52,158.52,158.21,139.62,115.15,158.52,158.52,154.61,158.52,158.52,126.09,148.76,158.52,117.73,140.85,104.78
2026-06-30,288.28,288.28,193.91,288.28,285.72,288.28,288.28,288.28,288.28,288.28,288.28,255.45,288.28,288.28,288.28,288.28,288.28,196.65,288.28,288.28,281.2,288.28,288.28,227.85,288.28,288.28,288.28,288.28,288.28,288.28,288.28,288.28
2026-07-31,330.05,330.05,202.54,330.05,287.63,330.05,330.05,330.05,330.05,330.05,326.61,261.25,330.05,330.05,330.05,330.05,330.05,180.18,330.05,330.05,330.05,330.05,330.05,238.86,330.05,330.05,330.05,330.05,330.05,330.05,330.05,330.05
2026-08-31,301.29,306.08,198.2,333.96,276.07,333.96,314.5,322.61,326.53,314.11,292.37,256.69,296.3,296.62,302.44,314.31,300.53,180.87,304.99,323.61,306.0,333.96,300.25,236.62,311.29,302.45,299.2,313.66,308.65,308.77,306.95,302.65
2026-09-30,264.83,264.84,198.1,264.88,264.8,264.88,264.85,264.86,264.86,264.85,264.81,252.14,264.82,264.82,264.83,264.85,264.83,180.99,264.84,264.86,264.84,264.88,264.83,241.8,264.85,264.83,264.82,264.85,264.84,264.84,264.84,264.84
2026-10-31,246.97,246.97,196.48,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.95,246.97,246.97,246.97,246.97,246.97,197.44,246.97,246.97,246.97,246.97,246.97,246.94,246.97,246.97,246.97,246.97,246.97,246.97,246.97,246.97
2026-11-30,220.86,223.26,178.47,224.41,216.74,220.97,220.5,229.12,223.37,224.33,223.92,225.99,220.77,218.19,230.28,223.52,218.25,188.67,224.08,229.04,223.11,225.8,224.08,220.34,226.05,219.7,230.25,230.67,224.2,223.97,224.93,222.7
2026-12-31,185.65,187.43,155.51,192.79,177.7,191.21,188.17,198.6,192.63,193.68,192.91,195.81,187.22,183.14,197.34,192.72,182.14,168.76,190.45,199.73,192.09,191.79,193.63,185.81,187.79,183.94,177.18,204.43,192.31,192.46,194.45,190.78
2027-01-31,149.52,150.68,130.4,156.34,135.28,151.59,154.95,161.81,156.39,158.26,158.3,161.47,150.35,145.29,158.78,161.22,143.2,144.41,153.75,164.99,158.43,152.85,158.47,148.59,145.11,144.68,115.89,169.28,156.09,156.5,159.09,154.14
