date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0,615425.0
2025-06-30,651198.0,651198.0,662905.0,645483.0,687776.0,796631.0,669133.0,664778.0,688412.0,648478.0,659980.0,647973.0,668137.0,655997.0,673689.0,686546.0,650074.0,661292.0,676809.0,676127.0,652006.0,662381.0,669290.0,672409.0,671418.0,678985.0,645066.0,643164.0,664143.0,672958.0,667801.0,666957.0
2025-07-31,653037.0,653037.0,661023.0,636981.0,673748.0,805209.0,671752.0,664008.0,677632.0,646619.0,622297.0,666398.0,668256.0,648500.0,658707.0,650296.0,679236.0,666405.0,671292.0,663444.0,663293.0,678077.0,668867.0,648502.0,645520.0,633981.0,632981.0,643603.0,647053.0,651994.0,656228.0,656505.0
2025-08-31,564709.0,564709.0,558270.0,528967.0,579669.0,578924.0,564216.0,556976.0,614654.0,573359.0,554174.0,554577.0,545289.0,552049.0,560162.0,584008.0,545173.0,577679.0,578304.0,580984.0,587305.0,586679.0,575079.0,556126.0,549710.0,533336.0,566171.0,570470.0,560759.0,570705.0,561234.0,605149.0
2025-09-30,505612.0,505612.0,503063.0,497531.0,534263.0,501305.0,515581.0,508363.0,487022.0,558889.0,557050.0,524857.0,510336.0,514390.0,529171.0,501236.0,504696.0,522266.0,527163.0,512364.0,532057.0,525009.0,509820.0,538846.0,529327.0,503326.0,500003.0,513008.0,502890.0,506696.0,504272.0,529621.0
2025-10-31,462060.0,462060.0,444094.0,450827.0,460192.0,461164.0,451689.0,449056.0,448508.0,454051.0,442133.0,463091.0,437175.0,457742.0,470891.0,447904.0,455268.0,451984.0,460449.0,455131.0,466883.0,473008.0,473091.0,460172.0,450728.0,451253.0,456081.0,469710.0,470586.0,454141.0,447728.0,475622.0
2025-11-30,370876.0,370876.0,363903.0,374689.0,391367.0,365597.0,367346.0,362652.0,365885.0,416139.0,358419.0,372498.0,368311.0,366029.0,372227.0,373032.0,379453.0,373450.0,369687.0,388845.0,391125.0,398508.0,376429.0,378019.0,367708.0,371683.0,366303.0,374839.0,362751.0,368977.0,363728.0,389152.0
2025-12-31,302920.0,302920.0,291139.0,286945.0,296729.0,283112.0,216422.0,321201.0,317356.0,371683.0,263976.0,326577.0,302933.0,305815.0,319134.0,282431.0,299144.0,302212.0,311974.0,289789.0,315605.0,276085.0,303165.0,310868.0,302828.0,286114.0,297391.0,293295.0,309287.0,294386.0,290864.0,300392.0
2026-01-31,278518.0,278518.0,278256.0,273270.0,306613.0,269844.0,285299.0,340761.0,398672.0,215408.0,284850.0,278653.0,284474.0,286228.0,281276.0,281482.0,305345.0,290544.0,276444.0,307907.0,236341.0,317310.0,309487.0,289671.0,286351.0,271494.0,290904.0,288682.0,291194.0,263874.0,299160.0,269621.0
2026-02-28,374870.0,374870.0,348940.0,408837.0,394085.0,392484.0,373118.0,385818.0,406014.0,350430.0,366296.0,351862.0,378347.0,356033.0,354057.0,356188.0,364939.0,386773.0,387927.0,363265.0,395082.0,371453.0,389116.0,378317.0,366359.0,351166.0,388535.0,361543.0,365769.0,370500.0,372341.0,347783.0
2026-03-31,545802.0,545802.0,488624.0,642487.0,564918.0,539313.0,564207.0,529180.0,510257.0,490810.0,521053.0,533705.0,543589.0,589168.0,579850.0,547666.0,534344.0,537640.0,536798.0,563269.0,558076.0,553988.0,553762.0,561260.0,609791.0,547087.0,524565.0,558528.0,543840.0,550562.0,540777.0,533768.0
2026-04-30,634035.0,634035.0,600183.0,687678.0,650736.0,610239.0,638626.0,616194.0,561611.0,577557.0,638957.0,617972.0,624830.0,621100.0,615220.0,599091.0,620756.0,622765.0,632275.0,635551.0,631399.0,631872.0,636514.0,629189.0,577905.0,571126.0,606379.0,626918.0,641290.0,637344.0,617550.0,638011.0
2026-05-31,688666.0,688666.0,612647.0,730657.0,790413.0,675204.0,667659.0,669505.0,650260.0,625890.0,661832.0,664982.0,650452.0,668143.0,673533.0,677284.0,699588.0,664352.0,650339.0,647625.0,684712.0,663731.0,647284.0,652154.0,649895.0,601863.0,657021.0,649341.0,654180.0,655149.0,685514.0,642733.0
2026-06-30,644463.0,644463.0,607310.0,687190.0,796046.0,662398.0,658043.0,681677.0,647893.0,621807.0,641237.0,661401.0,649261.0,666953.0,679810.0,643339.0,654556.0,670074.0,669392.0,645271.0,655646.0,662554.0,665674.0,664682.0,672249.0,606893.0,636429.0,657407.0,666223.0,661066.0,660222.0,656170.0
2026-07-31,651017.0,651017.0,603625.0,677690.0,809151.0,669731.0,661988.0,675612.0,650561.0,588940.0,664378.0,666236.0,646480.0,656687.0,648276.0,677215.0,664384.0,669272.0,661424.0,661273.0,676056.0,666846.0,646482.0,643499.0,631960.0,599624.0,641583.0,645033.0,649974.0,654208.0,654485.0,659003.0
2026-08-31,586889.0,586889.0,522996.0,607759.0,607014.0,586396.0,579156.0,636835.0,601450.0,548203.0,576757.0,567469.0,574229.0,582342.0,606188.0,567353.0,599859.0,600484.0,603164.0,609485.0,608859.0,597259.0,578306.0,571890.0,555516.0,560200.0,592650.0,582939.0,592885.0,583414.0,627329.0,580450.0
2026-09-30,530689.0,530689.0,498302.0,563676.0,530717.0,540658.0,533440.0,512099.0,588301.0,557821.0,549934.0,535413.0,539467.0,554248.0,526313.0,529773.0,547343.0,552240.0,537442.0,557134.0,550086.0,534897.0,563923.0,554404.0,528403.0,500774.0,538085.0,527967.0,531774.0,529349.0,554698.0,528140.0
2026-10-31,476140.0,476140.0,442315.0,477621.0,478594.0,465768.0,463135.0,462587.0,471481.0,433621.0,477171.0,451255.0,471821.0,484970.0,461984.0,469348.0,466063.0,474529.0,469210.0,480963.0,487087.0,487170.0,474252.0,464808.0,465332.0,447569.0,483789.0,484666.0,468221.0,461807.0,489702.0,458174.0
2026-11-30,354567.0,354567.0,344697.0,376610.0,350840.0,351037.0,346343.0,349576.0,401382.0,328427.0,356189.0,352002.0,349720.0,355917.0,356723.0,363144.0,357140.0,353378.0,372536.0,374816.0,382198.0,360120.0,361710.0,351399.0,355374.0,336310.0,358530.0,346442.0,352667.0,347419.0,372843.0,347594.0
2026-12-31,292940.0,292940.0,266293.0,287808.0,274192.0,206443.0,311221.0,307376.0,362762.0,243324.0,316598.0,292953.0,295836.0,309154.0,272451.0,289164.0,292232.0,301995.0,279809.0,305626.0,266106.0,293186.0,300889.0,292848.0,276134.0,276739.0,283315.0,299307.0,284406.0,280884.0,290412.0,281159.0
2027-01-31,299944.0,299944.0,297043.0,334183.0,291271.0,309062.0,364524.0,422446.0,238086.0,308613.0,300079.0,305901.0,300119.0,297354.0,302909.0,329108.0,311971.0,297871.0,331669.0,257767.0,341072.0,333250.0,313434.0,310114.0,291836.0,312331.0,312445.0,314957.0,287636.0,322923.0,291048.0,298598.0
2027-02-28,398798.0,398798.0,434931.0,423579.0,416413.0,399139.0,411839.0,432108.0,375233.0,392317.0,375791.0,402276.0,373226.0,373204.0,380117.0,390960.0,410702.0,411856.0,389286.0,419010.0,397474.0,415137.0,404338.0,392380.0,373877.0,412464.0,387564.0,391790.0,396522.0,398362.0,371712.0,371651.0
2027-03-31,579133.0,579133.0,677959.0,603656.0,572645.0,599548.0,564522.0,545730.0,524418.0,556395.0,567037.0,576921.0,615753.0,608404.0,580998.0,569685.0,570971.0,570129.0,598611.0,591408.0,589329.0,589103.0,596601.0,645132.0,578685.0,557897.0,593870.0,579181.0,585904.0,576119.0,567100.0,520223.0
2027-04-30,676846.0,676846.0,732639.0,698949.0,653049.0,683438.0,661006.0,606572.0,619939.0,683769.0,660783.0,667640.0,657394.0,653409.0,641902.0,665568.0,665576.0,675086.0,680363.0,674210.0,676684.0,681326.0,674001.0,622717.0,611507.0,649189.0,671730.0,686102.0,682156.0,662362.0,680821.0,640563.0
