date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,533.12,535.56,534.61,538.2,543.99,542.78,542.21,535.22,535.72,541.89,534.44,536.27,534.82,533.52,534.42,534.02,544.63,534.48,533.1,534.81,537.1,537.9,539.05,533.96,534.32,531.85,534.45,535.73,535.23,533.58,538.79,533.77
2025-06-30,513.79,518.25,520.8,520.31,526.57,523.47,528.2,516.68,516.84,527.38,518.7,522.53,517.36,514.91,515.04,513.08,529.64,516.57,513.67,517.22,520.18,520.17,524.02,513.98,514.51,511.66,517.24,518.63,516.47,514.35,523.25,514.45
2025-07-31,508.28,513.86,512.19,517.71,517.84,516.45,525.76,513.22,511.88,525.83,521.91,513.87,508.37,508.77,508.42,506.74,524.13,511.14,508.68,512.15,514.1,511.41,519.73,511.54,512.96,507.59,514.53,514.16,513.95,512.73,515.46,507.22
2025-08-31,515.08,521.4,519.72,529.01,525.44,519.61,531.27,518.48,519.57,532.34,530.72,520.14,516.79,512.52,517.12,510.85,533.44,518.35,516.6,518.1,517.22,518.25,525.84,523.04,523.0,517.51,521.27,520.9,520.08,517.3,519.74,508.34
2025-09-30,512.89,519.93,519.96,531.71,523.76,519.01,530.0,515.44,522.24,532.43,529.48,516.29,515.76,516.24,514.28,511.37,531.8,514.94,513.02,516.22,513.2,515.72,525.68,521.32,524.53,519.4,519.01,518.3,517.65,515.08,516.67,503.41
2025-10-31,516.81,524.06,524.35,540.16,528.91,524.81,545.6,520.51,526.4,540.19,534.07,522.77,520.5,522.3,516.72,523.12,538.39,525.14,516.7,520.77,515.12,521.91,531.74,526.88,528.11,525.94,528.35,524.54,520.45,522.55,519.41,505.51
2025-11-30,513.97,520.63,523.03,538.67,526.58,520.47,556.27,521.89,526.94,537.03,533.38,520.14,517.87,520.07,515.06,528.74,535.0,523.92,516.14,519.82,511.96,516.13,529.73,525.72,530.82,523.42,525.59,523.12,517.63,520.65,522.63,501.62
2025-12-31,522.54,528.33,532.78,551.16,534.49,531.75,577.32,525.88,528.77,537.93,542.58,526.2,524.2,526.21,520.73,539.74,542.21,529.75,524.96,528.33,517.81,537.48,537.98,532.49,536.51,532.14,532.34,531.41,523.22,528.36,535.07,508.86
2026-01-31,539.42,544.54,549.23,598.98,549.1,555.41,599.87,535.87,535.63,558.91,558.45,544.48,536.84,540.92,535.14,584.55,554.39,542.91,540.99,541.18,541.74,551.09,550.87,547.06,549.81,546.95,548.91,550.29,539.72,546.21,549.95,526.11
2026-02-28,549.04,553.93,564.01,640.26,558.71,575.46,615.81,542.27,548.24,567.4,569.83,557.7,544.78,553.9,547.97,622.55,564.62,551.78,555.16,553.64,554.13,562.76,558.84,556.83,560.79,557.34,558.96,566.28,550.53,560.55,560.23,541.04
