date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,371.72,371.97,376.66,369.68,356.39,324.35,366.78,364.29,369.89,369.28,369.64,362.92,369.91,371.03,369.45,379.48,375.8,370.42,373.49,376.39,366.61,370.93,370.05,367.67,370.64,378.21,368.42,369.95,369.06,372.86,373.62,376.62
2025-06-30,314.29,314.91,319.31,315.92,314.91,314.61,316.05,313.68,317.39,311.15,315.98,305.12,314.2,314.21,311.4,322.99,316.87,314.32,319.74,322.1,310.76,315.85,316.62,322.45,319.02,324.63,314.32,313.07,318.42,325.17,318.93,322.95
2025-07-31,272.52,273.3,278.67,264.14,276.75,277.54,273.83,272.6,278.86,273.53,251.02,277.28,277.95,271.54,275.5,272.55,286.51,274.7,276.16,275.68,272.79,286.12,275.24,260.66,272.73,265.38,268.02,275.58,270.01,271.04,277.47,278.8
2025-08-31,249.43,250.25,245.73,235.42,240.86,253.21,257.4,243.54,261.51,251.38,247.18,241.06,236.03,245.21,243.11,257.54,237.67,254.82,255.82,251.91,256.56,259.2,251.83,245.08,240.44,233.46,255.44,252.49,251.39,253.14,251.29,272.51
2025-09-30,220.68,221.47,218.96,213.43,220.37,211.19,216.46,218.41,197.32,239.54,234.99,225.03,218.4,220.8,224.79,211.15,224.89,225.26,225.83,220.37,225.79,226.52,217.72,228.22,227.08,221.2,221.78,226.7,221.85,225.86,221.05,228.08
2025-10-31,149.18,149.67,147.0,139.53,149.24,143.68,146.87,138.4,144.07,142.24,148.8,146.22,134.51,138.23,151.63,124.25,136.79,136.57,145.07,145.05,152.65,147.06,144.71,141.91,148.48,140.46,142.03,146.55,155.67,147.19,151.73,155.81
2025-11-30,201.7,202.41,192.1,198.68,206.22,201.63,190.96,185.27,189.43,222.62,188.74,196.41,195.95,192.7,192.7,187.56,204.71,192.05,194.66,200.63,200.86,207.77,192.25,197.02,187.43,199.26,199.76,205.48,198.9,204.41,189.45,211.62
2025-12-31,186.24,186.82,181.4,178.64,184.61,175.35,153.9,194.0,202.97,215.52,170.75,195.75,189.44,191.59,192.47,175.89,181.24,189.95,191.78,180.62,193.69,171.98,191.51,188.08,192.5,176.87,184.9,183.15,192.17,181.83,177.39,186.33
2026-01-31,184.77,185.26,188.64,147.37,192.16,173.5,189.58,212.48,231.94,152.36,180.72,169.87,189.9,187.96,179.78,131.87,200.09,190.15,190.17,195.92,149.45,196.69,196.15,187.12,191.56,192.66,185.67,185.99,180.73,183.64,193.29,177.08
2026-02-28,187.86,188.32,181.72,107.55,189.97,162.27,190.0,187.11,171.9,192.53,179.11,174.35,185.6,171.74,171.79,111.17,177.79,192.07,189.56,174.48,184.43,180.0,187.64,187.18,182.57,192.26,188.81,177.46,174.56,178.49,184.08,167.71
2026-03-31,282.19,283.12,273.38,201.48,286.26,250.5,301.05,273.34,268.22,272.81,276.96,283.32,280.33,302.04,296.0,228.21,274.37,277.51,283.34,289.86,270.34,288.79,290.21,289.68,315.96,328.97,271.21,295.69,280.52,284.41,273.48,272.75
2026-04-30,351.84,353.68,347.41,377.99,362.07,351.57,367.9,344.7,319.06,346.98,352.36,350.64,346.4,344.96,330.59,355.09,353.02,348.89,349.25,352.83,339.65,352.61,348.07,353.86,332.93,339.87,336.15,352.31,347.89,356.2,335.32,343.6
2026-05-31,348.98,351.47,337.02,371.74,349.95,354.06,353.81,344.95,338.3,339.21,339.25,344.94,335.92,344.54,347.67,372.89,354.91,346.12,348.89,333.44,347.74,346.88,328.31,339.64,352.72,325.84,335.33,340.23,334.6,347.61,355.4,344.28
2026-06-30,300.21,302.64,301.06,327.53,310.21,315.71,319.48,308.06,300.38,298.09,293.49,300.62,296.82,302.8,306.29,318.27,308.42,304.04,311.71,296.01,302.56,311.23,307.91,310.75,313.64,294.34,293.48,313.12,309.25,314.33,310.97,307.38
2026-07-31,271.24,273.51,261.29,293.77,279.6,278.97,284.18,275.97,275.13,245.62,277.75,276.75,267.0,273.1,262.67,299.45,274.85,273.41,278.16,270.58,278.81,275.92,252.81,271.0,267.52,260.67,268.27,270.85,261.94,278.87,279.43,279.63
2026-08-31,257.28,259.52,243.31,265.16,264.21,271.21,264.15,267.51,261.88,252.42,250.54,244.15,253.31,249.96,256.69,257.8,263.79,262.13,263.31,263.28,261.05,261.39,246.35,248.03,244.77,258.87,254.34,261.03,253.2,261.49,281.84,255.8
2026-09-30,233.43,235.5,226.26,247.26,226.25,234.48,243.39,213.27,256.59,248.12,238.83,231.11,231.19,239.43,215.77,249.02,242.05,236.97,235.57,237.26,232.95,232.01,233.94,242.46,236.03,230.5,236.35,236.02,230.61,235.72,245.11,233.28
2026-10-31,165.26,166.6,160.22,173.37,160.42,165.62,161.58,159.19,158.79,165.87,162.4,150.17,150.91,166.15,135.01,159.21,152.8,159.68,163.22,167.25,158.54,161.54,153.13,163.69,158.19,160.19,158.4,172.27,158.08,168.69,171.79,164.04
2026-11-30,194.63,196.26,199.69,209.48,194.24,187.68,193.72,182.53,215.84,187.14,189.74,188.57,179.03,184.41,175.83,206.69,185.36,186.37,196.61,192.53,196.41,187.19,185.48,185.46,193.56,197.66,195.55,193.76,193.36,184.87,204.85,186.16
2026-12-31,183.44,184.97,184.9,191.63,172.76,154.58,200.92,199.52,212.73,175.03,187.47,186.05,182.68,187.87,167.92,187.32,187.08,187.37,181.71,189.37,165.52,191.03,180.61,188.74,175.83,188.07,178.21,191.75,175.28,177.56,184.03,179.0
2027-01-31,186.73,188.07,152.12,219.51,172.67,202.84,240.79,244.92,165.6,193.78,179.25,193.42,172.72,183.07,145.83,226.59,193.61,192.53,209.39,157.45,212.35,216.9,192.52,196.08,194.42,187.15,199.21,201.27,192.86,202.55,186.83,189.8
2027-02-28,196.32,197.36,117.59,224.15,166.52,219.45,225.51,202.72,208.22,211.92,179.45,195.39,172.4,171.87,139.03,217.97,201.69,201.65,189.75,193.06,209.0,221.52,198.46,195.59,201.04,197.34,210.34,211.41,204.07,200.42,176.92,190.46
2027-03-31,289.81,290.86,221.8,341.56,258.61,348.8,343.73,321.32,321.66,333.5,292.0,288.8,273.01,296.53,272.84,343.25,285.97,290.38,308.72,278.61,330.33,324.52,299.47,312.47,329.77,279.73,345.19,315.07,318.03,294.19,283.27,283.76
2027-04-30,360.65,361.29,395.78,437.99,350.77,397.28,389.41,343.93,368.87,385.61,359.36,354.69,253.32,330.36,367.22,395.65,356.96,361.36,376.21,346.4,369.68,382.99,361.19,342.39,345.7,342.98,385.91,388.32,370.84,360.61,354.66,352.39
2027-05-31,372.42,372.36,398.51,429.04,360.01,383.53,397.82,369.24,369.61,373.83,360.71,358.72,253.6,361.38,390.25,412.66,368.73,369.57,365.59,361.14,369.02,370.21,282.46,282.29,345.62,348.87,375.22,376.65,368.62,396.61,361.79,349.78
2027-06-30,314.91,314.2,333.81,356.9,312.45,335.74,346.76,319.22,316.75,315.46,313.41,272.91,250.28,272.22,326.13,344.7,322.45,328.0,315.59,313.06,327.57,337.01,268.17,272.15,303.89,303.76,335.72,338.47,330.47,339.34,327.92,304.25
2027-07-31,290.04,288.69,303.29,323.09,280.5,304.07,317.12,298.33,268.11,303.94,293.05,275.94,264.62,278.29,311.72,313.79,281.44,281.96,294.0,292.89,295.33,285.65,276.26,277.73,282.32,282.31,297.28,294.89,298.94,304.81,297.23,275.18
2027-08-31,275.0,283.57,273.52,306.2,271.52,283.3,307.91,285.14,274.51,276.4,281.85,268.15,252.73,277.25,270.48,301.89,280.9,281.13,286.13,273.52,279.59,278.87,272.05,277.06,282.19,266.79,287.31,285.79,281.65,306.61,272.15,256.03
2027-09-30,253.03,272.83,258.37,274.3,237.52,263.33,247.13,281.19,273.36,265.81,268.88,254.4,240.1,245.41,261.25,280.12,271.51,270.98,263.15,268.95,250.92,267.63,258.44,268.01,265.55,250.34,263.25,264.21,257.11,272.35,250.12,240.48
2027-10-31,183.37,184.32,191.72,204.26,177.04,196.91,206.69,196.88,199.52,201.62,168.29,161.32,158.64,160.45,188.55,199.24,172.55,180.2,189.61,176.1,191.27,188.99,163.76,170.93,185.63,175.07,212.07,187.59,203.31,194.38,182.99,185.04
2027-11-30,205.82,205.64,220.31,234.55,187.18,221.58,230.03,249.3,220.15,227.72,199.68,171.78,169.07,178.05,230.25,233.35,196.96,206.82,214.58,205.45,214.64,215.09,175.95,183.02,207.88,201.47,228.95,219.86,216.78,226.29,196.11,209.76
2027-12-31,186.94,187.69,199.34,201.03,158.15,231.65,245.21,243.36,199.64,222.6,189.01,160.26,158.01,173.14,204.6,227.35,175.25,184.38,203.54,173.81,210.6,202.27,165.29,173.42,190.53,183.8,222.03,193.19,200.91,196.41,183.44,188.29
2028-01-31,236.76,236.09,268.46,257.55,258.19,298.24,325.19,220.44,258.53,235.63,240.61,146.46,144.02,177.18,279.57,268.8,163.55,251.94,220.49,250.21,247.14,255.87,150.74,161.58,164.41,227.06,261.39,251.88,248.75,243.1,238.1,197.14
2028-02-29,228.36,228.3,255.77,231.09,246.96,255.03,244.7,236.62,245.68,219.78,184.07,161.19,157.89,145.36,240.62,258.29,183.43,215.74,239.31,218.83,226.06,244.08,165.1,181.12,184.15,209.98,240.01,235.22,227.63,218.67,211.9,150.38
2028-03-31,321.79,323.45,366.86,341.35,360.25,351.08,353.63,334.51,352.71,336.83,188.26,161.26,153.03,257.17,344.56,356.2,188.77,329.78,336.16,327.94,324.54,355.13,164.21,185.14,189.11,321.82,352.42,343.44,321.69,337.63,291.96,247.27
2028-04-30,218.49,332.96,380.26,372.74,364.46,362.94,342.63,350.38,369.55,341.96,211.81,167.63,163.88,314.6,358.83,363.58,213.58,337.52,347.18,330.83,333.0,354.31,174.19,208.84,214.24,323.23,365.24,348.45,316.16,344.24,328.36,361.56
2028-05-31,274.43,331.46,353.57,370.14,332.88,359.41,356.52,338.02,339.53,328.26,264.72,200.15,221.12,316.12,349.39,352.31,267.54,283.33,340.89,312.4,308.91,331.36,225.43,261.78,269.3,278.16,337.99,328.1,333.88,329.61,280.71,343.96
2028-06-30,261.23,273.99,304.28,323.42,292.67,321.09,313.6,294.96,287.23,277.88,251.26,211.98,222.18,262.47,297.28,307.39,254.16,272.68,287.85,281.15,273.31,294.82,234.92,248.85,256.62,264.98,303.97,297.17,272.62,296.71,268.2,289.94
2028-07-31,264.94,255.53,281.79,296.63,265.32,299.55,297.26,250.38,278.38,262.63,252.1,224.86,222.84,252.95,270.95,277.69,260.98,275.03,272.39,251.1,256.01,263.8,235.57,246.64,256.18,251.01,265.71,268.84,279.85,270.48,258.27,265.98
