date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,1057.06,1057.56,1057.37,1058.1,1059.29,1059.04,1058.92,1057.49,1057.6,1058.86,1057.33,1057.71,1057.41,1057.14,1057.33,1057.25,1059.42,1057.34,1057.06,1057.41,1057.88,1058.04,1058.28,1057.23,1057.31,1056.8,1057.33,1057.6,1057.5,1057.16,1058.23,1057.2
2025-06-30,1053.05,1053.98,1054.51,1054.41,1055.71,1055.07,1056.05,1053.65,1053.68,1055.88,1054.07,1054.87,1053.79,1053.28,1053.31,1052.9,1056.34,1053.63,1053.02,1053.76,1054.38,1054.38,1055.18,1053.09,1053.2,1052.6,1053.77,1054.06,1053.61,1053.16,1055.02,1053.18
2025-07-31,1051.89,1053.06,1052.71,1053.87,1053.89,1053.6,1055.54,1052.93,1052.64,1055.56,1054.74,1053.06,1051.9,1051.99,1051.91,1051.56,1055.2,1052.49,1051.97,1052.7,1053.11,1052.55,1054.29,1052.57,1052.87,1051.74,1053.2,1053.12,1053.08,1052.82,1053.4,1051.66
2025-08-31,1053.31,1054.63,1054.29,1056.21,1055.47,1054.26,1056.68,1054.03,1054.26,1056.9,1056.57,1054.37,1053.67,1052.78,1053.74,1052.43,1057.13,1054.0,1053.63,1053.95,1053.76,1053.98,1055.56,1054.98,1054.97,1053.82,1054.61,1054.53,1054.36,1053.78,1054.29,1051.9
2025-09-30,1052.86,1054.33,1054.34,1056.77,1055.13,1054.14,1056.42,1053.39,1054.81,1056.92,1056.31,1053.57,1053.46,1053.56,1053.15,1052.54,1056.79,1053.29,1052.88,1053.55,1052.92,1053.45,1055.52,1054.62,1055.29,1054.22,1054.14,1053.99,1053.85,1053.32,1053.65,1050.86
2025-10-31,1053.68,1055.19,1055.25,1058.51,1056.19,1055.34,1059.61,1054.45,1055.67,1058.51,1057.26,1054.92,1054.45,1054.82,1053.66,1054.99,1058.14,1055.41,1053.65,1054.51,1053.32,1054.74,1056.78,1055.77,1056.03,1055.58,1056.08,1055.29,1054.44,1054.88,1054.22,1051.3
2025-11-30,1053.08,1054.48,1054.97,1058.2,1055.71,1054.44,1061.77,1054.74,1055.79,1057.86,1057.11,1054.37,1053.9,1054.36,1053.31,1056.16,1057.45,1055.16,1053.54,1054.31,1052.66,1053.54,1056.36,1055.53,1056.59,1055.06,1055.51,1054.99,1053.85,1054.48,1054.89,1050.47
2025-12-31,1054.87,1056.07,1056.99,1060.74,1057.34,1056.78,1065.97,1055.57,1056.17,1058.05,1059.0,1055.63,1055.22,1055.64,1054.5,1058.42,1058.92,1056.37,1055.38,1056.07,1053.89,1057.96,1058.06,1056.93,1057.76,1056.86,1056.9,1056.71,1055.02,1056.08,1057.46,1052.01
2026-01-31,1058.35,1059.4,1060.35,1070.2,1060.32,1061.6,1070.37,1057.63,1057.58,1062.3,1062.21,1059.39,1057.83,1058.66,1057.48,1067.39,1061.39,1059.07,1058.67,1058.71,1058.83,1060.73,1060.68,1059.91,1060.47,1059.89,1060.29,1060.57,1058.42,1059.74,1060.5,1055.61
2026-02-28,1060.31,1061.3,1063.32,1078.05,1062.26,1065.6,1073.43,1058.94,1060.15,1064.0,1064.48,1062.06,1059.45,1061.29,1060.09,1074.71,1063.45,1060.87,1061.55,1061.24,1061.34,1063.07,1062.29,1061.88,1062.68,1061.99,1062.31,1063.78,1060.61,1062.63,1062.57,1058.68
