date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,114.943,114.943,111.227,111.777,109.259,97.629,111.675,113.511,113.539,112.723,113.432,117.701,115.371,113.651,113.182,114.647,114.203,116.0,113.832,113.733,113.02,112.561,113.383,112.325,112.99,115.817,112.976,113.891,112.81,114.201,114.476,116.236
2025-06-30,103.975,103.975,102.061,102.424,106.908,104.854,104.356,104.925,107.732,102.646,104.745,100.732,103.559,104.727,106.579,109.176,103.861,108.036,107.069,107.715,102.905,103.818,105.693,106.604,105.892,107.34,102.194,102.098,106.84,107.185,105.975,107.776
2025-07-31,95.322,95.322,93.7,89.681,95.167,96.16,94.963,96.29,98.15,94.965,88.654,95.748,96.111,95.106,96.2,96.216,99.309,98.425,96.381,97.138,96.484,98.262,95.078,91.204,93.018,92.693,92.755,93.754,94.424,94.742,95.85,97.452
2025-08-31,84.629,84.629,80.375,76.134,82.427,83.741,83.188,83.089,89.663,83.822,82.858,81.159,80.592,83.319,83.396,87.73,80.568,87.899,86.635,85.673,86.513,86.853,85.016,82.597,80.424,79.758,85.045,84.729,84.848,84.881,84.496,91.502
2025-09-30,80.542,80.542,75.863,75.942,80.7,77.685,79.04,79.244,73.487,84.616,86.446,81.763,79.298,80.867,82.406,78.25,80.767,83.017,81.974,80.682,82.234,81.849,78.436,81.849,81.685,79.735,78.622,80.888,79.341,80.631,78.374,84.071
2025-10-31,69.847,69.847,65.954,66.301,68.854,68.026,68.311,68.351,69.567,66.409,71.434,69.303,67.672,68.357,72.074,65.302,68.681,69.058,69.374,68.828,70.628,70.489,69.802,67.871,68.598,68.972,67.405,68.841,72.091,68.533,68.311,71.276
2025-11-30,55.821,55.821,52.475,54.644,57.881,53.081,53.79,54.361,53.661,61.121,53.672,58.152,56.528,55.279,55.471,51.526,55.393,56.899,55.336,56.19,56.132,56.271,53.736,55.159,54.224,56.5,55.651,55.517,55.107,55.374,54.129,57.269
2025-12-31,45.112,45.112,41.964,39.99,42.719,39.197,34.24,48.38,46.748,52.601,37.943,45.982,44.666,45.43,46.462,40.432,42.587,46.857,45.49,42.227,45.132,39.58,43.47,45.22,45.942,42.532,43.517,42.491,45.514,42.559,42.938,45.438
2026-01-31,53.252,53.252,53.959,40.182,55.653,48.957,53.455,62.042,66.435,40.708,50.888,49.397,54.296,53.749,50.992,37.163,56.508,53.888,53.204,56.763,41.147,57.669,53.96,52.848,54.603,53.215,49.84,50.984,52.75,49.622,55.998,50.32
2026-02-28,62.384,62.384,61.182,38.279,63.349,53.69,60.495,61.819,61.123,62.862,59.389,57.136,62.492,56.877,56.447,38.068,59.506,64.118,63.934,58.717,62.157,59.856,61.201,61.937,59.252,63.933,61.279,58.673,59.315,59.961,62.049,53.889
2026-03-31,88.245,88.245,85.949,61.364,87.219,76.072,91.226,84.344,80.431,83.645,85.431,83.888,87.77,94.223,92.02,68.51,84.626,86.005,87.712,89.765,83.348,89.357,88.545,89.922,97.374,100.189,83.827,89.248,88.671,90.166,86.53,83.088
2026-04-30,115.699,115.699,112.247,118.376,118.136,112.642,116.281,113.976,104.294,112.518,125.269,108.843,114.885,113.189,111.539,111.214,114.099,113.976,116.72,115.578,110.886,114.896,112.763,114.913,108.735,111.321,109.83,115.052,117.162,117.163,111.731,110.618
2026-05-31,120.702,120.702,110.573,119.156,115.833,115.503,116.434,116.684,112.913,113.836,119.924,117.741,114.259,116.16,115.978,118.286,122.768,116.123,115.607,113.285,115.242,115.828,110.48,113.802,117.642,110.472,113.23,113.519,113.196,115.887,121.078,112.178
