date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,955.17,955.17,924.36,928.9,908.07,812.08,928.05,943.29,943.53,936.75,942.63,978.1,958.75,944.46,940.55,952.7,949.04,963.95,945.97,945.14,939.2,935.42,942.22,933.47,938.96,962.44,938.85,946.47,937.48,949.02,951.29,965.92
2025-06-30,840.36,840.36,824.59,827.59,864.55,847.63,843.51,848.21,871.37,829.42,846.74,813.65,836.91,846.58,861.84,883.31,839.41,873.87,865.87,871.23,831.54,839.06,854.52,862.05,856.18,868.13,825.68,824.89,863.98,866.84,856.87,871.73
2025-07-31,742.27,742.27,728.93,695.99,741.0,749.12,739.32,750.2,765.53,739.34,687.57,745.74,748.72,740.5,749.45,749.58,775.05,767.79,750.95,757.19,751.79,766.45,740.27,708.43,723.33,720.66,721.16,729.37,734.88,737.51,746.58,759.78
2025-08-31,687.58,687.58,652.77,618.12,669.55,680.3,675.78,674.96,728.93,680.97,673.07,659.17,654.53,676.85,677.48,713.03,654.34,714.43,704.04,696.14,703.04,705.83,690.75,670.93,653.16,647.71,690.99,688.4,689.37,689.64,686.49,744.02
2025-09-30,606.47,606.47,567.88,568.53,607.77,582.91,594.08,595.76,548.36,640.15,655.29,616.55,596.2,609.15,621.86,587.57,608.33,626.92,618.3,607.62,620.44,617.26,589.1,617.26,615.9,599.81,590.63,609.32,596.56,607.2,588.59,635.64
2025-10-31,405.81,405.81,372.89,375.82,397.42,390.42,392.82,393.16,403.45,376.72,419.28,401.21,387.41,393.21,424.72,367.36,395.96,399.14,401.81,397.2,412.43,411.25,405.44,389.1,395.25,398.41,385.14,397.31,424.87,394.7,392.83,417.93
2025-11-30,529.45,529.45,500.83,519.37,547.11,506.01,512.06,516.96,510.95,574.95,511.05,549.45,535.5,524.8,526.45,492.74,525.78,538.7,525.29,532.6,532.11,533.29,511.59,523.77,515.78,535.26,528.0,526.85,523.33,525.62,514.97,541.87
2025-12-31,496.01,496.01,470.04,453.81,476.27,447.29,406.63,523.04,509.55,558.07,436.98,503.2,492.33,498.64,507.18,457.44,475.18,510.45,499.14,472.21,496.17,450.43,482.46,496.9,502.87,474.72,482.85,474.39,499.33,474.95,478.08,498.7
2026-01-31,492.48,492.48,498.21,387.16,511.95,457.74,494.13,563.94,599.81,391.37,473.35,461.3,500.95,496.5,474.18,362.97,518.88,497.63,492.09,520.95,394.9,528.32,498.22,489.22,503.43,492.18,464.88,474.12,488.43,463.12,514.75,468.76
2026-02-28,500.77,500.77,490.99,306.82,508.61,430.37,485.43,496.19,490.52,504.65,476.46,458.21,501.65,456.12,452.65,305.15,477.41,514.88,513.39,471.01,498.93,480.25,491.15,497.15,475.34,513.38,491.78,470.65,475.86,481.11,498.05,431.97
2026-03-31,743.74,743.74,724.95,525.53,735.34,644.43,768.15,711.83,679.92,706.12,720.71,708.1,739.85,792.79,774.67,583.15,714.13,725.41,739.38,756.21,703.7,752.86,746.2,757.49,818.7,841.9,707.61,751.97,747.24,759.48,729.7,701.58
2026-04-30,934.27,934.27,905.66,956.51,954.51,908.92,939.14,919.98,839.97,907.9,1013.88,877.5,927.54,913.47,899.79,897.09,920.99,919.98,942.76,933.26,894.39,927.64,909.91,927.77,876.6,897.97,885.64,928.92,946.42,946.42,901.39,892.18
2026-05-31,977.88,977.88,893.98,965.05,937.5,934.76,942.45,944.54,913.33,920.96,971.43,953.3,924.47,940.2,938.69,957.82,995.04,939.89,935.63,916.39,932.59,937.46,893.21,920.68,952.48,893.14,915.94,918.32,915.66,937.95,980.99,907.24
2026-06-30,823.27,823.27,792.6,847.28,838.78,823.82,828.52,851.68,812.15,811.75,793.95,815.34,825.01,842.15,845.12,819.72,854.18,844.3,859.93,809.97,800.87,834.83,823.86,834.6,856.83,790.7,786.7,844.29,828.66,837.18,850.16,813.29
2026-07-31,752.67,752.67,687.9,751.57,768.37,747.18,758.06,773.39,749.91,679.49,753.6,754.64,746.42,757.31,738.39,782.9,775.64,756.87,773.69,757.71,755.26,748.13,697.24,729.25,737.16,713.08,718.19,742.74,726.32,754.44,765.7,745.43
2026-08-31,721.08,721.08,637.62,703.11,722.43,706.71,705.89,759.86,714.54,692.57,690.1,683.55,705.86,708.41,725.17,685.27,745.36,733.05,735.6,732.05,717.96,721.68,683.07,682.18,687.17,710.49,700.53,720.3,701.78,717.42,773.04,692.23
