date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,918760.0,918760.0,887944.0,892483.0,871656.0,775671.0,891637.0,906877.0,907115.0,900340.0,906218.0,941681.0,922336.0,908042.0,904135.0,916289.0,912622.0,927537.0,909556.0,908728.0,902790.0,899008.0,905810.0,897057.0,902543.0,926026.0,902432.0,910052.0,901061.0,912610.0,914880.0,929501.0
2025-06-30,826451.0,826451.0,810678.0,813677.0,850635.0,833719.0,829601.0,834301.0,857460.0,815510.0,832824.0,799735.0,823003.0,832674.0,847930.0,869395.0,825500.0,859957.0,851962.0,857322.0,817629.0,825144.0,840613.0,848137.0,842267.0,854215.0,811773.0,810979.0,850072.0,852930.0,842957.0,857822.0
2025-07-31,757238.0,757238.0,743899.0,710953.0,755966.0,764091.0,754289.0,765166.0,780499.0,754305.0,702538.0,760711.0,763690.0,755469.0,764418.0,764551.0,790013.0,782753.0,765915.0,772155.0,766759.0,781420.0,755240.0,723395.0,738294.0,735622.0,736127.0,744341.0,749851.0,752473.0,761547.0,774744.0
2025-08-31,672098.0,672098.0,637281.0,602638.0,654060.0,664814.0,660291.0,659476.0,713443.0,665483.0,657587.0,643685.0,639049.0,661361.0,661996.0,697549.0,638853.0,698941.0,688552.0,680654.0,687552.0,690347.0,675268.0,655448.0,637679.0,632227.0,675509.0,672916.0,673888.0,674159.0,671001.0,728539.0
2025-09-30,644025.0,644025.0,605435.0,606084.0,645329.0,620471.0,631637.0,633319.0,585919.0,677701.0,692851.0,654106.0,633760.0,646708.0,659419.0,625126.0,645881.0,664476.0,655853.0,645180.0,657997.0,654814.0,626653.0,654819.0,653460.0,637368.0,628185.0,646876.0,634117.0,644756.0,626145.0,673194.0
2025-10-31,574599.0,574599.0,541673.0,544603.0,566207.0,559202.0,561610.0,561952.0,572237.0,545511.0,588067.0,569999.0,556197.0,562000.0,593508.0,536145.0,564744.0,567924.0,570597.0,565986.0,581215.0,580034.0,574223.0,557885.0,564039.0,567201.0,553924.0,566096.0,593654.0,563489.0,561614.0,586719.0
2025-11-30,465593.0,465593.0,436972.0,455509.0,483250.0,442148.0,448206.0,453098.0,447093.0,511089.0,447192.0,485588.0,471641.0,460947.0,462593.0,428881.0,461924.0,474838.0,461435.0,468744.0,468251.0,469435.0,447738.0,459911.0,451926.0,471401.0,464143.0,462991.0,459471.0,461760.0,451110.0,478009.0
2025-12-31,364956.0,364956.0,338987.0,322754.0,345219.0,316234.0,275579.0,391988.0,378495.0,427019.0,305929.0,372150.0,361274.0,367584.0,376128.0,326391.0,344128.0,379398.0,368085.0,341159.0,365116.0,319383.0,351412.0,365844.0,371821.0,343671.0,351803.0,343336.0,368276.0,343898.0,347025.0,367651.0
2026-01-31,421692.0,421692.0,427422.0,316365.0,441160.0,386946.0,423335.0,493147.0,529020.0,320581.0,402560.0,390504.0,430156.0,425711.0,403392.0,292184.0,448086.0,426844.0,421304.0,450164.0,324105.0,457532.0,427431.0,418431.0,432638.0,421392.0,394087.0,403327.0,417638.0,392325.0,443956.0,397970.0
2026-02-28,493137.0,493137.0,483356.0,299185.0,500970.0,422731.0,477794.0,488557.0,482879.0,497012.0,468825.0,450578.0,494015.0,448480.0,445013.0,297515.0,469779.0,507245.0,505752.0,463377.0,491298.0,472618.0,483517.0,489509.0,467707.0,505746.0,484149.0,463019.0,468225.0,473470.0,490419.0,424339.0
2026-03-31,699555.0,699555.0,680760.0,481343.0,691152.0,600244.0,723959.0,667643.0,635732.0,661937.0,676524.0,663916.0,695665.0,748602.0,730480.0,538962.0,669948.0,681221.0,695190.0,712021.0,659512.0,708673.0,702016.0,713308.0,774517.0,797711.0,663420.0,707782.0,703049.0,715296.0,685517.0,657389.0
2026-04-30,923225.0,923225.0,894612.0,945467.0,943460.0,897869.0,928092.0,908933.0,828923.0,896850.0,1002831.0,866455.0,916497.0,902421.0,888744.0,886041.0,909946.0,908929.0,931717.0,922217.0,883341.0,916591.0,898866.0,916725.0,865555.0,886926.0,874594.0,917873.0,935370.0,935374.0,890341.0,881135.0
2026-05-31,963725.0,963725.0,879822.0,950889.0,923339.0,920602.0,928296.0,930380.0,899175.0,906800.0,957273.0,939140.0,910316.0,926039.0,924534.0,943666.0,980885.0,925730.0,921471.0,902237.0,918432.0,923301.0,879054.0,906519.0,938325.0,878986.0,901786.0,904163.0,901502.0,923790.0,966837.0,893081.0
