date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,77.78,100.37,104.93,120.49,100.7,89.72,282.22,81.07,116.32,82.43,125.12,93.95,113.13,80.6,104.45,81.27,99.2,87.2,93.08,101.28,99.07,99.65,100.64,81.26,103.35,102.89,168.53,105.44,100.57,92.12,119.11,96.61
2025-06-30,67.0,63.0,61.72,54.55,61.08,62.75,53.43,68.77,58.25,68.55,53.79,65.33,63.48,66.55,61.61,70.38,66.33,67.53,59.95,57.89,66.48,59.98,50.93,70.38,64.76,57.45,38.86,56.94,56.31,71.09,55.3,62.8
2025-07-31,98.76,93.76,81.74,110.57,88.06,97.89,48.1,101.6,95.75,90.31,80.33,102.52,100.55,99.69,96.86,99.52,96.72,97.92,95.87,89.53,87.88,95.04,73.69,96.18,89.62,86.12,98.57,83.77,93.83,96.7,68.97,95.62
2025-08-31,81.67,96.71,99.72,89.38,96.97,99.49,110.61,103.52,99.99,91.66,75.62,100.45,98.5,90.53,100.09,99.49,99.74,96.89,98.03,97.35,95.81,91.97,96.66,99.9,88.42,83.51,112.81,90.72,92.05,90.12,90.05,94.11
2025-09-30,70.95,71.95,72.58,77.39,72.13,71.73,111.11,72.37,68.71,73.0,110.06,72.51,72.36,71.95,64.89,69.14,72.81,71.27,67.5,72.55,72.87,72.74,72.71,72.89,66.56,68.52,112.21,72.17,72.63,73.17,73.72,72.23
2025-10-31,65.72,65.72,67.82,67.22,66.34,62.51,113.27,60.75,59.58,62.73,66.81,65.4,67.03,61.66,65.81,63.31,62.61,51.36,59.11,67.06,66.46,66.24,65.53,67.95,60.04,59.16,106.63,67.21,66.86,66.89,67.78,65.83
2025-11-30,17.39,16.39,17.19,21.05,17.3,15.17,53.91,15.06,21.43,14.46,27.53,16.14,17.56,15.83,17.23,15.04,14.49,11.45,13.42,17.08,16.39,15.92,16.72,18.09,17.77,33.01,46.42,17.79,17.12,17.0,17.8,15.01
2025-12-31,17.55,16.55,17.76,64.8,20.52,17.49,72.35,17.15,66.99,16.15,64.39,17.48,18.14,17.35,36.95,17.32,17.31,28.8,39.28,17.65,17.85,17.24,35.29,18.37,68.44,67.8,68.05,17.82,17.54,18.11,62.83,17.01
2026-01-31,17.55,36.86,18.3,47.02,46.1,33.39,50.99,30.94,48.21,31.98,48.33,35.89,43.95,17.8,47.14,24.04,32.89,49.48,46.3,35.12,35.16,31.09,47.07,18.6,48.71,48.44,49.65,45.82,39.91,35.73,46.29,35.35
2026-02-28,16.47,40.57,22.6,37.04,34.84,29.35,43.36,31.79,37.18,29.73,40.83,33.62,34.69,15.08,35.91,28.08,35.36,39.86,34.39,31.74,34.35,32.18,35.48,16.83,40.26,44.83,39.64,43.25,40.67,34.38,36.01,36.76
2026-03-31,21.58,45.64,38.52,40.82,41.25,37.97,43.36,16.7,42.37,17.33,35.25,29.54,28.68,17.83,53.89,27.82,35.45,61.38,33.58,24.85,27.01,26.85,39.59,23.06,37.16,55.02,47.1,65.43,32.12,31.81,36.94,35.62
2026-04-30,52.93,51.93,45.5,42.67,50.08,49.28,44.74,41.19,46.59,49.13,50.16,49.76,55.44,45.37,57.03,49.57,45.45,47.29,44.06,49.21,52.77,38.91,41.18,55.1,49.19,47.0,46.2,67.9,51.72,37.26,54.83,52.37
2026-05-31,91.48,164.89,137.28,232.65,116.88,217.29,286.88,232.13,104.32,211.9,177.88,167.68,78.43,105.7,188.89,156.56,181.92,192.11,216.23,194.93,97.12,273.1,84.84,75.09,194.19,157.72,134.49,313.82,67.4,210.69,86.31,123.78
2026-06-30,65.0,57.23,56.39,225.96,59.47,329.99,103.43,286.9,52.56,33.06,62.15,54.39,78.61,59.77,63.62,92.96,61.27,48.99,240.12,51.87,36.89,70.87,75.21,66.99,141.07,87.03,64.95,204.97,77.65,107.55,59.16,46.84
2026-07-31,97.76,100.43,86.75,195.85,96.62,454.69,116.97,176.28,75.48,207.78,105.66,128.32,106.42,96.61,98.64,117.02,122.07,119.15,231.16,136.15,82.35,214.96,102.24,93.94,109.88,124.97,98.83,101.33,103.51,256.04,97.71,90.02
