date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,76.49,99.08,103.63,119.19,99.4,88.42,280.92,79.77,115.03,81.13,123.82,92.66,111.83,79.31,103.16,79.97,97.9,85.9,91.78,99.99,97.78,98.36,99.34,79.97,102.06,101.6,167.24,104.15,99.27,90.82,117.82,95.32
2025-06-30,66.87,62.87,61.59,54.42,60.95,62.62,53.3,68.64,58.12,68.42,53.66,65.2,63.35,66.42,61.48,70.25,66.2,67.4,59.82,57.76,66.35,59.85,50.8,70.25,64.63,57.33,38.73,56.81,56.18,70.96,55.17,62.67
2025-07-31,98.61,93.61,81.59,110.42,87.91,97.75,47.95,101.45,95.61,90.17,80.18,102.38,100.4,99.55,96.71,99.37,96.58,97.78,95.72,89.39,87.74,94.9,73.55,96.03,89.48,85.98,98.42,83.63,93.68,96.56,68.83,95.48
2025-08-31,81.56,96.6,99.62,89.27,96.86,99.39,110.5,103.41,99.88,91.56,75.51,100.35,98.4,90.42,99.98,99.39,99.63,96.79,97.92,97.25,95.7,91.87,96.55,99.8,88.31,83.41,112.7,90.61,91.95,90.01,89.95,94.0
2025-09-30,70.86,71.86,72.49,77.3,72.04,71.64,111.02,72.28,68.62,72.91,109.97,72.42,72.27,71.86,64.8,69.05,72.72,71.18,67.41,72.46,72.78,72.65,72.62,72.8,66.47,68.43,112.12,72.08,72.54,73.08,73.63,72.14
2025-10-31,65.66,65.66,67.76,67.17,66.28,62.45,113.22,60.69,59.52,62.68,66.76,65.34,66.97,61.6,65.76,63.25,62.55,51.31,59.05,67.0,66.41,66.19,65.47,67.89,59.99,59.1,106.57,67.16,66.81,66.83,67.73,65.78
2025-11-30,17.36,16.36,17.17,21.02,17.28,15.14,53.88,15.04,21.41,14.44,27.51,16.11,17.54,15.81,17.2,15.01,14.46,11.43,13.39,17.05,16.36,15.89,16.7,18.06,17.74,32.98,46.4,17.77,17.1,16.98,17.78,14.99
2025-12-31,17.53,16.53,17.74,64.78,20.5,17.47,72.33,17.13,66.98,16.13,64.37,17.46,18.12,17.33,36.93,17.3,17.29,28.78,39.26,17.63,17.83,17.22,35.27,18.35,68.42,67.78,68.03,17.8,17.52,18.09,62.81,16.99
2026-01-31,17.53,36.84,18.28,47.01,46.08,33.37,50.97,30.92,48.19,31.96,48.31,35.87,43.94,17.78,47.12,24.02,32.87,49.46,46.28,35.1,35.14,31.07,47.05,18.59,48.69,48.42,49.63,45.8,39.89,35.71,46.27,35.33
2026-02-28,16.45,40.55,22.58,37.02,34.82,29.33,43.34,31.77,37.16,29.71,40.81,33.6,34.67,15.06,35.89,28.06,35.34,39.84,34.37,31.72,34.33,32.16,35.46,16.81,40.24,44.81,39.62,43.23,40.65,34.36,35.99,36.74
2026-03-31,21.54,45.6,38.47,40.77,41.2,37.92,43.31,16.66,42.33,17.28,35.2,29.49,28.63,17.79,53.85,27.77,35.4,61.33,33.54,24.81,26.96,26.81,39.54,23.01,37.12,54.97,47.05,65.38,32.07,31.76,36.9,35.57
2026-04-30,52.85,51.85,45.43,42.6,50.01,49.21,44.67,41.12,46.52,49.06,50.08,49.69,55.36,45.3,56.95,49.5,45.38,47.21,43.99,49.13,52.7,38.84,41.11,55.03,49.12,46.93,46.13,67.82,51.65,37.19,54.76,52.3
2026-05-31,91.37,164.78,137.17,232.55,116.77,217.19,286.77,232.02,104.21,211.79,177.77,167.57,78.32,105.59,188.79,156.46,181.81,192.0,216.13,194.83,97.01,273.0,84.73,74.98,194.08,157.62,134.38,313.71,67.29,210.58,86.2,123.67
2026-06-30,64.87,57.1,56.26,225.83,59.34,329.87,103.31,286.77,52.43,32.93,62.02,54.26,78.48,59.64,63.49,92.84,61.14,48.86,239.99,51.74,36.76,70.74,75.09,66.86,140.94,86.9,64.82,204.85,77.52,107.42,59.03,46.72
2026-07-31,97.61,100.28,86.6,195.7,96.48,454.55,116.83,176.14,75.34,207.63,105.52,128.18,106.28,96.47,98.49,116.88,121.92,119.0,231.02,136.0,82.2,214.81,102.09,93.8,109.74,124.83,98.68,101.19,103.37,255.89,97.57,89.87
2026-08-31,81.6,112.65,90.84,116.95,101.34,115.44,117.67,114.42,116.94,111.79,104.12,101.21,94.5,103.25,100.01,117.07,99.15,97.54,115.83,117.13,88.71,116.31,93.29,84.11,115.24,117.56,116.95,116.2,85.26,114.42,97.22,117.18
2026-09-30,71.86,109.82,81.41,113.08,77.8,112.01,113.25,109.17,113.81,111.33,74.12,73.8,74.34,91.76,70.62,114.17,72.76,68.72,113.08,113.83,113.87,113.42,74.28,70.27,110.28,114.23,113.31,95.27,74.6,113.58,74.09,113.72
2026-10-31,65.66,94.82,67.03,114.3,62.37,111.8,107.76,106.62,71.44,115.25,65.37,66.76,63.41,65.58,62.26,110.67,53.27,57.76,114.4,95.16,65.78,113.14,67.96,60.51,107.5,95.0,94.11,66.04,67.29,115.39,66.03,72.68
2026-11-30,16.2,46.22,17.26,77.97,38.98,110.24,55.03,107.59,50.32,87.75,15.76,19.23,16.64,27.61,14.13,62.13,59.99,36.96,81.04,48.5,28.86,62.07,17.97,15.14,99.4,45.3,42.34,39.97,17.24,77.78,14.87,42.84
2026-12-31,20.46,67.09,62.63,72.21,65.41,114.29,73.41,96.76,72.25,67.43,17.81,38.76,18.53,65.12,17.17,69.62,70.97,66.23,72.5,67.24,65.57,69.65,18.78,17.73,72.15,67.23,65.67,72.58,18.82,71.44,52.55,65.7
2027-01-31,48.63,48.63,45.45,52.85,47.04,95.13,51.85,54.68,51.82,50.64,35.52,45.72,18.53,46.65,47.59,49.74,49.89,46.01,53.03,47.97,47.61,51.62,18.79,33.27,51.64,48.94,47.8,51.86,37.96,52.2,47.77,47.09
2027-02-28,40.55,40.55,35.66,40.79,41.08,50.03,39.27,42.75,42.51,43.19,33.45,34.46,16.96,35.48,38.18,37.25,40.12,34.13,41.74,36.0,35.77,39.54,16.84,27.15,48.7,39.03,44.21,45.27,36.21,41.27,38.27,37.15
2027-03-31,45.6,45.6,37.44,50.18,54.13,50.35,51.15,50.27,43.2,39.08,32.16,28.36,18.8,53.04,32.98,35.98,63.52,30.07,51.98,29.74,37.28,46.7,23.83,28.79,60.15,45.09,66.64,37.75,34.17,44.33,34.8,40.43
2027-04-30,51.85,51.85,42.22,48.1,49.05,53.24,40.36,43.8,47.4,48.71,50.5,55.14,46.86,55.93,48.95,47.75,50.35,41.91,46.68,51.72,38.24,41.26,55.29,49.48,46.21,46.13,72.37,50.39,37.72,53.15,52.4,43.82
2027-05-31,164.78,164.78,203.81,157.22,208.56,326.0,284.79,134.54,199.92,198.81,172.28,78.17,96.73,190.04,183.45,200.72,195.84,206.92,236.08,104.94,259.93,106.66,75.94,190.38,162.34,133.44,311.63,74.07,219.4,94.68,124.6,156.19
2027-06-30,57.1,57.1,225.78,58.8,343.77,283.12,300.78,51.69,75.7,61.7,52.95,78.46,60.09,63.48,98.89,60.85,48.83,248.22,65.83,36.0,71.26,74.82,66.52,105.95,112.21,60.69,201.24,77.37,111.29,58.24,46.87,56.46
2027-07-31,100.28,100.28,201.9,121.44,455.46,115.67,186.01,76.53,229.41,132.87,127.44,106.08,96.71,98.28,123.26,120.62,118.64,230.37,146.45,82.06,240.9,101.2,94.05,108.08,127.05,98.5,98.62,102.89,96.28,95.95,86.67,86.71
2027-08-31,112.65,112.65,116.99,99.73,115.46,117.64,114.06,116.84,111.68,103.97,100.94,94.45,103.34,99.78,116.91,97.8,97.3,115.76,116.95,108.63,116.31,92.8,83.99,115.27,117.52,116.95,114.19,85.15,114.46,96.15,117.13,90.27
2027-09-30,109.82,109.82,112.91,76.57,112.02,73.25,109.19,113.76,111.27,74.05,73.75,74.3,68.18,70.62,114.15,72.72,68.72,113.02,113.75,113.8,113.42,74.17,70.45,110.29,114.21,113.31,113.59,74.5,113.62,77.56,113.72,81.14
2027-10-31,90.82,94.82,114.29,62.11,111.82,59.38,106.51,97.35,115.16,65.23,66.76,63.35,65.71,62.25,110.62,63.57,57.76,114.3,104.5,65.65,113.14,67.7,60.31,107.55,98.53,92.69,65.9,67.12,115.43,65.59,73.31,67.01
2027-11-30,44.22,46.22,76.92,44.21,110.25,13.88,107.39,52.31,90.13,17.32,18.6,16.6,16.96,14.13,65.51,60.53,39.6,79.0,50.91,31.22,60.38,17.72,15.04,95.42,46.17,41.96,45.8,17.08,72.88,40.91,42.64,17.21
2027-12-31,67.09,67.09,71.75,67.47,114.3,52.1,107.8,74.04,67.78,30.78,49.55,18.5,17.81,17.17,69.98,71.39,66.17,72.04,69.39,66.05,69.27,18.55,17.7,71.42,67.83,65.43,73.15,18.68,70.51,71.59,65.67,62.8
2028-01-31,48.63,48.63,52.39,48.49,94.68,53.52,55.78,53.03,50.97,35.0,45.69,18.49,18.08,46.74,49.93,50.25,45.96,52.61,49.54,48.04,51.27,18.44,33.22,50.97,49.48,47.58,52.16,36.93,51.35,49.07,46.94,45.47
2028-02-29,40.54,40.54,41.22,43.96,51.31,41.48,44.59,44.53,44.5,34.19,35.11,17.5,17.12,38.88,38.13,41.33,34.74,42.54,38.42,36.88,40.08,17.26,28.3,49.16,40.48,45.21,46.39,36.7,41.41,40.33,37.78,36.47
2028-03-31,45.6,45.6,49.56,56.7,50.53,54.32,51.28,46.37,39.82,28.64,28.23,18.57,15.98,32.94,36.02,64.87,29.41,52.0,31.42,38.44,47.61,22.75,28.67,61.46,46.68,67.61,37.89,32.25,43.89,36.82,39.97,40.43
2028-04-30,51.85,51.85,48.02,48.0,54.97,40.03,43.62,46.33,47.96,49.26,55.08,46.32,30.26,48.63,48.4,56.23,41.13,46.29,51.32,37.23,42.3,54.71,49.46,46.28,45.77,71.43,50.28,34.79,52.91,51.95,43.81,40.88
2028-05-31,164.78,164.78,156.74,198.82,333.16,302.22,137.75,197.7,210.73,160.9,78.17,95.64,149.49,196.83,201.74,198.08,195.21,245.55,105.99,250.21,107.04,75.08,189.48,161.74,134.16,306.94,75.41,216.93,99.81,125.0,156.33,238.3
2028-06-30,57.1,57.1,58.76,389.57,283.08,305.13,51.54,101.02,62.71,54.18,78.47,61.58,64.06,95.0,60.79,49.34,279.18,66.09,35.65,102.01,75.06,66.97,43.25,117.82,68.94,202.38,77.34,106.55,58.99,46.45,56.43,218.16
2028-07-31,100.28,100.28,121.15,444.98,117.76,180.69,78.49,223.82,132.98,127.87,105.95,97.49,99.05,118.29,120.39,119.68,221.11,141.26,81.93,231.13,101.14,93.15,94.66,122.72,98.97,99.93,102.67,162.97,96.64,88.76,86.64,186.99
2028-08-31,112.65,112.65,99.44,114.06,117.65,114.34,116.82,112.0,103.72,100.65,94.4,103.29,99.77,116.95,97.42,97.09,115.93,117.0,115.41,116.37,92.86,84.07,82.16,117.55,116.96,114.94,85.14,114.65,96.18,117.13,90.19,116.91
2028-09-30,109.82,109.82,77.79,111.61,73.2,109.1,113.75,111.34,74.06,73.76,74.29,68.17,70.37,114.1,72.69,68.51,113.04,113.76,113.78,113.43,74.17,70.21,110.28,114.2,113.33,113.55,74.49,113.65,73.94,113.7,82.02,113.18
2028-10-31,90.82,94.82,62.09,112.37,59.41,106.53,100.52,115.19,65.13,66.72,63.34,65.84,62.57,110.52,66.18,57.89,114.26,102.94,65.53,113.09,67.71,60.45,106.32,97.02,91.43,65.98,67.09,115.44,65.49,84.05,67.01,114.26
2028-11-30,44.22,46.22,43.89,110.24,13.97,107.53,52.65,87.73,17.89,18.93,16.6,16.97,14.26,63.81,60.56,34.41,76.33,50.5,36.56,58.88,17.73,15.1,53.52,45.78,42.04,49.52,17.06,71.74,37.0,43.09,17.22,73.33
2028-12-31,67.09,67.09,67.29,114.34,44.62,106.35,74.39,68.11,30.5,42.54,18.5,17.83,17.22,69.62,71.43,65.97,71.94,69.08,66.61,69.28,18.56,17.69,71.18,67.53,65.54,72.72,18.67,70.7,70.93,65.92,62.62,71.49
2029-01-31,48.63,48.63,48.34,92.17,53.35,56.01,53.26,51.46,34.71,45.72,18.49,18.09,37.94,49.77,50.28,45.92,52.62,49.33,48.49,51.31,18.44,32.85,50.75,49.22,47.65,51.99,36.7,51.56,48.73,47.29,45.42,52.21
2029-02-28,40.55,40.55,42.51,50.43,40.54,43.85,43.73,43.79,32.62,34.46,16.79,16.53,37.81,37.27,40.46,34.07,41.61,37.53,36.49,39.3,16.68,26.73,47.87,39.46,44.43,45.36,35.17,40.76,39.27,37.32,35.67,40.34
2029-03-31,45.6,45.6,56.41,50.82,54.21,51.6,46.06,40.22,28.32,28.34,18.73,16.04,32.72,35.9,64.13,29.16,51.99,31.36,38.81,47.75,22.77,28.35,59.07,46.39,67.87,37.84,32.69,44.25,36.54,40.74,38.84,49.98
2029-04-30,51.85,51.85,48.8,55.4,39.94,43.72,47.2,47.99,49.3,55.11,46.75,30.4,48.72,47.71,51.05,41.31,46.31,51.34,37.87,42.38,54.73,49.45,46.25,45.8,71.53,50.32,37.31,52.87,51.98,43.73,41.45,47.73
2029-05-31,164.78,164.78,203.14,331.98,300.84,137.68,199.91,210.09,154.61,78.16,96.56,147.96,195.0,200.85,196.75,195.37,244.31,105.61,257.88,106.76,75.09,188.68,161.79,133.77,306.83,74.57,216.05,100.43,124.46,157.03,220.73,164.84
2029-06-30,57.1,57.1,359.89,282.82,303.81,51.67,85.01,62.71,54.19,78.45,60.08,64.07,93.96,60.82,48.82,277.28,65.2,35.78,79.26,75.05,66.98,43.25,109.77,67.39,202.22,77.36,110.06,59.0,46.57,56.42,221.7,59.66
2029-07-31,100.28,100.28,456.47,117.71,179.92,76.93,230.54,132.92,127.84,105.95,96.74,99.12,117.35,120.5,118.26,220.39,140.65,81.98,241.52,101.16,93.17,94.69,126.59,99.14,100.01,102.69,152.36,96.64,89.17,86.42,194.3,122.36
2029-08-31,112.65,112.65,115.88,117.65,114.38,116.84,111.64,103.7,100.6,94.42,103.34,99.9,116.97,97.61,96.89,115.95,117.01,115.43,116.3,92.94,84.07,115.25,117.52,116.96,115.1,85.14,114.45,96.22,117.15,89.99,116.94,99.61
2029-09-30,109.82,109.82,111.99,73.2,109.12,113.76,111.25,74.07,73.77,74.29,68.18,70.39,114.1,72.7,68.72,113.05,113.76,113.79,113.41,74.18,70.23,110.28,114.2,113.33,113.56,74.5,113.61,73.94,113.7,82.24,113.07,73.1
