date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,21.52,21.52,23.93,21.52,21.52,21.52,24.89,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,22.11,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52
2025-06-30,26.28,20.83,20.83,20.83,20.83,20.83,20.83,26.32,20.83,25.79,20.83,23.85,23.91,23.48,20.83,35.01,21.74,25.79,20.83,20.83,20.83,20.83,20.83,36.98,20.83,20.83,20.83,20.83,20.83,26.05,20.83,20.83
2025-07-31,57.02,50.26,25.25,31.9,48.43,54.89,21.52,52.11,45.66,40.05,21.52,60.66,54.91,59.61,57.67,57.64,52.11,40.45,42.55,48.75,50.66,53.68,35.58,59.96,51.92,49.91,21.52,43.94,50.94,58.92,34.0,54.04
2025-08-31,50.16,46.59,40.31,28.08,38.97,54.3,29.37,53.01,22.19,46.17,21.52,53.29,39.22,55.16,49.69,54.76,46.04,32.66,27.69,49.02,54.21,39.08,47.64,53.99,36.35,43.35,38.71,37.6,47.38,57.12,47.55,53.51
2025-09-30,32.66,26.37,20.83,23.06,20.83,20.83,25.19,26.89,20.83,30.53,20.83,34.87,35.17,20.83,20.83,20.83,33.77,20.83,20.83,20.83,38.34,24.15,34.17,38.17,20.83,20.83,32.92,29.56,36.02,39.67,39.85,37.83
2025-10-31,24.38,21.52,25.4,28.64,25.23,21.52,21.52,21.52,21.52,21.52,23.25,23.15,30.67,21.52,24.86,21.52,21.52,21.52,21.52,24.24,28.9,21.53,21.52,33.82,21.52,21.52,21.52,27.37,23.82,29.0,33.29,30.35
2025-11-30,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83,21.97,20.83,20.83,20.83,20.83,20.83,20.83,20.83,20.83
2025-12-31,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52
2026-01-31,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52,21.52
2026-02-28,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44,19.44
