date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,227.51,228.32,227.63,228.85,227.87,228.06,229.81,228.55,228.22,227.8,227.83,228.58,228.61,227.33,227.61,228.49,227.94,228.0,228.4,227.53,228.54,227.18,227.53,228.09,227.85,227.84,228.62,228.48,228.21,228.64,227.21,228.42
2025-06-30,239.46,241.88,240.67,243.13,241.48,240.74,248.03,241.75,242.65,240.44,241.85,242.49,242.23,239.33,241.78,241.17,241.93,240.87,241.49,240.61,242.16,240.79,241.32,240.36,240.84,241.57,245.43,242.88,241.77,241.85,241.25,241.75
2025-07-31,271.51,275.36,274.58,277.28,276.09,272.79,289.63,274.28,277.56,274.03,277.9,275.54,275.07,271.17,276.74,273.06,277.06,273.05,273.95,275.18,276.42,276.22,277.7,271.72,273.73,275.67,284.61,277.71,275.14,273.7,278.67,274.13
2025-08-31,301.64,306.47,305.96,308.87,307.67,302.47,327.74,304.7,309.39,305.89,311.34,305.72,305.38,300.38,307.78,303.39,309.12,302.51,304.28,307.26,308.79,308.31,311.32,301.14,304.05,306.55,319.36,309.94,305.79,303.32,312.68,303.98
2025-09-30,212.67,216.42,216.08,218.09,217.2,213.0,232.65,214.77,218.99,216.07,220.46,215.45,215.18,211.53,217.41,213.88,218.25,213.01,214.63,216.99,217.98,217.69,220.17,211.93,214.8,216.5,226.1,219.51,215.57,213.64,220.92,214.17
2025-10-31,178.71,182.1,181.74,183.43,182.85,178.9,262.62,180.65,185.07,181.74,185.63,181.13,180.57,177.77,182.99,179.96,183.68,180.29,180.72,182.44,183.17,183.16,185.37,177.69,181.27,182.52,190.65,185.23,181.12,179.56,185.77,179.81
2025-11-30,185.09,188.76,188.15,189.86,189.53,185.23,260.59,187.33,192.49,188.41,192.17,187.67,186.6,183.99,189.48,186.99,190.57,188.35,187.54,188.82,189.58,189.99,192.16,183.51,188.42,189.48,197.92,192.19,187.46,186.03,192.35,186.05
2025-12-31,220.3,225.3,224.44,226.45,226.11,220.36,288.46,223.72,230.13,225.05,229.24,223.67,222.07,218.68,225.93,223.59,227.54,224.95,223.87,225.05,226.08,226.9,229.48,217.81,225.1,226.35,236.61,229.46,223.19,221.47,229.68,221.37
2026-01-31,262.67,269.4,268.16,271.01,270.19,262.93,343.07,267.68,275.58,269.04,274.02,266.66,264.57,260.53,269.94,268.02,272.05,268.59,267.42,268.82,270.19,271.61,274.61,259.13,269.03,270.9,283.57,274.89,266.18,264.92,274.94,264.47
2026-02-28,230.4,236.61,235.1,238.68,236.88,230.61,301.08,234.98,242.09,235.92,240.32,233.27,231.08,228.04,236.52,236.42,238.59,235.32,234.24,235.64,236.96,238.5,241.05,226.5,235.7,237.97,249.39,242.3,232.99,232.39,241.17,231.23
2026-03-31,241.45,248.48,246.28,250.8,248.03,242.26,315.64,246.57,253.58,246.89,251.63,243.82,240.53,238.04,247.61,249.08,249.6,246.95,244.78,246.76,248.35,250.1,252.38,235.53,246.58,250.08,261.99,256.86,243.13,243.73,252.4,241.29
