date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,758.33,995.62,791.44,1152.99,860.76,915.67,1445.23,1064.72,963.55,841.54,848.18,1074.29,1080.37,702.99,784.55,1047.7,881.03,899.13,1019.06,762.32,1062.6,660.17,761.71,925.48,855.5,851.39,1083.16,1043.13,961.46,1091.41,668.76,1024.67
2025-06-30,770.74,986.18,1047.88,1032.64,1142.26,817.17,1932.53,806.78,1274.33,881.68,1275.68,1002.31,913.43,844.51,1385.85,673.29,1233.08,888.77,822.49,1090.46,928.2,1350.56,1296.46,690.19,966.62,1188.18,1868.14,1181.08,1021.33,783.27,1465.82,888.92
2025-07-31,534.12,592.83,682.38,678.54,736.73,445.16,1694.62,541.67,647.34,772.38,961.24,452.97,497.0,415.96,568.75,538.23,760.18,401.8,516.98,802.29,845.59,754.83,1043.49,416.7,501.59,558.21,1114.34,713.79,535.66,391.59,1142.62,421.82
2025-08-31,413.49,445.82,433.67,405.64,382.45,362.35,625.19,376.89,482.33,467.42,525.15,369.22,372.48,345.13,409.45,397.12,442.04,347.43,391.81,454.89,440.33,473.11,487.26,369.21,411.67,415.78,493.56,501.27,404.8,369.94,454.55,376.05
2025-09-30,367.33,405.22,429.1,423.91,440.13,342.02,525.63,365.5,510.67,408.9,489.04,356.15,342.65,371.85,454.05,368.38,380.97,352.41,404.02,397.66,373.68,361.58,438.75,306.42,480.19,444.03,469.04,533.86,342.29,337.91,394.55,347.05
2025-10-31,397.27,430.45,377.88,376.42,427.19,391.28,535.44,455.63,613.51,403.71,384.26,428.51,328.33,404.84,398.05,473.59,460.64,858.15,482.65,385.65,369.35,463.63,426.07,328.34,550.79,515.07,495.21,483.02,401.94,435.74,383.72,357.67
2025-11-30,409.5,420.15,393.82,376.45,413.3,394.81,470.25,421.27,460.27,458.91,365.8,393.7,335.65,367.0,376.36,528.78,442.8,484.95,438.22,363.41,375.83,425.58,419.93,315.21,475.79,429.1,443.06,426.27,353.52,389.23,378.31,383.24
2025-12-31,369.61,414.28,407.77,407.77,390.77,354.19,487.03,451.08,465.21,421.51,409.93,354.57,329.39,338.0,394.02,422.78,407.12,389.3,408.83,381.43,402.26,441.03,430.62,319.21,419.26,459.62,464.45,408.44,335.29,392.8,465.29,368.71
2026-01-31,331.33,408.74,377.42,462.7,388.55,384.63,435.9,428.62,420.84,393.23,365.28,311.58,311.34,330.88,377.98,565.15,396.39,351.69,369.05,383.2,384.89,442.81,413.81,285.74,376.51,413.69,431.88,507.88,352.46,394.94,396.96,346.88
2026-02-28,400.13,440.23,377.81,542.93,345.19,341.82,400.31,401.79,396.84,366.97,362.76,325.1,262.24,307.06,325.53,550.96,347.17,359.24,337.82,357.23,368.47,379.16,367.22,287.07,333.68,435.75,407.89,534.32,322.84,414.6,337.53,283.76
2026-03-31,492.59,534.27,459.81,454.55,457.64,678.28,565.52,534.52,391.44,406.31,409.8,401.27,265.77,398.25,465.62,613.06,386.75,579.42,368.46,457.05,487.53,496.09,395.67,325.08,422.65,570.1,521.07,1016.27,322.44,504.27,397.24,376.61
2026-04-30,603.43,737.87,721.43,964.9,598.63,674.9,785.99,1008.51,698.74,528.21,544.74,531.39,408.17,540.6,1071.28,1079.54,745.57,884.31,375.8,524.3,540.51,870.63,715.93,360.03,551.17,588.12,628.33,1597.15,344.82,708.6,470.31,410.01
2026-05-31,1387.52,1800.5,1395.33,3137.98,1429.08,2354.93,2671.59,3581.11,2201.26,1625.3,1635.41,1660.01,307.45,1318.04,1503.3,2541.81,2006.24,1594.05,2163.56,2353.95,726.38,2310.96,918.78,663.74,1664.15,1146.19,1844.75,2256.0,930.01,2103.22,1226.04,849.32
2026-06-30,1267.16,1836.43,970.74,4079.24,1110.09,4149.26,2204.39,3925.89,1850.08,2286.81,1156.97,1274.37,425.04,1893.03,778.74,3043.71,1645.2,913.29,3171.76,1783.69,2034.95,4206.09,316.44,1141.38,2366.56,1461.37,1981.64,2299.62,608.92,3176.23,1290.79,1615.13
2026-07-31,445.21,708.65,494.71,1912.45,452.86,3434.51,1099.66,1540.07,1101.03,1521.07,440.04,475.27,158.11,670.93,434.76,1325.76,558.9,484.42,1826.09,1273.81,744.96,3184.38,235.48,426.22,965.51,813.47,912.88,913.75,286.74,2143.24,487.57,832.79
2026-08-31,386.93,519.36,360.48,652.58,351.76,1023.51,511.99,839.34,609.93,712.07,350.97,349.35,221.2,420.44,406.36,623.21,405.01,365.55,667.42,568.58,494.29,941.09,300.98,326.36,575.68,472.97,571.1,606.4,300.68,664.51,368.87,476.2
2026-09-30,361.46,466.64,401.54,685.17,349.47,690.31,489.19,786.03,539.6,693.25,336.1,342.44,292.13,480.36,395.74,554.98,397.41,389.65,550.86,463.86,423.04,706.85,272.8,440.66,569.39,449.98,596.3,513.5,305.57,614.59,350.93,488.24
2026-10-31,388.31,486.39,358.59,636.63,401.6,676.03,578.75,852.65,487.54,516.89,426.18,352.65,349.45,389.78,487.34,631.7,917.73,499.32,516.8,436.57,471.74,686.78,303.72,545.23,618.7,470.48,551.26,563.62,402.32,526.24,367.17,395.05
2026-11-30,391.51,465.19,360.16,606.19,425.89,640.21,544.58,689.57,559.2,504.99,387.02,354.22,323.77,382.72,538.94,598.71,571.65,473.89,488.53,447.88,448.71,647.2,295.1,466.26,536.1,428.31,478.07,525.18,363.59,515.95,391.69,432.03
2026-12-31,385.54,487.5,364.12,530.21,401.59,620.35,548.29,596.48,520.53,489.48,315.77,349.55,285.06,407.3,430.22,527.42,476.0,425.92,482.22,474.88,453.9,606.16,291.93,347.37,479.62,437.64,477.34,552.45,369.49,529.14,426.01,449.79
2027-01-31,420.53,448.8,418.46,485.98,357.97,535.17,488.25,494.07,454.95,416.65,315.09,326.27,251.08,386.72,582.59,482.94,374.28,360.36,448.31,432.29,462.89,532.67,264.57,311.98,436.4,393.96,533.9,476.75,373.82,460.66,365.32,389.45
2027-02-28,440.23,459.49,546.59,446.5,358.21,471.45,465.78,480.73,425.3,412.04,327.05,276.31,274.24,333.17,564.27,424.72,382.33,345.27,424.55,447.28,378.81,452.98,281.27,312.04,460.83,370.44,559.04,408.64,390.65,404.63,297.58,377.09
2027-03-31,525.58,555.84,455.5,620.13,707.26,724.23,704.05,653.72,503.44,530.21,401.69,285.89,359.15,479.87,616.24,530.76,622.86,376.41,545.07,522.27,495.51,638.32,308.07,407.64,673.57,482.59,1026.52,497.44,537.49,478.34,392.77,459.2
2027-04-30,729.45,758.74,974.88,825.36,648.34,983.97,1165.15,1024.34,656.01,684.79,536.25,429.95,487.73,1109.15,1046.22,948.11,958.79,425.63,579.9,598.09,884.32,1008.64,339.1,546.78,703.58,582.16,1673.39,512.62,706.25,551.96,421.0,749.18
2027-05-31,1800.99,1812.83,3124.23,1926.77,2115.44,2972.47,3674.74,2807.62,1993.21,1769.97,1722.22,393.5,1318.47,1578.45,2589.51,2246.15,1678.25,2162.06,2599.62,990.18,2342.62,1092.48,494.84,1524.25,1227.39,1787.0,2554.46,1062.11,2187.76,1381.96,823.45,1522.59
2027-06-30,1824.26,1833.44,3958.58,1393.48,4251.47,2372.21,4060.09,2095.86,2772.18,1254.33,1234.73,399.32,1843.68,766.74,3086.88,1702.22,934.75,3222.15,1947.29,2173.05,4261.68,390.06,1160.52,2439.03,1593.65,1938.67,2575.78,698.4,2837.85,1380.35,1655.51,972.44
2027-07-31,700.82,707.65,1966.81,541.26,3625.03,1145.01,1678.95,1173.69,1626.55,477.85,495.19,163.91,640.43,437.8,1392.23,594.86,496.87,1836.9,1363.83,773.59,3226.4,307.66,432.79,950.92,834.32,901.11,964.01,341.55,1960.42,533.05,874.64,490.72
2027-08-31,519.36,519.36,657.62,402.36,1025.36,569.22,879.6,654.38,740.63,357.81,349.63,224.61,355.43,410.25,638.06,440.07,375.29,672.14,596.41,515.62,952.06,385.93,312.13,564.05,479.41,563.77,620.83,346.59,669.1,413.13,481.47,369.8
2027-09-30,463.67,527.11,869.86,403.05,981.9,513.05,809.12,582.75,598.7,345.57,374.85,291.52,403.84,396.68,736.23,485.03,400.28,651.99,594.03,410.69,717.07,347.19,426.47,554.66,456.03,588.89,543.27,348.93,529.43,379.45,489.51,437.39
2027-10-31,438.06,486.39,629.1,452.09,675.86,603.1,903.71,552.64,536.03,436.79,353.69,362.8,375.26,488.01,626.41,971.21,509.35,521.35,466.22,483.53,696.07,340.69,544.14,607.63,479.69,542.67,576.8,441.04,520.45,392.98,398.39,361.33
2027-11-30,433.22,465.19,604.0,473.53,639.93,544.9,729.3,601.06,524.89,400.67,354.91,335.83,356.56,538.86,612.63,601.96,485.04,478.69,472.06,462.62,653.69,329.2,464.2,520.97,434.44,471.22,546.16,404.31,502.7,446.08,432.59,363.4
2027-12-31,469.88,487.5,531.87,439.04,620.02,580.8,648.79,543.58,504.57,337.53,362.48,296.13,330.78,413.55,533.17,497.47,432.0,442.9,490.24,461.5,612.36,320.59,346.54,474.97,453.78,474.28,562.94,392.25,527.81,483.11,463.4,366.85
2028-01-31,424.81,446.08,486.37,435.37,534.41,507.36,541.58,477.32,432.37,324.01,327.7,262.27,302.14,565.84,486.34,437.05,366.5,412.99,446.48,453.8,539.31,293.59,308.14,431.76,409.76,531.26,487.64,433.81,473.92,404.69,402.38,423.45
2028-02-29,442.77,461.47,463.7,410.65,493.84,502.6,506.79,464.3,444.45,348.65,286.87,299.26,316.08,576.53,444.35,422.9,364.83,441.82,479.1,395.38,475.12,319.52,319.72,475.33,400.16,579.81,433.5,430.73,440.31,363.66,399.99,568.2
2028-03-31,541.77,556.88,589.16,777.49,719.85,747.28,687.38,582.84,563.94,414.74,286.28,375.63,455.79,605.77,527.49,681.68,380.78,559.79,544.63,465.97,681.56,343.4,403.99,638.84,497.91,1031.02,510.08,598.97,504.05,428.32,470.93,490.36
2028-04-30,745.13,759.74,780.39,695.35,1009.35,1257.8,1061.85,740.1,736.99,554.0,430.25,506.62,1060.01,1093.07,950.39,976.08,457.34,638.89,625.88,904.17,988.98,377.87,541.59,671.59,626.76,1666.22,528.87,778.75,573.63,466.77,763.32,985.22
2028-05-31,1822.3,2031.91,2042.9,2446.61,3056.32,3920.5,2766.44,2251.47,1872.05,1912.07,371.92,1445.04,1520.18,2823.44,2482.67,2031.45,2256.77,2877.73,1310.33,2484.3,1187.79,658.07,1563.93,1292.09,1908.41,2512.17,1075.06,2364.25,1429.48,933.26,1533.58,3304.63
2028-06-30,1830.94,2025.31,1482.77,4347.61,2352.71,4099.28,2322.52,2729.52,1166.68,1510.78,420.63,1796.07,763.84,3106.72,1820.81,1186.88,3282.78,2108.17,2291.9,4355.92,376.5,1120.12,2331.97,1564.16,1906.48,2468.58,708.31,3418.05,1366.27,1801.71,976.22,3972.87
2028-07-31,706.12,707.02,540.34,3582.5,1108.01,1646.51,1183.15,1586.86,479.85,481.33,161.23,620.7,437.96,1321.58,598.93,493.04,1777.64,1312.33,786.56,3157.43,313.13,429.48,935.59,794.24,869.09,928.23,346.85,2001.64,519.98,849.25,493.13,1800.72
2028-08-31,519.36,519.36,401.14,1031.96,566.24,885.42,654.45,740.86,368.94,353.97,226.42,360.61,402.84,611.88,446.49,390.36,664.69,587.52,537.11,926.96,390.59,333.04,528.97,478.33,566.3,616.06,351.58,654.31,405.29,491.15,373.15,683.28
2028-09-30,466.64,469.62,405.6,689.82,513.76,830.46,581.79,602.05,361.21,346.88,292.29,414.94,395.04,545.47,454.68,419.98,556.3,493.82,422.09,714.02,354.6,450.46,551.77,453.28,598.47,541.27,353.52,534.44,374.85,502.4,399.4,710.62
2028-10-31,438.06,489.46,456.63,698.75,606.97,894.44,560.47,540.39,440.93,356.75,364.23,379.8,487.29,628.24,981.61,518.39,522.1,463.72,494.73,702.06,344.5,556.0,604.39,479.91,539.07,574.78,446.29,525.99,391.62,418.8,363.22,643.96
2028-11-30,436.19,468.17,477.48,651.47,545.89,728.62,604.73,527.7,399.58,358.41,336.56,364.9,532.61,593.41,607.41,485.7,481.5,468.46,478.19,648.89,332.39,476.12,476.83,427.8,472.42,543.17,406.06,510.19,437.63,444.32,364.98,597.66
2028-12-31,484.53,490.58,442.75,629.84,573.72,649.68,549.89,508.47,357.53,356.52,296.39,339.29,399.81,531.45,501.9,441.5,441.41,492.94,469.73,613.06,322.85,356.22,473.97,450.84,475.73,558.73,391.93,533.38,475.52,448.09,367.76,534.58
2029-01-31,438.75,447.41,439.27,540.9,511.27,545.94,483.26,439.42,326.05,329.99,262.56,309.02,524.43,487.13,441.7,377.46,417.29,450.77,462.34,540.75,302.05,321.01,430.8,407.41,532.17,483.36,433.45,465.18,398.39,392.4,424.73,491.26
2029-02-28,451.06,458.52,400.04,489.27,485.81,496.27,455.91,434.66,338.43,279.76,285.24,310.67,547.64,428.86,412.14,364.8,427.67,458.8,389.99,461.55,305.64,320.74,455.18,384.96,563.36,415.75,416.25,409.93,346.64,387.7,553.48,449.8
2029-03-31,549.18,552.87,766.82,723.23,747.0,688.9,559.08,579.18,421.37,289.58,372.03,458.85,593.27,481.07,657.3,386.64,562.1,529.23,469.28,671.77,346.96,418.64,631.12,497.44,1034.38,507.85,598.35,486.34,425.83,462.48,472.04,626.9
2029-04-30,752.3,755.87,697.71,1020.95,1256.5,1064.02,714.66,754.98,562.62,434.78,497.48,1060.22,1078.29,902.52,984.63,469.32,625.87,610.58,869.05,1003.23,382.12,559.38,662.97,626.34,1666.92,527.02,749.65,556.36,464.45,764.65,1002.76,927.21
2029-05-31,1993.49,1807.1,2271.27,3253.06,3946.74,2865.97,2106.71,1893.37,1986.25,373.55,1210.35,1519.52,2622.23,2420.3,1915.75,2075.31,2832.35,851.67,2402.52,1143.61,608.47,1675.63,1244.99,1901.68,2562.79,1069.82,2300.78,1433.08,941.77,1798.85,3149.61,2043.28
2029-06-30,1961.55,1836.07,4300.8,2501.61,4068.89,2322.59,2763.25,1174.73,1436.92,422.48,1829.46,758.41,3077.11,1968.36,1167.34,3459.99,2269.27,2127.82,4294.93,366.58,1171.67,2261.99,1543.69,1902.33,2551.64,706.51,3296.47,1368.31,1654.37,1236.68,4063.05,1511.85
2029-07-31,707.39,708.24,3655.07,1107.73,1640.38,1203.65,1647.1,479.46,483.38,164.48,654.27,435.86,1329.55,596.57,508.23,1778.62,1322.54,783.43,3249.27,311.18,424.48,938.14,832.19,865.83,927.48,344.51,2047.16,520.87,856.82,509.94,1897.95,529.52
2029-08-31,519.36,519.36,1058.01,566.07,880.73,656.44,752.53,367.97,354.87,225.85,370.59,402.23,622.53,444.99,386.56,663.26,587.87,546.64,954.54,388.29,324.72,564.27,478.33,563.17,615.07,349.35,669.19,407.47,488.1,379.6,643.3,379.22
2029-09-30,466.64,466.64,702.36,515.41,827.01,584.96,610.01,361.43,348.44,292.51,415.39,395.31,553.42,454.2,412.78,556.29,493.65,445.91,719.1,353.8,447.32,558.84,455.14,596.38,541.08,351.71,536.08,376.08,500.56,407.16,678.24,398.69
2029-10-31,438.06,486.39,696.83,611.14,892.77,562.77,543.28,444.0,358.3,364.65,381.16,481.05,632.89,978.38,520.56,522.11,463.34,490.88,700.53,344.46,556.9,612.71,477.62,535.4,573.7,444.67,527.17,393.11,412.71,365.89,633.11,457.77
2029-11-30,436.19,465.19,654.86,550.53,727.81,608.33,534.02,403.39,359.91,337.52,364.85,533.39,600.11,607.05,496.7,493.16,469.78,474.48,658.89,335.86,477.02,487.89,433.22,470.55,541.56,404.8,513.64,438.84,442.89,371.08,599.2,467.13
2029-12-31,487.32,487.5,631.48,577.15,648.75,551.51,509.88,357.66,357.51,297.6,338.92,360.36,530.22,501.99,440.61,441.39,493.61,466.8,615.61,326.86,357.38,480.48,452.31,475.38,559.09,391.67,536.77,478.27,471.66,374.18,532.07,441.5
2030-01-31,441.39,447.68,545.89,515.7,545.49,485.19,438.28,329.58,332.1,263.81,310.42,523.61,485.81,441.82,375.54,417.46,451.43,491.69,542.75,306.03,322.16,437.47,408.26,531.79,483.7,433.25,468.58,401.27,413.75,431.09,487.9,439.91
2030-02-28,453.28,458.55,482.6,490.79,495.81,457.3,435.63,341.94,281.79,286.36,308.47,548.7,427.49,412.31,360.71,428.4,463.38,412.09,463.4,309.26,321.92,462.22,383.12,562.9,416.11,416.03,411.82,349.72,399.29,559.73,448.53,400.22
2030-03-31,550.94,558.17,728.03,758.91,686.21,568.95,581.67,426.16,291.86,373.66,438.62,594.31,522.24,657.46,388.83,566.35,533.04,531.43,666.68,351.1,420.0,638.11,495.11,1030.57,507.45,596.64,481.73,429.02,481.44,476.11,593.68,777.98
2030-04-30,754.0,761.0,996.2,1268.65,1125.19,724.25,744.09,568.81,437.63,499.39,1074.99,1079.44,941.26,984.61,446.01,646.15,614.5,929.22,950.7,383.16,560.5,669.05,597.22,1665.82,526.74,747.52,558.35,467.41,778.75,1009.49,841.39,703.61
2030-05-31,1823.42,2094.0,3261.5,3914.41,2829.9,2061.78,1872.21,1911.67,335.87,1336.05,1552.81,2809.09,2471.78,1925.66,2262.74,2914.75,1093.67,2614.88,1185.12,663.21,1577.23,1248.04,1906.17,2316.59,1069.72,2299.63,1425.25,928.13,1811.42,3134.46,2062.2,2008.29
2030-06-30,1830.13,2066.07,2490.53,4102.19,2397.68,2816.88,1171.25,1484.75,469.85,1868.54,750.88,3103.48,1835.56,1162.44,3278.34,2115.2,2114.81,4464.42,377.09,1119.4,2334.01,1536.26,1828.69,2328.51,691.13,3310.23,1369.82,1780.84,1226.87,4073.3,1506.55,1511.98
2030-07-31,705.28,711.16,1089.52,1620.08,1208.63,1638.63,486.45,499.5,176.58,642.24,435.86,1299.09,595.37,522.6,1778.05,1317.26,783.43,3232.76,312.98,429.69,916.89,826.26,782.08,920.12,326.98,2037.78,522.42,842.01,507.15,1889.38,538.95,522.44
2030-08-31,519.36,519.36,563.89,860.35,639.24,743.33,378.21,374.17,236.98,363.13,402.23,606.38,444.99,400.36,663.26,589.91,523.11,932.26,390.09,339.06,539.92,478.33,490.5,615.07,331.72,662.37,407.47,488.1,375.97,634.69,388.81,384.29
2030-09-30,466.64,469.62,515.41,807.17,573.62,605.41,370.9,365.41,298.39,412.93,398.29,543.4,454.2,425.56,556.29,493.65,409.26,700.27,355.6,457.29,539.69,455.14,531.49,541.08,334.55,536.08,376.08,500.56,403.67,669.84,394.89,387.92
