date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,7770.4,7989.86,7801.03,8135.42,7865.13,7915.93,8405.73,8053.77,7960.2,7847.36,7853.5,8062.62,8068.24,7719.21,7794.65,8038.03,7883.88,7900.63,8011.54,7774.09,8051.8,7679.6,7773.52,7925.0,7860.26,7856.47,8070.83,8033.8,7958.26,8078.46,7687.54,8016.73
2025-06-30,7877.04,8294.92,8163.76,8482.97,8314.91,8065.0,9584.41,8192.77,8531.75,8056.29,8426.66,8382.37,8305.8,7894.21,8469.85,8053.67,8417.56,8115.94,8165.2,8176.26,8303.07,8322.52,8366.14,7956.67,8147.67,8348.72,9191.0,8518.91,8295.94,8195.66,8436.99,8231.79
2025-07-31,7680.63,8151.15,8103.23,8417.73,8304.07,7785.65,10454.11,8002.1,8437.49,8079.34,8622.89,8109.02,8073.43,7588.52,8303.19,7860.36,8428.02,7796.33,7951.82,8226.52,8392.89,8328.38,8638.61,7651.42,7920.15,8172.76,9525.94,8486.1,8099.33,7866.3,8800.81,7930.24
2025-08-31,7292.91,7791.58,7732.6,8020.01,7885.37,7350.28,10251.67,7579.35,8110.57,7739.99,8334.86,7678.8,7646.35,7137.95,7909.44,7456.85,8063.9,7347.14,7543.06,7875.05,8027.31,7993.35,8315.5,7222.88,7529.88,7785.34,9205.46,8176.51,7702.02,7437.65,8446.88,7507.02
2025-09-30,7080.3,7612.35,7575.64,7857.25,7738.09,7114.08,10175.31,7364.09,8027.68,7564.33,8231.24,7454.57,7409.75,6930.02,7774.95,7244.67,7861.31,7120.56,7363.53,7688.55,7818.11,7773.07,8165.45,6954.19,7420.8,7642.01,9080.44,8114.83,7464.91,7197.35,8255.53,7274.95
2025-10-31,6985.45,7546.96,7461.71,7741.33,7669.41,7013.62,10050.29,7322.57,8130.59,7474.33,8121.65,7387.75,7250.38,6842.51,7679.24,7220.03,7823.27,7451.87,7346.99,7581.55,7695.75,7738.01,8094.69,6795.87,7467.16,7654.82,9071.5,8096.85,7373.49,7137.82,8145.4,7143.03
2025-11-30,6883.87,7454.03,7344.6,7607.56,7569.87,6898.39,9866.92,7231.15,8073.45,7417.39,7977.15,7270.69,7079.94,6701.92,7545.52,7228.28,7750.7,7419.07,7271.2,7436.06,7561.51,7649.68,8000.31,6607.47,7425.86,7569.93,8996.38,8008.34,7219.3,7017.17,8012.42,7016.83
2025-12-31,6656.55,7267.06,7151.8,7414.3,7360.96,6656.79,9636.67,7078.62,7932.5,7237.18,7785.24,7028.8,6815.08,6445.67,7339.65,7049.57,7556.6,7209.06,7079.51,7218.74,7363.24,7487.12,7827.5,6334.0,7243.55,7424.71,8853.09,7814.99,6959.66,6811.08,7871.65,6788.46
2026-01-31,6290.03,6971.83,6827.66,7168.94,7046.99,6339.6,9241.12,6801.91,7648.08,6927.61,7449.48,6643.77,6429.96,6078.86,7015.91,6899.25,7249.77,6861.06,6747.66,6899.89,7045.88,7223.3,7536.64,5925.46,6918.51,7133.97,8578.33,7611.22,6612.52,6503.35,7565.16,6436.25
2026-02-28,6064.93,6783.42,6581.55,7075.45,6770.55,6060.5,8904.1,6578.01,7419.06,6671.42,7189.05,6349.0,6077.14,5767.75,6721.3,6813.38,6975.03,6597.74,6464.59,6634.69,6790.99,6978.2,7280.27,5595.95,6631.5,6941.3,8358.9,7509.47,6315.68,6291.51,7281.3,6103.34
2026-03-31,5889.43,6645.72,6375.16,6863.66,6561.94,6056.85,8676.34,6440.77,7148.49,6415.41,6935.72,6088.68,5691.73,5505.28,6520.13,6748.55,6700.6,6502.03,6173.79,6425.69,6610.02,6804.96,7013.76,5265.97,6390.66,6836.59,8207.23,7817.04,5982.45,6126.57,7016.25,5820.48
