date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,70789.0,72214.0,70958.0,73087.0,71380.0,71676.0,74668.0,72598.0,72004.0,71262.0,71306.0,72651.0,72685.0,70490.0,70923.0,72505.0,71489.0,71586.0,72350.0,70811.0,72587.0,70262.0,70807.0,71729.0,71352.0,71328.0,72701.0,72480.0,71990.0,72747.0,70308.0,72380.0
2025-06-30,71449.0,74013.0,73250.0,75131.0,74130.0,72666.0,81541.0,73418.0,75434.0,72614.0,74792.0,74530.0,74076.0,71549.0,75050.0,72598.0,74738.0,72971.0,73258.0,73322.0,74060.0,74175.0,74435.0,71978.0,73159.0,74331.0,79283.0,75353.0,74019.0,73434.0,74854.0,73642.0
2025-07-31,70268.0,73179.0,72895.0,74739.0,74066.0,70880.0,87016.0,72297.0,74857.0,72752.0,75988.0,72930.0,72716.0,69740.0,74061.0,71352.0,74800.0,70932.0,71942.0,73612.0,74592.0,74209.0,76084.0,70101.0,71700.0,73302.0,81219.0,75150.0,72872.0,71386.0,77050.0,71762.0
2025-08-31,68000.0,70908.0,70566.0,72399.0,71497.0,68339.0,85827.0,69687.0,72939.0,70609.0,74248.0,70257.0,70072.0,67083.0,71638.0,68971.0,72659.0,68320.0,69476.0,71437.0,72441.0,72238.0,74133.0,67592.0,69399.0,70878.0,79367.0,73323.0,70391.0,68861.0,74912.0,69265.0
2025-09-30,66740.0,69877.0,69666.0,71333.0,70598.0,66940.0,85287.0,68422.0,72444.0,69600.0,73639.0,68958.0,68694.0,65855.0,70816.0,67718.0,71358.0,66978.0,68419.0,70313.0,71063.0,70805.0,73260.0,65997.0,68760.0,70048.0,78644.0,72964.0,69018.0,67440.0,73780.0,67895.0
2025-10-31,66183.0,69498.0,69000.0,70617.0,70203.0,66350.0,84108.0,68174.0,73058.0,69073.0,73005.0,68562.0,67751.0,65351.0,70260.0,67575.0,71096.0,68942.0,68319.0,69700.0,70355.0,70598.0,72844.0,65078.0,69031.0,70120.0,78592.0,72857.0,68478.0,67082.0,73146.0,67114.0
2025-11-30,65590.0,68955.0,68305.0,69849.0,69632.0,65674.0,83089.0,67641.0,72717.0,68740.0,72126.0,67870.0,66738.0,64527.0,69490.0,67624.0,70672.0,68750.0,67873.0,68852.0,69583.0,70091.0,72285.0,63964.0,68791.0,69633.0,78162.0,72331.0,67571.0,66371.0,72355.0,66369.0
2025-12-31,64257.0,67848.0,67167.0,68721.0,68403.0,64258.0,81828.0,66730.0,71783.0,67675.0,70877.0,66440.0,65191.0,62997.0,68275.0,66560.0,69555.0,67510.0,66735.0,67567.0,68417.0,69148.0,71125.0,62338.0,67712.0,68784.0,77352.0,71043.0,66030.0,65167.0,71418.0,65034.0
2026-01-31,62080.0,66103.0,65264.0,67270.0,66545.0,62370.0,79582.0,65113.0,70082.0,65841.0,68929.0,64182.0,62903.0,60833.0,66364.0,65679.0,67747.0,65458.0,64795.0,65682.0,66538.0,67594.0,69438.0,59903.0,65788.0,67059.0,75721.0,69870.0,63995.0,63342.0,69605.0,62941.0
2026-02-28,60749.0,65004.0,63809.0,66711.0,64929.0,60723.0,77644.0,63788.0,68750.0,64345.0,67390.0,62425.0,60823.0,58907.0,64640.0,65181.0,66122.0,63906.0,63110.0,64128.0,65049.0,66140.0,67926.0,57860.0,64109.0,65921.0,74391.0,69280.0,62231.0,62089.0,67932.0,60979.0
2026-03-31,59679.0,64193.0,62578.0,65473.0,63691.0,60701.0,76314.0,62968.0,67147.0,62816.0,65888.0,60891.0,58442.0,57309.0,63440.0,64800.0,64519.0,63334.0,61400.0,62878.0,63980.0,65131.0,66351.0,55837.0,62669.0,65317.0,73501.0,71056.0,60254.0,61119.0,66366.0,59238.0
2026-04-30,59626.0,64870.0,63173.0,67385.0,63607.0,61046.0,76626.0,65139.0,67612.0,62353.0,65518.0,60441.0,57296.0,56908.0,65935.0,67332.0,65234.0,64823.0,60084.0,62392.0,63572.0,66518.0,66901.0,54360.0,62333.0,65176.0,73564.0,76603.0,58703.0,61644.0,65585.0,58083.0
