date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,17.0,22.0,18.07,26.98,19.27,22.06,18.54,25.0,22.31,18.35,19.55,27.95,26.67,19.31,22.33,25.11,23.7,23.04,22.65,19.88,27.33,15.7,15.48,25.51,21.94,21.05,19.02,20.12,21.15,26.19,14.93,25.85
2025-06-30,19.0,25.0,27.65,26.81,24.65,22.03,43.49,17.99,32.23,20.03,29.13,21.18,22.41,20.15,27.11,18.79,23.66,21.63,21.34,29.76,22.09,30.36,27.83,17.31,27.04,25.99,44.66,28.2,25.35,15.96,32.89,23.9
2025-07-31,9.0,11.0,12.01,13.91,11.1,9.71,31.42,9.19,12.36,10.03,14.6,10.53,10.39,9.19,11.31,9.2,10.9,10.26,10.59,12.94,10.2,12.22,12.73,9.37,12.23,10.8,18.17,11.6,11.43,8.18,16.17,10.78
2025-08-31,5.0,7.0,6.61,9.0,6.47,6.01,11.84,5.8,8.08,6.1,8.0,6.8,7.2,5.71,6.5,5.99,7.65,6.86,6.95,7.05,6.27,8.11,7.26,6.02,7.96,7.05,8.56,7.26,8.06,5.51,7.87,6.73
2025-09-30,5.0,5.0,4.62,6.36,5.09,4.48,7.93,4.51,5.6,4.22,5.34,4.77,4.98,4.24,6.67,4.45,4.97,5.35,5.53,4.96,4.57,5.02,4.73,4.63,6.24,6.55,5.98,5.12,4.94,4.11,5.1,6.17
2025-10-31,6.0,6.0,4.6,5.33,5.6,5.89,8.01,5.01,5.95,5.47,5.32,4.82,4.82,5.57,5.65,5.04,6.27,7.76,6.04,5.53,5.75,5.11,5.24,4.59,7.32,8.52,5.69,4.92,5.96,4.5,4.98,6.28
2025-11-30,4.0,5.0,4.04,4.48,4.66,4.74,6.22,4.92,4.95,4.32,4.56,4.06,4.9,4.01,4.41,4.35,5.5,5.61,5.03,4.74,4.97,5.24,4.43,3.91,5.06,5.63,4.92,4.19,4.99,4.22,4.41,6.38
2025-12-31,4.0,4.0,3.85,4.15,3.91,4.06,5.74,4.28,4.38,4.22,4.13,3.78,4.16,3.58,4.03,3.77,4.41,4.46,4.05,4.19,4.08,4.36,3.93,3.56,4.36,4.43,4.67,3.87,4.67,3.58,4.18,4.99
2026-01-31,4.0,5.0,3.52,3.81,3.54,3.62,4.93,3.59,3.95,3.53,3.8,3.48,3.71,3.28,3.62,3.41,3.86,3.88,3.51,3.76,3.66,3.83,3.64,3.25,3.97,3.95,4.28,3.47,3.9,3.25,3.8,4.08
2026-02-28,4.0,4.0,3.03,3.2,2.95,3.1,4.01,2.92,3.25,2.95,3.2,2.92,3.05,2.87,2.99,2.82,3.16,3.25,2.85,3.12,3.01,3.13,2.99,2.74,3.27,3.83,3.71,2.9,3.29,2.71,3.13,3.36
2026-03-31,4.0,5.0,3.55,3.68,3.7,4.46,4.3,3.96,3.8,4.01,3.54,3.38,3.21,3.5,4.91,3.04,3.37,5.46,2.89,4.0,3.04,3.47,3.95,2.94,3.26,4.97,4.51,4.79,3.52,2.74,3.48,3.55
2026-04-30,8.0,9.0,8.06,6.83,7.12,5.75,8.18,6.26,5.53,5.95,8.19,6.97,7.49,6.4,10.04,6.51,8.9,8.35,3.55,5.66,6.21,6.45,10.55,4.99,5.63,8.07,7.2,9.6,6.17,6.39,5.77,6.72
2026-05-31,23.0,26.0,24.77,31.7,24.49,27.62,47.38,33.03,18.66,20.56,29.78,25.04,17.08,20.77,26.53,23.88,30.09,27.82,23.09,32.16,14.49,19.95,21.54,16.78,26.72,17.6,16.37,30.57,27.01,20.75,22.18,20.86
2026-06-30,28.0,40.0,25.96,64.16,38.36,79.22,58.71,67.86,29.46,45.75,25.68,25.79,13.36,35.98,22.24,35.18,35.77,27.33,73.22,38.27,39.51,63.64,10.71,30.12,51.35,48.59,41.66,52.09,17.54,55.26,32.12,42.09
2026-07-31,9.0,15.0,13.06,32.84,14.68,74.22,23.77,26.8,15.03,29.72,10.52,10.21,6.39,12.84,9.38,15.22,12.93,11.8,38.98,20.9,13.75,42.32,6.46,12.38,18.95,18.0,15.83,20.41,7.7,39.14,11.87,17.13
2026-08-31,7.0,8.0,8.52,12.65,7.31,23.84,10.49,12.93,7.58,12.44,6.87,7.04,4.46,7.01,6.13,8.95,8.06,7.38,13.59,9.1,8.71,14.93,4.77,7.73,9.94,8.32,8.54,12.04,5.29,13.69,7.05,8.22
2026-09-30,6.0,7.0,6.69,9.05,5.74,13.74,7.76,8.72,5.29,7.69,5.26,5.27,3.75,7.53,4.96,5.98,6.66,6.32,8.52,6.34,5.75,8.53,4.2,6.61,9.22,6.27,6.25,7.56,4.34,8.08,6.91,5.93
2026-10-31,6.0,7.0,5.0,8.45,6.69,11.11,7.58,8.12,6.03,6.62,4.84,4.59,4.68,5.74,5.14,6.69,8.62,6.19,8.06,6.89,5.27,7.85,3.81,7.04,11.12,5.35,5.43,7.85,4.33,6.82,6.32,5.28
2026-11-30,5.0,5.0,4.17,6.97,5.38,8.28,7.13,6.69,4.71,5.61,4.06,4.7,3.3,4.46,4.43,5.84,6.2,5.13,6.83,5.86,5.35,6.55,3.25,4.81,7.14,4.6,4.6,6.51,4.07,5.95,6.5,4.61
2026-12-31,4.0,4.0,3.86,5.98,4.61,7.61,6.3,5.96,4.56,5.07,3.77,3.95,2.92,4.07,3.81,4.67,4.94,4.1,6.04,4.82,4.46,5.85,2.94,4.12,5.53,4.36,4.23,6.05,3.43,5.6,5.06,4.37
2027-01-31,5.0,5.0,3.54,5.39,4.1,6.56,5.33,5.37,3.83,4.65,3.46,3.51,2.68,3.64,3.44,4.08,4.29,3.54,5.41,4.31,3.91,5.37,2.68,3.75,4.9,3.99,3.8,5.11,3.11,5.09,4.12,3.99
2027-02-28,4.0,4.0,2.97,4.48,3.49,5.33,4.34,4.41,3.19,3.89,2.89,2.88,2.38,3.0,2.84,3.33,3.58,2.87,4.47,3.54,3.2,4.4,2.27,3.09,4.63,3.46,3.16,4.29,2.6,4.18,3.39,3.41
2027-03-31,5.0,5.0,3.36,5.32,4.86,5.67,5.41,5.02,4.25,4.24,3.31,3.03,2.98,4.91,3.04,3.54,6.07,2.9,5.39,3.57,3.52,5.46,2.45,3.08,5.81,4.23,4.94,4.52,2.62,4.56,3.56,3.98
2027-04-30,9.0,9.0,6.37,9.01,6.11,9.96,7.67,6.76,6.15,9.14,6.62,7.38,5.82,10.03,6.28,9.24,9.38,3.53,6.88,6.76,6.46,12.67,4.34,5.42,9.77,6.86,9.84,7.25,6.22,6.88,6.64,8.85
2027-05-31,26.0,26.0,29.11,29.54,28.32,54.62,36.68,22.64,21.55,32.8,24.87,17.34,19.8,27.38,23.28,31.66,29.47,22.9,37.04,16.02,20.0,24.51,15.3,26.86,19.53,16.3,30.69,30.28,20.25,25.14,20.06,26.78
2027-06-30,40.0,40.0,63.92,42.19,81.72,62.16,72.22,32.36,47.6,27.13,26.39,13.38,34.98,22.56,35.98,36.64,28.23,74.33,41.89,41.81,65.15,12.01,29.3,51.56,51.67,42.04,53.53,18.83,55.29,34.47,42.64,26.77
2027-07-31,15.0,15.0,33.89,15.82,74.98,24.67,28.83,16.17,30.26,11.02,10.38,6.31,12.51,9.4,15.75,13.07,12.07,39.14,22.68,14.21,42.64,7.35,12.2,18.88,18.67,15.72,21.06,8.35,39.1,12.63,17.7,13.26
2027-08-31,8.0,8.0,12.72,7.9,23.91,11.0,13.6,8.27,12.55,7.19,7.04,4.37,6.79,6.12,9.03,8.11,7.53,13.51,9.86,8.97,14.93,5.48,7.59,9.84,8.68,8.36,12.31,5.7,13.59,7.56,8.28,8.7
2027-09-30,7.0,7.0,8.98,6.33,13.76,8.2,9.15,5.83,7.74,5.52,5.26,3.67,7.33,4.94,5.96,6.69,6.43,8.43,6.84,5.92,8.49,4.82,6.31,9.12,6.55,6.08,7.65,4.75,7.99,7.36,5.9,6.72
2027-10-31,6.0,7.0,8.33,7.29,11.12,8.0,8.5,6.57,6.65,5.08,4.55,4.6,5.56,5.12,6.68,8.65,6.29,7.98,7.37,5.43,7.82,4.39,6.95,11.03,5.61,5.27,7.89,4.72,6.74,6.72,5.24,5.08
2027-11-30,5.0,5.0,6.93,5.88,8.29,7.54,7.03,5.16,5.64,4.26,4.68,3.22,4.31,4.41,5.89,6.21,5.22,6.75,6.31,5.49,6.52,3.74,4.7,7.06,4.82,4.47,6.55,4.41,5.88,6.86,4.57,4.25
2027-12-31,4.0,4.0,5.9,5.07,7.62,6.66,6.25,4.98,5.09,3.96,3.94,2.85,3.92,3.79,4.67,4.95,4.17,5.96,5.22,4.58,5.82,3.4,3.99,5.46,4.57,4.11,6.12,3.74,5.53,5.37,4.33,3.93
2028-01-31,5.0,5.0,5.32,4.51,6.56,5.64,5.63,4.2,4.67,3.63,3.48,2.61,3.52,3.42,4.07,4.3,3.6,5.34,4.66,4.02,5.33,3.1,3.62,4.83,4.18,3.69,5.14,3.39,5.02,4.39,3.96,3.61
2028-02-29,4.0,4.0,4.56,3.99,5.52,4.75,4.78,3.62,4.04,3.14,2.95,2.39,3.0,2.92,3.43,3.7,3.02,4.57,3.96,3.4,4.52,2.71,3.08,4.72,3.75,3.18,4.45,2.93,4.27,3.73,3.49,3.13
2028-03-31,5.0,5.0,5.23,5.24,5.68,5.75,5.22,4.65,4.3,3.49,3.0,2.94,4.93,3.02,3.52,6.16,2.95,5.35,3.85,3.62,5.56,2.81,2.96,5.87,4.39,4.92,4.52,2.86,4.51,3.79,3.94,3.57
2028-04-30,9.0,9.0,8.94,6.65,10.09,8.11,6.98,6.63,9.69,7.06,7.38,5.92,10.01,6.45,9.26,9.84,3.72,7.02,7.08,6.64,12.9,4.84,5.31,9.79,7.18,9.76,7.26,6.75,7.03,6.94,8.8,6.74
2028-05-31,26.0,26.0,29.64,30.32,56.31,38.55,23.13,23.17,33.98,25.82,17.43,21.25,27.68,24.42,31.86,29.82,24.58,38.14,16.43,21.15,24.66,16.41,26.8,20.29,17.32,31.55,30.52,21.06,26.36,21.51,26.85,32.59
2028-06-30,40.0,40.0,42.26,84.73,61.91,73.21,32.7,48.58,26.14,26.25,13.41,34.07,22.2,35.77,36.76,28.16,75.39,41.86,42.36,66.79,11.78,29.78,51.48,51.91,42.4,53.59,18.9,57.76,33.68,43.12,26.77,64.16
2028-07-31,15.0,15.0,15.8,73.38,23.91,27.93,16.35,29.68,10.9,10.29,6.3,12.18,9.21,15.28,13.08,11.87,37.54,22.1,14.41,41.33,7.31,12.26,18.83,18.13,15.41,20.58,8.36,37.74,12.35,17.37,13.23,31.59
2028-08-31,8.0,8.0,7.87,23.45,10.86,13.55,8.39,12.43,7.13,7.06,4.36,6.7,6.02,8.92,8.11,7.46,13.24,9.71,9.13,14.64,5.46,7.64,9.8,8.57,8.37,12.06,5.7,13.41,7.45,8.3,8.67,12.33
2028-09-30,7.0,7.0,6.31,13.54,8.19,9.17,5.93,7.79,5.5,5.28,3.65,7.32,4.9,5.94,6.68,6.43,8.38,6.81,6.04,8.44,4.79,6.54,9.08,6.52,6.12,7.54,4.75,8.0,7.35,5.97,6.7,8.89
2028-10-31,6.0,7.0,7.26,11.08,7.96,8.53,6.67,6.7,5.04,4.59,4.58,5.47,5.04,6.64,8.65,6.28,7.96,7.34,5.54,7.83,4.36,6.97,11.0,5.58,5.32,7.83,4.72,6.79,6.74,5.31,5.06,8.33
2028-11-30,5.0,5.0,5.85,8.29,7.53,7.05,5.25,5.69,4.25,4.7,3.21,4.27,4.33,5.8,6.21,5.14,6.7,6.26,5.59,6.49,3.71,4.76,7.04,4.8,4.51,6.5,4.41,5.92,6.77,4.65,4.23,6.82
2028-12-31,4.0,4.0,5.05,7.64,6.61,6.29,5.06,5.15,3.94,3.95,2.84,3.89,3.73,4.63,4.94,4.14,5.94,5.18,4.67,5.81,3.38,4.07,5.44,4.54,4.16,6.03,3.74,5.57,5.3,4.4,3.92,5.87
2029-01-31,5.0,5.0,4.49,6.59,5.63,5.67,4.27,4.74,3.62,3.51,2.6,3.48,3.37,4.04,4.29,3.59,5.33,4.63,4.1,5.34,3.08,3.71,4.81,4.16,3.73,5.09,3.39,5.06,4.36,4.02,3.6,5.29
2029-02-28,4.0,4.0,3.82,5.37,4.58,4.66,3.55,3.95,3.03,2.88,2.31,2.87,2.78,3.3,3.58,2.91,4.41,3.8,3.36,4.38,2.61,3.05,4.55,3.62,3.11,4.27,2.83,4.16,3.58,3.43,3.02,4.4
2029-03-31,5.0,5.0,5.22,5.72,5.75,5.28,4.64,4.36,3.48,3.03,2.9,4.89,2.99,3.51,6.07,2.94,5.37,3.84,3.68,5.58,2.8,3.05,5.72,4.38,4.97,4.5,2.85,4.58,3.77,4.0,3.48,5.26
