date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99
2025-06-30,83.11,89.11,91.76,90.92,88.76,86.14,102.19,82.1,96.34,84.14,93.24,85.29,86.52,84.26,91.22,82.9,87.77,85.74,85.45,93.87,86.2,94.47,91.94,81.42,91.15,90.1,102.19,92.31,89.46,80.07,97.0,88.01
2025-07-31,76.74,84.74,88.4,89.46,84.49,80.48,99.23,75.93,93.33,78.79,92.47,80.45,81.54,78.09,87.16,76.72,83.29,80.64,80.66,91.43,81.02,91.33,89.3,75.41,88.02,85.53,99.23,88.54,85.52,72.88,97.8,83.42
2025-08-31,69.44,79.44,82.71,86.16,78.66,74.19,86.94,69.43,86.94,72.59,86.94,74.95,76.44,71.5,81.37,70.42,78.65,75.2,75.32,86.18,75.0,86.94,84.26,69.14,83.68,80.28,86.94,83.5,81.28,66.1,86.94,77.85
2025-09-30,65.52,72.31,72.31,72.31,72.31,69.74,72.31,65.01,72.31,67.89,72.31,70.79,72.31,66.82,72.31,65.94,72.31,71.63,71.93,72.31,70.64,72.31,72.31,64.84,72.31,72.31,72.31,72.31,72.31,61.28,72.31,72.31
2025-10-31,65.37,69.9,69.9,69.9,69.9,69.48,69.9,63.87,69.9,67.21,69.9,69.46,69.9,66.23,69.9,64.83,69.9,69.9,69.9,69.9,69.9,69.9,69.9,63.28,69.9,69.9,69.9,69.9,69.9,59.64,69.9,69.9
2025-11-30,64.9,67.54,67.54,67.54,67.54,67.54,67.54,64.33,67.54,67.06,67.54,67.54,67.54,65.78,67.54,64.72,67.54,67.54,67.54,67.54,67.54,67.54,67.54,62.73,67.54,67.54,67.54,67.54,67.54,59.39,67.54,67.54
2025-12-31,64.29,66.93,66.78,67.07,66.84,66.98,67.54,64.0,67.31,66.67,67.05,66.71,67.09,64.75,66.95,63.88,67.33,67.38,66.97,67.11,67.01,67.29,66.86,61.69,67.28,67.36,67.54,66.79,67.54,58.36,67.1,67.54
2026-01-31,63.68,67.31,65.69,66.27,65.76,65.99,67.54,62.97,66.65,65.59,66.24,65.58,66.18,63.42,65.96,62.68,66.58,66.65,65.87,66.26,66.05,66.5,65.88,60.32,66.64,66.7,67.21,65.65,66.83,57.0,66.29,67.01
2026-02-28,63.52,66.76,64.55,65.3,64.55,64.92,66.76,61.73,65.73,64.38,65.27,64.33,65.06,62.13,64.78,61.34,65.58,65.73,64.56,65.22,64.9,65.47,64.71,58.9,65.74,66.37,66.75,64.39,65.96,55.54,65.26,66.21
2026-03-31,62.9,64.47,63.49,64.37,63.64,64.47,64.47,61.08,64.47,63.78,64.2,63.09,63.66,61.02,64.47,59.76,64.34,64.47,62.84,64.47,63.33,64.33,64.04,57.23,64.39,64.47,64.47,64.47,64.47,53.67,64.13,64.47
2026-04-30,63.72,63.72,63.72,63.72,63.72,63.72,63.72,62.88,63.72,63.72,63.72,63.72,63.72,62.95,63.72,61.81,63.72,63.72,61.93,63.72,63.72,63.72,63.72,57.76,63.72,63.72,63.72,63.72,63.72,55.6,63.72,63.72
2026-05-31,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.99,74.69,76.59,78.99,78.99,73.12,76.03,78.99,78.0,78.99,78.99,77.33,78.99,70.52,75.98,77.58,66.86,78.99,73.63,72.4,78.99,78.99,68.66,78.22,76.89
2026-06-30,92.11,102.19,90.07,102.19,102.19,102.19,102.19,102.19,89.28,102.19,89.79,89.9,71.6,97.14,86.35,98.3,99.88,91.44,102.19,102.19,95.16,102.19,73.42,82.1,102.19,102.19,99.19,102.19,81.65,102.19,95.46,102.19
2026-07-31,85.74,99.23,87.76,99.23,99.23,99.23,99.23,99.23,88.93,99.23,84.94,84.74,62.62,94.61,80.36,98.15,97.43,87.87,99.23,99.23,93.54,99.23,64.51,79.11,99.23,99.23,99.23,99.23,73.98,99.23,91.96,99.23
2026-08-31,80.44,86.94,83.99,86.94,86.94,86.94,86.94,86.94,84.21,86.94,79.51,79.47,54.79,86.94,74.19,86.94,86.94,82.95,86.94,86.94,86.94,86.94,56.98,74.54,86.94,86.94,86.94,86.94,66.98,86.94,86.71,86.94
2026-09-30,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,49.62,72.31,70.23,72.31,72.31,72.31,72.31,72.31,72.31,72.31,52.25,72.23,72.31,72.31,72.31,72.31,62.39,72.31,72.31,72.31
2026-10-31,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,48.16,69.9,69.22,69.9,69.9,69.9,69.9,69.9,69.9,69.9,49.92,69.9,69.9,69.9,69.9,69.9,60.58,69.9,69.9,69.9
2026-11-30,67.54,67.54,67.54,67.54,67.54,67.54,67.54,67.54,67.54,67.54,67.54,67.54,46.99,67.54,67.54,67.54,67.54,67.54,67.54,67.54,67.54,67.54,48.71,67.54,67.54,67.54,67.54,67.54,60.18,67.54,67.54,67.54
2026-12-31,66.93,66.93,66.78,67.54,67.54,67.54,67.54,67.54,67.48,67.54,66.69,66.88,45.31,66.99,66.74,67.54,67.54,67.02,67.54,67.54,67.38,67.54,47.03,67.04,67.54,67.28,67.16,67.54,59.01,67.54,67.54,67.3
2027-01-31,67.31,67.31,65.71,67.54,67.03,67.54,67.54,67.54,66.7,67.54,65.54,65.78,43.38,66.02,65.57,67.0,67.22,65.95,67.54,67.24,66.68,67.54,45.1,66.18,67.54,66.66,66.35,67.54,57.51,67.54,67.05,66.68
2027-02-28,66.76,66.76,64.52,66.76,66.35,66.76,66.76,66.76,65.73,66.76,64.27,64.49,41.59,64.86,64.25,66.16,66.63,64.66,66.76,66.61,65.72,66.76,43.2,65.1,66.76,65.96,65.34,66.76,55.94,66.76,66.27,65.93
2027-03-31,64.47,64.47,63.26,64.47,64.47,64.47,64.47,64.47,64.47,64.47,62.97,62.91,39.96,64.47,62.68,64.47,64.47,62.96,64.47,64.47,64.47,64.47,41.04,63.57,64.47,64.47,64.47,64.47,53.95,64.47,64.47,64.47
2027-04-30,63.72,63.72,63.72,63.72,63.72,63.72,63.72,63.72,63.72,63.72,63.72,63.72,41.32,63.72,63.72,63.72,63.72,62.02,63.72,63.72,63.72,63.72,40.92,63.72,63.72,63.72,63.72,63.72,55.7,63.72,63.72,63.72
2027-05-31,78.99,78.99,78.99,78.99,78.99,78.99,78.99,78.68,77.58,78.99,78.99,73.37,53.44,78.99,78.99,78.99,78.99,77.23,78.99,72.05,76.03,78.99,48.53,78.99,75.57,72.34,78.99,78.99,68.27,78.99,76.09,78.99
2027-06-30,102.19,102.19,102.19,102.19,102.19,102.19,102.19,96.17,102.19,91.24,90.5,71.88,73.54,86.67,100.09,100.75,92.34,102.19,102.19,98.99,102.19,76.12,62.96,102.19,102.19,99.5,102.19,82.94,102.19,98.58,102.19,90.88
2027-07-31,99.23,99.23,99.23,99.23,99.23,99.23,99.23,96.96,99.23,86.88,85.51,62.82,70.68,80.7,99.23,98.45,89.03,99.23,99.23,97.83,99.23,68.1,59.79,99.23,99.23,99.23,99.23,75.91,99.23,95.84,99.23,88.76
2027-08-31,86.94,86.94,86.94,86.94,86.94,86.94,86.94,86.94,86.94,81.78,80.24,54.89,65.18,74.52,86.94,86.94,84.26,86.94,86.94,86.94,86.94,61.29,55.09,86.94,86.94,86.94,86.94,69.32,86.94,86.94,86.94,85.16
2027-09-30,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,72.31,49.63,63.58,70.53,72.31,72.31,72.31,72.31,72.31,72.31,72.31,57.18,52.47,72.31,72.31,72.31,72.31,65.14,72.31,72.31,72.31,72.31
2027-10-31,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,69.9,48.08,63.0,69.5,69.9,69.9,69.9,69.9,69.9,69.9,69.9,55.42,53.27,69.9,69.9,69.9,69.9,63.71,69.9,69.9,69.9,69.9
