date,trace_2,trace_3,trace_4,trace_5,trace_6,trace_7,trace_8,trace_9,trace_10,trace_11,trace_12,trace_13,trace_14,trace_15,trace_16,trace_17,trace_18,trace_19,trace_20,trace_21,trace_22,trace_23,trace_24,trace_25,trace_26,trace_27,trace_28,trace_29,trace_30,trace_31,trace_32,trace_33
2025-05-31,112.64,120.23,118.64,120.23,120.23,120.23,110.67,120.23,120.23,114.25,120.23,120.23,120.23,116.73,120.23,120.23,120.23,120.23,120.23,118.97,120.23,111.99,114.64,120.23,120.22,120.23,120.23,120.22,120.22,120.23,109.7,120.23
2025-06-30,96.39,111.95,120.96,117.08,116.12,112.82,122.92,100.45,122.92,99.61,122.92,102.93,101.43,102.53,109.96,99.16,105.46,102.57,116.35,114.53,104.94,102.86,122.92,100.2,108.42,119.39,122.92,122.92,114.46,101.09,122.92,105.86
2025-07-31,63.41,80.94,93.68,90.73,85.26,81.02,107.23,68.71,93.99,70.23,112.25,68.91,68.52,68.93,78.0,66.93,73.2,73.06,88.34,85.63,72.95,70.72,95.12,68.35,77.25,88.55,104.35,92.31,83.07,67.38,95.86,73.42
2025-08-31,33.39,51.85,64.37,67.1,56.62,50.6,80.77,37.76,71.04,41.02,92.02,37.49,45.99,36.93,49.08,34.67,45.63,45.6,76.15,55.58,40.59,42.28,65.15,36.83,49.7,59.92,77.61,65.13,52.97,34.67,64.04,41.91
2025-09-30,13.97,31.36,58.18,49.21,40.31,33.67,59.97,15.68,61.39,19.8,77.77,14.34,24.02,18.54,38.86,19.95,23.92,27.37,63.12,35.8,16.78,20.83,42.39,12.64,48.99,42.88,57.0,44.65,28.85,9.74,39.38,17.88
2025-10-31,13.89,23.85,51.32,39.53,31.59,27.05,52.44,10.58,69.57,11.2,72.4,14.26,13.16,13.31,31.79,21.61,23.69,43.1,62.08,26.93,16.69,15.17,35.04,12.57,49.8,48.21,49.79,36.49,18.72,9.68,27.41,17.79
2025-11-30,21.55,31.49,57.01,44.43,36.53,33.88,58.8,17.31,77.76,17.71,77.32,19.04,17.67,19.66,37.19,31.03,34.46,55.94,68.44,33.2,21.99,22.78,41.36,16.24,58.16,57.88,56.32,41.56,23.27,14.23,31.13,23.12
2025-12-31,27.2,38.14,61.6,48.7,40.72,38.55,64.04,22.28,81.24,23.11,81.01,22.99,21.49,24.49,41.74,36.94,40.64,63.09,72.9,38.1,25.95,27.63,46.22,19.8,63.85,64.0,61.52,45.72,27.36,17.89,34.66,27.46
2026-01-31,32.85,43.77,64.34,52.47,44.54,42.47,67.03,26.28,84.73,27.28,84.24,26.54,24.92,28.53,45.61,41.9,45.36,67.07,76.24,41.95,29.32,31.5,50.67,23.02,67.34,67.82,64.62,49.45,30.94,21.1,37.91,30.93
2026-02-28,37.51,48.42,66.71,55.53,47.64,46.89,70.45,29.49,87.34,30.91,87.15,29.41,27.85,32.33,48.83,46.01,49.07,70.96,78.64,45.3,32.04,34.6,53.97,25.81,70.78,72.72,68.41,53.15,34.23,23.72,40.65,34.2
2026-03-31,45.06,57.95,70.45,60.5,54.1,55.87,74.36,41.15,92.11,37.09,90.87,35.21,31.75,37.87,59.86,53.47,53.91,85.29,81.71,51.41,35.06,39.44,60.5,29.82,76.59,82.34,74.77,63.43,38.08,26.96,44.66,37.54
2026-04-30,64.51,80.38,97.53,74.51,77.23,71.18,87.95,64.85,101.99,50.29,102.0,61.7,45.95,53.85,95.55,80.9,76.07,102.0,92.67,65.3,46.94,52.41,89.64,38.21,95.85,98.0,90.25,86.5,49.42,45.03,54.29,45.0
2026-05-31,88.16,115.99,120.23,120.23,114.83,91.37,118.5,120.23,120.23,79.41,120.23,120.23,39.77,82.09,120.23,120.23,107.44,120.23,120.23,120.23,61.03,70.2,119.54,46.45,120.23,113.05,108.17,114.49,51.58,73.17,79.27,60.44
2026-06-30,84.94,122.92,122.92,122.92,122.92,122.92,107.96,122.92,122.92,122.92,108.36,122.92,8.05,83.03,122.92,122.92,97.37,122.92,122.92,122.92,80.57,121.41,106.13,35.21,122.92,122.92,122.92,122.92,20.02,122.92,74.73,92.94
2026-07-31,56.0,101.87,99.94,112.3,95.79,112.31,79.19,112.3,106.03,112.31,75.45,100.25,7.9,53.06,98.74,112.3,69.81,99.67,112.3,96.56,53.81,109.6,76.11,34.87,98.67,104.64,97.51,99.77,19.77,112.31,43.97,78.02
2026-08-31,30.0,78.73,77.89,90.57,66.79,92.02,48.69,92.02,80.5,92.02,44.46,83.63,7.78,24.87,68.36,92.02,43.14,90.31,88.41,65.35,27.65,83.28,45.19,34.59,72.71,77.83,71.92,72.74,19.57,86.65,12.96,52.03
2026-09-30,11.59,65.16,61.4,77.76,51.52,76.38,26.91,77.77,61.17,77.76,21.85,63.68,7.68,15.71,54.98,74.46,25.57,77.76,72.12,42.34,27.47,62.09,21.43,33.16,57.59,57.23,52.38,49.89,19.42,64.05,12.84,49.12
2026-10-31,11.52,61.57,52.56,71.32,46.04,71.69,22.42,75.48,54.1,73.42,12.54,54.14,7.63,9.16,59.47,75.48,42.42,75.48,65.41,32.88,22.78,56.2,9.93,33.63,64.99,50.05,45.44,40.99,19.32,53.48,12.77,43.0
2026-11-30,19.18,68.99,58.09,76.62,53.69,77.76,29.53,77.76,61.88,77.76,17.83,59.73,12.94,14.89,70.38,77.76,55.62,77.76,72.37,38.91,31.01,63.56,13.93,41.75,74.38,56.58,51.17,46.48,22.88,58.39,18.32,49.22
2026-12-31,25.83,74.38,62.92,80.96,59.0,81.24,34.77,81.24,67.1,81.24,22.17,64.5,16.9,19.73,75.9,81.24,62.98,81.24,77.51,43.44,36.28,67.96,17.83,47.24,79.99,61.79,55.86,51.55,25.68,63.06,22.84,54.26
2027-01-31,31.48,78.76,65.96,84.8,63.48,85.44,38.97,85.77,70.9,85.05,26.07,67.58,20.19,23.85,80.62,86.16,67.14,84.91,81.33,47.3,40.49,71.85,21.33,51.79,84.44,64.89,60.04,55.93,28.12,66.13,26.44,58.63
2027-02-28,36.14,82.28,68.31,87.81,67.37,90.08,42.32,89.24,74.15,88.48,29.22,70.13,23.35,27.29,84.35,89.93,71.26,87.58,84.57,50.41,43.88,74.54,24.38,56.18,89.99,68.67,63.03,59.9,30.1,68.64,29.8,62.44
2027-03-31,45.7,90.54,72.61,94.77,76.13,95.31,53.86,95.38,80.18,92.82,35.34,73.64,28.13,38.72,91.6,94.96,86.03,90.96,90.98,53.82,49.07,80.64,28.54,63.13,99.47,75.06,72.64,64.47,32.63,72.55,33.27,66.7
2027-04-30,68.14,102.0,86.83,102.0,91.34,102.0,77.48,102.0,93.71,102.0,60.88,87.81,42.9,75.12,102.0,102.0,102.0,101.99,101.99,66.61,62.81,102.0,37.0,82.08,102.0,90.56,96.94,75.67,49.0,82.69,40.89,97.08
2027-05-31,103.78,120.23,120.23,120.23,113.29,120.23,120.23,120.23,120.23,120.23,120.23,82.71,68.91,120.23,120.23,120.23,120.23,120.23,120.23,82.21,82.01,120.23,45.18,112.46,118.32,108.53,120.23,79.17,74.06,111.65,55.08,120.23
2027-06-30,122.51,122.92,122.92,122.92,122.92,110.52,122.92,122.92,122.92,108.73,122.92,51.36,69.07,122.92,122.92,111.02,122.92,122.92,122.92,102.55,122.92,107.22,34.99,122.92,122.92,122.92,122.92,47.96,122.92,108.3,88.29,122.92
2027-07-31,101.46,101.87,112.3,96.16,112.31,82.18,112.3,106.43,112.31,75.98,101.0,15.22,38.97,98.79,112.31,83.99,99.71,112.3,97.49,75.89,111.2,77.38,34.65,98.64,104.84,97.52,100.1,11.7,112.31,77.84,74.25,99.91
2027-08-31,78.32,78.73,89.64,67.53,92.02,52.04,92.02,81.16,92.02,45.17,84.46,15.05,10.66,68.44,92.02,57.82,90.4,88.47,66.68,49.8,84.93,46.6,34.37,72.63,78.17,71.93,73.58,11.55,86.58,47.06,48.48,78.1
2027-09-30,64.75,65.16,77.76,52.63,76.44,30.64,77.77,62.1,77.76,22.72,64.75,14.92,10.56,55.12,74.49,40.71,77.76,72.23,43.94,29.51,63.8,22.96,32.75,57.47,57.69,52.4,50.83,11.44,63.91,23.52,45.5,61.39
2027-10-31,58.17,61.57,71.52,47.47,71.81,26.57,75.48,55.36,73.54,13.58,55.3,8.41,10.49,59.65,75.48,58.29,75.48,65.57,34.78,24.95,57.98,11.58,33.84,64.82,50.64,45.46,42.06,11.37,53.29,12.79,39.67,52.5
2027-11-30,65.78,68.99,76.93,55.41,77.76,34.05,77.76,63.47,77.76,19.01,60.99,14.05,16.1,70.6,77.76,71.84,77.76,72.57,41.12,33.27,65.39,15.69,42.22,74.19,57.29,51.19,47.65,15.2,58.16,18.64,45.96,58.06
2027-12-31,71.17,74.38,81.24,60.97,81.24,39.62,81.24,68.94,81.24,23.47,64.59,18.29,20.82,76.13,81.24,78.28,81.24,77.74,45.93,38.62,69.84,19.7,47.85,79.77,62.59,55.88,52.86,18.24,62.78,23.43,51.04,62.92
2028-01-31,75.55,78.76,85.12,64.44,85.48,44.08,85.81,72.94,85.14,27.48,67.71,21.83,24.84,80.88,86.25,82.71,84.93,81.6,50.01,42.92,73.76,23.29,52.47,84.2,65.78,60.06,57.33,20.89,65.81,27.27,55.43,65.99
2028-02-29,79.02,82.23,88.27,68.82,90.32,47.78,89.43,76.53,88.78,30.84,70.4,25.32,28.36,84.75,90.19,87.23,87.7,85.0,53.42,46.48,76.57,26.52,57.08,89.88,69.87,63.17,61.49,23.13,68.38,30.98,59.4,68.46
2028-03-31,87.29,90.49,95.31,77.95,95.62,60.29,95.61,82.88,93.34,37.22,73.95,30.47,39.88,92.07,95.28,99.47,91.23,91.46,57.02,51.86,83.11,30.9,64.19,99.47,76.28,73.05,64.89,25.93,72.27,34.67,64.93,73.02
2028-04-30,102.0,102.0,102.0,94.67,102.0,83.86,102.0,97.32,102.0,65.14,88.3,46.17,76.83,102.0,102.0,101.99,101.99,101.99,70.31,66.01,102.0,39.77,83.32,102.0,92.3,97.28,76.2,44.38,83.43,42.66,95.55,89.61
2028-05-31,120.23,120.23,120.23,118.24,120.23,120.23,120.23,120.23,120.23,120.23,83.29,75.24,120.23,120.23,120.23,120.23,120.23,120.23,86.32,87.21,120.23,49.11,113.85,119.99,111.91,120.23,79.83,69.99,113.34,59.2,120.23,120.23
